  I     	  II     	  AOp     	  AOp'		
-44.86   	 -0.31   	 97.21   	 132.25		
-46.69   	 -3.97   	 97.74   	 116.99		
-47.30   	 -4.88   	 98.21   	 101.73		
-48.83   	 -3.66   	 98.62   	  71.21		
-50.66   	 -2.44   	 98.90   	  40.69		
-50.05   	 -3.36   	 99.06   	  10.17		
-46.08   	 -6.41   	 99.10   	 -25.43		
-41.20   	 -9.16   	 99.00   	 -66.12		
-39.67   	 -9.16   	 98.74   	-101.73		
-44.86   	 -7.63   	 98.33   	-137.33		
-53.71   	 -7.02   	 97.78   	-162.77		
-61.65   	-10.07   	 97.13   	-183.11		
-65.00   	-15.56   	 96.40   	-193.29		
-62.87   	-18.31   	 95.63   	-198.37		
-55.54   	-14.65   	 94.83   	-193.29		
-45.47   	 -5.80   	 94.06   	-178.03		
-36.62   	  2.14   	 93.35   	-167.85		
-34.18   	  2.14   	 92.68   	-152.59		
-41.81   	 -7.93   	 92.06   	-142.42		
-53.71   	-21.97   	 91.50   	-142.42		
-60.42   	-31.43   	 90.93   	-127.16		
-54.63   	-31.13   	 90.42   	-122.07		
-39.06   	-23.19   	 89.93   	-122.07		
-25.33   	-14.65   	 89.44   	-116.99		
-23.80   	-11.90   	 88.97   	-116.99		
-36.93   	-14.65   	 88.50   	-116.99		
-54.63   	-18.31   	 88.04   	-106.82		
-63.78   	-18.92   	 87.61   	 -91.56		
-57.98   	-12.51   	 87.24   	 -66.12		
-42.11   	  1.22   	 86.98   	 -35.61		
-25.94   	 18.62   	 86.84   	  -5.09		
-18.62   	 34.18   	 86.82   	  20.35		
-21.36   	 40.89   	 86.90   	  25.43		
-27.16   	 34.79   	 87.00   	  30.52		
-29.60   	 20.45   	 87.12   	  25.43		
-27.47   	 10.07   	 87.22   	  25.43		
-24.72   	 11.90   	 87.32   	  25.43		
-23.80   	 25.02   	 87.43   	  15.26		
-21.97   	 40.28   	 87.49   	  10.17		
-14.34   	 47.91   	 87.53   	   5.09		
 -2.75   	 44.56   	 87.55   	 -10.17		
  6.71   	 35.10   	 87.51   	 -25.43		
  6.71   	 24.41   	 87.41   	 -35.61		
 -3.05   	 15.56   	 87.26   	 -40.69		
-13.73   	  8.24   	 87.10   	 -45.78		
-15.87   	  2.75   	 86.92   	 -40.69		
 -9.46   	  0.61   	 86.75   	 -40.69		
  0.00   	  0.92   	 86.59   	 -45.78		
  3.05   	 -0.61   	 86.41   	 -61.04		
 -4.88   	 -8.54   	 86.16   	 -71.21		
-22.28   	-22.58   	 85.88   	 -81.38		
-43.03   	-37.84   	 85.55   	 -91.56		
-61.95   	-48.83   	 85.19   	-101.73		
-73.55   	-53.71   	 84.78   	-106.82		
-77.21   	-56.15   	 84.35   	-106.82		
-75.38   	-60.73   	 83.93   	 -76.30		
-72.33   	-70.19   	 83.62   	   0.00		
-71.41   	-81.48   	 83.62   	 116.99		
-72.63   	-90.33   	 84.09   	 228.89		
-72.94   	-93.38   	 85.00   	 284.84		
-70.50   	-89.42   	 86.14   	 264.50		
-68.36   	-81.79   	 87.20   	 203.46		
-70.80   	-75.07   	 88.02   	 137.33		
-77.21   	-72.94   	 88.57   	  71.21		
-83.62   	-76.60   	 88.85   	   0.00		
-86.67   	-83.01   	 88.85   	 -71.21		
-84.23   	-88.50   	 88.57   	-127.16		
-78.74   	-90.64   	 88.06   	-172.94		
-74.46   	-89.42   	 87.36   	-218.72		
-71.11   	-86.06   	 86.49   	-254.32		
-67.14   	-82.09   	 85.47   	-264.50		
-63.17   	-77.82   	 84.41   	-239.06		
-60.12   	-73.85   	 83.46   	-198.37		
-61.04   	-70.80   	 82.66   	-147.51		
-65.61   	-66.83   	 82.07   	-116.99		
-68.97   	-58.90   	 81.61   	 -96.64		
-61.65   	-44.56   	 81.22   	 -96.64		
-35.10   	-19.84   	 80.83   	-106.82		
 16.78   	 21.36   	 80.41   	-116.99		
 91.86   	 85.75   	 79.94   	-111.90		
180.66   	179.14   	 79.49   	 -91.56		
267.64   	295.10   	 79.12   	 -55.95		
336.30   	405.27   	 78.90   	 -20.35		
370.18   	462.34(R)	 78.82   	  15.26		
356.14   	426.33   	 78.88   	  45.78		
291.14   	293.58   	 79.06   	  71.21		
185.55   	105.59   	 79.35   	  81.38		
 64.39   	-69.89   	 79.67   	  71.21		
-42.11   	-177.31   	 79.96   	  30.52		
-111.69   	-202.03   	 80.08   	 -10.17		
-139.16   	-169.98   	 80.04   	 -40.69		
-135.19   	-119.93   	 79.88   	 -40.69		
-115.05   	-79.65   	 79.71   	 -35.61		
-93.38   	-58.59   	 79.57   	 -25.43		
-78.74   	-54.63   	 79.47   	 -30.52		
-74.46   	-59.81   	 79.35   	 -40.69		
-79.65   	-67.75   	 79.19   	 -40.69		
-87.89   	-73.24   	 79.02   	 -40.69		
-91.55   	-75.38   	 78.86   	 -30.52		
-88.50   	-76.60   	 78.74   	 -15.26		
-81.18   	-80.26   	 78.68(D)	   0.00		
-77.21   	-86.98   	 78.68   	  15.26		
-79.96   	-91.55   	 78.74   	  25.43		
-87.28   	-89.11   	 78.84   	  20.35		
-92.16   	-80.57   	 78.92   	  30.52		
-90.33   	-72.02   	 79.04   	  40.69		
-83.01   	-69.27   	 79.21   	  71.21		
-75.68   	-73.24   	 79.49   	 116.99		
-72.63   	-80.26   	 79.96   	 172.94		
-73.55   	-85.75   	 80.65   	 233.98		
-75.68   	-86.36   	 81.59   	 300.10		
-76.90   	-82.70   	 82.79   	 376.40		
-76.90   	-78.13   	 84.29   	 447.61		
-75.07   	-74.77   	 86.08   	 498.47		
-71.41   	-72.33   	 88.08   	 554.42		
-65.00   	-69.58   	 90.29   	 595.11		
-58.29   	-64.39   	 92.68   	 620.55		
-55.24   	-57.68   	 95.16   	 615.46		
-60.12   	-52.19   	 97.62   	 579.86		
-70.19   	-49.13   	 99.94   	 498.47		
-79.65   	-48.22   	101.93   	 401.83		
-79.65   	-45.17   	103.54   	 315.36		
-68.97   	-38.76   	104.80   	 249.24		
-53.10   	-30.52   	105.80   	 228.89		
-40.59   	-23.50   	106.71   	 244.15		
-36.01   	-17.70   	107.69   	 284.84		
-39.06   	-12.21   	108.83   	 335.71		
-44.56   	 -6.10   	110.17   	 376.40		
-49.13   	 -0.31   	111.68   	 406.92		
-50.05   	  4.88   	113.31   	 406.92		
-46.69   	  7.93   	114.93   	 386.57		
-38.45   	  9.77   	116.48   	 345.88		
-26.55   	 10.99   	117.86   	 300.10		
-14.04   	  8.54   	119.06   	 259.41		
 -4.88   	  1.83   	120.10   	 213.63		
  0.31   	 -3.05   	120.96   	 188.20		
  0.92   	 -1.83   	121.71   	 172.94		
  0.61   	  7.63   	122.40   	 172.94		
  1.22   	 21.97   	123.09   	 183.11		
  3.05   	 35.71   	123.82   	 198.37		
  7.93   	 45.47   	124.62   	 193.29		
 15.56   	 52.80   	125.39   	 193.29		
 23.80   	 59.20   	126.16   	 183.11		
 30.21   	 65.00   	126.90   	 172.94		
 33.87   	 68.97   	127.59   	 162.77		
 35.40   	 71.41   	128.24   	 157.68		
 37.54   	 73.55   	128.87   	 147.51		
 40.89   	 76.29   	129.46   	 142.42		
 43.03   	 78.74   	130.03   	 142.42		
 41.81   	 78.74   	130.60   	 142.42		
 36.32   	 75.68   	131.17   	 137.33		
 28.69   	 72.94   	131.72   	 127.16		
 21.97   	 72.63   	132.23   	 116.99		
 19.53   	 74.16   	132.70   	 101.73		
 22.58   	 75.07   	133.10   	  76.30		
 30.52   	 71.11   	133.41   	  61.04		
 38.76   	 61.65   	133.65   	  45.78		
 39.67   	 47.91   	133.83   	  30.52		
 28.69   	 32.65   	133.96   	  25.43		
  7.02   	 17.09   	134.06   	  20.35		
-15.87   	  3.05   	134.14   	  15.26		
-28.99   	 -7.63   	134.20   	   5.09		
-30.52   	-14.65   	134.22(S)	 -10.17		
-26.25   	-19.53   	134.18   	 -25.43		
-25.02   	-25.94   	134.08   	 -40.69		
-30.82   	-36.62   	133.92   	 -50.86		
-39.67   	-51.27   	133.71   	 -71.21		
-43.95   	-64.70   	133.43   	 -86.47		
-42.42   	-72.02   	133.08   	-111.90		
-39.37   	-72.02   	132.63   	-127.16		
-41.20   	-68.05   	132.13   	-142.42		
-50.05   	-65.61   	131.56   	-162.77		
-61.65   	-68.66   	130.90   	-178.03		
-68.66   	-75.68   	130.19   	-203.46		
-68.05   	-82.70   	129.38   	-233.98		
-61.04   	-86.67   	128.44   	-264.50		
-53.10   	-86.98   	127.39   	-295.01		
-47.91   	-85.75   	126.20   	-320.45		
-47.91   	-85.14   	124.92   	-350.97		
-50.66   	-84.84   	123.52   	-366.22		
-53.10   	-81.18   	122.05   	-381.48		
-54.63   	-74.46   	120.53   	-381.48		
-55.85   	-68.05   	119.00   	-361.14		
-58.29   	-64.39   	117.56   	-330.62		
-61.95   	-66.83   	116.24   	-289.93		
-65.61   	-73.24   	115.08   	-254.32		
-65.61   	-77.21   	114.06   	-223.80		
-60.42   	-75.68   	113.16   	-193.29		
-52.49   	-68.97   	112.39   	-167.85		
-46.69   	-61.04   	111.72   	-142.42		
-46.69   	-56.15   	111.15   	-122.07		
-52.19   	-54.02   	110.66   	-101.73		
-59.81   	-52.49   	110.25   	 -81.38		
-64.09   	-49.44   	109.93   	 -71.21		
-63.48   	-46.39   	109.64   	 -61.04		
-60.73   	-46.69   	109.40   	 -55.95		
-59.51   	-52.49   	109.18   	 -55.95		
-61.04   	-61.04   	108.95   	 -61.04		
-65.00   	-67.44   	108.71   	 -66.12		
-68.05   	-68.05   	108.44   	 -66.12		
-67.14   	-64.09   	108.18   	 -76.30		
-62.56   	-59.20   	107.87   	 -76.30		
-56.46   	-55.85   	107.57   	 -81.38		
-53.71   	-54.93   	107.24   	 -81.38		
-56.76   	-55.85   	106.92   	 -81.38		
-64.39   	-58.29   	106.59   	 -81.38		
-70.50   	-61.95   	106.27   	 -81.38		
-70.50   	-67.14   	105.94   	 -81.38		
-63.17   	-72.33   	105.62   	 -81.38		
-53.41   	-74.46   	105.29   	 -86.47		
-48.52   	-73.55   	104.94   	 -86.47		
-51.27   	-71.11   	104.60   	 -81.38		
-59.20   	-70.19   	104.27   	 -81.38		
-69.89   	-72.63   	103.95   	 -76.30		
-78.43   	-78.13   	103.64   	 -76.30		
-81.79   	-84.23   	103.34   	 -76.30		
-78.74   	-87.28   	103.03   	 -76.30		
-70.50   	-86.06   	102.73   	 -66.12		
-60.73   	-83.62   	102.46   	 -66.12		
-54.32   	-83.31   	102.20   	 -66.12		
-54.32   	-87.28   	101.93   	 -66.12		
-59.20   	-93.69   	101.67   	 -66.12		
-63.17   	-98.27   	101.40   	 -71.21		
-63.78   	-96.13   	101.12   	 -71.21		
-61.34   	-86.98   	100.83   	 -76.30		
-58.59   	-76.29   	100.53   	 -81.38		
-57.98   	-71.41   	100.20   	 -81.38		
-57.98   	-75.99   	 99.88   	 -81.38		
-57.07   	-87.59   	 99.55   	 -86.47		
-54.93   	-99.18   	 99.21   	 -81.38		
-53.71   	-102.54   	 98.88   	 -86.47		
-55.54   	-96.44   	 98.53   	 -86.47		
-60.42   	-86.36   	 98.19   	 -91.56		
-65.00   	-78.43   	 97.82   	 -91.56		
-66.22   	-75.68   	 97.46   	 -96.64		
-64.09   	-76.60   	 97.07   	 -96.64		
-59.81   	-77.21   	 96.68   	 -96.64		
-54.63   	-75.38   	 96.30   	 -96.64		
-50.66   	-72.33   	 95.91   	 -96.64		
-47.30   	-70.19   	 95.52   	 -96.64		
-45.17   	-70.50   	 95.14   	 -91.56		
-45.47   	-72.33   	 94.77   	 -86.47		
-49.44   	-74.77   	 94.42   	 -81.38		
-55.24   	-77.21   	 94.10   	 -81.38		
-60.42   	-79.35   	 93.77   	 -76.30		
-61.95   	-79.35   	 93.47   	 -71.21		
-59.51   	-77.51   	 93.18   	 -71.21		
-54.63   	-74.77   	 92.90   	 -66.12		
-50.66   	-73.85   	 92.63   	 -61.04		
-48.52   	-75.07   	 92.39   	 -61.04		
-48.83   	-76.90   	 92.15   	 -55.95		
-50.05   	-77.21   	 91.92   	 -55.95		
-50.96   	-76.29   	 91.70   	 -61.04		
-50.66   	-75.68   	 91.45   	 -55.95		
-49.44   	-77.82   	 91.23   	 -55.95		
-47.30   	-80.87   	 91.01   	 -61.04		
-45.17   	-80.87   	 90.76   	 -66.12		
-44.56   	-76.90   	 90.50   	 -61.04		
-45.78   	-69.27   	 90.25   	 -66.12		
-48.22   	-61.34   	 89.99   	 -71.21		
-50.66   	-56.46   	 89.70   	 -71.21		
-52.19   	-54.93   	 89.42   	 -71.21		
-50.66   	-56.46   	 89.13   	 -66.12		
-46.08   	-59.81   	 88.87   	 -66.12		
-39.67   	-62.56   	 88.61   	 -66.12		
-32.96   	-60.12   	 88.34   	 -66.12		
-26.86   	-50.35   	 88.08   	 -61.04		
-23.50   	-34.18   	 87.83   	 -61.04		
-22.28   	-15.87   	 87.59   	 -55.95		
-21.67   	 -0.31   	 87.36   	 -55.95		
-21.06   	  8.85   	 87.14   	 -55.95		
-19.23   	 11.90   	 86.92   	 -55.95		
-16.48   	 11.60   	 86.69   	 -50.86		
-13.73   	 10.07   	 86.49   	 -50.86		
-12.51   	  9.77   	 86.29   	 -50.86		
 -9.77   	 12.82   	 86.08   	 -45.78		
 -3.97   	 19.23   	 85.90   	 -45.78		
  5.80   	 24.72   	 85.72   	 -45.78		
 16.48   	 24.72   	 85.53   	 -45.78		
 25.63   	 18.31   	 85.35   	 -45.78		
 31.43   	 10.68   	 85.17   	 -50.86		
 33.26   	  7.93   	 84.96   	 -50.86		
 31.13   	 10.68   	 84.76   	 -55.95		
 23.50   	 13.73   	 84.54   	 -55.95		
 10.99   	  9.77   	 84.31   	 -55.95		
 -2.44   	 -2.14   	 84.09   	 -61.04		
-12.51   	-15.26   	 83.85   	 -55.95		
-18.01   	-22.28   	 83.62   	 -50.86		
-20.75   	-23.19   	 83.42   	 -55.95		
-25.33   	-24.11   	 83.19   	 -55.95		
-32.65   	-29.60   	 82.97   	 -50.86		
-40.59   	-39.67   	 82.77   	 -50.86		
-46.39   	-49.44   	 82.56   	 -50.86		
-48.52   	-55.85   	 82.36   	 -50.86		
-48.22   	-59.81   	 82.16   	 -55.95		
-47.30   	-62.56   	 81.93   	 -50.86		
-46.69   	-63.17   	 81.73   	 -55.95		
-45.47   	-60.42   	 81.51   	 -50.86		
-43.33   	-53.41   	 81.30   	 -55.95		
-40.28   	-44.56   	 81.08   	 -50.86		
-37.54   	-38.76   	 80.87   	 -50.86		
-36.93   	-38.15   	 80.67   	 -50.86		
-38.15   	-40.28   	 80.47   	 -45.78		
