  I     	  II     	  LV     	  LV'		  RA     	  RA'		
 87.59   	116.58   	123.19   	  66.12		  8.73   	  55.95		
 85.75   	121.46   	123.46   	  61.04		  8.95   	  61.04		
 82.70   	123.29   	123.70   	  50.86		  9.20   	  61.04		
 78.13   	117.80   	123.91   	  50.86		  9.44   	  55.95		
 72.33   	105.29   	124.11   	  40.69		  9.66   	  55.95		
 65.92   	 90.33   	124.27   	  35.61		  9.89   	  45.78		
 59.81   	 78.13   	124.41   	  30.52		 10.07   	  40.69		
 54.32   	 70.80   	124.54   	  20.35		 10.23   	  40.69		
 49.13   	 65.61   	124.62   	  15.26		 10.40   	  30.52		
 42.11   	 57.68   	124.68   	  10.17		 10.52   	  35.61		
 32.35   	 43.64   	124.72   	  -5.09		 10.66   	  40.69		
 20.75   	 26.25   	124.70   	 -15.26		 10.82   	  40.69		
 10.68   	  9.77   	124.64   	 -35.61		 10.99   	  50.86		
  3.36   	 -3.05   	124.50   	 -55.95		 11.19   	  50.86		
 -1.53   	-11.90   	124.27   	 -86.47		 11.39   	  50.86		
 -6.41   	-19.53   	123.93   	-127.16		 11.60   	  50.86		
-12.21   	-27.16   	123.42   	-178.03		 11.80   	  40.69		
-18.01   	-34.48   	122.71   	-239.06		 11.96   	  40.69		
-22.28   	-40.89   	121.75   	-305.19		 12.13   	  35.61		
-24.72   	-47.30   	120.53   	-381.48		 12.27   	  30.52		
-26.25   	-54.93   	119.00   	-452.69		 12.39   	  35.61		
-28.99   	-63.48   	117.19   	-534.08		 12.53   	  35.61		
-32.96   	-69.58   	115.06   	-625.63		 12.68   	  45.78		
-36.62   	-69.58   	112.55   	-747.71		 12.86   	  55.95		
-38.15   	-64.09   	109.56   	-869.78		 13.08   	  61.04		
-37.84   	-57.98   	106.08   	-1007.12		 13.33   	  71.21		
-36.93   	-56.76   	102.05   	-1129.19		 13.61   	  81.38		
-36.32   	-61.34   	 97.54   	-1246.18		 13.94   	  76.30		
-37.23   	-69.27   	 92.55   	-1342.82		 14.24   	  76.30		
-39.06   	-75.07   	 87.18   	-1398.77		 14.55   	  66.12		
-40.89   	-75.99   	 81.59   	-1429.29		 14.81   	  55.95		
-42.42   	-72.94   	 75.87   	-1414.03		 15.04   	  45.78		
-43.33   	-70.19   	 70.21   	-1373.34		 15.22   	  30.52		
-43.95   	-68.66   	 64.72   	-1312.30		 15.34   	  20.35		
-43.95   	-68.66   	 59.47   	-1236.01		 15.42   	  15.26		
-44.25   	-68.05   	 54.53   	-1159.71		 15.48   	   5.09		
-44.86   	-65.61   	 49.89   	-1078.33		 15.50   	   5.09		
-44.86   	-61.95   	 45.57   	-986.77		 15.52   	   0.00		
-44.56   	-58.90   	 41.63   	-905.39		 15.52   	  -5.09		
-43.33   	-57.68   	 38.01   	-829.09		 15.50   	 -10.17		
-41.50   	-57.68   	 34.69   	-747.71		 15.46   	 -20.35		
-39.67   	-57.98   	 31.70   	-681.58		 15.38   	 -25.43		
-38.76   	-57.68   	 28.97   	-615.46		 15.28   	 -30.52		
-39.06   	-57.37   	 26.51   	-554.42		 15.16   	 -30.52		
-39.37   	-56.46   	 24.29   	-508.65		 15.04   	 -30.52		
-39.37   	-55.54   	 22.26   	-452.69		 14.91   	 -30.52		
-38.45   	-54.02   	 20.45   	-412.00		 14.79   	 -30.52		
-36.62   	-52.49   	 18.80   	-366.22		 14.67   	 -25.43		
-34.48   	-51.88   	 17.33   	-320.45		 14.57   	 -25.43		
-32.65   	-52.80   	 16.05   	-284.84		 14.47   	 -25.43		
-31.43   	-55.85   	 14.91   	-244.15		 14.36   	 -30.52		
-30.82   	-58.59   	 13.94   	-208.54		 14.24   	 -30.52		
-30.21   	-60.42   	 13.10   	-183.11		 14.12   	 -40.69		
-29.30   	-60.42   	 12.37   	-152.59		 13.96   	 -35.61		
-28.08   	-59.81   	 11.76   	-127.16		 13.81   	 -40.69		
