  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-89.11   	 32.65   	 77.90   	 910.47		 13.84   	  45.78		
-90.33   	 34.18   	 81.55   	 905.39		 14.02   	  40.69		
-90.64   	 35.10   	 85.17   	 895.22		 14.18   	  35.61		
-90.94   	 35.71   	 88.75   	 864.70		 14.32   	  20.35		
-91.25   	 35.71   	 92.21   	 834.18		 14.40   	   0.00		
-92.47   	 35.40   	 95.54   	 788.40		 14.40   	 -15.26		
-93.69   	 35.71   	 98.70   	 737.54		 14.34   	 -35.61		
-94.60   	 36.62   	101.65   	 686.67		 14.20   	 -61.04		
-94.91   	 37.23   	104.39   	 635.81		 13.96   	 -71.21		
-95.52   	 36.62   	106.94   	 590.03		 13.67   	 -91.56		
-97.66   	 35.10   	109.30   	 539.16		 13.31   	 -91.56		
-100.71   	 33.26   	111.45   	 503.56		 12.94   	 -91.56		
-103.76   	 32.65   	113.47   	 467.95		 12.57   	 -96.64		
-105.59   	 33.57   	115.34   	 432.35		 12.19   	 -81.38		
-105.90   	 35.40   	117.07   	 412.00		 11.86   	 -76.30		
-104.68   	 36.93   	118.72   	 386.57		 11.56   	 -66.12		
-104.06   	 37.23   	120.26   	 371.31		 11.29   	 -55.95		
-104.06   	 37.54   	121.75   	 356.05		 11.07   	 -45.78		
-104.68   	 38.45   	123.17   	 340.79		 10.89   	 -40.69		
-105.29   	 40.59   	124.54   	 325.53		 10.72   	 -30.52		
-105.59   	 43.33   	125.84   	 315.36		 10.60   	 -30.52		
-105.59   	 46.08   	127.10   	 289.93		 10.48   	 -30.52		
-106.20   	 48.52   	128.26   	 269.58		 10.36   	 -30.52		
-106.81   	 50.96   	129.34   	 233.98		 10.23   	 -35.61		
-108.03   	 54.02   	130.27   	 208.54		 10.09   	 -40.69		
-109.25   	 57.37   	131.11   	 178.03		  9.93   	 -45.78		
-110.78   	 60.73   	131.82   	 152.59		  9.75   	 -45.78		
-112.92   	 64.09   	132.43   	 137.33		  9.56   	 -55.95		
-115.36   	 66.83   	132.98   	 132.25		  9.34   	 -55.95		
-118.10   	 69.27   	133.51   	 127.16		  9.11   	 -55.95		
-120.85   	 71.41   	134.02   	 127.16		  8.89   	 -61.04		
-123.90   	 73.85   	134.53   	 137.33		  8.65   	 -50.86		
-127.26   	 76.29   	135.08   	 137.33		  8.44   	 -50.86		
-131.84   	 77.82   	135.63   	 137.33		  8.24   	 -45.78		
-136.41   	 78.74   	136.17   	 137.33		  8.06   	 -40.69		
-140.69   	 79.04   	136.72   	 127.16		  7.89   	 -30.52		
-144.04   	 79.04   	137.23   	 127.16		  7.77   	 -25.43		
-146.18   	 79.96   	137.74   	 116.99		  7.67   	 -20.35		
-147.71   	 81.79   	138.21   	 106.82		  7.59   	 -15.26		
-148.93   	 83.62   	138.64   	  96.64		  7.53   	 -10.17		
-150.15   	 84.84   	139.02   	  81.38		  7.49   	 -10.17		
-151.98   	 84.53   	139.35   	  71.21		  7.45   	 -10.17		
-154.11   	 82.09   	139.63   	  55.95		  7.41   	 -10.17		
-154.72   	 77.82   	139.86   	  30.52		  7.37   	 -10.17		
-153.20   	 73.55   	139.98   	  15.26		  7.32   	 -15.26		
-148.62   	 69.89   	140.04   	  -5.09		  7.26   	 -10.17		
-140.69   	 67.14   	140.02   	 -15.26		  7.22   	 -10.17		
-130.62   	 64.70   	139.96   	 -30.52		  7.18   	 -10.17		
-118.71   	 61.65   	139.84   	 -40.69		  7.14   	  -5.09		
-105.59   	 57.68   	139.67   	 -45.78		  7.12   	  -5.09		
-91.55   	 53.10   	139.49   	 -55.95		  7.10   	   0.00		
-78.13   	 47.91   	139.27   	 -71.21		  7.10   	   0.00		
-65.31   	 41.81   	138.98   	 -81.38		  7.10   	   5.09		
-54.32   	 35.10   	138.66   	-101.73		  7.12   	   5.09		
-45.47   	 27.77   	138.25   	-122.07		  7.14   	   5.09		
-37.84   	 21.06   	137.76   	-142.42		  7.16   	  10.17		
-31.74   	 14.65   	137.19   	-157.68		  7.20   	  10.17		
-26.86   	  8.24   	136.56   	-178.03		  7.24   	  10.17		
-23.50   	  2.44   	135.85   	-193.29		  7.28   	   5.09		
-21.06   	 -3.05   	135.08   	-203.46		  7.30   	  10.17		
-18.92   	 -7.32   	134.26   	-223.80		  7.34   	  10.17		
-17.70   	 -9.77   	133.37   	-249.24		  7.39   	  10.17		
-17.09   	-11.60   	132.37   	-274.67		  7.43   	  15.26		
-17.09   	-13.12   	131.27   	-300.10		  7.49   	  15.26		
-18.01   	-15.56   	130.07   	-335.71		  7.55   	  25.43		
-18.92   	-18.31   	128.73   	-366.22		  7.65   	  30.52		
-19.53   	-20.75   	127.26   	-401.83		  7.77   	  35.61		
-19.23   	-23.19   	125.66   	-437.43		  7.91   	  40.69		
-18.31   	-24.72   	123.91   	-473.04		  8.08   	  50.86		
-17.40   	-25.94   	122.01   	-503.56		  8.28   	  50.86		
-16.48   	-26.86   	120.00   	-549.34		  8.48   	  50.86		
-16.17   	-27.16   	117.80   	-579.86		  8.69   	  50.86		
-16.48   	-27.16   	115.48   	-625.63		  8.89   	  50.86		
-16.48   	-27.47   	112.98   	-661.24		  9.09   	  45.78		
-15.87   	-28.08   	110.34   	-707.02		  9.28   	  35.61		
-15.26   	-28.99   	107.51   	-752.79		  9.42   	  25.43		
-14.34   	-29.60   	104.50   	-798.57		  9.52   	  20.35		
-14.34   	-29.91   	101.30   	-839.26		  9.60   	  10.17		
-14.65   	-29.60   	 97.94   	-885.04		  9.64   	  -5.09		
-15.56   	-28.99   	 94.40   	-925.73		  9.62   	 -10.17		
-15.87   	-28.38   	 90.70   	-951.17		  9.58   	 -15.26		
-16.17   	-27.77   	 86.90   	-976.60		  9.52   	 -20.35		
-16.48   	-27.47   	 82.99   	-981.68		  9.44   	 -15.26		
-17.40   	-27.77   	 79.06   	-981.68		  9.38   	   0.00		
-18.31   	-27.47   	 75.14   	-976.60		  9.38   	  10.17		
-18.92   	-26.25   	 71.23   	-956.25		  9.42   	  30.52		
-18.92   	-24.11   	 67.41   	-940.99		  9.54   	  50.86		
-19.23   	-21.97   	 63.64   	-920.65		  9.75   	  81.38		
