  I     	  II     	  LV     	  LV'		  PA     	  PA'		
-32.35   	-63.17   	  8.63   	  -5.09		 12.15   	  15.26		
-32.35   	-64.39   	  8.61   	  -5.09		 12.21   	  15.26		
-31.74   	-66.83   	  8.59   	  -5.09		 12.27   	  20.35		
-30.21   	-69.58   	  8.57   	  -5.09		 12.35   	  20.35		
-27.16   	-71.72   	  8.55   	 -10.17		 12.43   	  15.26		
-25.02   	-72.33   	  8.50   	  -5.09		 12.49   	  10.17		
-27.16   	-71.72   	  8.48   	  -5.09		 12.53   	  10.17		
-35.71   	-69.89   	  8.46   	  -5.09		 12.57   	  -5.09		
-47.00   	-68.05   	  8.44   	 -10.17		 12.55   	 -10.17		
-53.41   	-66.53   	  8.40   	  -5.09		 12.51   	 -15.26		
-49.44   	-66.83   	  8.38   	 -10.17		 12.45   	 -20.35		
-38.45   	-68.66   	  8.34   	 -10.17		 12.37   	 -25.43		
-28.69   	-70.80   	  8.30   	 -10.17		 12.27   	 -25.43		
-26.25   	-70.80   	  8.26   	  -5.09		 12.17   	 -25.43		
-29.30   	-68.05   	  8.24   	 -10.17		 12.07   	 -20.35		
-28.69   	-64.09   	  8.20   	  -5.09		 11.98   	 -20.35		
-21.67   	-61.04   	  8.18   	 -10.17		 11.90   	 -15.26		
-15.26   	-60.42   	  8.14   	   0.00		 11.84   	 -10.17		
-17.40   	-62.56   	  8.14   	  -5.09		 11.80   	  -5.09		
-31.13   	-65.61   	  8.12   	  -5.09		 11.78   	   0.00		
-49.44   	-66.53   	  8.10   	   0.00		 11.78   	   0.00		
-58.29   	-62.87   	  8.10   	   5.09		 11.78   	  10.17		
-52.19   	-54.32   	  8.12   	   0.00		 11.82   	   5.09		
-39.67   	-43.03   	  8.12   	   5.09		 11.84   	  15.26		
-32.04   	-34.48   	  8.14   	  10.17		 11.90   	  10.17		
-33.87   	-32.96   	  8.18   	   5.09		 11.94   	  10.17		
-40.89   	-38.76   	  8.20   	  10.17		 11.98   	  15.26		
-45.17   	-47.61   	  8.24   	  10.17		 12.04   	   5.09		
-42.72   	-53.10   	  8.28   	   5.09		 12.07   	   0.00		
-36.32   	-50.96   	  8.30   	   5.09		 12.07   	  -5.09		
-30.52   	-42.11   	  8.32   	   5.09		 12.04   	  -5.09		
-27.47   	-32.96   	  8.34   	   0.00		 12.02   	 -20.35		
-26.86   	-28.38   	  8.34   	   0.00		 11.94   	 -15.26		
-28.08   	-30.52   	  8.34   	  -5.09		 11.88   	 -25.43		
-31.13   	-36.01   	  8.32   	  -5.09		 11.78   	 -25.43		
-34.18   	-39.67   	  8.30   	  -5.09		 11.68   	 -25.43		
-35.71   	-38.76   	  8.28   	 -10.17		 11.58   	 -20.35		
-33.57   	-32.96   	  8.24   	 -10.17		 11.50   	 -20.35		
-27.16   	-25.02   	  8.20   	 -15.26		 11.41   	 -10.17		
-18.62   	-15.26   	  8.14   	 -15.26		 11.37   	  -5.09		
 -8.24   	 -3.05   	  8.08   	 -15.26		 11.35   	   0.00		
  3.66   	 11.90   	  8.02   	 -15.26		 11.35   	  10.17		
 12.51   	 26.55   	  7.96   	 -20.35		 11.39   	  10.17		
 12.82   	 35.40   	  7.87   	 -15.26		 11.43   	  10.17		
  1.53   	 35.40   	  7.81   	 -20.35		 11.48   	   5.09		
-18.92   	 28.99   	  7.73   	 -20.35		 11.50   	  10.17		
-37.84   	 22.89   	  7.65   	 -15.26		 11.54   	   5.09		
-45.17   	 23.19   	  7.59   	 -10.17		 11.56   	   5.09		
-37.54   	 30.82   	  7.55   	 -10.17		 11.58   	   5.09		
-22.28   	 41.20   	  7.51   	 -10.17		 11.60   	  10.17		
 -8.85   	 47.91   	  7.47   	  -5.09		 11.64   	   5.09		
