  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
-30.52   	-170.90   	 23.05   	 350.97		 54.53   	  40.69		
-26.86   	-178.83   	 24.46   	 406.92		 54.69   	  81.38		
-29.91   	-162.66   	 26.08   	 467.95		 55.02   	 -50.86		
-33.87   	-139.47   	 27.96   	 534.08		 54.81   	-122.07		
-35.71   	-126.65   	 30.09   	 605.29		 54.32   	 -66.12		
-35.71   	-132.14   	 32.51   	 676.50		 54.06   	  -5.09		
-36.01   	-149.23   	 35.22   	 742.62		 54.04   	  15.26		
-37.54   	-165.41   	 38.19   	 808.75		 54.10   	   0.00		
-38.76   	-173.65   	 41.42   	 874.87		 54.10   	 -40.69		
-37.23   	-174.56   	 44.92   	 930.82		 53.94   	 -76.30		
-32.65   	-172.42   	 48.65   	 981.68		 53.63   	 -66.12		
-29.91   	-170.90   	 52.57   	1037.64		 53.37   	 -30.52		
-32.35   	-168.46   	 56.72   	1078.33		 53.24   	   5.09		
-40.59   	-163.88   	 61.04   	1108.85		 53.27   	  -5.09		
-50.66   	-156.56   	 65.47   	1139.36		 53.24   	 -30.52		
-56.15   	-151.06   	 70.03   	1159.71		 53.12   	 -25.43		
-54.02   	-151.06   	 74.67   	1159.71		 53.02   	   0.00		
-46.08   	-157.78   	 79.31   	1159.71		 53.02   	  25.43		
-36.93   	-169.68   	 83.95   	1139.36		 53.12   	  45.78		
-30.82   	-186.77   	 88.50   	1113.93		 53.31   	  66.12		
-29.30   	-204.77   	 92.96   	1078.33		 53.57   	  86.47		
-30.82   	-215.76   	 97.27   	1027.46		 53.92   	 122.07		
-31.43   	-210.88   	101.38   	 976.60		 54.40   	 203.46		
-30.82   	-185.55   	105.29   	 915.56		 55.22   	 340.79		
-29.91   	-147.71   	108.95   	 854.52		 56.58   	 488.30		
-31.74   	-116.58   	112.37   	 788.40		 58.53   	 559.51		
-37.84   	-108.03   	115.52   	 722.28		 60.77   	 579.86		
-44.86   	-122.38   	118.41   	 661.24		 63.09   	 564.60		
-47.91   	-146.79   	121.06   	 615.46		 65.35   	 539.16		
-45.17   	-166.32   	123.52   	 564.60		 67.51   	 513.73		
-39.06   	-172.42   	125.78   	 523.90		 69.56   	 503.56		
-33.57   	-169.37   	127.87   	 498.47		 71.58   	 467.95		
-32.35   	-167.24   	129.87   	 467.95		 73.45   	 467.95		
-34.79   	-170.90   	131.74   	 447.61		 75.32   	 493.39		
-37.84   	-176.39   	133.53   	 427.26		 77.29   	 508.65		
-39.67   	-176.39   	135.24   	 406.92		 79.33   	 518.82		
-39.98   	-166.32   	136.87   	 381.48		 81.40   	 528.99		
-39.98   	-149.23   	138.39   	 361.14		 83.52   	 534.08		
-40.28   	-133.97   	139.84   	 335.71		 85.66   	 534.08		
-41.20   	-128.17   	141.18   	 315.36		 87.79   	 528.99		
-40.89   	-130.92   	142.44   	 289.93		 89.91   	 513.73		
-38.45   	-134.89   	143.60   	 264.50		 91.96   	 503.56		
-34.79   	-136.11   	144.66   	 244.15		 93.98   	 513.73		
-33.57   	-135.50   	145.64   	 218.72		 96.03   	 518.82		
-36.93   	-135.50   	146.51   	 188.20		 98.11   	 518.82		
-43.64   	-134.89   	147.26   	 167.85		100.18   	 488.30		
-49.44   	-125.43   	147.93   	 137.33		102.14   	 437.43		
-49.44   	-102.23   	148.48   	 116.99		103.89   	 401.83		
-44.25   	-71.41   	148.95   	  86.47		105.49   	 371.31		
-39.06   	-49.13   	149.30   	  66.12		106.98   	 356.05		
-39.06   	-48.22   	149.56   	  45.78		108.40   	 335.71		
-45.17   	-67.44   	149.75   	  20.35		109.75   	 320.45		
-54.02   	-92.77   	149.83   	   5.09		111.03   	 279.75		
-59.81   	-109.56   	149.85(S)	 -10.17		112.15   	 249.24		
-58.59   	-113.22   	149.81   	 -25.43		113.14   	 228.89		
-52.80   	-107.42   	149.70   	 -45.78		114.06   	 213.63		
-46.39   	-97.35   	149.52   	 -61.04		114.91   	 198.37		
-43.95   	-82.09   	149.28   	 -76.30		115.71   	 183.11		
-46.39   	-59.81   	148.97   	 -96.64		116.44   	 172.94		
-53.10   	-34.48   	148.59   	-116.99		117.13   	 152.59		
-59.81   	-17.70   	148.12   	-137.33		117.74   	 106.82		
-62.26   	-19.84   	147.57   	-157.68		118.17   	  71.21		
-57.98   	-40.59   	146.94   	-183.11		118.45   	  55.95		
-48.52   	-65.00   	146.20   	-203.46		118.68   	  55.95		
-38.45   	-75.68   	145.39   	-228.89		118.90   	  40.69		
-32.04   	-65.61   	144.48   	-249.24		119.06   	  15.26		
-30.82   	-43.03   	143.48   	-274.67		119.12   	  10.17		
-30.52   	-22.28   	142.38   	-295.01		119.17   	   5.09		
-26.86   	-12.51   	141.20   	-320.45		119.19(S)	 -15.26		
-18.31   	-13.73   	139.92   	-340.79		119.12   	 -45.78		
 -8.85   	-18.92   	138.55   	-361.14		118.94   	 -50.86		
 -3.05   	-22.89   	137.11   	-381.48		118.74   	 -50.86		
 -2.44   	-24.72   	135.58   	-406.92		118.53   	 -76.30		
 -3.05   	-25.63   	133.96   	-432.35		118.23   	-122.07		
 -0.31   	-23.80   	132.23   	-452.69		117.74   	-137.33		
  7.32   	-16.48   	130.42   	-478.13		117.19   	-122.07		
 15.87   	 -1.83   	128.50   	-503.56		116.70   	-127.16		
 19.84   	 17.09   	126.49   	-523.90		116.19   	-152.59		
 15.56   	 33.87   	124.39   	-549.34		115.58   	-167.85		
  6.10   	 42.72   	122.20   	-569.68		114.91   	-183.11		
 -1.83   	 39.98   	119.92   	-595.11		114.18   	-198.37		
 -3.66   	 27.77   	117.54   	-610.37		113.39   	-223.80		
  0.61   	 12.82   	115.10   	-640.89		112.49   	-239.06		
  7.63   	  3.36   	112.53   	-661.24		111.54   	-249.24		
 12.21   	  3.97   	109.89   	-696.84		110.54   	-249.24		
 11.90   	 14.65   	107.10   	-727.36		109.54   	-254.32		
  7.93   	 29.30   	104.19   	-762.97		108.52   	-269.58		
  4.27   	 38.76   	101.14   	-798.57		107.45   	-295.01		
  2.44   	 36.32   	 97.94   	-829.09		106.27   	-315.36		
  2.75   	 21.36   	 94.63   	-864.70		105.00   	-325.53		
  3.66   	  0.00   	 91.17   	-890.13		103.70   	-325.53		
  3.66   	-20.14   	 87.61   	-920.65		102.40   	-320.45		
  1.53   	-30.82   	 83.93   	-935.91		101.12   	-320.45		
 -1.53   	-26.55   	 80.18   	-946.08		 99.84   	-345.88		
 -3.66   	 -9.77   	 76.40   	-951.17		 98.45   	-356.05		
 -3.97   	 10.99   	 72.59   	-951.17		 97.03   	-330.62		
 -1.83   	 23.80   	 68.79   	-940.99		 95.71   	-300.10		
  1.83   	 22.58   	 65.03   	-925.73		 94.51   	-244.15		
  5.19   	 10.38   	 61.32   	-905.39		 93.53   	-208.54		
  6.10   	 -1.83   	 57.70   	-874.87		 92.70   	-213.63		
  3.36   	 -7.32   	 54.20   	-839.26		 91.84   	-233.98		
 -1.53   	 -7.32   	 50.84   	-808.75		 90.91   	-254.32		
 -5.19   	 -7.32   	 47.61   	-768.05		 89.89   	-254.32		
 -5.19   	 -8.54   	 44.54   	-732.45		 88.87   	-254.32		
 -3.97   	 -7.93   	 41.61   	-696.84		 87.85   	-233.98		
 -3.36   	 -1.83   	 38.82   	-656.15		 86.92   	-213.63		
 -6.10   	  6.41   	 36.20   	-625.63		 86.06   	-218.72		
-11.29   	 10.38   	 33.69   	-584.94		 85.19   	-203.46		
-15.26   	  6.10   	 31.35   	-554.42		 84.37   	-193.29		
-14.65   	 -3.36   	 29.14   	-518.82		 83.60   	-172.94		
 -8.54   	-13.12   	 27.06   	-483.21		 82.91   	-178.03		
  0.31   	-21.06   	 25.13   	-452.69		 82.20   	-162.77		
  7.93   	-27.16   	 23.32   	-422.18		 81.55   	-142.42		
  9.46   	-30.52   	 21.63   	-386.57		 80.98   	-132.25		
  4.88   	-27.47   	 20.08   	-361.14		 80.45   	-137.33		
 -3.05   	-18.31   	 18.64   	-325.53		 79.90   	-152.59		
 -7.93   	 -8.54   	 17.33   	-295.01		 79.29   	-147.51		
 -6.41   	 -4.58   	 16.15   	-264.50		 78.70   	-132.25		
  0.00   	 -7.93   	 15.10   	-233.98		 78.17   	-111.90		
  5.19   	-14.34   	 14.16   	-208.54		 77.72   	-101.73		
  5.19   	-17.70   	 13.33   	-178.03		 77.31   	-106.82		
 -0.92   	-17.40   	 12.61   	-157.68		 76.89   	-106.82		
 -8.24   	-14.65   	 11.98   	-132.25		 76.46   	-101.73		
-11.90   	 -8.85   	 11.45   	-116.99		 76.05   	 -96.64		
 -9.77   	  2.44   	 10.99   	 -96.64		 75.67   	-101.73		
 -3.66   	 18.62   	 10.60   	 -86.47		 75.26   	-101.73		
  2.75   	 30.21   	 10.25   	 -71.21		 74.85   	 -96.64		
  6.71   	 26.55   	  9.97   	 -66.12		 74.47   	 -91.56		
  6.41   	  6.71   	  9.70   	 -61.04		 74.10   	 -91.56		
  2.44   	-17.09   	  9.46   	 -55.95		 73.73   	 -96.64		
 -2.44   	-28.99   	  9.24   	 -50.86		 73.35   	 -96.64		
 -5.80   	-24.41   	  9.03   	 -50.86		 72.96   	 -86.47		
 -3.97   	-10.99   	  8.83   	 -50.86		 72.61   	 -61.04		
  3.36   	  0.00   	  8.63   	 -50.86		 72.37   	 -55.95		
 12.82   	  2.44   	  8.42   	 -45.78		 72.15   	 -61.04		
 18.62   	  1.53   	  8.24   	 -40.69		 71.90   	 -66.12		
 16.17   	  5.19   	  8.08   	 -35.61		 71.64   	 -71.21		
  5.49   	 13.43   	  7.93   	 -25.43		 71.35   	 -66.12		
 -8.54   	 20.14   	  7.83   	 -25.43		 71.09   	 -50.86		
-18.62   	 16.17   	  7.73   	 -20.35		 70.88   	 -35.61		
-21.06   	 -0.61   	  7.65   	 -10.17		 70.74   	 -40.69		
-16.48   	-22.89   	  7.61   	 -10.17		 70.58   	 -50.86		
 -9.16   	-37.54   	  7.57(D)	   0.00		 70.38   	 -55.95		
 -1.83   	-34.48   	  7.57   	   5.09		 70.15   	 -45.78		
  2.75   	-14.65   	  7.59   	  10.17		 69.97   	 -45.78		
  3.97   	 10.07   	  7.63   	  10.17		 69.79   	 -45.78		
  3.05   	 27.16   	  7.67   	  15.26		 69.60   	 -50.86		
  1.83   	 30.52   	  7.73   	  20.35		 69.40   	 -45.78		
  1.53   	 22.28   	  7.81   	  15.26		 69.22   	 -40.69		
  2.14   	  9.46   	  7.87   	  25.43		 69.05   	 -50.86		
  2.44   	 -5.49   	  7.98   	  20.35		 68.85   	 -55.95		
  0.92   	-19.53   	  8.06   	  20.35		 68.63   	 -66.12		
 -1.22   	-27.47   	  8.14   	  25.43		 68.36   	 -76.30		
 -1.53   	-21.97   	  8.24   	  20.35		 68.06   	 -71.21		
 -0.61   	 -1.83   	  8.32   	  25.43		 67.77   	 -55.95		
 -0.31   	 25.02   	  8.42   	  20.35		 67.55   	 -50.86		
 -2.75   	 43.64   	  8.50   	  25.43		 67.34   	 -50.86		
 -7.63   	 43.03   	  8.61   	  20.35		 67.14   	 -50.86		
-11.60   	 23.80   	  8.69   	  20.35		 66.94   	 -50.86		
-12.21   	 -3.36   	  8.77   	  20.35		 66.73   	 -40.69		
 -9.16   	-26.55   	  8.85   	  15.26		 66.57   	 -40.69		
 -4.88   	-38.76   	  8.91   	  15.26		 66.41   	 -40.69		
 -2.75   	-38.45   	  8.97   	  15.26		 66.25   	 -45.78		
 -3.05   	-27.16   	  9.03   	  15.26		 66.06   	 -55.95		
 -3.05   	 -7.63   	  9.09   	  10.17		 65.84   	 -55.95		
 -0.61   	 15.87   	  9.14   	  10.17		 65.62   	 -45.78		
  4.58   	 35.71   	  9.18   	  10.17		 65.43   	 -35.61		
 10.68   	 43.64   	  9.22   	   5.09		 65.29   	 -40.69		
 12.82   	 35.10   	  9.24   	   5.09		 65.13   	 -45.78		
  8.24   	 14.65   	  9.26   	   5.09		 64.94   	 -40.69		
 -1.22   	 -7.02   	  9.28   	   5.09		 64.78   	 -30.52		
 -9.77   	-19.23   	  9.30   	  10.17		 64.66   	 -35.61		
-11.90   	-17.09   	  9.34   	   5.09		 64.52   	 -40.69		
 -6.41   	 -3.36   	  9.36   	  10.17		 64.35   	 -55.95		
  3.05   	 14.04   	  9.40   	   5.09		 64.13   	 -61.04		
 10.38   	 28.69   	  9.42   	  15.26		 63.89   	 -55.95		
 11.60   	 40.28   	  9.48   	  10.17		 63.66   	 -40.69		
  6.71   	 51.27   	  9.52   	  10.17		 63.50   	 -45.78		
  0.61   	 64.70   	  9.56   	   5.09		 63.32   	 -50.86		
 -2.44   	 82.09   	  9.58   	  10.17		 63.11   	 -66.12		
  0.61   	 99.18   	  9.62   	  10.17		 62.85   	 -96.64		
  7.63   	110.47   	  9.66   	   5.09		 62.46   	 -81.38		
 14.65   	113.53   	  9.68   	   0.00		 62.14   	  40.69		
 18.31   	112.00   	  9.68   	   5.09		 62.30   	  55.95		
 18.31   	112.30   	  9.70   	  -5.09		 62.52   	 -81.38		
 14.65   	119.93   	  9.68   	   0.00		 62.20   	-132.25		
  8.54   	133.67   	  9.68   	  -5.09		 61.67   	 -71.21		
  2.44   	147.09   	  9.66   	  -5.09		 61.38   	 -30.52		
  1.53   	151.06   	  9.64   	 -10.17		 61.26   	  -5.09		
  9.77   	141.91   	  9.60   	 -10.17		 61.24   	 -20.35		
 26.86   	125.12   	  9.56   	 -15.26		 61.16   	 -45.78		
 46.39   	115.05   	  9.50   	 -10.17		 60.98   	 -55.95		
 58.29   	126.95   	  9.46   	 -15.26		 60.75   	 -45.78		
 57.07   	162.96   	  9.40   	 -10.17		 60.57   	 -30.52		
 46.69   	209.96   	  9.36   	 -15.26		 60.45   	 -20.35		
 35.10   	243.84   	  9.30   	 -15.26		 60.37   	 -15.26		
 30.52   	247.19   	  9.24   	 -10.17		 60.30   	 -30.52		
 32.65   	222.78   	  9.20   	 -10.17		 60.18   	 -55.95		
 36.01   	186.16   	  9.16   	 -10.17		 59.96   	 -50.86		
 34.48   	150.45   	  9.11   	  -5.09		 59.76   	 -35.61		
 25.63   	116.88   	  9.09   	 -10.17		 59.61   	 -20.35		
 13.43   	 79.35   	  9.05   	   0.00		 59.53   	 -35.61		
  4.27   	 37.23   	  9.05   	   0.00		 59.39   	 -55.95		
  1.22   	 -0.92   	  9.05   	   0.00		 59.17   	 -55.95		
  2.44   	-21.67   	  9.05   	   5.09		 58.94   	 -45.78		
  3.05   	-21.67   	  9.07   	  10.17		 58.76   	 -40.69		
 -0.61   	-10.07   	  9.11   	  15.26		 58.60   	 -45.78		
 -5.49   	 -3.05   	  9.18   	  15.26		 58.41   	 -40.69		
 -7.32   	-11.90   	  9.24   	  20.35		 58.25   	 -25.43		
 -5.19   	-34.79   	  9.32   	  30.52		 58.15   	 -25.43		
 -1.53   	-59.51   	  9.44   	  25.43		 58.05   	 -35.61		
 -1.22   	-72.33   	  9.54   	  35.61		 57.90   	 -45.78		
 -7.32   	-68.36   	  9.68   	  40.69		 57.72   	 -50.86		
-16.48   	-52.80   	  9.85   	  35.61		 57.52   	 -25.43		
