  I     	  II     	  AOp     	  AOp'		
 -8.85   	-42.42   	 73.69   	 -40.69		
-10.38   	-44.25   	 73.53   	 -35.61		
-12.21   	-45.17   	 73.39   	 -35.61		
-13.73   	-45.78   	 73.24   	 -35.61		
-14.65   	-46.39   	 73.10   	 -35.61		
-14.95   	-47.30   	 72.96   	 -45.78		
-14.34   	-48.52   	 72.78   	 -45.78		
-13.73   	-49.44   	 72.59   	 -45.78		
-13.73   	-49.74   	 72.41   	 -55.95		
-14.34   	-49.13   	 72.19   	 -61.04		
-14.34   	-48.22   	 71.94   	 -61.04		
-13.73   	-46.39   	 71.70   	 -66.12		
-12.51   	-44.56   	 71.43   	 -71.21		
-12.21   	-43.33   	 71.15   	 -71.21		
-12.82   	-42.72   	 70.86   	 -71.21		
-13.43   	-43.03   	 70.58   	 -71.21		
-13.73   	-43.95   	 70.29   	 -66.12		
-13.12   	-44.56   	 70.03   	 -61.04		
-12.51   	-44.56   	 69.79   	 -50.86		
-12.21   	-43.95   	 69.58   	 -50.86		
-12.51   	-42.72   	 69.38   	 -40.69		
-13.12   	-40.89   	 69.22   	 -30.52		
-12.82   	-39.37   	 69.09   	 -30.52		
-11.60   	-37.84   	 68.97   	 -20.35		
-10.07   	-37.23   	 68.89   	 -20.35		
 -9.16   	-36.93   	 68.81   	 -20.35		
 -9.46   	-37.54   	 68.73   	 -25.43		
-10.99   	-38.15   	 68.63   	 -25.43		
-12.51   	-38.76   	 68.52   	 -30.52		
-13.43   	-38.76   	 68.40   	 -35.61		
-12.82   	-38.15   	 68.26   	 -40.69		
-10.99   	-36.93   	 68.10   	 -40.69		
 -8.85   	-35.10   	 67.93   	 -45.78		
 -7.93   	-32.65   	 67.75   	 -50.86		
 -8.24   	-30.52   	 67.55   	 -45.78		
 -9.46   	-29.60   	 67.36   	 -50.86		
-11.29   	-30.21   	 67.16   	 -45.78		
-12.51   	-31.43   	 66.98   	 -50.86		
-13.12   	-31.74   	 66.77   	 -45.78		
-12.82   	-30.52   	 66.59   	 -50.86		
-12.21   	-28.08   	 66.39   	 -50.86		
-11.29   	-25.02   	 66.18   	 -50.86		
-10.38   	-21.67   	 65.98   	 -55.95		
 -9.77   	-18.01   	 65.76   	 -55.95		
 -8.85   	-13.73   	 65.53   	 -61.04		
 -7.93   	 -8.54   	 65.29   	 -55.95		
 -6.10   	 -2.75   	 65.07   	 -55.95		
 -3.66   	  3.97   	 64.84   	 -45.78		
 -0.92   	 12.21   	 64.66   	 -40.69		
  1.83   	 21.06   	 64.50   	 -35.61		
  3.05   	 29.60   	 64.35   	 -20.35		
  2.14   	 35.71   	 64.27   	 -10.17		
 -1.22   	 37.54   	 64.23   	  -5.09		
 -6.10   	 34.48   	 64.21   	   5.09		
 -9.16   	 28.69   	 64.23   	   5.09		
 -7.63   	 23.80   	 64.25   	  10.17		
 -1.53   	 22.58   	 64.29   	   5.09		
  6.41   	 25.63   	 64.31   	   5.09		
 11.29   	 31.13   	 64.33   	   5.09		
 11.90   	 37.54   	 64.35   	  -5.09		
  9.46   	 43.64   	 64.33   	 -10.17		
  6.71   	 48.52   	 64.29   	 -15.26		
  5.19   	 50.66   	 64.23   	 -20.35		
  4.58   	 47.00   	 64.15   	 -25.43		
  3.05   	 35.71   	 64.05   	 -25.43		
  0.61   	 17.70   	 63.95   	 -35.61		
 -1.53   	 -2.44   	 63.80   	 -40.69		
 -1.83   	-19.23   	 63.64   	 -45.78		
 -0.92   	-30.52   	 63.46   	 -61.04		
 -2.14   	-38.76   	 63.21   	 -71.21		
 -7.93   	-47.91   	 62.93   	 -76.30		
-17.70   	-59.51   	 62.62   	 -81.38		
-26.55   	-70.19   	 62.30   	 -81.38		
-31.13   	-75.99   	 61.97   	 -81.38		
-29.91   	-74.46   	 61.65   	 -76.30		
-25.63   	-68.36   	 61.34   	 -61.04		
-22.58   	-61.65   	 61.10   	 -50.86		
-21.97   	-57.37   	 60.89   	 -45.78		
-22.58   	-56.46   	 60.71   	 -30.52		
-23.19   	-57.37   	 60.59   	 -25.43		
-24.11   	-59.20   	 60.49   	 -25.43		
-25.02   	-60.42   	 60.39   	 -30.52		
-26.55   	-59.81   	 60.26   	 -30.52		
-27.16   	-58.29   	 60.14   	 -40.69		
-25.63   	-57.07   	 59.98   	 -40.69		
-20.75   	-58.90   	 59.82   	 -50.86		
-11.60   	-66.22   	 59.61   	 -50.86		
  4.27   	-81.48   	 59.41   	 -55.95		
 32.04   	-104.06   	 59.19   	 -55.95		
 79.35   	-129.70   	 58.96   	 -50.86		
152.89   	-152.28   	 58.76   	 -50.86		
252.08   	-164.49   	 58.56   	 -45.78		
368.04   	-161.44   	 58.37   	 -45.78		
485.23   	-140.69   	 58.19   	 -45.78		
583.80   	-97.35   	 58.01   	 -50.86		
639.04   	-22.28   	 57.80   	 -50.86		
618.90   	 93.69   	 57.60   	 -50.86		
497.44   	256.96   	 57.40   	 -61.04		
270.69   	467.22   	 57.15   	 -71.21		
-32.35   	712.89   	 56.87   	 -71.21		
-348.21   	970.76   	 56.58   	-162.77		
-759.28   	1362.00   	 55.93   	 -86.47		
-784.91   	1394.96(R)	 55.58   	 -76.30		
-690.92   	1275.63   	 55.28   	 -71.21		
-511.17   	1020.81   	 54.99   	 -66.12		
-299.99   	690.61   	 54.73   	 -55.95		
-119.32   	365.91   	 54.51   	 -45.78		
-13.73   	115.66   	 54.32   	 -45.78		
 10.07   	-32.65   	 54.14   	 -45.78		
-16.17   	-95.21   	 53.96   	 -45.78		
-48.83   	-109.56   	 53.77   	 -50.86		
-61.34   	-111.39   	 53.57   	 -61.04		
-53.10   	-118.71   	 53.33   	 -55.95		
-38.45   	-131.84   	 53.10   	 -55.95		
-28.99   	-143.13   	 52.88   	 -45.78		
-25.94   	-145.57   	 52.70   	 -25.43		
-26.25   	-140.08   	 52.59   	   5.09		
-26.86   	-132.75   	 52.61   	  45.78		
-27.16   	-129.39   	 52.80   	 101.73		
-26.55   	-132.45   	 53.20   	 167.85		
-25.33   	-140.99   	 53.88   	 239.06		
-23.80   	-149.84   	 54.83   	 325.53		
-22.89   	-154.72   	 56.13   	 406.92		
-22.89   	-154.42   	 57.76   	 493.39		
-23.50   	-151.98   	 59.74   	 574.77		
-24.11   	-150.76   	 62.03   	 645.98		
-23.80   	-153.50   	 64.62   	 707.02		
-22.89   	-158.39   	 67.45   	 757.88		
-21.67   	-161.13   	 70.48   	 793.49		
-20.14   	-159.00   	 73.65   	 834.18		
-18.62   	-152.28   	 76.99   	 859.61		
-17.70   	-145.87   	 80.43   	 890.13		
-17.40   	-143.74   	 83.99   	 910.47		
-18.01   	-146.18   	 87.63   	 930.82		
-19.23   	-149.54   	 91.35   	 951.17		
-20.75   	-150.45   	 95.16   	 966.43		
-21.97   	-148.62   	 99.02   	 971.51		
-21.97   	-147.40   	102.91   	 971.51		
-21.06   	-149.23   	106.80   	 971.51		
-18.92   	-152.59   	110.68   	 966.43		
-16.48   	-153.81   	114.55   	 956.25		
-14.65   	-151.37   	118.37   	 956.25		
-14.65   	-146.79   	122.20   	 940.99		
-16.17   	-143.43   	125.96   	 930.82		
-18.62   	-143.43   	129.68   	 905.39		
-20.75   	-146.48   	133.31   	 874.87		
-20.45   	-149.54   	136.81   	 839.26		
-18.01   	-150.15   	140.16   	 793.49		
-14.95   	-148.93   	143.34   	 742.62		
-13.12   	-148.01   	146.31   	 696.84		
-13.43   	-148.93   	149.09   	 640.89		
-14.34   	-151.06   	151.66   	 600.20		
-14.34   	-152.59   	154.06   	 559.51		
-13.73   	-151.98   	156.30   	 518.82		
-13.73   	-149.84   	158.37   	 488.30		
-15.26   	-147.71   	160.32   	 467.95		
-18.01   	-146.18   	162.20   	 437.43		
-19.84   	-145.57   	163.95   	 417.09		
-20.14   	-146.48   	165.61   	 391.66		
-19.53   	-148.62   	167.18   	 376.40		
-19.84   	-151.98   	168.69   	 350.97		
-21.36   	-153.81   	170.09   	 325.53		
-23.50   	-152.28   	171.39   	 310.27		
-25.33   	-147.40   	172.63   	 284.84		
-26.86   	-140.99   	173.77   	 264.50		
-28.69   	-136.72   	174.83   	 239.06		
-31.13   	-136.11   	175.79   	 218.72		
-32.65   	-137.02   	176.66   	 198.37		
-32.04   	-137.94   	177.46   	 172.94		
-29.91   	-137.33   	178.15   	 142.42		
-28.38   	-136.11   	178.72   	 111.90		
-28.69   	-134.28   	179.17   	  86.47		
-30.82   	-131.53   	179.51   	  55.95		
-32.96   	-126.95   	179.73   	  20.35		
-33.87   	-121.15   	179.82   	  -5.09		
-32.04   	-115.05   	179.80   	 -35.61		
-28.38   	-110.17   	179.65   	 -61.04		
-23.19   	-106.81   	179.41   	 -91.56		
-17.40   	-104.98   	179.04   	-116.99		
-11.90   	-103.76   	178.58   	-142.42		
 -7.32   	-101.01   	178.01   	-172.94		
 -4.27   	-94.60   	177.31   	-198.37		
 -2.14   	-85.45   	176.52   	-228.89		
 -1.22   	-76.29   	175.60   	-264.50		
 -0.61   	-70.80   	174.55   	-295.01		
 -0.61   	-70.80   	173.37   	-330.62		
 -0.61   	-73.55   	172.04   	-361.14		
 -0.61   	-74.46   	170.60   	-391.66		
 -0.61   	-71.41   	169.03   	-427.26		
 -0.61   	-65.92   	167.32   	-462.87		
 -0.92   	-60.42   	165.47   	-498.47		
 -1.53   	-56.76   	163.48   	-523.90		
 -2.44   	-54.93   	161.38   	-564.60		
 -3.36   	-54.02   	159.12   	-595.11		
 -4.88   	-54.63   	156.74   	-625.63		
 -6.10   	-55.85   	154.24   	-651.07		
 -6.71   	-55.54   	151.64   	-686.67		
 -6.41   	-51.88   	148.89   	-707.02		
 -4.88   	-45.47   	146.06   	-717.19		
 -3.36   	-38.45   	143.19   	-727.36		
 -2.44   	-35.40   	140.28   	-722.28		
 -2.75   	-38.15   	137.40   	-701.93		
 -3.97   	-46.69   	134.59   	-671.41		
 -5.49   	-55.85   	131.90   	-625.63		
 -7.02   	-60.42   	129.40   	-584.94		
 -8.24   	-58.59   	127.06   	-534.08		
 -7.93   	-52.19   	124.92   	-483.21		
 -6.71   	-47.00   	122.99   	-447.61		
 -4.58   	-46.69   	121.20   	-412.00		
 -2.75   	-50.05   	119.55   	-391.66		
 -2.44   	-52.49   	117.99   	-371.31		
 -2.75   	-50.66   	116.50   	-356.05		
 -4.27   	-46.08   	115.08   	-350.97		
 -6.10   	-43.03   	113.67   	-340.79		
 -7.02   	-44.56   	112.31   	-335.71		
 -6.41   	-48.52   	110.97   	-325.53		
 -4.27   	-52.49   	109.66   	-320.45		
 -2.44   	-55.24   	108.38   	-305.19		
 -2.44   	-57.98   	107.16   	-295.01		
 -5.19   	-61.95   	105.98   	-284.84		
 -8.24   	-66.22   	104.84   	-274.67		
 -9.16   	-68.05   	103.74   	-264.50		
 -7.02   	-67.14   	102.69   	-264.50		
 -4.27   	-65.61   	101.63   	-254.32		
 -3.36   	-66.83   	100.61   	-249.24		
 -5.49   	-71.11   	 99.61   	-244.15		
 -8.85   	-76.60   	 98.64   	-239.06		
-10.68   	-79.96   	 97.68   	-233.98		
-10.38   	-79.35   	 96.74   	-223.80		
 -7.93   	-76.60   	 95.85   	-213.63		
 -5.80   	-74.46   	 94.99   	-208.54		
 -3.97   	-75.38   	 94.16   	-198.37		
 -3.66   	-78.74   	 93.37   	-188.20		
 -4.58   	-83.01   	 92.61   	-183.11		
 -5.49   	-85.75   	 91.88   	-178.03		
 -6.10   	-85.45   	 91.17   	-172.94		
 -5.19   	-82.70   	 90.48   	-162.77		
 -3.36   	-79.65   	 89.83   	-157.68		
 -3.05   	-78.43   	 89.20   	-157.68		
 -5.49   	-79.65   	 88.57   	-152.59		
 -9.16   	-81.48   	 87.95   	-147.51		
-11.90   	-83.01   	 87.36   	-142.42		
-11.29   	-83.01   	 86.80   	-137.33		
 -7.32   	-83.01   	 86.25   	-137.33		
 -2.14   	-83.62   	 85.70   	-137.33		
  1.53   	-83.92   	 85.15   	-132.25		
  2.75   	-82.40   	 84.62   	-137.33		
  1.53   	-80.26   	 84.07   	-132.25		
 -0.92   	-79.35   	 83.54   	-127.16		
 -3.36   	-80.57   	 83.03   	-132.25		
 -5.19   	-82.40   	 82.50   	-127.16		
 -6.10   	-82.09   	 81.99   	-127.16		
 -5.49   	-79.04   	 81.48   	-122.07		
 -4.27   	-75.68   	 81.00   	-122.07		
 -3.36   	-74.77   	 80.51   	-122.07		
 -2.75   	-75.99   	 80.02   	-111.90		
 -2.75   	-76.29   	 79.57   	-116.99		
 -2.75   	-73.55   	 79.10   	-116.99		
 -2.44   	-69.89   	 78.64   	-111.90		
 -2.14   	-68.66   	 78.19   	-111.90		
 -1.22   	-70.50   	 77.74   	-111.90		
 -0.92   	-73.55   	 77.29   	-111.90		
 -0.92   	-73.85   	 76.85   	-111.90		
 -1.22   	-70.19   	 76.40   	-106.82		
 -1.83   	-65.00   	 75.97   	-106.82		
 -1.53   	-61.95   	 75.54   	-101.73		
 -0.31   	-62.26   	 75.14   	-106.82		
  1.22   	-63.78   	 74.71   	 -96.64		
  2.14   	-63.48   	 74.32   	-101.73		
  1.53   	-59.20   	 73.92   	 -96.64		
  0.61   	-52.80   	 73.53   	 -96.64		
  0.61   	-46.39   	 73.14   	 -91.56		
  1.83   	-42.11   	 72.78   	 -96.64		
  3.97   	-39.06   	 72.39   	 -86.47		
  6.10   	-33.87   	 72.04   	 -91.56		
  8.54   	-24.11   	 71.68   	 -81.38		
 10.99   	-11.90   	 71.35   	 -86.47		
 14.04   	 -1.53   	 71.01   	 -81.38		
 17.09   	  4.27   	 70.68   	 -81.38		
 18.62   	  6.10   	 70.36   	 -76.30		
 17.40   	  6.71   	 70.05   	 -81.38		
 12.82   	  8.24   	 69.73   	 -76.30		
  7.32   	 11.60   	 69.42   	 -76.30		
  4.58   	 14.95   	 69.11   	 -71.21		
  6.41   	 16.78   	 68.83   	 -76.30		
 13.12   	 18.01   	 68.52   	 -71.21		
 20.14   	 19.53   	 68.24   	 -71.21		Beg---------
 24.11   	 22.89   	 67.95   	 -66.12		
 23.80   	 28.99   	 67.69   	 -66.12		
 21.67   	 36.93   	 67.43   	 -71.21		
 19.53   	 44.25   	 67.14   	 -61.04		
 18.31   	 45.47   	 66.90   	 -66.12		
 17.40   	 37.23   	 66.63   	 -66.12		
 15.87   	 20.45   	 66.37   	 -61.04		
 13.43   	 -1.22   	 66.12   	 -66.12		
 11.90   	-22.28   	 65.86   	 -61.04		
 12.51   	-39.37   	 65.62   	 -66.12		
 13.12   	-51.57   	 65.35   	 -61.04		
 11.60   	-58.90   	 65.11   	 -66.12		
  6.10   	-61.65   	 64.84   	 -66.12		
 -2.14   	-61.65   	 64.58   	 -66.12		
 -9.77   	-60.73   	 64.31   	 -66.12		
-13.12   	-60.73   	 64.05   	 -66.12		
-11.60   	-61.95   	 63.78   	 -61.04		
 -7.63   	-62.26   	 63.54   	 -66.12		
 -4.27   	-60.42   	 63.28   	 -66.12		
 -3.36   	-57.68   	 63.01   	 -61.04		
 -5.19   	-56.15   	 62.77   	 -61.04		
 -7.93   	-57.37   	 62.52   	 -61.04		
-10.38   	-60.42   	 62.28   	 -55.95		
-11.60   	-62.26   	 62.05   	 -55.95		
-11.60   	-60.42   	 61.83   	 -50.86		
-10.38   	-55.54   	 61.63   	 -55.95		
 -8.54   	-50.35   	 61.40   	 -50.86		
 -6.10   	-47.61   	 61.20   	 -50.86		
 -1.53   	-49.74   	 61.00   	 -50.86		
  6.71   	-59.81   	 60.79   	 -50.86		
 24.11   	-79.35   	 60.59   	 -55.95		
 58.59   	-107.73   	 60.37   	 -55.95		
119.02   	-138.85   	 60.14   	 -50.86		
209.05   	-163.57   	 59.94   	 -55.95		
322.57   	-171.81   	 59.71   	 -55.95		
442.20   	-158.08   	 59.49   	 -50.86		
546.88   	-119.63   	 59.29   	 -55.95		
614.32   	-52.49   	 59.06   	 -50.86		
620.73   	 50.35   	 58.86   	 -50.86		
539.25   	196.53   	 58.66   	 -45.78		
355.22   	391.85   	 58.47   	 -45.78		
 79.96   	633.85   	 58.29   	 -40.69		
-240.48   	903.93   	 58.13   	 -40.69		
-535.28   	1169.13   	 57.97   	 -76.30		
-822.75   	1491.09(R)	 57.66   	 -35.61		
-779.72   	1452.33   	 57.52   	 -30.52		
-634.16   	1257.63   	 57.40   	 -30.52		
-428.16   	942.69   	 57.27   	 -30.52		
-217.29   	581.67   	 57.15   	 -30.52		
-55.54   	260.31   	 57.03   	 -30.52		
 25.02   	 38.45   	 56.91   	 -30.52		
 30.52   	-72.94   	 56.79   	 -30.52		
 -2.14   	-104.06   	 56.66   	 -25.43		
-31.74   	-101.01   	 56.56   	 -30.52		
-37.54   	-97.35   	 56.44   	 -25.43		
-24.72   	-104.06   	 56.34   	 -30.52		
-10.07   	-115.97   	 56.22   	 -25.43		
 -4.27   	-125.43   	 56.11   	 -25.43		
 -7.02   	-130.00   	 56.01   	 -25.43		
-11.29   	-130.00   	 55.91   	 -20.35		
-11.90   	-128.48   	 55.83   	 -15.26		
 -8.85   	-126.95   	 55.77   	 -15.26		
 -4.58   	-125.43   	 55.71(D)	   0.00		
 -2.14   	-124.82   	 55.71   	  20.35		
 -2.75   	-124.51   	 55.79   	  40.69		
 -4.58   	-124.21   	 55.95   	  71.21		
 -5.19   	-123.29   	 56.24   	 111.90		
 -3.66   	-122.07   	 56.68   	 157.68		
 -0.61   	-120.24   	 57.31   	 213.63		
