  I     	  II     	  LV     	  LV'		  AO     	  AO'		
 21.97   	-33.26   	 10.58   	   0.00		 58.51   	 -25.43		
 23.50   	-21.36   	 10.58   	  -5.09		 58.41   	 -25.43		
 24.72   	-15.87   	 10.56   	   0.00		 58.31   	 -30.52		
 23.80   	-14.95   	 10.56   	  -5.09		 58.19   	 -30.52		
 19.84   	-15.56   	 10.54   	  -5.09		 58.07   	 -35.61		
 13.12   	-14.65   	 10.52   	  -5.09		 57.92   	 -30.52		
  3.97   	-14.65   	 10.50   	  -5.09		 57.80   	 -35.61		
 -5.49   	-19.23   	 10.48   	  -5.09		 57.66   	 -30.52		
-13.73   	-31.43   	 10.46   	   0.00		 57.54   	 -35.61		
-18.62   	-48.83   	 10.46   	  -5.09		 57.40   	 -35.61		
-19.84   	-66.53   	 10.44   	   5.09		 57.25   	 -30.52		
-18.31   	-79.04   	 10.46   	   5.09		 57.13   	 -35.61		
-15.26   	-83.31   	 10.48   	  15.26		 56.99   	 -30.52		
-13.12   	-80.57   	 10.54   	  15.26		 56.87   	 -35.61		
-12.82   	-74.46   	 10.60   	  20.35		 56.72   	 -30.52		
-14.34   	-69.27   	 10.68   	  30.52		 56.60   	 -25.43		
-16.48   	-66.53   	 10.80   	  30.52		 56.50   	 -30.52		
-17.70   	-66.22   	 10.93   	  35.61		 56.38   	 -25.43		
-17.40   	-66.53   	 11.07   	  35.61		 56.28   	 -25.43		
-16.48   	-66.53   	 11.21   	  40.69		 56.17   	 -20.35		
-15.87   	-66.22   	 11.37   	  40.69		 56.09   	 -20.35		
-16.17   	-65.92   	 11.54   	  40.69		 56.01   	 -20.35		
-17.09   	-65.61   	 11.70   	  40.69		 55.93   	 -15.26		
-17.70   	-64.70   	 11.86   	  40.69		 55.87   	 -15.26		
-18.31   	-61.34   	 12.02   	  35.61		 55.81   	 -10.17		
-18.62   	-56.76   	 12.17   	  40.69		 55.77   	 -10.17		
-19.84   	-52.80   	 12.33   	  40.69		 55.73   	 -10.17		
-21.36   	-48.83   	 12.49   	  50.86		 55.69   	 -10.17		
-21.97   	-36.32   	 12.70   	  55.95		 55.65   	  -5.09		
-19.23   	  2.44   	 12.92   	  61.04		 55.63   	 -10.17		
 -9.77   	 91.55   	 13.16   	  66.12		 55.58   	   0.00		
