  I     	  II     	  LV     	  LV'		  FA     	  FA'		
 36.01   	-31.43   	 92.94   	-676.50		 66.57   	 -66.12		
 36.32   	-29.30   	 90.23   	-651.07		 66.31   	 -66.12		
 36.62   	-27.47   	 87.63   	-615.46		 66.04   	 -71.21		
 36.01   	-25.33   	 85.17   	-590.03		 65.76   	 -66.12		
 35.40   	-23.50   	 82.81   	-564.60		 65.49   	 -66.12		
 34.48   	-22.28   	 80.55   	-544.25		 65.23   	 -71.21		
 33.87   	-21.06   	 78.37   	-534.08		 64.94   	 -66.12		
 33.57   	-20.14   	 76.24   	-523.90		 64.68   	 -71.21		
 33.87   	-19.23   	 74.14   	-518.82		 64.39   	 -66.12		
 33.87   	-18.31   	 72.06   	-518.82		 64.13   	 -71.21		
 33.57   	-18.01   	 69.99   	-528.99		 63.85   	 -66.12		
 32.96   	-18.31   	 67.87   	-528.99		 63.58   	 -71.21		
 32.65   	-19.23   	 65.76   	-539.16		 63.30   	 -66.12		
 32.35   	-19.84   	 63.60   	-544.25		 63.03   	 -66.12		
 32.65   	-20.75   	 61.42   	-544.25		 62.77   	 -71.21		
 32.96   	-21.67   	 59.25   	-549.34		 62.48   	 -71.21		
 32.96   	-22.28   	 57.05   	-544.25		 62.20   	 -71.21		
 32.65   	-23.19   	 54.87   	-539.16		 61.91   	 -71.21		
 31.74   	-24.72   	 52.72   	-534.08		 61.63   	 -71.21		
 30.52   	-26.55   	 50.58   	-528.99		 61.34   	 -71.21		
 29.60   	-28.08   	 48.46   	-513.73		 61.06   	 -71.21		
 29.30   	-28.69   	 46.41   	-503.56		 60.77   	 -71.21		
 29.30   	-29.60   	 44.39   	-493.39		 60.49   	 -76.30		
 29.60   	-30.82   	 42.42   	-483.21		 60.18   	 -71.21		
 29.60   	-32.96   	 40.49   	-462.87		 59.90   	 -76.30		
 29.30   	-36.01   	 38.64   	-447.61		 59.59   	 -71.21		
 28.99   	-38.45   	 36.85   	-427.26		 59.31   	 -76.30		
 28.69   	-39.98   	 35.14   	-406.92		 59.00   	 -71.21		
 28.38   	-40.28   	 33.51   	-386.57		 58.72   	 -71.21		
 28.38   	-40.28   	 31.96   	-361.14		 58.43   	 -66.12		
