  I     	  II     	  LV     	  LV'		  PW     	  PW'		
 -8.24   	  4.27   	 13.77   	  76.30		  7.43(A)	 -10.17		
-10.99   	  9.77   	 14.08   	  55.95		  7.39   	  25.43		
-13.12   	 16.17   	 14.30   	  35.61		  7.49   	  50.86		
-13.73   	 17.09   	 14.45   	  30.52		  7.69   	  61.04		
-14.04   	  9.77   	 14.57   	  15.26		  7.93   	  61.04		
-14.65   	 -1.83   	 14.63   	   5.09		  8.18   	  55.95		
-14.95   	 -9.46   	 14.65   	   0.00		  8.40   	  40.69		
-14.34   	 -8.54   	 14.65   	  -5.09		  8.57   	  15.26		
-13.12   	 -3.36   	 14.63   	 -10.17		  8.63   	   0.00		
-12.51   	 -2.44   	 14.59   	 -10.17		  8.63   	 -10.17		
-12.51   	-10.38   	 14.55   	 -20.35		  8.59   	 -25.43		
-11.29   	-21.36   	 14.47   	 -15.26		  8.48   	 -20.35		
 -7.93   	-26.25   	 14.40   	 -20.35		  8.40   	 -20.35		
 -3.97   	-21.36   	 14.32   	 -20.35		  8.32   	  -5.09		
 -1.83   	-10.68   	 14.24   	 -20.35		  8.30   	   5.09		
 -3.36   	 -3.97   	 14.16   	 -20.35		  8.32   	  15.26		
 -7.02   	 -5.19   	 14.08   	 -15.26		  8.38   	  30.52		
 -9.77   	-10.99   	 14.02   	 -10.17		  8.50   	  30.52		
 -9.77   	-12.82   	 13.98   	 -10.17		  8.63   	  35.61		
 -7.63   	 -6.10   	 13.94   	 -10.17		  8.77   	  30.52		
 -5.80   	  6.41   	 13.90   	 -15.26		  8.89   	  20.35		
 -5.80   	 18.92   	 13.84   	 -10.17		  8.97   	  10.17		
 -6.71   	 27.47   	 13.79   	 -10.17		  9.01   	   0.00		
 -9.16   	 30.52   	 13.75   	 -10.17		  9.01   	 -10.17		
-10.99   	 31.74   	 13.71   	 -15.26		  8.97   	 -15.26		
 -9.77   	 32.65   	 13.65   	 -15.26		  8.91   	 -15.26		
 -6.41   	 33.26   	 13.59   	 -10.17		  8.85   	 -20.35		
 -3.05   	 32.65   	 13.55   	 -15.26		  8.77   	 -10.17		
 -2.14   	 31.13   	 13.49   	  -5.09		  8.73   	  -5.09		
 -5.19   	 28.08   	 13.47   	  -5.09		  8.71   	   5.09		
 -9.77   	 23.80   	 13.45   	  -5.09		  8.73   	  10.17		
-11.60   	 19.53   	 13.43   	  -5.09		  8.77   	  15.26		
 -9.46   	 16.48   	 13.41   	   0.00		  8.83   	  20.35		
 -5.49   	 17.40   	 13.41   	   0.00		  8.91   	  20.35		
 -3.36   	 22.58   	 13.41   	   0.00		  8.99   	  20.35		
 -3.66   	 30.52   	 13.41   	   0.00		  9.07   	  15.26		
 -6.41   	 35.40   	 13.41   	   0.00		  9.14   	  15.26		
 -9.46   	 33.26   	 13.41   	  -5.09		  9.20   	  10.17		
-10.99   	 25.02   	 13.39   	   0.00		  9.24   	  10.17		
-11.29   	 16.17   	 13.39   	   0.00		  9.28   	  10.17		
-10.99   	 12.51   	 13.39   	   0.00		  9.32   	  10.17		
-10.07   	 15.56   	 13.39   	   0.00		  9.36   	  15.26		
 -9.16   	 20.45   	 13.39   	   5.09		  9.42   	  15.26		
 -7.93   	 19.53   	 13.41   	   0.00		  9.48   	  20.35		
 -5.80   	 10.68   	 13.41   	  -5.09		  9.56   	  20.35		
 -2.75   	 -2.14   	 13.39   	   0.00		  9.64   	  15.26		
 -0.31   	 -9.77   	 13.39   	  -5.09		  9.70   	  15.26		
  0.00   	 -6.10   	 13.37   	  -5.09		  9.77   	  15.26		
 -2.14   	  9.46   	 13.35   	  -5.09		  9.83   	  10.17		
