  I     	  II     	  PW     	  PW'		
 20.45   	 15.26   	 11.01   	  20.35		
  5.49   	  0.92   	 11.09   	  20.35		
 -7.02   	-11.60   	 11.17   	  20.35		
-16.48   	-21.67   	 11.25   	  25.43		
-22.89   	-29.60   	 11.35   	  25.43		
-27.47   	-35.71   	 11.45   	  30.52		
-31.74   	-40.59   	 11.58   	  30.52		
-36.01   	-45.17   	 11.70   	  35.61		
-40.28   	-49.74   	 11.84   	  35.61		
-43.64   	-54.02   	 11.98   	  35.61		
-45.17   	-57.07   	 12.13   	  40.69		
-44.25   	-57.68   	 12.29   	  40.69		
-42.11   	-56.46   	 12.45   	  45.78		
-39.98   	-54.63   	 12.63   	  40.69		
-39.37   	-53.71   	 12.80   	  45.78		
-41.20   	-53.71   	 12.98   	  40.69		
-43.95   	-54.02   	 13.14   	  40.69		
-45.47   	-53.71   	 13.31   	  45.78		
-45.78   	-52.49   	 13.49   	  40.69		
-44.56   	-50.66   	 13.65   	  40.69		
-43.95   	-49.13   	 13.81   	  30.52		
-44.56   	-48.52   	 13.94   	  30.52		
-46.08   	-48.52   	 14.06   	  20.35		
-47.61   	-48.22   	 14.14   	  20.35		
-48.22   	-47.91   	 14.22   	  15.26		
-47.61   	-47.00   	 14.28   	  15.26		
-46.39   	-45.47   	 14.34   	  20.35		
-44.86   	-43.64   	 14.43   	  35.61		
-43.95   	-41.81   	 14.57   	  40.69		
-43.64   	-39.98   	 14.73   	  55.95		
-44.25   	-38.76   	 14.95   	  66.12		
-44.86   	-38.15   	 15.22   	  71.21		
-44.56   	-37.54   	 15.50   	  76.30		
-43.03   	-36.62   	 15.81   	  76.30		
-40.89   	-35.10   	 16.11   	  71.21		
-38.76   	-34.18   	 16.40   	  66.12		
-38.15   	-34.48   	 16.66   	  55.95		
-39.06   	-35.71   	 16.89   	  40.69		
-40.89   	-37.23   	 17.05   	  40.69		
-41.81   	-37.54   	 17.21   	  30.52		
-40.89   	-36.62   	 17.33   	  25.43		
-38.45   	-34.79   	 17.44   	  20.35		
-35.10   	-32.65   	 17.52   	  20.35		
-32.65   	-31.13   	 17.60   	  20.35		
-31.74   	-30.21   	 17.68   	  20.35		
-31.74   	-30.21   	 17.76   	  15.26		
-31.74   	-30.21   	 17.82   	  15.26		
-31.13   	-30.21   	 17.88   	  15.26		
-29.91   	-30.21   	 17.94   	  10.17		
-28.99   	-30.82   	 17.99   	  10.17		
-28.38   	-32.04   	 18.03   	   5.09		
-27.47   	-33.26   	 18.05   	   5.09		
-25.33   	-33.87   	 18.07   	   0.00		
-23.19   	-33.87   	 18.07   	  -5.09		
-22.28   	-33.26   	 18.05   	  -5.09		
-23.50   	-33.57   	 18.03   	 -10.17		
-25.94   	-34.48   	 17.99   	 -20.35		
-28.69   	-36.32   	 17.90   	 -20.35		
-30.82   	-38.15   	 17.82   	 -30.52		
-31.74   	-39.67   	 17.70   	 -30.52		
-31.74   	-40.59   	 17.58   	 -35.61		
-31.13   	-40.59   	 17.44   	 -45.78		
-29.91   	-40.28   	 17.25   	 -45.78		
-28.38   	-39.06   	 17.07   	 -45.78		
-27.47   	-38.15   	 16.89   	 -55.95		
-27.77   	-37.84   	 16.66   	 -50.86		
-28.99   	-37.84   	 16.46   	 -55.95		
-30.21   	-37.84   	 16.24   	 -55.95		
-30.52   	-38.15   	 16.01   	 -61.04		
-29.91   	-38.15   	 15.77   	 -55.95		
-29.30   	-38.45   	 15.54   	 -61.04		
-29.30   	-38.45   	 15.30   	 -61.04		
-29.60   	-38.45   	 15.06   	 -61.04		
-30.21   	-38.15   	 14.81   	 -55.95		
-30.21   	-37.84   	 14.59   	 -61.04		
-29.60   	-38.15   	 14.34   	 -61.04		
-29.30   	-39.06   	 14.10   	 -55.95		
-29.30   	-40.89   	 13.88   	 -55.95		
-29.60   	-42.72   	 13.65   	 -55.95		
-30.21   	-43.64   	 13.43   	 -55.95		
-30.21   	-43.03   	 13.20   	 -50.86		
-30.21   	-41.50   	 13.00   	 -50.86		
-30.21   	-40.59   	 12.80   	 -45.78		
-30.21   	-40.28   	 12.61   	 -50.86		
-30.21   	-40.89   	 12.41   	 -40.69		
-28.99   	-41.20   	 12.25   	 -45.78		
-27.47   	-40.89   	 12.07   	 -45.78		
-27.16   	-40.89   	 11.88   	 -35.61		
-28.08   	-41.81   	 11.74   	 -40.69		
-30.52   	-43.33   	 11.58   	 -35.61		
-32.35   	-44.86   	 11.43   	 -35.61		
-33.57   	-45.47   	 11.29   	 -35.61		
-33.87   	-45.47   	 11.15   	 -30.52		
-34.18   	-45.17   	 11.03   	 -30.52		
-34.48   	-44.86   	 10.91   	 -30.52		
-34.79   	-44.25   	 10.78   	 -25.43		
-34.18   	-43.33   	 10.68   	 -25.43		
-32.65   	-41.20   	 10.58   	 -25.43		
-31.13   	-38.45   	 10.48   	 -25.43		
-29.60   	-35.10   	 10.38   	 -20.35		
-28.08   	-30.52   	 10.29   	 -20.35		
-25.02   	-24.41   	 10.21   	 -20.35		
-20.14   	-17.40   	 10.13   	 -15.26		
-14.04   	-11.60   	 10.07   	 -15.26		
 -8.54   	 -8.85   	 10.01   	 -15.26		
 -5.80   	 -9.16   	  9.95   	 -10.17		
 -6.10   	-10.99   	  9.91   	 -10.17		
 -6.41   	-10.99   	  9.87   	 -10.17		
 -1.83   	 -5.49   	  9.83   	  -5.09		
 10.07   	  7.63   	  9.81   	 -10.17		
 27.47   	 27.47   	  9.77   	  -5.09		
 43.64   	 49.74   	  9.75   	  -5.09		
 51.88   	 68.05   	  9.73   	   0.00		
 50.35   	 76.60   	  9.73   	  -5.09		
 42.42   	 73.55   	  9.70   	  -5.09		
 34.79   	 63.17   	  9.68   	   0.00		
 31.74   	 51.57   	  9.68   	  -5.09		
 31.13   	 42.72   	  9.66   	  -5.09		
 28.69   	 35.71   	  9.64   	  -5.09		
 20.45   	 26.25   	  9.62   	 -10.17		
  6.10   	 11.29   	  9.58   	 -10.17		
-12.21   	 -7.93   	  9.54   	  -5.09		
-30.21   	-27.16   	  9.52   	 -10.17		
-43.95   	-40.89   	  9.48   	 -10.17		
-51.27   	-47.00   	  9.44   	  -5.09		
-51.88   	-47.30   	  9.42   	  -5.09		
-49.13   	-45.78   	  9.40   	  -5.09		
-46.69   	-45.78   	  9.38   	   0.00		
-47.30   	-47.91   	  9.38   	   0.00		
-50.35   	-50.66   	  9.38   	   5.09		
-53.41   	-51.88   	  9.40   	   0.00		
-54.32   	-50.96   	  9.40   	   5.09		
-52.80   	-48.52   	  9.42   	   5.09		
-49.74   	-46.08   	  9.44   	   0.00		
-47.61   	-44.56   	  9.44   	   5.09		
-47.00   	-43.95   	  9.46   	   5.09		
-47.61   	-44.56   	  9.48   	   0.00		
-49.13   	-47.00   	  9.48   	   5.09		
-48.83   	-52.80   	  9.50   	   0.00		
-38.45   	-63.48   	  9.50   	   5.09		
 -8.24   	-77.21   	  9.52   	   0.00		
 47.30   	-84.84   	  9.52   	   5.09		
122.07   	-70.80   	  9.54   	   5.09		
201.72   	-18.01   	  9.56   	  10.17		
274.05   	 87.89   	  9.60   	  10.17		
338.44   	255.13   	  9.64   	  10.17		
400.70   	481.87   	  9.68   	  15.26		
450.74   	739.14   	  9.75   	  20.35		
455.02(R)	954.90   	  9.83   	  20.35		
378.42   	1040.95   	  9.91   	  20.35		
217.90   	947.88   	  9.99   	  25.43		
 21.67   	703.43   	 10.09   	  25.43		
-134.28   	410.46   	 10.19   	  20.35		
-196.53   	178.22   	 10.27   	  25.43		
-170.29   	 50.05   	 10.38   	  25.43		
-105.59   	 -5.80   	 10.48   	  20.35		
-55.24   	-39.06   	 10.56   	  15.26		
-41.81   	-67.44   	 10.62   	  20.35		
-53.71   	-76.60   	 10.70   	  15.26		
-66.83   	-54.93   	 10.76   	  15.26		
-67.75   	-19.84   	 10.82   	  10.17		
-57.68   	 -1.53   	 10.86   	  15.26		
-46.39   	-14.34   	 10.93   	  15.26		
-39.67   	-43.64   	 10.99   	  15.26		
-38.45   	-65.61   	 11.05   	  15.26		
-40.28   	-69.89   	 11.11   	  15.26		
-41.81   	-63.17   	 11.17   	  25.43		
-40.89   	-56.46   	 11.27   	  20.35		
-38.15   	-54.63   	 11.35   	  20.35		
-34.48   	-55.54   	 11.43   	  25.43		
-31.43   	-56.46   	 11.54   	  25.43		
-29.60   	-56.46   	 11.64   	  25.43		
-28.38   	-54.93   	 11.74   	  25.43		
-27.47   	-53.10   	 11.84   	  20.35		
-26.86   	-52.19   	 11.92   	  25.43		
-26.55   	-52.80   	 12.02   	  30.52		
-26.86   	-54.02   	 12.15   	  30.52		
-26.55   	-54.32   	 12.27   	  35.61		
-25.33   	-52.80   	 12.41   	  35.61		
-22.89   	-49.44   	 12.55   	  40.69		
-20.14   	-46.08   	 12.72   	  30.52		
-17.40   	-43.95   	 12.84   	  15.26		
-15.26   	-42.72   	 12.90(A)	   0.00		
-13.73   	-42.11   	 12.90   	 -30.52		
-13.43   	-41.81   	 12.78   	 -61.04		
-13.73   	-41.81   	 12.53   	 -91.56		
-14.04   	-41.50   	 12.17   	-111.90		
-12.51   	-39.98   	 11.72   	-122.07		
 -9.16   	-36.62   	 11.23   	-127.16		
 -3.97   	-31.74   	 10.72   	-116.99		
  1.83   	-26.25   	 10.25   	-101.73		
  6.41   	-21.97   	  9.85   	 -81.38		
  9.16   	-20.14   	  9.52   	 -61.04		
 11.60   	-19.53   	  9.28   	 -40.69		
 14.65   	-19.23   	  9.11   	 -35.61		
 19.23   	-17.40   	  8.97   	 -30.52		
 24.72   	-14.04   	  8.85   	 -30.52		
 29.91   	-10.07   	  8.73   	 -35.61		
 34.18   	 -6.41   	  8.59   	 -40.69		
 37.84   	 -3.05   	  8.42   	 -45.78		
 42.11   	  0.61   	  8.24   	 -45.78		
 47.91   	  5.49   	  8.06   	 -40.69		
 56.15   	 10.99   	  7.89   	 -35.61		
 67.14   	 17.70   	  7.75   	 -30.52		
 79.65   	 24.72   	  7.63   	 -25.43		
 92.47   	 32.04   	  7.53   	 -15.26		
104.06   	 38.76   	  7.47   	 -15.26		
114.14   	 45.17   	  7.41   	 -15.26		
123.29   	 51.57   	  7.34   	 -20.35		
134.28   	 58.90   	  7.26   	 -15.26		
147.40   	 67.14   	  7.20   	 -25.43		
161.74   	 76.29   	  7.10   	 -20.35		
174.26   	 85.45   	  7.02   	 -25.43		
183.72   	 93.69   	  6.92   	 -25.43		
189.51   	101.62   	  6.82   	 -20.35		
193.48   	109.25   	  6.73   	 -20.35		
197.14   	117.19   	  6.65   	 -15.26		
202.03   	125.73   	  6.59   	 -15.26		
207.21   	134.58   	  6.53   	 -10.17		
211.18   	143.13   	  6.49   	 -10.17		
211.18   	149.84   	  6.45   	 -10.17		
205.69   	153.81   	  6.41   	  -5.09		
