  I     	  II     	  LV     	  LV'		  FA     	  FA'		
  3.97   	 -3.05   	 55.69   	-839.26		 87.53   	-203.46		
  5.80   	 -8.54   	 52.33   	-808.75		 86.71   	-167.85		
  3.66   	-12.51   	 49.09   	-768.05		 86.04   	-254.32		
 -2.14   	-14.34   	 46.02   	-732.45		 85.03   	-315.36		
 -7.02   	-13.43   	 43.09   	-691.76		 83.76   	-254.32		
 -7.93   	-10.99   	 40.33   	-645.98		 82.75   	-167.85		
 -4.27   	 -8.24   	 37.74   	-605.29		 82.07   	-147.51		
  1.83   	 -7.02   	 35.32   	-569.68		 81.48   	-223.80		
  5.19   	 -8.24   	 33.04   	-539.16		 80.59   	-289.93		
  2.75   	-10.99   	 30.88   	-508.65		 79.43   	-249.24		
 -4.88   	-14.34   	 28.85   	-483.21		 78.43   	-162.77		
-13.73   	-17.70   	 26.92   	-457.78		 77.78   	 -96.64		
-18.31   	-20.45   	 25.09   	-432.35		 77.40   	 -81.38		
-16.48   	-21.36   	 23.36   	-406.92		 77.07   	-106.82		
 -9.16   	-20.75   	 21.73   	-371.31		 76.64   	-147.51		
 -1.53   	-19.23   	 20.24   	-335.71		 76.05   	-147.51		
  3.36   	-17.40   	 18.90   	-305.19		 75.46   	-122.07		
  4.58   	-15.87   	 17.68   	-259.41		 74.97   	-106.82		
  3.97   	-15.56   	 16.64   	-223.80		 74.55   	 -81.38		
  1.53   	-17.09   	 15.75   	-188.20		 74.22   	 -96.64		
 -2.44   	-19.23   	 14.99   	-152.59		 73.83   	-106.82		
 -6.71   	-20.45   	 14.38   	-122.07		 73.41   	-101.73		
 -9.77   	-19.84   	 13.90   	 -96.64		 73.00   	 -91.56		
 -7.93   	-17.70   	 13.51   	 -81.38		 72.63   	 -81.38		
 -2.14   	-16.17   	 13.18   	 -66.12		 72.31   	 -86.47		
  3.66   	-18.31   	 12.92   	 -55.95		 71.96   	-101.73		
  5.19   	-23.50   	 12.70   	 -50.86		 71.56   	 -55.95		
  1.53   	-27.47   	 12.49   	 -55.95		 71.33   	 -30.52		
 -4.58   	-26.86   	 12.27   	 -50.86		 71.21   	 -91.56		
 -8.85   	-21.36   	 12.07   	 -55.95		 70.84   	-142.42		
 -9.16   	-12.82   	 11.84   	 -50.86		 70.27   	-116.99		
 -6.10   	 -6.10   	 11.64   	 -45.78		 69.81   	 -66.12		
 -1.22   	 -3.36   	 11.45   	 -40.69		 69.54   	 -40.69		
  2.75   	 -4.58   	 11.29   	 -35.61		 69.38   	 -55.95		
  3.66   	 -8.54   	 11.15   	 -25.43		 69.16   	 -81.38		
  1.53   	-13.73   	 11.05   	 -20.35		 68.83   	 -86.47		
 -2.14   	-18.62   	 10.97   	 -10.17		 68.48   	 -66.12		
 -3.36   	-21.36   	 10.93   	   0.00		 68.22   	 -71.21		
  0.31   	-19.84   	 10.93   	   5.09		 67.93   	 -66.12		
  8.54   	-14.34   	 10.95   	  10.17		 67.67   	 -71.21		
 16.78   	 -7.02   	 10.99   	  15.26		 67.39   	 -71.21		
 20.75   	 -1.53   	 11.05   	  10.17		 67.10   	 -66.12		
 18.01   	 -1.53   	 11.09   	  10.17		 66.84   	 -61.04		
  9.77   	 -5.80   	 11.13   	   5.09		 66.59   	 -81.38		
 -0.31   	-12.51   	 11.15   	   5.09		 66.27   	 -86.47		
 -8.85   	-17.40   	 11.17   	   5.09		 65.92   	 -61.04		
-13.43   	-17.70   	 11.19   	   0.00		 65.68   	 -50.86		
-13.12   	-14.34   	 11.19   	   0.00		 65.47   	 -50.86		
 -8.54   	-10.07   	 11.19   	   5.09		 65.27   	 -61.04		
 -0.31   	 -7.63   	 11.21   	  10.17		 65.03   	 -71.21		
  8.85   	 -7.32   	 11.25   	  10.17		 64.74   	 -61.04		
 15.56   	 -8.24   	 11.29   	  15.26		 64.50   	 -45.78		
 17.09   	 -8.85   	 11.35   	  25.43		 64.31   	 -35.61		
 12.82   	 -8.54   	 11.45   	  30.52		 64.17   	 -50.86		
  5.19   	 -8.54   	 11.58   	  35.61		 63.97   	-101.73		
 -1.22   	 -8.54   	 11.72   	  35.61		 63.56   	 -76.30		
 -2.44   	 -7.93   	 11.86   	  35.61		 63.26   	  20.35		
  1.83   	 -6.10   	 12.00   	  40.69		 63.34   	  25.43		
  8.54   	 -3.36   	 12.17   	  30.52		 63.44   	-111.90		
 13.43   	 -0.92   	 12.29   	  30.52		 62.99   	-183.11		
 14.04   	  0.00   	 12.41   	  25.43		 62.26   	 -91.56		
 10.07   	 -1.22   	 12.51   	  20.35		 61.89   	   5.09		
  5.19   	 -3.36   	 12.59   	  10.17		 61.91   	   5.09		
  1.83   	 -5.19   	 12.63   	  10.17		 61.93   	 -25.43		
  0.61   	 -5.80   	 12.68   	   5.09		 61.83   	 -50.86		
  1.22   	 -4.58   	 12.70   	   0.00		 61.63   	 -45.78		
  3.66   	 -3.05   	 12.70   	  -5.09		 61.44   	 -35.61		
  7.02   	 -1.53   	 12.68   	  -5.09		 61.30   	 -30.52		
 10.68   	 -0.92   	 12.66   	  -5.09		 61.18   	 -20.35		
 13.12   	 -0.61   	 12.63   	  -5.09		 61.10   	  10.17		
 13.12   	  0.31   	 12.61   	  -5.09		 61.14   	 -20.35		
  9.77   	  1.83   	 12.59   	  -5.09		 61.06   	 -55.95		
  7.63   	  3.66   	 12.57   	  -5.09		 60.83   	 -45.78		
 10.38   	  6.41   	 12.55   	  -5.09		 60.65   	 -45.78		
 16.78   	  7.63   	 12.53   	   0.00		 60.47   	 -50.86		
