  I     	  II     	  LV     	  LV'		
-62.26   	 10.07   	 54.85   	-808.75		
-61.04   	 10.38   	 51.62   	-773.14		
-60.42   	 11.90   	 48.52   	-727.36		
-60.42   	 13.12   	 45.62   	-696.84		
-61.04   	 13.12   	 42.83   	-666.32		
-61.65   	 11.90   	 40.16   	-640.89		
-61.34   	 10.68   	 37.60   	-620.55		
-60.12   	 10.38   	 35.12   	-595.11		
-58.59   	 10.99   	 32.74   	-579.86		
-57.37   	 11.90   	 30.42   	-559.51		
-57.07   	 12.82   	 28.18   	-534.08		
-57.37   	 13.12   	 26.04   	-498.47		
-58.29   	 13.12   	 24.05   	-473.04		
-58.29   	 12.21   	 22.16   	-427.26		
-57.98   	 11.29   	 20.45   	-386.57		
-57.68   	 10.07   	 18.90   	-340.79		
-57.68   	  9.77   	 17.54   	-300.10		
-58.29   	 10.38   	 16.34   	-259.41		
-58.90   	 11.29   	 15.30   	-228.89		
-58.59   	 11.60   	 14.38   	-203.46		
-58.29   	 10.68   	 13.57   	-183.11		
-58.29   	  8.54   	 12.84   	-172.94		
-59.20   	  6.10   	 12.15   	-172.94		
-60.42   	  4.88   	 11.45   	-167.85		
-61.34   	  5.80   	 10.78   	-167.85		
-61.04   	  8.24   	 10.11   	-157.68		
-59.81   	 10.99   	  9.48   	-152.59		
-58.59   	 11.90   	  8.87   	-137.33		
-58.29   	 10.07   	  8.32   	-116.99		
-59.20   	  6.10   	  7.85   	 -96.64		
-61.04   	  2.75   	  7.47   	 -71.21		
-63.17   	  1.83   	  7.18   	 -55.95		
-65.00   	  3.36   	  6.96   	 -45.78		
-65.31   	  5.49   	  6.78   	 -55.95		
-65.00   	  6.10   	  6.55   	 -66.12		
-64.39   	  3.97   	  6.29   	 -96.64		
-64.70   	  0.00   	  5.90   	-122.07		
-66.22   	 -3.66   	  5.41   	-152.59		
-68.36   	 -5.80   	  4.80   	-172.94		
-70.50   	 -5.19   	  4.11   	-188.20		
-71.72   	 -3.36   	  3.36   	-178.03		
-71.72   	 -1.22   	  2.64   	-167.85		
-69.89   	  0.31   	  1.97   	-137.33		
-66.53   	  1.53   	  1.42   	 -96.64		
-62.26   	  2.14   	  1.04   	 -55.95		
-58.59   	  2.75   	  0.81   	 -15.26		
-57.07   	  2.44   	  0.75   	  20.35		
-57.98   	  1.22   	  0.83   	  45.78		
-60.12   	 -0.92   	  1.02   	  61.04		
-61.34   	 -2.44   	  1.26   	  66.12		
-61.04   	 -2.14   	  1.53   	  61.04		
-59.51   	  0.31   	  1.77   	  50.86		
-57.68   	  3.66   	  1.97   	  30.52		
-56.46   	  6.10   	  2.10   	  15.26		
-56.15   	  6.41   	  2.16   	   5.09		
-56.46   	  3.97   	  2.18   	  -5.09		
-57.07   	  0.31   	  2.16   	 -10.17		
-57.07   	 -1.22   	  2.12   	  -5.09		
-55.54   	  0.92   	  2.10   	  -5.09		
-53.10   	  5.49   	  2.08   	  10.17		
-51.27   	  8.54   	  2.12   	  15.26		
-50.35   	  7.93   	  2.18   	  25.43		
-50.05   	  4.27   	  2.28   	  25.43		
-49.13   	  1.83   	  2.38   	  35.61		
-46.39   	  5.49   	  2.52   	  30.52		
-40.89   	 17.09   	  2.64   	  30.52		
-32.96   	 34.79   	  2.77   	  20.35		
-23.19   	 54.93   	  2.85   	  15.26		
-13.12   	 72.63   	  2.91   	  10.17		
 -4.27   	 84.53   	  2.95   	   0.00		
  2.44   	 89.11   	  2.95   	   0.00		
  7.63   	 89.11   	  2.95   	  -5.09		
 11.90   	 90.64   	  2.93   	  -5.09		
 16.48   	 99.49   	  2.91   	  -5.09		
 21.36   	118.71   	  2.89   	   0.00		
 26.55   	142.52   	  2.89   	   0.00		
 30.82   	160.52   	  2.89   	   5.09		
 33.57   	162.35   	  2.91   	   5.09		
 34.48   	144.96   	  2.93   	   5.09		
 34.79   	115.05   	  2.95   	   5.09		
 35.71   	 85.14   	  2.97   	   5.09		
 38.76   	 64.70   	  2.99   	   0.00		
 43.33   	 55.85   	  2.99   	  -5.09		
 44.25   	 54.63   	  2.97   	  -5.09		
 35.40   	 54.32   	  2.95   	 -10.17		
 14.95   	 50.05   	  2.91   	 -10.17		
-13.12   	 39.67   	  2.87   	 -10.17		
-39.98   	 23.80   	  2.83   	 -10.17		
-57.07   	  3.66   	  2.79   	  -5.09		
-62.26   	-17.40   	  2.77   	   0.00		
-59.81   	-34.79   	  2.77   	   5.09		
-56.76   	-45.17   	  2.79   	   5.09		
-57.98   	-49.13   	  2.81   	  15.26		
-63.17   	-49.44   	  2.87   	  20.35		
-68.66   	-49.74   	  2.95   	  20.35		
-71.41   	-50.96   	  3.03   	  25.43		
-71.72   	-52.80   	  3.13   	  30.52		
-71.11   	-53.71   	  3.26   	  30.52		
-71.41   	-53.10   	  3.38   	  35.61		
-73.24   	-50.35   	  3.52   	  30.52		
-75.07   	-47.30   	  3.64   	  35.61		
-76.29   	-45.17   	  3.78   	  35.61		
-76.60   	-45.47   	  3.93   	  40.69		
-76.29   	-47.91   	  4.09   	  35.61		
-75.38   	-50.96   	  4.23   	  35.61		
-73.85   	-51.57   	  4.37   	  35.61		
-71.72   	-48.52   	  4.52   	  40.69		
-69.27   	-43.03   	  4.68   	  35.61		
-66.83   	-37.23   	  4.82   	  35.61		
-64.70   	-32.96   	  4.96   	  35.61		
-62.56   	-31.74   	  5.11   	  30.52		
-61.04   	-32.96   	  5.23   	  35.61		
-59.51   	-35.10   	  5.37   	  30.52		
-58.29   	-35.71   	  5.49   	  25.43		
-56.46   	-33.26   	  5.60   	  30.52		
-53.71   	-28.38   	  5.72   	  25.43		
-50.35   	-22.89   	  5.82   	  25.43		
-46.39   	-21.36   	  5.92   	  25.43		
-40.59   	-26.55   	  6.02   	  25.43		
-32.35   	-36.32   	  6.12   	  25.43		
-15.56   	-40.59   	  6.23   	  20.35		
 24.72   	-19.53   	  6.31   	  20.35		
110.17   	 50.96   	  6.39   	  15.26		
259.09   	186.77   	  6.45   	  15.26		
469.06   	382.69   	  6.51   	  10.17		
700.07   	608.52   	  6.55   	  10.17		
872.80   	812.68   	  6.59   	   0.00		
900.88   	940.86   	  6.59   	   5.09		
741.58   	951.84(R)	  6.61   	  -5.09		
433.35   	829.77   	  6.59   	   0.00		
 88.50   	600.59   	  6.59   	   5.09		
-163.88   	329.59   	  6.61   	  10.17		
-250.55   	101.93   	  6.65   	  15.26		
-192.57   	-17.70   	  6.71   	  35.61		
-77.82   	-20.75   	  6.86   	  55.95		
  6.41   	 40.59   	  7.08   	  81.38		
 24.72   	 93.08   	  7.41   	 116.99		
 -2.44   	 91.55   	  7.87   	 162.77		
-34.18   	 43.95   	  8.52   	 213.63		
-44.56   	 -9.46   	  9.38   	 269.58		
-35.71   	-35.40   	 10.46   	 340.79		
-22.89   	-30.21   	 11.82   	 412.00		
-17.40   	-11.90   	 13.47   	 488.30		
-19.23   	 -0.31   	 15.42   	 554.42		
-23.19   	 -1.53   	 17.64   	 630.72		
-24.72   	-10.38   	 20.16   	 686.67		
-23.50   	-18.62   	 22.91   	 742.62		
-20.75   	-22.28   	 25.88   	 788.40		
-18.01   	-21.97   	 29.03   	 829.09		
-15.87   	-19.53   	 32.35   	 854.52		
-14.34   	-17.40   	 35.77   	 874.87		
-12.21   	-16.78   	 39.27   	 885.04		
 -9.77   	-16.48   	 42.81   	 895.22		
 -7.32   	-14.95   	 46.39   	 890.13		
 -4.58   	-11.90   	 49.95   	 879.96		
 -2.75   	 -9.46   	 53.47   	 864.70		
 -0.92   	 -9.77   	 56.93   	 844.35		
  0.31   	-13.43   	 60.30   	 808.75		
  1.53   	-18.01   	 63.54   	 778.23		
  2.44   	-20.45   	 66.65   	 732.45		
  3.66   	-18.92   	 69.58   	 686.67		
  5.49   	-14.65   	 72.33   	 640.89		
  7.93   	 -9.77   	 74.89   	 600.20		
 10.07   	 -7.02   	 77.29   	 559.51		
 11.29   	 -6.71   	 79.53   	 523.90		
 11.90   	 -7.93   	 81.63   	 503.56		
 12.82   	 -9.77   	 83.64   	 478.13		
 14.95   	-10.99   	 85.55   	 462.87		
 17.40   	-12.21   	 87.41   	 447.61		
 20.45   	-12.51   	 89.20   	 422.18		
 22.58   	-11.90   	 90.88   	 391.66		
 24.41   	 -9.77   	 92.45   	 366.22		
 25.94   	 -7.02   	 93.92   	 325.53		
 28.08   	 -4.58   	 95.22   	 295.01		
 30.82   	 -3.05   	 96.40   	 254.32		
 33.87   	 -2.75   	 97.42   	 228.89		
 37.54   	 -2.44   	 98.33   	 208.54		
 41.20   	 -1.53   	 99.17   	 193.29		
 45.47   	  0.61   	 99.94   	 193.29		
 50.05   	  4.58   	100.71   	 193.29		
 55.54   	 10.07   	101.48   	 198.37		
 61.65   	 14.95   	102.28   	 208.54		
 67.44   	 18.62   	103.11   	 218.72		
 72.63   	 20.14   	103.99   	 218.72		
 76.90   	 20.75   	104.86   	 223.80		
 81.48   	 21.67   	105.76   	 213.63		
 86.98   	 25.02   	106.61   	 198.37		
 93.69   	 30.82   	107.41   	 178.03		
101.32   	 38.15   	108.12   	 157.68		
108.64   	 45.78   	108.75   	 137.33		
115.66   	 51.57   	109.30   	 127.16		
121.77   	 55.24   	109.81   	 127.16		
127.87   	 57.98   	110.31   	 127.16		
133.36   	 61.65   	110.82   	 142.42		
138.24   	 67.75   	111.39   	 147.51		
142.52   	 76.29   	111.98   	 157.68		
146.18   	 84.23   	112.61   	 152.59		
149.54   	 89.11   	113.22   	 147.51		
152.28   	 89.72   	113.81   	 132.25		
154.11   	 89.11   	114.34   	 111.90		
153.20   	 90.64   	114.79   	  86.47		
149.23   	 95.83   	115.14   	  71.21		
141.91   	101.62   	115.42   	  55.95		
132.14   	102.54   	115.65   	  50.86		
120.85   	 96.74   	115.85   	  40.69		
107.12   	 85.75   	116.01   	  45.78		
 91.25   	 74.77   	116.19   	  50.86		
 72.33   	 65.92   	116.40   	  50.86		
 51.57   	 57.37   	116.60   	  55.95		
 30.82   	 45.47   	116.83   	  50.86		
 11.29   	 28.69   	117.03   	  50.86		
 -6.10   	 10.38   	117.23   	  45.78		
-20.45   	 -3.97   	117.42   	  40.69		
-32.04   	-10.68   	117.58   	  35.61		
-41.50   	-11.29   	117.72   	  30.52		
-49.44   	-10.68   	117.84   	  25.43		
-56.15   	-13.43   	117.94   	  15.26		
-61.04   	-21.06   	118.01   	  10.17		
-64.09   	-29.91   	118.05   	   5.09		
-66.53   	-35.71   	118.07(S)	 -10.17		
-69.27   	-36.62   	118.03   	 -20.35		
-72.94   	-34.79   	117.94   	 -35.61		
-76.90   	-34.48   	117.80   	 -61.04		
-79.35   	-38.45   	117.56   	 -81.38		
-79.65   	-45.17   	117.23   	-116.99		
-78.13   	-50.35   	116.76   	-147.51		
-76.29   	-50.66   	116.17   	-188.20		
-76.29   	-47.91   	115.42   	-233.98		
-78.13   	-47.00   	114.49   	-284.84		
-80.87   	-50.96   	113.35   	-345.88		
-82.40   	-57.68   	111.96   	-412.00		
-81.79   	-61.65   	110.31   	-483.21		
-79.96   	-58.90   	108.38   	-554.42		
-78.13   	-51.27   	106.16   	-615.46		
-77.82   	-45.47   	103.70   	-666.32		
-78.43   	-46.69   	101.04   	-707.02		
-79.04   	-54.32   	 98.21   	-732.45		
-79.35   	-61.34   	 95.28   	-752.79		
-79.35   	-61.95   	 92.27   	-768.05		
-79.65   	-55.85   	 89.20   	-788.40		
-80.87   	-49.13   	 86.04   	-808.75		
-82.40   	-49.13   	 82.81   	-839.26		
-83.01   	-55.85   	 79.45   	-869.78		
-82.09   	-62.26   	 75.97   	-900.30		
-79.96   	-61.34   	 72.37   	-930.82		
-77.82   	-51.27   	 68.65   	-951.17		
-76.60   	-39.67   	 64.84   	-951.17		
-76.60   	-36.62   	 61.04   	-951.17		
-77.51   	-45.47   	 57.23   	-925.73		
-78.74   	-61.04   	 53.53   	-890.13		
-79.04   	-72.02   	 49.97   	-844.35		
-78.74   	-70.80   	 46.59   	-793.49		
-77.21   	-58.90   	 43.42   	-737.54		
-75.99   	-45.17   	 40.47   	-691.76		
-74.46   	-38.76   	 37.70   	-645.98		
-73.55   	-42.11   	 35.12   	-610.37		
-72.94   	-49.74   	 32.68   	-574.77		
-72.63   	-54.02   	 30.38   	-549.34		
-72.33   	-51.27   	 28.18   	-528.99		
-71.72   	-43.64   	 26.06   	-508.65		
-71.11   	-36.62   	 24.03   	-483.21		
-70.19   	-35.40   	 22.10   	-452.69		
-69.89   	-39.98   	 20.28   	-422.18		
-69.58   	-46.08   	 18.60   	-391.66		
-69.27   	-49.13   	 17.03   	-345.88		
-69.27   	-47.91   	 15.65   	-305.19		
-69.27   	-43.95   	 14.43   	-269.58		
-69.27   	-41.81   	 13.35   	-228.89		
-69.58   	-43.64   	 12.43   	-208.54		
-69.58   	-48.83   	 11.60   	-183.11		
-68.66   	-53.10   	 10.86   	-172.94		
-67.44   	-52.80   	 10.17   	-167.85		
-66.53   	-47.91   	  9.50   	-178.03		
-65.92   	-41.50   	  8.79   	-188.20		
-65.92   	-36.93   	  8.04   	-203.46		
-65.31   	-36.32   	  7.22   	-218.72		
-63.48   	-38.15   	  6.35   	-239.06		
-61.04   	-39.98   	  5.39   	-244.15		
-59.20   	-40.28   	  4.42   	-239.06		
-58.90   	-38.76   	  3.46   	-223.80		
-59.81   	-36.62   	  2.56   	-198.37		
-61.34   	-35.10   	  1.77   	-167.85		
-61.95   	-35.71   	  1.10   	-127.16		
-61.65   	-37.23   	  0.59   	 -81.38		
-60.42   	-39.37   	  0.26   	 -35.61		
-59.20   	-40.28   	  0.12   	  -5.09		
-57.98   	-39.37   	  0.10(D)	  20.35		
-57.98   	-38.15   	  0.18   	  40.69		
-58.90   	-38.15   	  0.35   	  50.86		
