  I     	  II     	  PW     	  PW'		
-49.44   	-96.13   	 12.51   	  -5.09		
-50.05   	-97.66   	 12.49   	  -5.09		
-49.44   	-98.57   	 12.47   	  -5.09		
-48.22   	-99.49   	 12.45   	 -15.26		
-47.30   	-100.71   	 12.39   	 -15.26		
-47.00   	-102.84   	 12.33   	 -15.26		
-47.91   	-104.06   	 12.27   	 -20.35		
-48.83   	-104.06   	 12.19   	 -15.26		
-49.13   	-102.54   	 12.13   	 -15.26		
-48.83   	-100.71   	 12.07   	 -15.26		
-47.91   	-98.88   	 12.00   	  -5.09		
-46.39   	-97.96   	 11.98   	  -5.09		
-44.86   	-97.66   	 11.96   	  -5.09		
-43.33   	-97.96   	 11.94   	  -5.09		
-42.72   	-98.57   	 11.92   	  -5.09		
-42.42   	-98.88   	 11.90   	 -10.17		
-42.42   	-98.88   	 11.86   	 -15.26		
-42.11   	-97.66   	 11.80   	 -15.26		
-41.20   	-95.21   	 11.74   	  -5.09		
-39.37   	-92.16   	 11.72   	  10.17		
-37.84   	-90.64   	 11.76   	  25.43		
-37.23   	-90.94   	 11.86   	  35.61		
-37.84   	-93.08   	 12.00   	  55.95		
-38.76   	-95.21   	 12.23   	  71.21		
-38.76   	-95.83   	 12.51   	  71.21		
-37.84   	-94.91   	 12.80   	  76.30		
-36.93   	-93.08   	 13.10   	  76.30		
-37.23   	-92.47   	 13.41   	  61.04		
-38.76   	-93.69   	 13.65   	  55.95		
-39.98   	-95.83   	 13.88   	  40.69		
-40.28   	-96.74   	 14.04   	  30.52		
-39.37   	-96.13   	 14.16   	  25.43		
-38.15   	-94.60   	 14.26   	  10.17		
-38.45   	-93.99   	 14.30   	  10.17		
-39.98   	-95.21   	 14.34   	   5.09		
-41.50   	-97.96   	 14.36   	   0.00		
-41.81   	-99.79   	 14.36   	   5.09		
-40.59   	-99.79   	 14.38   	   0.00		
-39.06   	-97.96   	 14.38   	   0.00		
-38.45   	-96.13   	 14.38   	  -5.09		
-39.98   	-96.13   	 14.36   	  -5.09		
-42.42   	-98.27   	 14.34   	 -10.17		
-44.56   	-101.32   	 14.30   	 -15.26		
-45.47   	-103.45   	 14.24   	 -25.43		
-44.86   	-103.45   	 14.14   	 -25.43		
-44.25   	-102.54   	 14.04   	 -35.61		
-43.95   	-101.32   	 13.90   	 -40.69		
-43.33   	-100.71   	 13.73   	 -40.69		
-42.72   	-101.32   	 13.57   	 -45.78		
-42.11   	-103.15   	 13.39   	 -45.78		
-42.11   	-105.29   	 13.20   	 -40.69		
-42.72   	-107.12   	 13.04   	 -40.69		
