  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
-15.56   	  7.32   	 69.11   	 -35.61		 71.96   	 -30.52		
-16.17   	 11.90   	 68.97   	 -35.61		 71.84   	 -30.52		
-15.87   	 16.78   	 68.83   	 -35.61		 71.72   	 -30.52		
-15.56   	 20.75   	 68.69   	 -30.52		 71.60   	 -35.61		
-14.95   	 21.67   	 68.57   	 -35.61		 71.45   	 -30.52		
-14.04   	 20.14   	 68.42   	 -30.52		 71.33   	 -30.52		
-13.12   	 17.09   	 68.30   	 -25.43		 71.21   	 -30.52		
-12.51   	 14.95   	 68.20   	 -25.43		 71.09   	 -30.52		
-12.21   	 15.26   	 68.10   	 -20.35		 70.97   	 -30.52		
-12.82   	 16.48   	 68.02   	 -20.35		 70.84   	 -30.52		
-13.12   	 16.48   	 67.93   	 -15.26		 70.72   	 -30.52		
-13.12   	 14.34   	 67.87   	 -20.35		 70.60   	 -30.52		
-12.51   	 10.07   	 67.79   	 -20.35		 70.48   	 -30.52		
-12.21   	  4.88   	 67.71   	 -25.43		 70.36   	 -30.52		
-12.51   	  0.61   	 67.61   	 -25.43		 70.23   	 -30.52		
-13.43   	 -1.22   	 67.51   	 -30.52		 70.11   	 -25.43		
-14.95   	 -0.31   	 67.39   	 -35.61		 70.01   	 -30.52		
-15.87   	  2.14   	 67.24   	 -50.86		 69.89   	 -25.43		
-16.17   	  3.66   	 67.04   	 -61.04		 69.79   	 -30.52		
-16.17   	  2.75   	 66.80   	 -71.21		 69.66   	 -25.43		
-16.48   	 -0.92   	 66.51   	 -81.38		 69.56   	 -30.52		
-16.78   	 -6.41   	 66.18   	 -76.30		 69.44   	 -25.43		
-16.48   	-11.29   	 65.88   	 -76.30		 69.34   	 -30.52		
-15.26   	-13.73   	 65.57   	 -50.86		 69.22   	 -25.43		
-13.43   	-13.73   	 65.37   	 -35.61		 69.11   	 -30.52		
-11.60   	-11.60   	 65.23   	   0.00		 68.99   	 -25.43		
 -9.77   	 -9.16   	 65.23   	  30.52		 68.89   	 -30.52		
 -8.54   	 -7.02   	 65.35   	  55.95		 68.77   	 -25.43		
 -8.54   	 -5.80   	 65.57   	  81.38		 68.67   	 -25.43		
 -9.77   	 -5.19   	 65.90   	  86.47		 68.57   	 -25.43		
-11.29   	 -5.19   	 66.25   	  86.47		 68.46   	 -25.43		
-12.51   	 -5.80   	 66.59   	  76.30		 68.36   	 -25.43		
-12.82   	 -6.10   	 66.90   	  45.78		 68.26   	 -30.52		
-12.51   	 -4.88   	 67.08   	  10.17		 68.14   	 -25.43		
-12.51   	 -0.92   	 67.12   	 -40.69		 68.04   	 -30.52		
-13.43   	  4.27   	 66.96   	-101.73		 67.91   	 -30.52		
-15.56   	  9.16   	 66.55   	-167.85		 67.79   	 -30.52		
-17.70   	 12.21   	 65.88   	-233.98		 67.67   	 -30.52		
-19.23   	 13.73   	 64.94   	-305.19		 67.55   	 -30.52		
-19.23   	 15.56   	 63.72   	-356.05		 67.43   	 -30.52		
-18.62   	 18.01   	 62.30   	-401.83		 67.30   	 -30.52		
-17.70   	 19.84   	 60.69   	-427.26		 67.18   	 -35.61		
-17.09   	 20.14   	 58.98   	-432.35		 67.04   	 -30.52		
-17.09   	 19.23   	 57.25   	-417.09		 66.92   	 -30.52		
-17.40   	 17.70   	 55.58   	-376.40		 66.80   	 -30.52		
-17.09   	 16.48   	 54.08   	-320.45		 66.67   	 -30.52		
-16.17   	 16.17   	 52.80   	-239.06		 66.55   	 -25.43		
-14.04   	 16.17   	 51.84   	-147.51		 66.45   	 -30.52		
-12.51   	 16.17   	 51.25   	 -50.86		 66.33   	 -30.52		
