  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-87.89   	243.23   	 86.67   	-1088.50		 24.64   	  20.35		
-40.59   	280.76   	 82.32   	-981.68		 24.72   	  25.43		
 25.63   	322.27   	 78.39   	-895.22		 24.82   	  25.43		
118.71   	379.03   	 74.81   	-849.44		 24.92   	  25.43		
233.46   	444.64   	 71.41   	-885.04		 25.03   	  20.35		
373.23   	511.17   	 67.87   	-991.86		 25.11   	  15.26		
552.67   	581.97   	 63.91   	-1103.76		 25.17   	  10.17		
746.15   	642.70   	 59.49   	-1195.32		 25.21   	  10.17		
935.06   	653.08   	 54.71   	-1241.09		 25.25   	  15.26		
1096.50   	555.11   	 49.75   	-1230.92		 25.31   	  40.69		
1140.44   	263.98   	 44.82   	-1164.80		 25.47   	  86.47		
980.22   	-265.81   	 40.16   	-1042.72		 25.82   	 152.59		
649.72   	-912.78   	 35.99   	-879.96		 26.43   	 244.15		
237.12   	-1459.66   	 32.47   	-691.76		 27.41   	 315.36		
-227.97   	-1835.94   	 29.70   	-503.56		 28.67   	 345.88		
-544.74   	-1946.11   	 27.69   	-330.62		 30.05   	 320.45		
-676.57   	-1860.05   	 26.37   	-178.03		 31.33   	 228.89		
-709.84   	-1768.80   	 25.66   	 -71.21		 32.25   	 101.73		
-630.80   	-1668.09   	 25.37   	 -10.17		 32.66   	 -40.69		
-567.02   	-1550.90   	 25.33   	  20.35		 32.49   	-157.68		
-564.88   	-1407.17   	 25.41   	  25.43		 31.86   	-244.15		
-635.38   	-1259.16   	 25.51   	  15.26		 30.88   	-264.50		
-712.28   	-1123.05   	 25.57   	  10.17		 29.83   	-244.15		
-745.85   	-989.07   	 25.62   	  20.35		 28.85   	-162.77		
-751.34   	-877.38   	 25.70   	  35.61		 28.20   	 -66.12		
-708.01   	-780.03   	 25.84   	  86.47		 27.93   	  45.78		
-616.46   	-638.43   	 26.19   	 142.42		 28.12   	 137.33		
-537.41   	-502.32   	 26.75   	 203.46		 28.67   	 178.03		
-469.36   	-399.48   	 27.57   	 264.50		 29.38   	 183.11		
-408.33   	-314.33   	 28.63   	 300.10		 30.11   	 142.42		
-377.50   	-272.52   	 29.83   	 325.53		 30.68   	  61.04		
-337.52   	-257.87   	 31.13   	 325.53		 30.93   	 -25.43		
-288.09   	-242.31   	 32.43   	 305.19		 30.82   	-106.82		
-238.04   	-213.01   	 33.65   	 269.58		 30.40   	-162.77		
-203.86   	-180.66   	 34.73   	 233.98		 29.75   	-183.11		
-201.42   	-145.57   	 35.67   	 203.46		 29.01   	-162.77		
-223.08   	-105.59   	 36.48   	 193.29		 28.36   	-122.07		
-256.65   	-68.97   	 37.25   	 208.54		 27.87   	 -71.21		
-287.17   	-14.04   	 38.09   	 269.58		 27.59   	 -15.26		
-334.47   	 35.40   	 39.17   	 371.31		 27.53   	  35.61		
-375.37   	 66.22   	 40.65   	 508.65		 27.67   	  71.21		
-396.12   	 84.53   	 42.69   	 645.98		 27.96   	  86.47		
-410.16   	 86.98   	 45.27   	 762.97		 28.30   	  71.21		
-412.90   	 88.50   	 48.32   	 834.18		 28.59   	  35.61		
-414.43   	 89.42   	 51.66   	 844.35		 28.73   	 -20.35		
-421.45   	 93.69   	 55.04   	 778.23		 28.65   	 -61.04		
-432.43   	 97.66   	 58.15   	 666.32		 28.40   	 -86.47		
-433.65   	100.40   	 60.81   	 518.82		 28.06   	 -76.30		
-435.18   	102.23   	 62.89   	 366.22		 27.75   	 -30.52		
-440.37   	102.23   	 64.35   	 244.15		 27.63   	  45.78		
-445.25   	104.68   	 65.33   	 178.03		 27.81   	 127.16		
-452.58   	106.51   	 66.04   	 162.77		 28.32   	 193.29		
-458.68   	104.98   	 66.69   	 208.54		 29.09   	 233.98		
-461.12   	108.03   	 67.53   	 300.10		 30.03   	 239.06		
-462.65   	110.17   	 68.73   	 391.66		 30.99   	 203.46		
-462.04   	111.39   	 70.29   	 473.04		 31.80   	 142.42		
-454.41   	120.24   	 72.19   	 513.73		 32.37   	  71.21		
-442.50   	127.87   	 74.24   	 493.39		 32.66   	   0.00		
-430.60   	134.89   	 76.22   	 417.09		 32.66   	 -35.61		
