  I     	  II     	  LVp     	  LVp'		
-81.79   	-68.05   	 26.16   	   5.09		
-82.09   	-75.07   	 26.19   	   0.00		
-82.40   	-77.21   	 26.19   	   0.00		
-82.70   	-74.46   	 26.19   	   0.00		
-82.09   	-67.75   	 26.19   	   0.00		
-81.48   	-58.90   	 26.19   	 -15.26		
-80.87   	-52.49   	 26.12   	 -10.17		
-81.18   	-51.88   	 26.08   	 -10.17		
-82.09   	-55.24   	 26.04   	  -5.09		
-83.01   	-57.07   	 26.02   	 -15.26		
-83.31   	-52.80   	 25.96   	  -5.09		
-83.01   	-44.86   	 25.94   	   0.00		
-82.09   	-40.59   	 25.94   	  -5.09		
-81.18   	-45.78   	 25.92   	   5.09		
-80.87   	-58.90   	 25.94   	  10.17		
-81.48   	-72.02   	 25.98   	  15.26		
-82.09   	-77.82   	 26.04   	  10.17		
-82.40   	-75.38   	 26.08   	   5.09		
-82.09   	-69.58   	 26.10   	   0.00		
-81.48   	-66.53   	 26.10   	   0.00		
-80.87   	-65.61   	 26.10   	  -5.09		
-81.18   	-64.09   	 26.08   	  -5.09		
-81.79   	-59.20   	 26.06   	   0.00		
-82.70   	-51.88   	 26.06   	   5.09		
-83.01   	-45.47   	 26.08   	   5.09		
-82.70   	-43.33   	 26.10   	  15.26		
-81.79   	-44.56   	 26.16   	  20.35		
-81.18   	-46.39   	 26.25   	  20.35		
-80.87   	-47.61   	 26.33   	  25.43		
-81.48   	-47.91   	 26.43   	  20.35		
-82.40   	-47.30   	 26.51   	  10.17		
-82.70   	-46.39   	 26.55   	  10.17		
-82.40   	-45.47   	 26.59   	   5.09		
-81.48   	-44.25   	 26.61   	   0.00		
-80.87   	-44.25   	 26.61   	 -10.17		
-80.87   	-46.08   	 26.57   	 -10.17		
-81.48   	-49.44   	 26.53   	  -5.09		
-82.09   	-52.80   	 26.51   	  -5.09		
-82.40   	-54.32   	 26.49   	   0.00		
-82.09   	-53.10   	 26.49   	   0.00		
-81.48   	-48.83   	 26.49   	   5.09		
-81.18   	-43.64   	 26.51   	   5.09		
-81.18   	-39.98   	 26.53   	  10.17		
-81.79   	-38.76   	 26.57   	   0.00		
-82.40   	-39.37   	 26.57   	  -5.09		
-83.31   	-38.76   	 26.55   	  -5.09		
-83.62   	-36.01   	 26.53   	   5.09		
-83.92   	-32.96   	 26.55   	   0.00		
-83.92   	-31.43   	 26.55   	  -5.09		
-83.92   	-29.91   	 26.53   	   0.00		
-84.23   	-19.23   	 26.53   	   0.00		
-84.53   	 15.26   	 26.53(E)	  15.26		
-84.53   	 88.20   	 26.59   	  40.69		
-84.53   	209.96   	 26.75   	  61.04		
-84.23   	387.27   	 27.00   	  91.56		
-83.92   	617.07   	 27.37   	 111.90		
-83.92   	874.94   	 27.81   	 132.25		
-84.23   	1112.67   	 28.34   	 152.59		
-84.84   	1266.17   	 28.95   	 178.03		
-84.84   	1285.71(R)	 29.66   	 198.37		
-84.53   	1167.60   	 30.46   	 208.54		
-83.92   	956.42   	 31.29   	 223.80		
-83.31   	721.74   	 32.19   	 244.15		
-83.01   	516.97   	 33.16   	 284.84		
-83.62   	361.63   	 34.30   	 340.79		
-84.23   	251.46   	 35.67   	 417.09		
-84.23   	174.26   	 37.33   	 518.82		
-83.92   	119.32   	 39.41   	 666.32		
-83.31   	 77.21   	 42.08   	 844.35		
-83.01   	 38.45   	 45.45   	1017.29		
-83.01   	 -2.14   	 49.52   	1190.23		
-83.62   	-37.84   	 54.28   	1363.17		
-84.53   	-57.37   	 59.74   	1408.95		
-84.53   	-58.29   	 65.37   	1164.80		
-84.23   	-51.57   	 70.03   	 788.40		
-83.31   	-52.80   	 73.18   	 681.58		
-82.40   	-67.75   	 75.91   	 554.42		
-82.40   	-89.11   	 78.13   	 625.63		
-82.70   	-104.06   	 80.63   	1291.96		
-83.62   	-105.29   	 85.80   	1714.13		
-83.92   	-97.05   	 92.65   	1459.81		
-83.92   	-88.81   	 98.49   	1124.11		
-83.62   	-88.20   	102.99   	 783.31		
-83.31   	-95.83   	106.12   	 254.32		
-83.31   	-107.12   	107.14   	-244.15		
-83.62   	-115.66   	106.16   	-574.77		
-84.23   	-116.27   	103.87   	-773.14		
-84.53   	-109.25   	100.77   	-813.83		
-84.23   	-97.66   	 97.52   	-701.93		
-83.92   	-87.89   	 94.71   	-498.47		
-83.31   	-83.92   	 92.72   	-325.53		
-83.31   	-86.67   	 91.41   	-162.77		
-83.62   	-92.47   	 90.76   	  45.78		
-83.92   	-97.05   	 90.95   	 284.84		
-84.23   	-98.27   	 92.09   	 498.47		
-83.62   	-96.13   	 94.08   	 696.84		
-83.01   	-92.77   	 96.87   	 808.75		
-82.40   	-90.33   	100.10   	 727.36		
-82.40   	-88.20   	103.01   	 518.82		
-83.01   	-85.45   	105.09   	 295.01		
-83.62   	-80.57   	106.27   	 142.42		
-83.92   	-73.85   	106.84   	  81.38		
-83.92   	-68.05   	107.16   	  86.47		
-83.31   	-65.61   	107.51   	  81.38		
-82.70   	-67.44   	107.83   	  66.12		
-82.70   	-71.11   	108.10   	 142.42		
-83.01   	-73.24   	108.67   	 239.06		
-83.62   	-70.50   	109.62   	 249.24		
-83.62   	-62.87   	110.62   	 223.80		
-83.31   	-52.80   	111.52   	 172.94		
-82.70   	-43.03   	112.21   	 127.16		
-82.40   	-33.57   	112.72   	  91.56		
-82.40   	-22.58   	113.08   	  50.86		
-83.31   	 -8.54   	113.29(S)	 -10.17		
-83.92   	  6.71   	113.24   	 -50.86		
-83.92   	 18.62   	113.04   	 -55.95		
-83.01   	 22.89   	112.82   	 -71.21		
-82.09   	 21.06   	112.53   	 -81.38		
-81.48   	 18.92   	112.21   	 -81.38		
-81.79   	 24.72   	111.88   	 -55.95		
-82.40   	 42.11   	111.66   	 -30.52		
-83.01   	 69.58   	111.54   	 -45.78		
-83.62   	 99.79   	111.35   	 -86.47		
-83.31   	125.43   	111.01   	-116.99		
-82.70   	142.52   	110.54   	-106.82		
-82.09   	153.20   	110.11   	 -76.30		
-81.79   	162.35   	109.81   	 -55.95		
-82.40   	173.95   	109.58   	 -55.95		
-83.01   	188.29   	109.36   	 -61.04		
-83.62   	201.42   	109.11   	 -71.21		
-83.62   	208.74   	108.83   	 -96.64		
-83.01   	207.82   	108.44   	-116.99		
-82.09   	199.58   	107.98   	-152.59		
-81.79   	186.16   	107.36   	-203.46		
-81.79   	170.59   	106.55   	-244.15		
-82.70   	153.20   	105.57   	-279.75		
-83.01   	133.67   	104.46   	-315.36		
-83.01   	112.30   	103.19   	-345.88		
-82.09   	 89.11   	101.81   	-376.40		
-81.48   	 66.83   	100.30   	-412.00		
-81.79   	 47.61   	 98.66   	-447.61		
-82.40   	 33.26   	 96.87   	-523.90		
-83.01   	 22.28   	 94.77   	-630.72		
-83.31   	 12.51   	 92.25   	-773.14		
-82.70   	  3.66   	 89.16   	-885.04		
-81.79   	 -2.75   	 85.62   	-793.49		
-81.18   	 -4.27   	 82.44   	-437.43		
-81.48   	 -2.14   	 80.69   	-157.68		
-82.40   	 -0.61   	 80.06   	-152.59		
-83.01   	 -4.58   	 79.45   	-340.79		
-83.62   	-14.65   	 78.09   	-773.14		
-83.31   	-26.86   	 74.99   	-1276.70		
-82.40   	-35.40   	 69.89   	-1546.28		
-81.79   	-36.93   	 63.70   	-1398.77		
-81.79   	-33.87   	 58.11   	-1195.32		
-82.09   	-29.91   	 53.33   	-1190.23		
-82.70   	-27.16   	 48.57   	-1103.76		
-83.01   	-24.41   	 44.15   	-900.30		
-82.40   	-20.45   	 40.55   	-783.31		
-81.79   	-16.17   	 37.42   	-717.19		
-81.18   	-14.04   	 34.55   	-676.50		
-81.18   	-15.56   	 31.84   	-640.89		
-81.79   	-18.01   	 29.28   	-595.11		
-82.40   	-16.17   	 26.90   	-554.42		
-82.70   	 -9.16   	 24.68   	-518.82		
-82.40   	 -0.31   	 22.60   	-457.78		
-81.18   	  3.66   	 20.77   	-391.66		
-79.65   	  0.00   	 19.21   	-350.97		
-79.04   	 -8.24   	 17.80   	-330.62		
-79.04   	-14.04   	 16.48   	-305.19		
-79.65   	-15.87   	 15.26   	-274.67		
-80.26   	-16.78   	 14.16   	-244.15		
-80.26   	-20.75   	 13.18   	-218.72		
-79.65   	-27.77   	 12.31   	-198.37		
-79.04   	-32.35   	 11.52   	-183.11		
-78.74   	-28.08   	 10.78   	-172.94		
-79.04   	-16.17   	 10.09   	-167.85		
-79.65   	 -4.27   	  9.42   	-137.33		
-79.96   	  0.00   	  8.87   	-106.82		
-79.65   	 -7.93   	  8.44   	-101.73		
-79.35   	-23.50   	  8.04   	-122.07		
-79.04   	-39.98   	  7.55   	-142.42		
-79.35   	-49.74   	  6.98   	-142.42		
-79.96   	-50.66   	  6.41   	-116.99		
-80.57   	-45.78   	  5.94   	 -86.47		
-80.57   	-41.81   	  5.60   	 -66.12		
-79.96   	-44.56   	  5.33   	 -35.61		
-79.04   	-53.10   	  5.19   	 -10.17		
-78.43   	-59.81   	  5.15   	  35.61		
-78.43   	-57.98   	  5.29   	  40.69		
-79.04   	-47.61   	  5.45   	 -35.61		
-80.26   	-37.23   	  5.31   	 -91.56		
-80.87   	-37.54   	  4.94   	 -50.86		
-80.57   	-49.13   	  4.74(D)	  45.78		
-79.65   	-63.48   	  4.92   	 188.20		
-78.74   	-70.50   	  5.68   	 356.05		
-78.74   	-67.14   	  7.10   	 467.95		
-79.04   	-59.51   	  8.97   	 539.16		
-79.96   	-57.37   	 11.13   	 564.60		
-80.57   	-62.26   	 13.39   	 289.93		
-80.26   	-69.27   	 14.55   	-127.16		
-79.65   	-69.89   	 14.04   	-157.68		
-79.04   	-61.95   	 13.41   	   5.09		
-79.04   	-49.74   	 13.43   	  45.78		
-79.65   	-40.89   	 13.61   	  -5.09		
-80.26   	-39.98   	 13.59   	 -61.04		
-80.57   	-46.08   	 13.35   	 -91.56		
-80.26   	-55.24   	 12.98   	 -55.95		
-79.35   	-63.78   	 12.76   	 -35.61		
-78.74   	-70.80   	 12.61   	 -76.30		
-78.74   	-75.07   	 12.31   	-127.16		
-79.35   	-75.07   	 11.80   	-157.68		
-80.26   	-68.36   	 11.17   	-152.59		
-80.87   	-55.85   	 10.56   	-132.25		
-80.57   	-42.11   	 10.03   	 -91.56		
-79.96   	-34.48   	  9.66   	 -25.43		
-79.35   	-36.93   	  9.56   	  45.78		
-79.04   	-47.91   	  9.75   	  86.47		
-79.35   	-60.12   	 10.09   	  76.30		
-80.26   	-65.31   	 10.40   	  35.61		
-80.57   	-62.26   	 10.54   	  25.43		
-80.57   	-56.15   	 10.64   	  45.78		
-79.65   	-53.10   	 10.82   	  71.21		
-79.04   	-55.24   	 11.11   	  76.30		
-78.74   	-58.90   	 11.41   	  71.21		
-79.04   	-60.12   	 11.70   	  40.69		
-79.96   	-59.20   	 11.86   	  30.52		
-80.57   	-59.20   	 11.98   	  25.43		
-80.26   	-61.95   	 12.09   	  25.43		
-79.65   	-65.00   	 12.19   	  40.69		
-79.04   	-66.22   	 12.35   	  35.61		
-78.74   	-65.92   	 12.49   	  30.52		
-79.35   	-67.14   	 12.61   	  20.35		
-79.96   	-71.11   	 12.70   	  35.61		
-80.57   	-74.16   	 12.84   	  45.78		
-80.57   	-72.94   	 13.02   	  50.86		
-79.96   	-66.22   	 13.22   	  40.69		
-79.35   	-58.59   	 13.39   	  25.43		
-79.04   	-54.93   	 13.49   	  15.26		
-79.65   	-57.68   	 13.55   	  10.17		
-80.26   	-62.87   	 13.59   	  25.43		
-80.87   	-65.31   	 13.69   	  30.52		
-80.87   	-63.17   	 13.81   	  25.43		
-79.96   	-58.90   	 13.92   	  15.26		
-79.04   	-57.37   	 13.98   	  -5.09		
-78.74   	-60.73   	 13.96   	 -20.35		
-79.35   	-66.83   	 13.88   	 -35.61		
-79.96   	-72.02   	 13.73   	 -40.69		
-80.87   	-72.94   	 13.57   	 -40.69		
-80.57   	-69.89   	 13.41   	 -25.43		
-79.65   	-65.00   	 13.31   	 -10.17		
-78.74   	-60.73   	 13.27   	  -5.09		
-78.43   	-58.29   	 13.25   	  -5.09		
-78.74   	-57.37   	 13.22   	   0.00		
-79.65   	-57.07   	 13.22   	  10.17		
-80.26   	-56.15   	 13.27   	  30.52		
-79.96   	-54.63   	 13.39   	  30.52		
-79.65   	-52.49   	 13.51   	  25.43		
