  I     	  II     	  PW     	  PW'		
171.20   	148.93   	  8.65   	 -20.35		
164.79   	144.96   	  8.57   	 -15.26		
160.52   	141.60   	  8.50   	 -15.26		
160.52   	139.47   	  8.44   	  -5.09		
164.79   	138.85   	  8.42   	   5.09		
169.98   	139.16   	  8.44   	  10.17		
173.95   	139.16   	  8.48   	  10.17		
175.78   	139.16   	  8.52   	  20.35		
174.87   	139.16   	  8.61   	  20.35		
172.12   	140.38   	  8.69   	  25.43		
168.15   	142.21   	  8.79   	  25.43		
162.96   	142.82   	  8.89   	  25.43		
158.39   	141.91   	  8.99   	  30.52		
155.94   	140.99   	  9.11   	  25.43		
155.33   	141.30   	  9.22   	  30.52		
154.42   	142.21   	  9.34   	  25.43		
150.76   	139.16   	  9.44   	  25.43		
144.65   	126.34   	  9.54   	  20.35		
141.60   	102.84   	  9.62   	  20.35		
151.37   	 78.74   	  9.70   	  15.26		
185.55   	 72.63   	  9.77   	  15.26		
251.16   	105.29   	  9.83   	  15.26		
343.32   	190.73   	  9.89   	  15.26		
443.73   	328.06   	  9.95   	  20.35		
524.60   	490.72   	 10.03   	  20.35		
555.73   	630.80   	 10.11   	  25.43		
516.97   	692.14(R)	 10.21   	  30.52		
408.94   	641.17   	 10.34   	  30.52		
259.70   	489.81   	 10.46   	  30.52		
115.97   	297.85   	 10.58   	  30.52		
 22.58   	140.08   	 10.70   	  25.43		
  2.14   	 65.61   	 10.80   	  20.35		
 40.59   	 72.02   	 10.89   	  15.26		
 99.79   	117.49   	 10.95   	  10.17		
143.74   	157.17   	 10.99(A)	  -5.09		
159.30   	169.98   	 10.97   	 -10.17		
155.64   	160.52   	 10.93   	 -15.26		
149.84   	146.79   	 10.86   	 -20.35		
150.15   	141.30   	 10.78   	 -25.43		
153.50   	145.26   	 10.68   	 -25.43		
154.11   	151.67   	 10.58   	 -20.35		
150.76   	155.64   	 10.50   	 -20.35		
146.79   	155.64   	 10.42   	 -15.26		
146.79   	154.11   	 10.36   	 -15.26		
151.06   	154.11   	 10.29   	  -5.09		
156.56   	156.25   	 10.27   	 -10.17		
161.13   	160.52   	 10.23   	 -10.17		
163.57   	164.79   	 10.19   	 -15.26		
163.57   	168.15   	 10.13   	 -15.26		
162.66   	170.59   	 10.07   	 -20.35		
161.44   	172.42   	  9.99   	 -25.43		
160.83   	173.34   	  9.89   	 -20.35		
162.66   	174.56   	  9.81   	 -10.17		
167.24   	176.70   	  9.77   	  -5.09		
173.03   	180.36   	  9.75   	  10.17		
177.31   	184.63   	  9.79   	  25.43		
177.92   	188.29   	  9.89   	  35.61		
175.17   	190.73   	 10.03   	  45.78		
172.12   	192.26   	 10.21   	  35.61		
170.90   	193.48   	 10.36   	  35.61		
172.42   	194.70   	 10.50   	  15.26		
175.17   	196.84   	 10.56   	   0.00		
178.83   	198.97   	 10.56   	 -20.35		
181.88   	202.03   	 10.48   	 -35.61		
184.94   	206.30   	 10.34   	 -45.78		
187.38   	211.18   	 10.15   	 -55.95		
187.38   	215.76   	  9.93   	 -61.04		
185.55   	219.42   	  9.68   	 -61.04		
183.41   	223.08   	  9.44   	 -50.86		
183.11   	227.05   	  9.24   	 -40.69		
185.55   	232.85   	  9.07   	 -30.52		
191.04   	241.09   	  8.95   	 -20.35		
198.36   	252.08   	  8.87   	  -5.09		
209.35   	267.03   	  8.85   	   0.00		
224.30   	286.25   	  8.85   	   5.09		
239.87   	306.70   	  8.87   	  10.17		
250.24   	321.96   	  8.91   	  10.17		
250.24   	327.76   	  8.95   	  15.26		
240.78   	324.71   	  9.01   	  10.17		
231.02   	320.43   	  9.05   	   5.09		
230.10   	324.40   	  9.07   	   5.09		
241.70   	339.05   	  9.09   	   0.00		
260.01   	359.50   	  9.09   	  -5.09		
276.79   	377.20   	  9.07   	  -5.09		
286.56   	387.27   	  9.05   	  -5.09		
289.92   	390.93   	  9.03   	  -5.09		
290.53   	391.24   	  9.01   	 -10.17		
290.22   	392.15   	  8.97   	 -10.17		
288.39   	393.98   	  8.93   	  -5.09		
283.20   	394.90   	  8.91   	 -10.17		
274.96   	393.98   	  8.87   	  -5.09		
265.20   	390.01   	  8.85   	  -5.09		
254.82   	383.00   	  8.83   	 -10.17		
244.14   	373.23   	  8.79   	  -5.09		
232.54   	360.72   	  8.77   	  -5.09		
219.73   	345.15   	  8.75   	 -10.17		
207.82   	327.45   	  8.71   	 -10.17		
198.06   	309.14   	  8.67   	 -10.17		
191.04   	292.05   	  8.63   	 -10.17		
186.77   	277.10   	  8.59   	 -15.26		
183.11   	263.37   	  8.52   	 -10.17		
180.36   	251.77   	  8.48   	 -15.26		
179.44   	243.53   	  8.42   	 -15.26		
179.75   	238.04   	  8.36   	 -10.17		
177.61   	232.54   	  8.32   	 -10.17		
169.98   	224.00   	  8.28   	 -15.26		
156.56   	210.88   	  8.22   	 -10.17		
141.91   	196.23   	  8.18   	 -10.17		
133.36   	186.46   	  8.14   	 -10.17		
