  I     	  II     	  LV     	  LV'		
-161.44   	-56.46   	132.94   	 462.87		
-158.08   	-54.02   	134.79   	 437.43		
-155.94   	-52.49   	136.54   	 417.09		
-155.33   	-52.19   	138.21   	 406.92		
-156.56   	-52.80   	139.84   	 396.74		
-158.39   	-54.32   	141.42   	 381.48		
-161.13   	-56.15   	142.95   	 366.22		
-165.41   	-58.59   	144.41   	 330.62		
-170.90   	-61.95   	145.74   	 284.84		
-177.92   	-66.53   	146.88   	 249.24		
-184.63   	-71.41   	147.87   	 208.54		
-190.12   	-75.68   	148.71   	 188.20		
-193.79   	-78.13   	149.46   	 183.11		
-195.31   	-77.21   	150.19   	 188.20		
-194.40   	-72.33   	150.95   	 203.46		
-190.73   	-64.09   	151.76   	 208.54		
-184.02   	-53.71   	152.59   	 213.63		
-174.87   	-42.42   	153.45   	 198.37		
-163.27   	-31.13   	154.24   	 172.94		
-151.06   	-19.23   	154.93   	 137.33		
-138.55   	 -7.02   	155.48   	  96.64		
-126.04   	  5.80   	155.87   	  71.21		
-113.22   	 18.62   	156.15   	  55.95		
-100.10   	 31.13   	156.38   	  45.78		
-86.06   	 43.33   	156.56   	  45.78		
-71.41   	 55.54   	156.74   	  50.86		
-57.07   	 67.75   	156.95   	  55.95		
-43.33   	 79.35   	157.17   	  50.86		
-30.21   	 90.64   	157.37   	  35.61		
-16.78   	100.71   	157.52   	  15.26		
 -3.05   	109.86   	157.58   	  -5.09		
 10.07   	117.80   	157.56   	 -30.52		
 23.19   	125.12   	157.44   	 -45.78		
 35.71   	132.14   	157.25   	 -66.12		
 47.91   	138.85   	156.99   	 -81.38		
 59.51   	145.26   	156.66   	 -96.64		
 69.89   	149.84   	156.28   	-111.90		
 79.04   	152.59   	155.83   	-132.25		
 87.28   	153.50   	155.30   	-147.51		
 96.74   	154.11   	154.71   	-167.85		
107.73   	155.33   	154.04   	-178.03		
119.93   	157.17   	153.33   	-198.37		
130.92   	158.69   	152.53   	-208.54		
139.77   	159.30   	151.70   	-233.98		
146.48   	159.30   	150.76   	-249.24		
151.67   	159.30   	149.77   	-279.75		
157.17   	160.83   	148.65   	-305.19		
162.66   	163.57   	147.43   	-340.79		
167.24   	167.54   	146.06   	-381.48		
169.98   	171.51   	144.54   	-422.18		
169.98   	173.95   	142.85   	-452.69		
167.54   	174.56   	141.04   	-483.21		
164.18   	173.65   	139.10   	-508.65		
159.91   	171.51   	137.07   	-534.08		
155.64   	168.15   	134.93   	-564.60		
150.76   	163.88   	132.67   	-600.20		
145.26   	158.69   	130.27   	-635.81		
139.77   	152.28   	127.73   	-671.41		
133.97   	144.96   	125.05   	-712.10		
128.78   	137.33   	122.20   	-742.62		
123.60   	130.31   	119.23   	-762.97		
118.10   	124.21   	116.17   	-762.97		
112.92   	119.02   	113.12   	-752.79		
107.73   	114.75   	110.11   	-737.54		
102.54   	110.47   	107.16   	-727.36		
 97.66   	105.29   	104.25   	-732.45		
 92.77   	100.10   	101.32   	-752.79		
 88.50   	 94.91   	 98.31   	-803.66		
 85.14   	 90.64   	 95.10   	-890.13		
 82.70   	 86.98   	 91.54   	-991.86		
 80.26   	 83.62   	 87.57   	-1098.67		
 77.21   	 79.96   	 83.17   	-1195.32		
 72.94   	 75.99   	 78.39   	-1261.44		
 68.97   	 72.33   	 73.35   	-1276.70		
 66.22   	 69.58   	 68.24   	-1246.18		
 64.70   	 67.75   	 63.26   	-1159.71		
 64.09   	 66.22   	 58.62   	-1037.64		
 62.56   	 64.39   	 54.47   	-905.39		
 59.81   	 61.95   	 50.84   	-762.97		
 56.15   	 58.90   	 47.79   	-635.81		
 52.49   	 55.24   	 45.25   	-539.16		
 49.74   	 51.57   	 43.09   	-478.13		
 48.22   	 48.22   	 41.18   	-447.61		
 47.30   	 46.08   	 39.39   	-437.43		
 46.69   	 44.86   	 37.64   	-442.52		
 45.47   	 44.25   	 35.87   	-457.78		
 43.64   	 44.25   	 34.04   	-457.78		
 41.81   	 44.25   	 32.21   	-462.87		
 39.98   	 43.64   	 30.36   	-442.52		
 38.45   	 42.42   	 28.59   	-422.18		
 36.62   	 40.28   	 26.90   	-391.66		
 34.48   	 37.23   	 25.33   	-356.05		
 32.04   	 34.48   	 23.91   	-325.53		
 29.30   	 32.35   	 22.60   	-300.10		
 27.77   	 31.43   	 21.40   	-274.67		
 27.47   	 31.74   	 20.31   	-264.50		
 28.38   	 32.35   	 19.25   	-254.32		
 29.30   	 32.65   	 18.23   	-239.06		
 29.30   	 32.35   	 17.27   	-228.89		
 27.77   	 31.74   	 16.36   	-213.63		
 25.33   	 30.52   	 15.50   	-193.29		
 23.19   	 29.30   	 14.73   	-167.85		
 21.36   	 27.77   	 14.06   	-147.51		
 19.84   	 26.86   	 13.47   	-116.99		
 17.70   	 26.25   	 13.00   	 -96.64		
 15.26   	 25.63   	 12.61   	 -76.30		
 13.12   	 25.33   	 12.31   	 -55.95		
