  I     	  II     	  AOp     	  AOp'		
-10.99   	 30.21   	109.54   	-640.89		
-18.01   	 28.08   	106.98   	-757.88		
-23.19   	 23.80   	103.95   	-798.57		
-24.72   	 18.01   	100.75   	-732.45		
-22.89   	 13.73   	 97.82   	-595.11		
-19.84   	 12.21   	 95.44   	-406.92		
-18.01   	 13.73   	 93.81   	-233.98		
-18.92   	 17.40   	 92.88   	 -96.64		
-23.19   	 19.84   	 92.49   	 -25.43		
-28.69   	 19.53   	 92.39   	 -35.61		
-32.65   	 15.56   	 92.25   	 -96.64		
-32.04   	 10.07   	 91.86   	-213.63		
-25.33   	  4.58   	 91.01   	-361.14		
-14.65   	  1.83   	 89.56   	-518.82		
 -5.80   	  2.75   	 87.49   	-676.50		
 -2.14   	  8.85   	 84.78   	-798.57		
 -4.27   	 19.84   	 81.59   	-859.61		
 -8.24   	 33.26   	 78.15   	-844.35		
 -7.93   	 45.17   	 74.77   	-762.97		
 -2.14   	 51.27   	 71.72   	-605.29		
  6.41   	 49.74   	 69.30   	-417.09		
 13.12   	 43.33   	 67.63   	-203.46		
 16.17   	 36.62   	 66.82   	   5.09		
 15.56   	 32.96   	 66.84   	 188.20		
 14.04   	 32.96   	 67.59   	 330.62		
 13.12   	 34.48   	 68.91   	 406.92		
 12.51   	 35.40   	 70.54   	 442.52		
 12.51   	 34.18   	 72.31   	 417.09		
 11.60   	 31.43   	 73.98   	 376.40		
  9.46   	 28.38   	 75.48   	 310.27		
  7.93   	 26.25   	 76.72   	 254.32		
  7.63   	 26.25   	 77.74   	 203.46		
  9.46   	 27.77   	 78.56   	 157.68		
 13.73   	 29.91   	 79.19   	 106.82		
 18.62   	 30.21   	 79.61   	  66.12		
 21.67   	 26.86   	 79.88   	  15.26		
 20.45   	 20.14   	 79.94   	 -30.52		
 15.56   	 13.73   	 79.82   	 -86.47		
  9.77   	 10.68   	 79.47   	-137.33		
  6.10   	 11.90   	 78.92   	-188.20		
  5.80   	 15.26   	 78.17   	-233.98		
  6.41   	 16.17   	 77.23   	-274.67		
  5.19   	 13.43   	 76.13   	-295.01		
  0.61   	  7.63   	 74.95   	-305.19		
 -6.71   	  2.75   	 73.73   	-310.27		
-14.04   	  0.92   	 72.49   	-300.10		
-19.23   	  1.83   	 71.29   	-284.84		
