  I     	  II     	  LV     	  LV'		
-54.93   	-72.33   	  0.67   	  10.17		
-55.85   	-75.07   	  0.71   	  20.35		
-54.93   	-75.68   	  0.79   	  45.78		
-53.41   	-74.77   	  0.98   	  71.21		
-52.49   	-73.55   	  1.26   	  81.38		
-52.19   	-72.63   	  1.59   	 106.82		
-52.19   	-72.63   	  2.01   	 111.90		
-51.88   	-72.63   	  2.46   	 122.07		
-51.57   	-72.94   	  2.95   	 127.16		
-51.88   	-72.94   	  3.46   	 127.16		
-52.80   	-72.94   	  3.97   	 122.07		
-53.71   	-72.94   	  4.46   	 116.99		
-54.32   	-72.63   	  4.92   	 111.90		
-54.93   	-72.63   	  5.37   	 111.90		
-54.93   	-72.63   	  5.82   	  96.64		
-54.32   	-72.63   	  6.21   	  96.64		
-53.10   	-72.33   	  6.59   	  81.38		
-51.27   	-71.41   	  6.92   	  66.12		
-49.74   	-70.80   	  7.18   	  55.95		
-50.35   	-71.11   	  7.41   	  40.69		
-52.80   	-72.63   	  7.57   	  30.52		
-55.54   	-74.77   	  7.69   	  15.26		
-56.46   	-76.90   	  7.75   	  10.17		
-55.54   	-77.82   	  7.79   	   0.00		
-53.71   	-78.13   	  7.79   	   0.00		
-52.19   	-77.82   	  7.79   	  -5.09		
-52.19   	-77.51   	  7.77   	 -10.17		
-52.49   	-76.90   	  7.73   	 -10.17		
-52.49   	-75.99   	  7.69   	 -25.43		
-51.57   	-74.16   	  7.59   	 -30.52		
-50.05   	-72.63   	  7.47   	 -50.86		
-48.83   	-72.02   	  7.26   	 -71.21		
-49.13   	-72.94   	  6.98   	 -81.38		
-50.66   	-75.38   	  6.65   	 -91.56		
-52.80   	-77.51   	  6.29   	-101.73		
-54.32   	-78.74   	  5.88   	-101.73		
-54.02   	-78.43   	  5.47   	-101.73		
-51.88   	-75.99   	  5.07   	-101.73		
-48.83   	-72.02   	  4.66   	 -91.56		
-45.17   	-66.83   	  4.29   	 -81.38		
-41.20   	-60.12   	  3.97   	 -76.30		
-36.32   	-53.71   	  3.66   	 -61.04		
-31.74   	-49.13   	  3.42   	 -50.86		
-28.38   	-47.91   	  3.21   	 -30.52		
-27.16   	-49.13   	  3.09   	  -5.09		
-26.86   	-50.35   	  3.07   	  25.43		
-24.72   	-48.22   	  3.17   	  45.78		
-17.40   	-40.89   	  3.36   	  66.12		
 -4.27   	-27.77   	  3.62   	  86.47		
 11.60   	-10.38   	  3.97   	  91.56		
 24.41   	  9.16   	  4.33   	  86.47		
 30.21   	 26.55   	  4.68   	  86.47		
 28.99   	 37.54   	  5.03   	  71.21		
 24.11   	 38.45   	  5.31   	  66.12		
 20.45   	 31.74   	  5.57   	  66.12		
 19.53   	 21.67   	  5.84   	  71.21		
