  I     	  II     	  LVp     	  LVp'		
-70.80   	-161.44   	 -0.92   	 -76.30		
-79.04   	-166.93   	 -1.22   	 -61.04		
-85.14   	-165.10   	 -1.46   	 -40.69		
-89.11   	-166.02   	 -1.63   	 -20.35		
-89.42   	-172.42   	 -1.71   	  -5.09		
-82.40   	-176.70   	 -1.73   	  10.17		
-69.27   	-171.51   	 -1.69   	  25.43		
-58.29   	-159.00   	 -1.59   	  35.61		
-57.07   	-149.84   	 -1.44   	  45.78		
-65.61   	-150.45   	 -1.26   	  55.95		
-75.38   	-157.47   	 -1.04   	  61.04		
-76.29   	-159.61   	 -0.79   	  55.95		
-66.83   	-151.98   	 -0.57   	  61.04		
-56.15   	-138.85   	 -0.33   	  61.04		
-52.80   	-131.53   	 -0.08   	  50.86		
-60.73   	-137.33   	  0.12   	  45.78		
-75.07   	-152.89   	  0.31   	  35.61		
-86.06   	-165.71   	  0.45   	  30.52		
-90.03   	-169.07   	  0.57   	  15.26		
-89.11   	-164.49   	  0.63   	  10.17		
-85.45   	-156.86   	  0.67   	  -5.09		
-82.70   	-153.81   	  0.65   	 -10.17		
-80.26   	-155.64   	  0.61   	 -20.35		
-75.07   	-157.47   	  0.53   	 -30.52		
-66.22   	-155.03   	  0.41   	 -35.61		
-56.46   	-148.32   	  0.26   	 -45.78		
-50.05   	-139.16   	  0.08   	 -50.86		
-46.39   	-129.39   	 -0.12   	 -61.04		
-41.81   	-118.10   	 -0.37   	 -61.04		
-31.74   	-102.54   	 -0.61   	 -66.12		
-18.92   	-85.75   	 -0.87   	 -66.12		
-10.07   	-73.55   	 -1.14   	 -71.21		
 -9.77   	-69.27   	 -1.42   	 -76.30		
-16.48   	-71.11   	 -1.73   	 -71.21		
-21.36   	-70.80   	 -2.01   	 -76.30		
-16.78   	-60.12   	 -2.32   	 -76.30		
 -3.66   	-39.06   	 -2.62   	 -71.21		
 10.68   	-14.65   	 -2.91   	 -71.21		
 20.14   	  6.41   	 -3.19   	 -71.21		
 25.02   	 21.97   	 -3.48   	 -61.04		
 30.52   	 35.40   	 -3.72   	 -61.04		
