  I     	  II     	  PW     	  PW'		
-141.30   	262.15   	 12.33   	  30.52		
-159.91   	296.94   	 12.45   	  35.61		
-162.35   	294.19   	 12.59   	  35.61		
-114.75   	305.48   	 12.74   	  30.52		
-104.37   	314.94   	 12.86   	  35.61		
-87.28   	318.30   	 13.00   	  35.61		
-91.55   	318.60   	 13.14   	  30.52		
-126.34   	326.54   	 13.27   	  30.52		
-129.70   	325.01   	 13.39   	  25.43		
-124.21   	301.21   	 13.49   	  20.35		
-114.44   	296.94   	 13.57   	  20.35		
-100.10   	301.82   	 13.65   	  25.43		
-98.57   	292.66   	 13.75   	  20.35		
-92.16   	281.37   	 13.84   	  20.35		
-81.79   	287.17   	 13.92   	  20.35		
-73.24   	269.78   	 14.00   	  25.43		
-66.22   	273.74   	 14.10   	  25.43		
-44.25   	283.20   	 14.20   	  25.43		
-25.63   	269.47   	 14.30   	  25.43		
-28.08   	263.67   	 14.40   	  25.43		
-32.65   	236.51   	 14.51   	  20.35		
-24.72   	231.02   	 14.59   	  15.26		
-20.45   	199.89   	 14.65   	  10.17		
 -9.46   	185.24   	 14.69   	   5.09		
  8.24   	191.04   	 14.71   	   0.00		
 -4.58   	161.13   	 14.71   	 -10.17		
 -1.53   	170.59   	 14.67   	 -10.17		
 -8.54   	151.06   	 14.63   	 -15.26		
 -4.27   	119.93   	 14.57   	 -25.43		
  0.31   	 97.66   	 14.47   	 -20.35		
-31.43   	 69.27   	 14.38   	 -30.52		
-39.37   	 50.35   	 14.26   	 -25.43		
-27.77   	 41.81   	 14.16   	 -30.52		
-30.21   	 34.48   	 14.04   	 -30.52		
-29.91   	 14.04   	 13.92   	 -30.52		
-24.11   	  9.16   	 13.79   	 -20.35		
-21.36   	 -8.54   	 13.71   	 -25.43		
-29.30   	-26.55   	 13.61   	 -15.26		
-14.95   	 -9.16   	 13.55   	 -15.26		
  0.31   	-31.13   	 13.49   	  -5.09		
-28.08   	-24.41   	 13.47   	   0.00		
-39.37   	-23.50   	 13.47   	   5.09		
-30.82   	-43.95   	 13.49   	   5.09		
-38.45   	-33.26   	 13.51   	  15.26		
-40.28   	-41.20   	 13.57   	  15.26		
-38.15   	-42.72   	 13.63   	  15.26		
-31.74   	-40.28   	 13.69   	  15.26		
-44.56   	-52.49   	 13.75   	  15.26		
-43.64   	-47.30   	 13.81   	  15.26		
-30.21   	-50.96   	 13.88   	   5.09		
-41.81   	-52.80   	 13.90   	  10.17		
-40.89   	-52.80   	 13.94   	   0.00		
-21.06   	-61.34   	 13.94   	   0.00		
-24.41   	-68.36   	 13.94   	  -5.09		
-21.06   	-68.97   	 13.92   	 -10.17		
-31.43   	-67.44   	 13.88   	 -15.26		
-37.84   	-72.33   	 13.81   	 -15.26		
-35.10   	-69.58   	 13.75   	 -20.35		
-36.32   	-62.87   	 13.67   	 -25.43		
-27.47   	-63.48   	 13.57   	 -20.35		
-31.43   	-55.54   	 13.49   	 -20.35		
-35.10   	-39.06   	 13.41   	 -25.43		
-28.38   	 -4.27   	 13.31   	 -15.26		
-33.26   	 29.30   	 13.25   	 -20.35		
-13.43   	 77.82   	 13.16   	 -15.26		
 24.72   	149.23   	 13.10   	 -10.17		
 80.57   	200.20   	 13.06   	 -10.17		
180.97   	298.77   	 13.02   	 -10.17		
308.84   	392.46   	 12.98   	 -10.17		
413.82   	434.27   	 12.94   	  -5.09		
489.20   	436.40   	 12.92   	  -5.09		
545.35   	408.33   	 12.90   	  -5.09		
522.16   	357.67   	 12.88   	  -5.09		
491.64   	301.82   	 12.86   	   0.00		
439.45   	272.22   	 12.86   	  -5.09		
371.70   	171.81   	 12.84   	  -5.09		
359.80   	 28.08   	 12.82   	   5.09		
332.03   	-128.48   	 12.84   	   0.00		
338.13   	-289.61   	 12.84   	   5.09		
350.04   	-464.48   	 12.86   	   5.09		
316.77   	-596.01   	 12.88   	  10.17		
283.20   	-688.48   	 12.92   	   5.09		
250.24   	-744.32(R)	 12.94   	   0.00		
200.81   	-695.19   	 12.94   	   0.00		
156.56   	-574.04   	 12.94   	  -5.09		
114.44   	-441.89   	 12.92   	 -15.26		
 66.22   	-317.99   	 12.86   	 -20.35		
 36.93   	-219.73   	 12.78   	 -20.35		
 15.87   	-159.30   	 12.70   	 -25.43		
 -0.31   	-140.69   	 12.59   	 -25.43		
-19.53   	-148.93   	 12.49   	 -30.52		
-44.25   	-174.56   	 12.37   	 -25.43		
-66.53   	-230.71   	 12.27   	 -25.43		
-78.13   	-245.06   	 12.17   	 -25.43		
-83.01   	-236.21   	 12.07   	 -20.35		
-95.21   	-227.97   	 11.98   	 -15.26		
-88.81   	-180.05   	 11.92   	  -5.09		
-81.79   	-131.23   	 11.90   	   0.00		
-70.80   	-88.20   	 11.90   	  10.17		
-54.32   	-41.20   	 11.94   	  25.43		
-42.72   	-28.69   	 12.04   	  30.52		
-44.56   	-32.96   	 12.17   	  45.78		
-51.27   	-27.47   	 12.35   	  55.95		
-45.47   	-30.52   	 12.57   	  61.04		
-59.81   	-21.36   	 12.82   	  71.21		
-67.14   	 10.38   	 13.10   	  71.21		
-73.85   	  4.58   	 13.39   	  66.12		
-80.87   	 24.41   	 13.65   	  66.12		
-101.62   	 41.81   	 13.92   	  50.86		
-108.95   	 39.67   	 14.12   	  40.69		
-100.10   	 51.88   	 14.28   	  25.43		
-117.19   	 59.81   	 14.38   	  10.17		
-97.66   	 73.55   	 14.43   	  -5.09		
-72.02   	 92.16   	 14.40   	 -15.26		
-88.81   	102.23   	 14.34   	 -30.52		
-68.97   	121.15   	 14.22   	 -35.61		
-67.75   	132.75   	 14.08   	 -40.69		
-76.60   	148.62   	 13.92   	 -45.78		
-77.21   	161.44   	 13.73   	 -35.61		
-79.35   	173.95   	 13.59   	 -35.61		
-95.21   	180.66   	 13.45   	 -25.43		
-103.15   	202.03   	 13.35   	 -15.26		
-98.88   	216.37   	 13.29   	   0.00		
-111.08   	229.19   	 13.29   	  15.26		
-106.51   	263.67   	 13.35   	  30.52		
-119.32   	278.93   	 13.47   	  40.69		
-139.16   	275.88   	 13.63   	  50.86		
-132.45   	307.62   	 13.84   	  61.04		
-128.78   	296.94   	 14.08   	  66.12		
-111.39   	291.44   	 14.34   	  66.12		
-106.81   	311.58   	 14.61   	  66.12		
-103.45   	314.33   	 14.87   	  61.04		
-114.44   	319.21   	 15.12   	  61.04		
-129.09   	320.43   	 15.36   	  50.86		
-121.15   	320.74   	 15.56   	  40.69		
-116.27   	313.11   	 15.73   	  35.61		
-98.27   	302.43   	 15.87   	  25.43		
-66.53   	320.43   	 15.97   	  15.26		
-46.39   	311.28   	 16.03   	   5.09		
-34.79   	313.42   	 16.05   	   5.09		
-34.18   	349.43   	 16.07(A)	  -5.09		
-53.41   	332.34   	 16.05   	   0.00		
-44.25   	346.37   	 16.05   	   5.09		
-12.21   	372.31   	 16.07   	  10.17		
 -5.19   	331.42   	 16.11   	  25.43		
 13.43   	328.37   	 16.22   	  35.61		
 32.65   	325.62   	 16.36   	  45.78		
 14.65   	296.02   	 16.54   	  61.04		
 15.56   	285.64   	 16.79   	  71.21		
 34.18   	277.71   	 17.07   	  81.38		
 19.53   	249.94   	 17.40   	  81.38		
  2.44   	216.67   	 17.72   	  86.47		
  9.16   	200.81   	 18.07   	  86.47		
  3.05   	178.22   	 18.41   	  76.30		
  3.05   	159.30   	 18.72   	  66.12		
 16.78   	149.23   	 18.98   	  55.95		
 23.19   	131.53   	 19.21   	  45.78		
 13.43   	111.69   	 19.39   	  25.43		
 18.31   	 97.35   	 19.49   	  20.35		
  1.53   	 76.60   	 19.57(V)	   0.00		
-22.28   	 61.65   	 19.57   	  -5.09		
-18.92   	 59.51   	 19.55   	 -10.17		
-32.65   	 54.02   	 19.51   	 -20.35		
-11.29   	 43.95   	 19.43   	 -25.43		
 23.19   	 49.13   	 19.33   	 -25.43		
 10.99   	 44.25   	 19.23   	 -25.43		
 15.56   	 30.52   	 19.13   	 -25.43		
 10.07   	 32.35   	 19.02   	 -25.43		
-12.51   	 23.50   	 18.92   	 -25.43		
-18.01   	  8.54   	 18.82   	 -20.35		
-30.52   	 25.02   	 18.74   	 -15.26		
-48.52   	 23.19   	 18.68   	 -20.35		
-35.71   	 30.21   	 18.60   	 -15.26		
 -0.92   	 42.11   	 18.54   	 -15.26		
 22.58   	 21.67   	 18.47   	 -20.35		
 49.13   	 26.25   	 18.39   	 -15.26		
 38.76   	 36.01   	 18.33   	 -20.35		
 11.29   	 27.16   	 18.25   	 -20.35		
  1.22   	 27.47   	 18.17   	 -20.35		
 -4.58   	 17.09   	 18.09   	 -20.35		
 -8.54   	 15.56   	 18.01   	 -30.52		
-20.45   	 11.29   	 17.88   	 -25.43		
-18.92   	 23.80   	 17.78   	 -30.52		
-20.45   	 36.01   	 17.66   	 -30.52		
-28.99   	 20.14   	 17.54   	 -30.52		
-26.55   	 10.99   	 17.42   	 -35.61		
-12.21   	  8.24   	 17.27   	 -30.52		
 -5.19   	 -2.75   	 17.15   	 -30.52		
 -7.63   	 -4.58   	 17.03   	 -25.43		
 31.13   	 11.60   	 16.93   	 -20.35		
 24.72   	  9.46   	 16.85   	 -20.35		
 11.60   	  7.32   	 16.76   	 -15.26		
 12.21   	 21.97   	 16.70   	 -15.26		
-19.53   	 -2.14   	 16.64   	 -10.17		
-23.80   	  9.46   	 16.60   	 -10.17		
-48.52   	  7.93   	 16.56   	 -10.17		
-53.10   	  2.14   	 16.52   	 -10.17		
-36.93   	 28.38   	 16.48   	 -10.17		
-34.48   	 22.89   	 16.44   	 -10.17		
 -4.88   	 56.46   	 16.40   	 -10.17		
 27.77   	 96.74   	 16.36   	 -15.26		
 56.76   	137.02   	 16.30   	 -15.26		
100.10   	212.40   	 16.24   	 -15.26		
175.78   	286.25   	 16.17   	 -20.35		
282.29   	403.75   	 16.09   	 -15.26		
395.51   	474.24   	 16.03   	 -20.35		
499.88   	513.61   	 15.95   	 -20.35		
566.41   	514.83   	 15.87   	 -15.26		
586.55   	448.00   	 15.81   	 -15.26		
590.52   	409.24   	 15.75   	 -15.26		
551.76   	353.09   	 15.69   	 -10.17		
502.93   	301.21   	 15.65   	  -5.09		
453.80   	206.30   	 15.63   	   0.00		
402.53   	 85.45   	 15.63   	   5.09		
405.58   	-19.53   	 15.65   	  15.26		
405.27   	-132.14   	 15.71   	  25.43		
403.44   	-242.00   	 15.81   	  25.43		
396.12   	-352.78   	 15.91   	  25.43		
344.85   	-433.96   	 16.01   	  20.35		
298.46   	-505.37   	 16.09   	  20.35		
273.44   	-470.89   	 16.17   	  10.17		
217.29   	-396.42   	 16.22   	   5.09		
177.00   	-312.50   	 16.24   	  -5.09		
121.46   	-191.96   	 16.22   	 -10.17		
 62.87   	-140.99   	 16.17   	 -15.26		
 27.47   	-103.45   	 16.11   	 -20.35		
 -2.44   	-78.74   	 16.03   	 -30.52		
-24.72   	-116.27   	 15.91   	 -30.52		
-46.08   	-151.37   	 15.79   	 -45.78		
-56.46   	-174.87   	 15.61   	 -50.86		
-60.73   	-192.26   	 15.40   	 -61.04		
-67.75   	-192.26   	 15.16   	 -71.21		
-53.71   	-158.39   	 14.87   	 -66.12		
-53.71   	-107.73   	 14.61   	 -61.04		
-54.93   	-73.24   	 14.36   	 -61.04		
-41.81   	-33.26   	 14.12   	 -45.78		
-39.98   	 -5.49   	 13.94   	 -35.61		
-47.00   	 -3.97   	 13.79   	 -25.43		
-62.56   	-12.21   	 13.69   	  -5.09		
-65.31   	 17.40   	 13.67   	  10.17		
-67.75   	 25.33   	 13.71   	  25.43		
-73.55   	 33.57   	 13.81   	  35.61		
-77.21   	 43.03   	 13.96   	  45.78		
-97.96   	 40.59   	 14.14   	  50.86		
-118.10   	 47.30   	 14.34   	  45.78		
-119.93   	 53.10   	 14.53   	  35.61		
-87.89   	 83.92   	 14.67   	  30.52		
-51.88   	 94.60   	 14.79   	  15.26		
-47.91   	 94.60   	 14.85   	   0.00		
-49.13   	118.41   	 14.85   	 -10.17		
-72.02   	119.63   	 14.81   	 -25.43		
-104.68   	145.57   	 14.71   	 -35.61		
-107.73   	166.32   	 14.57   	 -40.69		
-101.93   	182.50   	 14.40   	 -50.86		
-104.06   	203.86   	 14.20   	 -45.78		
-123.90   	205.99   	 14.02   	 -45.78		
-123.90   	220.64   	 13.84   	 -40.69		
-127.26   	243.84   	 13.67   	 -30.52		
-131.84   	258.18   	 13.55   	 -15.26		
-102.84   	279.24   	 13.49   	   0.00		
-95.21   	275.88   	 13.49   	  15.26		
-113.22   	285.64   	 13.55   	  25.43		
-137.94   	305.79   	 13.65   	  45.78		
-156.25   	307.31   	 13.84   	  55.95		
-169.07   	340.27   	 14.06   	  66.12		
-157.78   	341.49   	 14.32   	  66.12		
-146.48   	331.12   	 14.59   	  71.21		
-136.72   	345.15   	 14.87   	  66.12		
-157.47   	336.61   	 15.14   	  61.04		
-171.20   	346.07   	 15.38   	  50.86		
-168.46   	346.98   	 15.58   	  45.78		
-157.78   	351.26   	 15.77   	  30.52		
-137.02   	352.48   	 15.89   	  25.43		
-112.00   	351.26   	 15.99   	  10.17		
-94.60   	340.88   	 16.03   	   5.09		
-114.75   	328.67   	 16.05   	   5.09		
-100.71   	333.25   	 16.07   	  -5.09		
-97.96   	341.80   	 16.05   	   5.09		
-88.81   	357.97   	 16.07   	   5.09		
-50.05   	361.63   	 16.09   	  10.17		
-36.62   	355.53   	 16.13   	  25.43		
 -7.32   	349.12   	 16.24   	  35.61		
  2.75   	341.80   	 16.38   	  45.78		
  3.66   	333.56   	 16.56   	  50.86		
 15.87   	330.51   	 16.76   	  61.04		
  5.49   	317.69   	 17.01   	  66.12		
  6.71   	289.61   	 17.27   	  66.12		
 25.02   	279.54   	 17.54   	  66.12		
 23.80   	258.79   	 17.80   	  61.04		
 27.16   	232.54   	 18.05   	  55.95		
 32.65   	218.20   	 18.27   	  45.78		
 18.31   	199.89   	 18.45   	  35.61		
 10.07   	161.13   	 18.60   	  25.43		
 15.26   	145.26   	 18.70   	  20.35		
 12.82   	138.24   	 18.78   	  10.17		
  4.88   	113.83   	 18.82   	   5.09		
 15.87   	126.34   	 18.84   	  -5.09		
  9.46   	104.98   	 18.82   	  -5.09		
  4.58   	 82.40   	 18.80   	 -15.26		
 12.51   	 77.82   	 18.74   	 -15.26		
  3.66   	 57.68   	 18.68   	 -15.26		
