  I     	  II     	  LV     	  LV'		  AO     	  AO'		
505.68   	-55.85   	 15.24   	  66.12		 47.34   	 -15.26		
502.62   	-55.24   	 15.50   	  76.30		 47.28   	 -20.35		
496.22   	-60.12   	 15.81   	  71.21		 47.20   	 -15.26		
488.28   	-65.31   	 16.09   	  81.38		 47.14   	 -15.26		
480.96   	-53.71   	 16.42   	  86.47		 47.08   	 -15.26		
478.21   	 -0.61   	 16.76   	  86.47		 47.02   	  -5.09		
484.01   	116.27   	 17.11   	  91.56		 47.00   	 -10.17		
502.01   	305.18   	 17.48   	  86.47		 46.96   	  -5.09		
534.06   	556.64   	 17.82   	 147.51		 46.94   	  -5.09		
624.08   	1143.80   	 18.41   	  50.86		 46.92   	   0.00		
664.06   	1388.86   	 18.62   	  35.61		 46.92   	   0.00		
683.90   	1499.94   	 18.76   	  20.35		 46.92   	   0.00		
673.83   	1401.98   	 18.84   	  10.17		 46.92   	  -5.09		
634.46   	1083.68   	 18.88   	   0.00		 46.90   	  -5.09		
577.39   	628.36   	 18.88   	   0.00		 46.88   	  -5.09		
520.32   	186.77   	 18.88   	  15.26		 46.86   	 -15.26		
477.91   	-103.76   	 18.94   	  40.69		 46.80   	 -15.26		
453.80   	-203.25   	 19.10   	  76.30		 46.73   	 -15.26		
442.20   	-175.17   	 19.41   	 132.25		 46.67   	 -20.35		
435.18   	-118.10   	 19.94   	 198.37		 46.59   	 -25.43		
429.08   	-90.94   	 20.73   	 279.75		 46.49   	 -20.35		
424.80   	-93.08   	 21.85   	 376.40		 46.41   	 -20.35		
423.28   	-94.91   	 23.36   	 473.04		 46.33   	 -15.26		
422.97   	-79.35   	 25.25   	 579.86		 46.27   	 -10.17		
420.84   	-52.49   	 27.57   	 691.76		 46.23   	   0.00		
415.65   	-30.52   	 30.34   	 798.57		 46.23   	  15.26		
408.63   	-21.67   	 33.53   	 890.13		 46.29   	  30.52		
402.83   	-21.67   	 37.09   	 961.34		 46.41   	  55.95		
399.48   	-25.02   	 40.94   	1002.03		 46.63   	  81.38		
397.64   	-28.08   	 44.94   	1022.38		 46.96   	 111.90		
394.59   	-30.82   	 49.03   	1002.03		 47.41   	 147.51		
390.01   	-33.26   	 53.04   	 956.25		 48.00   	 178.03		
383.91   	-35.40   	 56.87   	 890.13		 48.71   	 218.72		
378.11   	-38.45   	 60.43   	 813.83		 49.58   	 249.24		
373.23   	-41.20   	 63.68   	 737.54		 50.58   	 289.93		
