  I     	  II     	  LVp     	  LVp'		
-42.42   	-65.31   	 11.41   	 -10.17		
-44.86   	-69.89   	 11.37   	 -10.17		
-47.00   	-74.77   	 11.33   	 -10.17		
-47.91   	-76.60   	 11.29   	  -5.09		
-47.00   	-74.77   	 11.27   	 -10.17		
-45.17   	-69.58   	 11.23   	 -10.17		
-42.72   	-62.26   	 11.19   	  -5.09		
-42.42   	-54.93   	 11.17   	  -5.09		
-43.95   	-49.13   	 11.15   	  -5.09		
-45.47   	-46.08   	 11.13   	  -5.09		
-45.47   	-46.39   	 11.11   	  -5.09		
-43.95   	-48.22   	 11.09   	   0.00		
-42.42   	-49.74   	 11.09   	   5.09		
-40.89   	-49.13   	 11.11   	   0.00		
-39.98   	-47.00   	 11.11   	  10.17		
-38.76   	-44.86   	 11.15   	  10.17		
-36.93   	-44.56   	 11.19   	  10.17		
-36.01   	-46.69   	 11.23   	  15.26		
-37.23   	-49.74   	 11.29   	  20.35		
-39.98   	-52.19   	 11.37   	  25.43		
-41.81   	-52.49   	 11.48   	  20.35		
-40.89   	-50.96   	 11.56   	  20.35		
-37.54   	-50.05   	 11.64   	  20.35		
-33.57   	-51.27   	 11.72   	  20.35		
-30.82   	-55.54   	 11.80   	  15.26		
-29.60   	-60.73   	 11.86   	  10.17		
-29.60   	-64.09   	 11.90   	   5.09		
-29.60   	-65.31   	 11.92   	   0.00		
-29.30   	-64.70   	 11.92   	  -5.09		
-28.99   	-63.48   	 11.90   	   5.09		
-28.99   	-61.95   	 11.92   	  20.35		
-29.30   	-59.51   	 12.00   	  50.86		
-29.91   	-56.15   	 12.21   	  76.30		
-30.82   	-54.32   	 12.51   	 106.82		
-31.74   	-56.46   	 12.94   	 137.33		
-32.04   	-61.95   	 13.49   	 152.59		
-31.74   	-68.36   	 14.10   	 147.51		
-31.13   	-71.41   	 14.69   	 137.33		
-31.13   	-69.89   	 15.24   	 101.73		
-32.65   	-63.78   	 15.65   	  61.04		
-34.48   	-56.46   	 15.89   	  10.17		
-35.71   	-50.96   	 15.93   	 -35.61		
