  I     	  II     	  LVp     	  LVp'		
-26.55   	-27.77   	 98.27   	 310.27		
-13.73   	-15.56   	 99.51   	 284.84		
 -4.88   	 -3.36   	100.65   	 269.58		
 -4.88   	  4.27   	101.73   	 269.58		
-12.82   	  6.10   	102.81   	 269.58		
-24.11   	  4.58   	103.89   	 274.67		
-32.35   	  3.05   	104.98   	 284.84		
-34.79   	  2.75   	106.12   	 295.01		
-31.13   	  2.44   	107.30   	 295.01		
-24.11   	  1.83   	108.48   	 295.01		
-15.26   	  2.75   	109.66   	 300.10		
 -6.71   	  6.41   	110.86   	 310.27		
 -0.92   	 11.29   	112.11   	 325.53		
  2.14   	 15.56   	113.41   	 335.71		
  2.75   	 18.01   	114.75   	 335.71		
  2.75   	 18.62   	116.09   	 330.62		
  3.05   	 19.53   	117.42   	 335.71		
  4.27   	 23.50   	118.76   	 340.79		
  5.49   	 31.13   	120.12   	 345.88		
  7.32   	 41.20   	121.51   	 350.97		
 10.07   	 51.27   	122.91   	 340.79		
 14.65   	 59.20   	124.27   	 320.45		
 21.97   	 65.61   	125.55   	 284.84		
 31.43   	 72.33   	126.69   	 259.41		
 44.25   	 80.57   	127.73   	 223.80		
 61.95   	 89.72   	128.63   	 198.37		
 81.48   	 97.35   	129.42   	 178.03		
 94.30   	103.76   	130.13   	 142.42		
 94.30   	110.78   	130.70   	 122.07		
 79.96   	119.02   	131.19   	  96.64		
 58.90   	127.87   	131.58   	  81.38		
 46.08   	133.97   	131.90   	  81.38		
 51.57   	134.89   	132.23   	  71.21		
 72.94   	133.97   	132.51   	  71.21		
 96.13   	134.89   	132.80   	  66.12		
108.95   	140.38   	133.06   	  55.95		
109.56   	149.23   	133.29   	  50.86		
105.90   	158.39   	133.49   	  45.78		
107.42   	164.79   	133.67   	  35.61		
115.36   	168.76   	133.81   	  25.43		
122.38   	169.37   	133.92   	  20.35		
118.71   	166.02   	134.00   	  15.26		
102.23   	158.08   	134.06   	  15.26		
 79.96   	145.57   	134.12   	  10.17		
 61.65   	130.92   	134.16   	  10.17		
 54.02   	117.49   	134.20   	   5.09		
 56.46   	107.73   	134.22   	  10.17		
 64.70   	101.93   	134.26   	  15.26		
 70.50   	 96.44   	134.32   	  15.26		
 67.75   	 86.36   	134.38   	  10.17		
 55.24   	 69.89   	134.42   	  10.17		
 36.62   	 51.57   	134.47   	  10.17		
 18.62   	 38.45   	134.51   	  10.17		
  6.10   	 33.87   	134.55   	   0.00		
 -0.31   	 34.18   	134.55   	 -10.17		
 -4.58   	 31.74   	134.51   	 -30.52		
-10.38   	 20.75   	134.38   	 -55.95		
-17.70   	  2.44   	134.16   	 -91.56		
-23.50   	-16.48   	133.79   	-122.07		
-24.11   	-28.08   	133.31   	-162.77		
-17.09   	-30.52   	132.65   	-208.54		
 -4.27   	-26.25   	131.82   	-254.32		
  5.49   	-20.14   	130.80   	-315.36		
  3.66   	-16.17   	129.54   	-371.31		
-10.68   	-15.56   	128.06   	-412.00		
-31.43   	-17.40   	126.41   	-427.26		
-46.39   	-18.92   	124.70   	-452.69		
-46.69   	-19.84   	122.89   	-544.25		
-34.18   	-20.14   	120.71   	-722.28		
-18.31   	-21.36   	117.82   	-910.47		
 -7.63   	-24.11   	114.18   	-1073.24		
 -5.49   	-26.86   	109.89   	-1190.23		
-10.07   	-28.08   	105.13   	-1281.79		
-17.40   	-26.55   	100.00   	-1363.17		
-24.41   	-22.58   	 94.55   	-1429.29		
-28.08   	-18.01   	 88.83   	-1454.72		
-28.38   	-14.95   	 83.01   	-1429.29		
-26.86   	-14.04   	 77.29   	-1373.34		
