  I     	  II     	  AO     	  AO'		  CH2     	  CH2'		
 -1.83   	-36.01   	 76.07   	 -50.86		  0.39   	  -5.09		
 -3.97   	-36.93   	 75.87   	 -45.78		  0.37   	 -10.17		
 -5.19   	-38.15   	 75.69   	 -45.78		  0.33   	  -5.09		
 -4.58   	-37.84   	 75.50   	 -40.69		  0.31   	 -10.17		
 -3.05   	-35.40   	 75.34   	 -40.69		  0.26   	  -5.09		
 -1.83   	-31.74   	 75.18   	 -40.69		  0.24   	  -5.09		
 -1.83   	-27.77   	 75.01   	 -40.69		  0.22   	  -5.09		
 -2.75   	-25.02   	 74.85   	 -40.69		  0.20   	 -10.17		
 -4.27   	-23.80   	 74.69   	 -40.69		  0.16   	  -5.09		
 -5.19   	-23.50   	 74.53   	 -40.69		  0.14   	  -5.09		
 -5.19   	-23.80   	 74.36   	 -45.78		  0.12   	  -5.09		
 -3.97   	-24.41   	 74.18   	 -45.78		  0.10   	 -10.17		
 -1.83   	-25.02   	 74.00   	 -45.78		  0.06   	 -10.17		
  1.22   	-25.63   	 73.81   	 -50.86		  0.02   	  -5.09		
  4.27   	-27.16   	 73.61   	 -55.95		  0.00   	 -10.17		
  7.02   	-29.91   	 73.39   	 -55.95		 -0.04   	 -15.26		
  9.46   	-34.48   	 73.16   	 -55.95		 -0.10   	 -10.17		
 11.29   	-40.59   	 72.94   	 -61.04		 -0.14   	 -10.17		
 10.99   	-46.39   	 72.70   	 -61.04		 -0.18   	 -10.17		
  8.54   	-49.74   	 72.45   	 -61.04		 -0.22   	 -15.26		
  5.19   	-49.74   	 72.21   	 -66.12		 -0.28   	 -10.17		
  2.14   	-47.00   	 71.94   	 -61.04		 -0.33   	 -10.17		
  0.00   	-43.95   	 71.70   	 -66.12		 -0.37   	 -15.26		
 -0.61   	-43.33   	 71.43   	 -66.12		 -0.43   	  -5.09		
 -1.22   	-46.69   	 71.17   	 -61.04		 -0.45   	 -10.17		
 -2.44   	-51.88   	 70.93   	 -61.04		 -0.49   	  -5.09		
 -3.36   	-56.46   	 70.68   	 -61.04		 -0.51   	  -5.09		
 -3.66   	-57.98   	 70.44   	 -61.04		 -0.53   	   0.00		
 -2.75   	-57.07   	 70.19   	 -55.95		 -0.53   	   0.00		
 -0.61   	-54.93   	 69.97   	 -55.95		 -0.53   	   5.09		
  1.83   	-53.71   	 69.75   	 -50.86		 -0.51   	   5.09		
  4.27   	-53.41   	 69.54   	 -45.78		 -0.49   	  10.17		
  5.80   	-53.41   	 69.36   	 -45.78		 -0.45   	  10.17		
  6.41   	-52.80   	 69.18   	 -45.78		 -0.41   	  15.26		
  5.80   	-50.96   	 68.99   	 -40.69		 -0.35   	  15.26		
  4.27   	-48.22   	 68.83   	 -35.61		 -0.28   	  15.26		
  2.14   	-45.17   	 68.69   	 -30.52		 -0.22   	  15.26		
  0.92   	-41.20   	 68.57   	 -35.61		 -0.16   	  15.26		
  1.22   	-36.93   	 68.42   	 -25.43		 -0.10   	  15.26		
  2.75   	-32.04   	 68.32   	 -30.52		 -0.04   	  20.35		
  4.27   	-26.86   	 68.20   	 -25.43		  0.04   	  15.26		
  5.19   	-22.28   	 68.10   	 -25.43		  0.10   	  15.26		
  4.58   	-18.62   	 68.00   	 -25.43		  0.16   	  10.17		
  3.05   	-16.17   	 67.89   	 -25.43		  0.20   	  15.26		
  2.75   	-14.34   	 67.79   	 -25.43		  0.26   	  10.17		
  4.58   	-12.82   	 67.69   	 -25.43		  0.31   	  10.17		
  7.63   	-11.29   	 67.59   	 -25.43		  0.35   	   5.09		
  9.46   	-10.99   	 67.49   	 -30.52		  0.37   	  10.17		
  9.16   	-12.51   	 67.36   	 -30.52		  0.41   	   0.00		
  7.02   	-15.56   	 67.24   	 -30.52		  0.41   	   5.09		
  5.49   	-18.62   	 67.12   	 -35.61		  0.43   	   0.00		
  6.10   	-20.45   	 66.98   	 -40.69		  0.43   	   5.09		
