  I     	  II     	  LV     	  LV'		  FA     	  FA'		
361.02   	-481.87   	  6.21   	  40.69		 61.16   	 -40.69		
264.89   	-610.66   	  6.37   	  45.78		 61.00   	 -35.61		
187.07   	-641.17   	  6.55   	  50.86		 60.85   	 -40.69		
129.09   	-626.22   	  6.75   	  55.95		 60.69   	 -35.61		
 84.84   	-635.38   	  6.98   	  66.12		 60.55   	 -40.69		
 55.54   	-687.26   	  7.24   	  81.38		 60.39   	 -35.61		
 44.86   	-736.39   	  7.57   	 101.73		 60.24   	 -40.69		
 50.35   	-716.86   	  7.98   	 122.07		 60.08   	 -35.61		
 59.81   	-604.25   	  8.46   	 152.59		 59.94   	 -40.69		
 58.90   	-433.04   	  9.07   	 178.03		 59.78   	 -40.69		
 41.50   	-266.42   	  9.79   	 218.72		 59.61   	 -40.69		
 14.34   	-148.32   	 10.66   	 264.50		 59.45   	 -40.69		
-10.38   	-85.75   	 11.72   	 310.27		 59.29   	 -45.78		
-24.41   	-61.65   	 12.96   	 361.14		 59.10   	 -45.78		
-28.69   	-54.32   	 14.40   	 427.26		 58.92   	 -45.78		
-29.30   	-49.44   	 16.11   	 488.30		 58.74   	 -45.78		
-31.13   	-41.81   	 18.07   	 554.42		 58.56   	 -45.78		
-34.79   	-30.82   	 20.28   	 615.46		 58.37   	 -50.86		
-38.76   	-20.14   	 22.75   	 686.67		 58.17   	 -45.78		
-40.59   	-12.82   	 25.49   	 742.62		 57.99   	 -45.78		
-39.67   	 -9.77   	 28.46   	 808.75		 57.80   	 -40.69		
-37.84   	 -7.63   	 31.70   	 859.61		 57.64   	 -40.69		
-36.32   	 -4.88   	 35.14   	 905.39		 57.48   	 -35.61		
-36.32   	 -0.92   	 38.76   	 940.99		 57.33   	 -30.52		
-37.54   	  3.05   	 42.52   	 961.34		 57.21   	 -25.43		
-38.45   	  5.80   	 46.37   	 971.51		 57.11   	 -20.35		
-39.37   	  7.32   	 50.25   	 961.34		 57.03   	 -20.35		
-39.06   	  7.32   	 54.10   	 925.73		 56.95   	 -15.26		
-37.84   	  5.80   	 57.80   	 879.96		 56.89   	 -15.26		
-36.62   	  3.36   	 61.32   	 813.83		 56.83   	 -10.17		
-36.01   	  1.83   	 64.58   	 747.71		 56.79   	  -5.09		
-36.32   	  2.75   	 67.57   	 676.50		 56.76   	   0.00		
-37.23   	  5.19   	 70.27   	 615.46		 56.76   	  10.17		
-37.84   	  8.54   	 72.74   	 559.51		 56.81   	  25.43		
-36.62   	 10.99   	 74.97   	 523.90		 56.91   	  40.69		
-33.87   	 11.60   	 77.07   	 498.47		 57.07   	  61.04		
-30.52   	 10.68   	 79.06   	 488.30		 57.31   	  86.47		
-28.38   	  9.77   	 81.02   	 488.30		 57.66   	 116.99		
-28.38   	  9.77   	 82.97   	 488.30		 58.13   	 152.59		
-29.60   	 10.68   	 84.92   	 488.30		 58.74   	 193.29		
-31.13   	 12.82   	 86.88   	 483.21		 59.51   	 223.80		
-30.52   	 15.56   	 88.81   	 473.04		 60.41   	 259.41		
-27.77   	 18.31   	 90.70   	 447.61		 61.44   	 289.93		
-24.41   	 21.06   	 92.49   	 427.26		 62.60   	 320.45		
-21.36   	 23.80   	 94.20   	 386.57		 63.89   	 340.79		
-19.23   	 26.25   	 95.75   	 356.05		 65.25   	 361.14		
-17.40   	 28.08   	 97.17   	 320.45		 66.69   	 371.31		
-15.87   	 29.60   	 98.45   	 289.93		 68.18   	 386.57		
-14.95   	 30.52   	 99.61   	 269.58		 69.73   	 391.66		
-14.65   	 30.82   	100.69   	 249.24		 71.29   	 391.66		
-14.65   	 30.21   	101.69   	 233.98		 72.86   	 396.74		
-13.73   	 29.30   	102.62   	 223.80		 74.45   	 391.66		
-12.21   	 29.91   	103.52   	 213.63		 76.01   	 391.66		
 -9.77   	 33.87   	104.37   	 203.46		 77.58   	 386.57		
 -7.32   	 42.11   	105.19   	 188.20		 79.12   	 381.48		
 -5.19   	 52.19   	105.94   	 172.94		 80.65   	 371.31		
 -3.66   	 61.95   	106.63   	 157.68		 82.14   	 361.14		
 -2.75   	 67.14   	107.26   	 142.42		 83.58   	 350.97		
 -1.22   	 67.75   	107.83   	 122.07		 84.98   	 345.88		
  1.83   	 66.22   	108.32   	 116.99		 86.37   	 330.62		
  6.71   	 65.61   	108.79   	 101.73		 87.69   	 320.45		
 12.82   	 68.05   	109.20   	  91.56		 88.97   	 310.27		
 19.23   	 72.63   	109.56   	  86.47		 90.21   	 300.10		
 25.02   	 78.13   	109.91   	  81.38		 91.41   	 289.93		
 29.60   	 83.31   	110.23   	  76.30		 92.57   	 274.67		
 33.26   	 88.50   	110.54   	  71.21		 93.67   	 259.41		
 36.93   	 93.08   	110.82   	  66.12		 94.71   	 254.32		
 40.59   	 97.35   	111.09   	  61.04		 95.73   	 233.98		
 45.17   	100.71   	111.33   	  55.95		 96.66   	 228.89		
 50.66   	103.45   	111.56   	  50.86		 97.58   	 213.63		
 57.07   	106.81   	111.76   	  50.86		 98.43   	 198.37		
 64.09   	111.08   	111.96   	  40.69		 99.23   	 193.29		
 70.19   	116.27   	112.13   	  35.61		100.00   	 178.03		
 75.38   	120.54   	112.27   	  30.52		100.71   	 167.85		
 79.65   	122.68   	112.39   	  25.43		101.38   	 157.68		
 84.23   	122.68   	112.49   	  20.35		102.01   	 152.59		
 90.33   	122.68   	112.57   	  20.35		102.62   	 137.33		
 98.27   	124.21   	112.65   	  15.26		103.17   	 127.16		
