  I     	  II     	  CH1     	  CH1'		  PW     	  PW'		
-25.63   	 45.47   	 -0.10   	   0.00		 16.05   	 -10.17		
-25.33   	 52.19   	 -0.10   	   0.00		 16.01   	   5.09		
-25.02   	 58.90   	 -0.10   	   0.00		 16.03   	  30.52		
-23.80   	 66.53   	 -0.10   	   0.00		 16.15   	  40.69		
-21.97   	 75.07   	 -0.10   	   5.09		 16.32   	  66.12		
-19.23   	 84.23   	 -0.08   	   0.00		 16.58   	  76.30		
-15.87   	 93.08   	 -0.08   	   0.00		 16.89   	  76.30		
-13.12   	101.32   	 -0.08   	   0.00		 17.19   	  81.38		
-10.99   	109.25   	 -0.08   	   0.00		 17.52   	  66.12		
 -9.46   	118.10   	 -0.08   	  -5.09		 17.78   	  55.95		
 -7.32   	129.70   	 -0.10   	   0.00		 18.01   	  40.69		
 -3.36   	144.96   	 -0.10   	   0.00		 18.17   	  25.43		
  2.14   	162.96   	 -0.10   	   0.00		 18.27   	   5.09		
  7.93   	182.19   	 -0.10   	   0.00		 18.29   	  -5.09		
 13.43   	201.11   	 -0.10   	   0.00		 18.27   	 -10.17		
 18.92   	219.42   	 -0.10   	   0.00		 18.23   	 -15.26		
 25.02   	238.04   	 -0.10   	  -5.09		 18.17   	 -15.26		
 32.35   	257.57   	 -0.12   	   0.00		 18.11   	 -10.17		
 40.28   	278.02   	 -0.12   	  -5.09		 18.07   	  -5.09		
 48.52   	297.85   	 -0.14   	   0.00		 18.05   	   5.09		
 56.15   	315.86   	 -0.14   	  -5.09		 18.07   	  10.17		
 63.17   	331.12   	 -0.16   	   0.00		 18.11   	  10.17		
 69.58   	343.02   	 -0.16   	   0.00		 18.15   	  15.26		
 75.38   	352.78   	 -0.16   	  -5.09		 18.21   	  10.17		
 79.65   	359.80   	 -0.18   	   0.00		 18.25   	   5.09		
 82.40   	364.38   	 -0.18   	  -5.09		 18.27   	   0.00		
 82.70   	364.99   	 -0.20   	   0.00		 18.27   	  -5.09		
 81.18   	361.63   	 -0.20   	   0.00		 18.25   	 -25.43		
 77.51   	352.48   	 -0.20   	   0.00		 18.15   	 -35.61		
 72.33   	337.83   	 -0.20   	   0.00		 18.01   	 -45.78		
 65.61   	316.47   	 -0.20   	   0.00		 17.82   	 -66.12		
 57.37   	289.00   	 -0.20   	   0.00		 17.56   	 -76.30		
 48.52   	257.87   	 -0.20   	   0.00		 17.25   	 -86.47		
 39.98   	224.30   	 -0.20   	   5.09		 16.91   	-106.82		
 31.74   	190.73   	 -0.18   	   0.00		 16.48   	-111.90		
 23.50   	157.17   	 -0.18   	   5.09		 16.03   	-127.16		
 14.65   	124.21   	 -0.16   	   0.00		 15.52   	-137.33		
  5.49   	 90.94   	 -0.16   	   5.09		 14.97   	-142.42		
 -3.66   	 59.20   	 -0.14   	   5.09		 14.40   	-152.59		
-11.29   	 29.91   	 -0.12   	   5.09		 13.79   	-152.59		
-17.09   	  3.97   	 -0.10   	   5.09		 13.18   	-162.77		
-21.06   	-18.62   	 -0.08   	   5.09		 12.53   	-157.68		
-24.41   	-38.45   	 -0.06   	   5.09		 11.90   	-157.68		
-26.86   	-56.46   	 -0.04   	   5.09		 11.27   	-157.68		
-28.99   	-72.02   	 -0.02   	   0.00		 10.64   	-147.51		
-30.21   	-84.84   	 -0.02   	   5.09		 10.05   	-142.42		
-30.82   	-94.91   	  0.00   	   5.09		  9.48   	-132.25		
-30.52   	-101.93   	  0.02   	   5.09		  8.95   	-127.16		
-29.91   	-107.12   	  0.04   	   5.09		  8.44   	-116.99		
-29.60   	-110.47   	  0.06   	   5.09		  7.98   	-111.90		
-30.21   	-112.61   	  0.08   	   5.09		  7.53   	-106.82		
-31.74   	-114.14   	  0.10   	   0.00		  7.10   	-101.73		
-33.87   	-115.36   	  0.10   	   5.09		  6.69   	 -91.56		
-35.40   	-116.58   	  0.12   	   0.00		  6.33   	 -76.30		
-36.01   	-117.49   	  0.12   	   0.00		  6.02   	 -71.21		
-35.40   	-117.49   	  0.12   	   5.09		  5.74   	 -55.95		
-33.87   	-116.27   	  0.14   	   0.00		  5.51   	 -35.61		
-32.65   	-113.83   	  0.14   	   0.00		  5.37   	 -15.26		
-32.04   	-111.08   	  0.14   	   0.00		  5.31   	  10.17		
-32.35   	-109.56   	  0.14   	  -5.09		  5.35   	  35.61		
-33.57   	-108.95   	  0.12   	   0.00		  5.49   	  55.95		
-34.48   	-108.64   	  0.12   	   0.00		  5.72   	  76.30		
-35.10   	-107.73   	  0.12   	   0.00		  6.02   	 101.73		
-35.10   	-105.59   	  0.12   	  -5.09		  6.43   	 106.82		
-34.18   	-102.84   	  0.10   	   0.00		  6.86   	 122.07		
-33.26   	-100.10   	  0.10   	  -5.09		  7.34   	 116.99		
-32.35   	-97.66   	  0.08   	  -5.09		  7.81   	 111.90		
-31.74   	-95.52   	  0.06   	   0.00		  8.26   	  96.64		
-32.04   	-93.38   	  0.06   	  -5.09		  8.65   	  81.38		
-32.65   	-91.25   	  0.04   	  -5.09		  8.97   	  55.95		
-32.65   	-89.11   	  0.02   	   0.00		  9.20   	  35.61		
-32.04   	-87.89   	  0.02   	  -5.09		  9.34   	  15.26		
-31.13   	-87.28   	  0.00   	  -5.09		  9.40   	   5.09		
-30.52   	-87.59   	 -0.02   	   0.00		  9.42   	  -5.09		
-30.52   	-88.20   	 -0.02   	  -5.09		  9.40   	   0.00		
-31.43   	-88.50   	 -0.04   	   0.00		  9.40   	   5.09		
-32.35   	-88.81   	 -0.04   	  -5.09		  9.42   	  30.52		
-33.26   	-89.11   	 -0.06   	  -5.09		  9.54   	  55.95		
-33.26   	-89.42   	 -0.08   	   0.00		  9.77   	  81.38		
-32.96   	-89.72   	 -0.08   	   0.00		 10.09   	 106.82		
-32.65   	-90.03   	 -0.08   	  -5.09		 10.52   	 127.16		
-33.57   	-90.64   	 -0.10   	   0.00		 11.03   	 137.33		
-35.10   	-91.55   	 -0.10   	   0.00		 11.58   	 142.42		
-36.62   	-92.16   	 -0.10   	   0.00		 12.15   	 132.25		
-36.62   	-92.16   	 -0.10   	   0.00		 12.68   	 127.16		
-35.71   	-90.64   	 -0.10   	   0.00		 13.18   	 106.82		
