  I     	  II     	  LV     	  LV'		
-94.30   	-87.89   	102.28   	2146.48		
-90.64   	-83.92   	110.86   	1078.33		
-83.92   	-84.53   	115.18   	-203.46		
-79.65   	-89.42   	114.36   	-1236.01		
-83.92   	-96.44   	109.42   	-1368.26		
-98.27   	-102.84   	103.95   	-951.17		
-109.56   	-95.52   	100.14   	 630.72		
-82.70   	-86.06   	102.66   	 885.04		
-52.49   	-78.13   	106.21   	 854.52		
-33.87   	-75.68   	109.62   	 661.24		
-34.48   	-79.35   	112.27   	 356.05		
-48.83   	-87.28   	113.69   	  96.64		
-65.61   	-94.91   	114.08   	 -45.78		
-75.38   	-98.88   	113.90   	 -50.86		
-76.60   	-99.49   	113.69   	  50.86		
-74.16   	-97.35   	113.90   	 223.80		
-71.72   	-94.60   	114.79   	 417.09		
-69.58   	-91.55   	116.46   	 549.34		
-65.31   	-87.28   	118.66   	 574.77		
-57.68   	-81.48   	120.96   	 503.56		
-50.66   	-76.29   	122.97   	 376.40		
-49.74   	-75.68   	124.48   	 213.63		
-57.07   	-82.09   	125.33   	  76.30		
-69.58   	-93.08   	125.64   	  15.26		
-79.04   	-101.93   	125.70   	  30.52		
-79.96   	-101.32   	125.82   	 106.82		
-73.85   	-90.03   	126.25   	 269.58		
-65.92   	-74.46   	127.32   	 376.40		
-61.65   	-63.78   	128.83   	 386.57		
-62.56   	-63.17   	130.38   	 366.22		
-66.22   	-70.80   	131.84   	 295.01		
-68.36   	-79.65   	133.02   	 203.46		
-68.05   	-83.92   	133.83   	 162.77		
-66.83   	-81.48   	134.49   	 208.54		
-65.92   	-72.63   	135.32   	 223.80		
-67.14   	-61.34   	136.22   	 188.20		
-71.72   	-51.57   	136.97   	 178.03		
-78.13   	-46.39   	137.68   	 162.77		
-81.48   	-45.78   	138.33   	 162.77		
-76.29   	-45.78   	138.98   	 213.63		
-61.95   	-40.89   	139.84   	 284.84		
-43.03   	-27.16   	140.98   	 295.01		
-28.99   	 -8.24   	142.16   	 233.98		
-25.33   	 10.99   	143.09   	 152.59		
-30.21   	 25.63   	143.70   	  86.47		
-37.84   	 34.48   	144.05   	  25.43		
-45.17   	 38.76   	144.15   	  10.17		
-50.96   	 41.20   	144.19   	  45.78		
-56.15   	 44.25   	144.37   	  96.64		
-58.59   	 49.13   	144.76   	 116.99		
-56.76   	 55.85   	145.23   	 152.59		
-50.66   	 63.48   	145.84   	 152.59		
-44.56   	 70.80   	146.45   	  96.64		
-42.11   	 76.90   	146.84   	  40.69		
-43.95   	 83.01   	147.00   	  20.35		
-46.69   	 89.72   	147.08   	 -15.26		
-47.00   	 94.91   	147.02   	 -61.04		
-43.03   	 95.83   	146.77   	 -76.30		
-35.10   	 90.64   	146.47   	 -81.38		
-26.25   	 80.87   	146.14   	 -91.56		
-18.62   	 69.89   	145.78   	 -96.64		
-13.12   	 61.04   	145.39   	-106.82		
-10.07   	 54.02   	144.96   	-111.90		
 -8.85   	 47.30   	144.52   	-122.07		
 -7.63   	 38.15   	144.03   	-167.85		
 -6.41   	 25.94   	143.36   	-223.80		
 -4.58   	 11.60   	142.46   	-284.84		
 -3.36   	 -3.66   	141.32   	-330.62		
 -4.27   	-18.01   	140.00   	-381.48		
 -7.02   	-29.30   	138.47   	-427.26		
 -8.85   	-35.10   	136.76   	-442.52		
 -8.54   	-35.40   	134.99   	-473.04		
 -6.10   	-32.65   	133.10   	-518.82		
 -3.05   	-30.82   	131.03   	-564.60		
 -3.36   	-32.96   	128.77   	-620.55		
 -7.93   	-39.37   	126.29   	-666.32		
-14.65   	-47.00   	123.62   	-686.67		
-19.23   	-51.57   	120.87   	-707.02		
-18.31   	-50.66   	118.05   	-813.83		
-12.21   	-45.47   	114.79   	-930.82		
 -4.58   	-40.28   	111.07   	-773.14		
  0.31   	-38.15   	107.98   	-391.66		
  0.31   	-40.59   	106.41   	-101.73		
 -4.88   	-46.39   	106.00   	-473.04		
-13.12   	-54.02   	104.11   	-1658.18		
-21.06   	-61.04   	 97.48   	-2644.95		
-26.86   	-66.53   	 86.90   	-2680.56		
-28.08   	-68.97   	 76.17   	-2273.64		
-25.02   	-68.36   	 67.08   	-1963.37		
-19.53   	-64.39   	 59.23   	-1759.91		
-14.04   	-57.98   	 52.19   	-1398.77		
-10.99   	-51.27   	 46.59   	-813.83		
-10.68   	-45.17   	 43.34   	-528.99		
-12.82   	-40.28   	 41.22   	-696.84		
-17.09   	-36.01   	 38.43   	-1464.90		
-19.53   	-38.76   	 32.57   	-584.94		
 -0.92   	-56.46   	 30.23   	-523.90		
 40.89   	-90.64   	 28.14   	-350.97		
101.93   	-135.19   	 26.73   	-147.51		
161.74   	-176.09   	 26.14   	 -30.52		
192.87   	-204.77   	 26.02   	 -50.86		
176.39   	-227.66   	 25.82   	-162.77		
112.30   	-269.17   	 25.17   	-315.36		
 21.67   	-350.95   	 23.91   	-432.35		
-64.39   	-474.85   	 22.18   	-503.56		
-121.15   	-616.76   	 20.16   	-483.21		
-144.04   	-734.86   	 18.23   	-371.31		
-148.01   	-798.65   	 16.74   	-203.46		
-159.61   	-802.00(R)	 15.93(E)	   0.00		
-201.42   	-759.58   	 15.93   	 193.29		
-272.52   	-688.17   	 16.70   	 361.14		
-346.07   	-602.42   	 18.15   	 452.69		
-385.13   	-513.92   	 19.96   	 488.30		
-368.96   	-431.82   	 21.91   	 478.13		
-307.62   	-366.21   	 23.82   	 452.69		
-237.43   	-321.35   	 25.64   	 417.09		
-191.65   	-292.36   	 27.30   	 401.83		
-177.92   	-271.61   	 28.91   	 401.83		
-178.22   	-255.74   	 30.52   	 437.43		
-164.79   	-240.78   	 32.27   	 513.73		
-123.90   	-218.81   	 34.32   	 610.37		
-63.78   	-180.97   	 36.76   	 722.28		
 -5.80   	-123.60   	 39.65   	 813.83		
 30.82   	-57.07   	 42.91   	 895.22		
 39.06   	  0.31   	 46.49   	 940.99		
 27.16   	 33.26   	 50.25   	 996.94		
 10.07   	 42.11   	 54.24   	1052.90		
 -0.31   	 38.45   	 58.45   	1073.24		
 -1.22   	 34.79   	 62.75   	1047.81		
  2.14   	 36.62   	 66.94   	 991.86		
  2.44   	 42.42   	 70.91   	 900.30		
 -2.14   	 47.91   	 74.51   	 808.75		
 -8.54   	 52.19   	 77.74   	 701.93		
-11.90   	 57.37   	 80.55   	 600.20		
-11.29   	 63.48   	 82.95   	 544.25		
-11.90   	 69.89   	 85.13   	 579.86		
-18.92   	 74.16   	 87.45   	 732.45		
-32.65   	 75.07   	 90.38   	 920.65		
-46.39   	 72.94   	 94.06   	1185.14		
-50.05   	 69.58   	 98.80   	1271.61		
-38.76   	 66.53   	103.89   	 773.14		
-16.78   	 63.78   	106.98   	 396.74		
  5.19   	 61.95   	108.57   	 437.43		
 16.78   	 61.65   	110.31   	 417.09		
 16.48   	 63.78   	111.98   	 172.94		
  8.54   	 65.31   	112.68   	 -81.38		
  0.92   	 61.95   	112.35   	-193.29		
 -3.05   	 51.27   	111.58   	-335.71		
 -3.66   	 35.71   	110.23   	-523.90		
 -3.97   	 21.06   	108.14   	-549.34		
 -3.36   	 13.73   	105.94   	-396.74		
  0.61   	 15.56   	104.35   	-157.68		
  9.46   	 25.94   	103.72   	  96.64		
 20.75   	 43.33   	104.11   	 279.75		
 31.13   	 70.19   	105.23   	 381.48		
 39.06   	108.03   	106.75   	 386.57		
 46.69   	153.81   	108.30   	 289.93		
 56.46   	200.20   	109.46   	 132.25		
 67.44   	238.95   	109.99   	 -50.86		
 74.46   	267.03   	109.79   	-228.89		
 72.33   	288.39   	108.87   	-325.53		
 61.95   	308.84   	107.57   	-330.62		
 47.91   	332.03   	106.25   	-259.41		
 38.15   	357.67   	105.21   	-152.59		
 36.62   	383.91   	104.60   	 -55.95		
 42.42   	409.24   	104.37   	  10.17		
 52.19   	432.74   	104.41   	  10.17		
 61.95   	454.10   	104.46   	 -40.69		
 71.41   	473.33   	104.29   	-152.59		
 82.40   	493.16   	103.68   	-264.50		
 96.13   	516.05   	102.62   	-376.40		
110.78   	541.38   	101.12   	-462.87		
120.54   	566.10   	 99.27   	-498.47		
121.15   	585.94   	 97.27   	-493.39		
113.83   	597.53   	 95.30   	-478.13		
105.90   	601.50   	 93.39   	-457.78		
105.29   	599.67   	 91.56   	-457.78		
115.05   	591.43   	 89.72   	-457.78		
130.92   	576.17   	 87.89   	-422.18		
144.96   	553.89   	 86.21   	-386.57		
151.67   	525.82   	 84.66   	-381.48		
151.37   	494.08   	 83.13   	-345.88		
148.01   	460.21   	 81.75   	-127.16		
145.26   	425.11   	 81.24   	-198.37		
143.43   	389.10   	 80.45   	-1225.83		
141.60   	353.70   	 75.54   	-2278.73		
138.85   	320.74   	 66.43   	-2502.53		
134.89   	290.22   	 56.42   	-2212.61		
131.23   	261.84   	 47.57   	-1810.78		
128.48   	233.46   	 40.33   	-1347.91		
126.04   	204.16   	 34.93   	-839.26		
122.68   	173.95   	 31.58   	-233.98		
117.49   	146.48   	 30.64   	 330.62		
109.25   	124.51   	 31.96   	 645.98		
 97.35   	107.73   	 34.55   	 645.98		
 82.40   	 93.69   	 37.13   	 345.88		
 65.00   	 76.29   	 38.51   	-137.33		
 47.00   	 53.71   	 37.97   	-630.72		
 31.74   	 30.21   	 35.44   	-1022.38		
 22.28   	 12.82   	 31.35   	-1230.92		
 19.23   	  5.80   	 26.43   	-1236.01		
 21.36   	  6.41   	 21.49   	-1063.07		
 22.89   	  6.41   	 17.23   	-762.97		
 17.70   	 -1.22   	 14.18   	-427.26		
  4.27   	-16.48   	 12.47   	-101.73		
-13.73   	-33.26   	 12.07   	 152.59		
-28.69   	-43.33   	 12.68   	 284.84		
-34.48   	-43.95   	 13.81   	 289.93		
-32.04   	-38.15   	 14.97   	 178.03		
-27.47   	-33.57   	 15.69   	 -25.43		
-25.94   	-33.87   	 15.58   	-244.15		
-29.30   	-38.45   	 14.61   	-432.35		
-33.57   	-44.86   	 12.88   	-544.25		
-35.40   	-49.74   	 10.70   	-579.86		
-34.79   	-51.88   	  8.38   	-528.99		
-32.96   	-51.88   	  6.27   	-396.74		
-32.35   	-50.96   	  4.68   	-228.89		
-31.43   	-48.22   	  3.76   	 -71.21		
-28.08   	-44.25   	  3.48(D)	  61.04		
-22.89   	-41.50   	  3.72   	 147.51		
-19.23   	-42.72   	  4.31   	 162.77		
-20.14   	-49.74   	  4.96   	 147.51		
-25.33   	-61.34   	  5.55   	 116.99		
-30.82   	-72.63   	  6.02   	  81.38		
-32.96   	-77.51   	  6.35   	  45.78		
-31.74   	-75.07   	  6.53   	  25.43		
-30.21   	-68.05   	  6.63   	   0.00		
-30.82   	-61.95   	  6.63   	  50.86		
-31.43   	-61.04   	  6.84   	 111.90		
-28.99   	-65.31   	  7.28   	 152.59		
-23.80   	-72.02   	  7.89   	 167.85		
-20.14   	-77.21   	  8.57   	 178.03		
-20.14   	-78.74   	  9.28   	 157.68		
-24.11   	-78.13   	  9.91   	 101.73		
-27.47   	-77.21   	 10.32   	  25.43		
-26.86   	-77.51   	 10.42   	 -40.69		
-21.97   	-79.04   	 10.25   	 -61.04		
-14.95   	-80.57   	 10.01   	 -61.04		
-10.38   	-82.09   	  9.77   	 -55.95		
-12.21   	-84.23   	  9.54   	 -30.52		
-21.36   	-89.11   	  9.42   	  -5.09		
-34.79   	-97.05   	  9.40   	  10.17		
-45.17   	-104.06   	  9.44   	  30.52		
-45.47   	-106.20   	  9.56   	  50.86		
-35.40   	-101.93   	  9.77   	  55.95		
-22.28   	-95.21   	  9.99   	  50.86		
-15.56   	-90.94   	 10.19   	  25.43		
-18.01   	-91.55   	 10.29   	  15.26		
-23.80   	-94.91   	 10.36   	  10.17		
-27.16   	-97.05   	 10.40   	   0.00		
-25.33   	-96.13   	 10.40   	 -10.17		
-21.67   	-92.77   	 10.36   	 -10.17		
-20.14   	-90.03   	 10.32   	  -5.09		
-23.19   	-90.94   	 10.29   	 -10.17		
-28.69   	-96.44   	 10.25   	   0.00		
-33.26   	-104.98   	 10.25   	  25.43		
-33.57   	-112.00   	 10.36   	  50.86		
-27.16   	-112.30   	 10.56   	  45.78		
-14.95   	-105.59   	 10.74   	  15.26		
 -3.36   	-96.74   	 10.80   	  10.17		
 -0.61   	-92.16   	 10.84   	   5.09		
-10.07   	-95.52   	 10.86   	  10.17		
-26.86   	-103.45   	 10.91   	  20.35		
-41.50   	-109.25   	 10.99   	  15.26		
-46.69   	-109.56   	 11.05   	  15.26		
-43.64   	-106.81   	 11.11   	  20.35		
-37.54   	-104.98   	 11.19   	  35.61		
-35.10   	-105.90   	 11.33   	  40.69		
-36.93   	-108.34   	 11.50   	  20.35		
-38.76   	-108.03   	 11.58   	  25.43		
-37.54   	-104.68   	 11.68   	  61.04		
