  I     	  II     	  AOp     	  AOp'		
-59.51   	-43.95   	 94.10   	  -5.09		
-54.93   	-43.33   	 94.08   	  -5.09		
-48.22   	-32.65   	 94.06   	 -10.17		
-40.89   	-18.01   	 94.02   	 -10.17		
-35.40   	 -8.54   	 93.98   	 -10.17		
-32.96   	-10.07   	 93.94   	 -15.26		
-33.57   	-19.53   	 93.88   	 -15.26		
-36.93   	-28.69   	 93.81   	 -20.35		
-42.42   	-32.04   	 93.73   	 -25.43		
-47.91   	-29.30   	 93.63   	 -25.43		
-51.27   	-23.19   	 93.53   	 -30.52		
-51.57   	-19.53   	 93.41   	 -30.52		
-49.13   	-19.53   	 93.29   	 -30.52		
-46.69   	-21.67   	 93.16   	 -25.43		
-46.39   	-21.67   	 93.06   	 -25.43		
-48.83   	-17.40   	 92.96   	 -15.26		
-52.49   	 -8.85   	 92.90   	 -10.17		
-54.32   	  2.75   	 92.86   	   0.00		
-52.49   	 14.04   	 92.86(D)	  20.35		
-47.61   	 21.67   	 92.94   	  30.52		
-43.64   	 21.36   	 93.06   	  50.86		
-43.33   	 12.51   	 93.27   	  76.30		
-46.08   	 -0.92   	 93.57   	  91.56		
-47.91   	-11.29   	 93.94   	 122.07		
-45.47   	-11.90   	 94.42   	 142.42		
-40.28   	 -2.75   	 94.99   	 162.77		
-37.23   	  8.54   	 95.65   	 188.20		
-39.67   	 14.04   	 96.40   	 203.46		
-46.39   	 10.07   	 97.21   	 223.80		
-52.19   	  0.92   	 98.11   	 239.06		
-51.88   	 -5.49   	 99.06   	 244.15		
-46.69   	 -4.27   	100.04   	 254.32		
-42.11   	  2.44   	101.06   	 259.41		
-43.33   	  9.16   	102.10   	 254.32		
-50.96   	 11.60   	103.11   	 254.32		
-59.20   	 10.07   	104.13   	 244.15		
-62.26   	  9.16   	105.11   	 239.06		
-58.90   	 11.60   	106.06   	 228.89		
-52.80   	 16.48   	106.98   	 218.72		
-49.74   	 21.97   	107.85   	 208.54		
-51.57   	 27.16   	108.69   	 203.46		
-55.54   	 33.26   	109.50   	 188.20		
-56.46   	 42.11   	110.25   	 172.94		
-52.19   	 53.10   	110.95   	 162.77		
-44.86   	 64.70   	111.60   	 152.59		
-38.45   	 73.55   	112.21   	 157.68		
-35.71   	 79.65   	112.84   	 157.68		
-35.40   	 85.14   	113.47   	 178.03		
-34.18   	 92.77   	114.18   	 198.37		
-28.69   	103.15   	114.97   	 213.63		
-19.53   	114.75   	115.83   	 228.89		
-10.38   	122.68   	116.74   	 228.89		
 -3.66   	122.99   	117.66   	 432.35		
  5.19   	101.32   	119.39   	 188.20		
 12.21   	 89.42   	120.14   	 167.85		
 20.45   	 83.01   	120.81   	 152.59		
