  I     	  II     	  PW     	  PW'		
 58.90   	 20.75   	  7.53   	 -30.52		
 61.65   	 35.71   	  7.41   	 -10.17		
 63.78   	 41.50   	  7.37   	   5.09		
 64.39   	 39.98   	  7.39   	  25.43		
 64.09   	 37.84   	  7.49   	  55.95		
 64.09   	 38.15   	  7.71   	  86.47		
 64.09   	 40.28   	  8.06   	 111.90		
 64.39   	 42.11   	  8.50   	 137.33		
 65.00   	 43.64   	  9.05   	 157.68		
 64.70   	 44.86   	  9.68   	 162.77		
 63.48   	 47.00   	 10.34   	 162.77		
 62.26   	 50.05   	 10.99   	 147.51		
 62.26   	 54.02   	 11.58   	 127.16		
 64.39   	 58.59   	 12.09   	 101.73		
 67.75   	 64.09   	 12.49   	  76.30		
 69.89   	 69.27   	 12.80   	  40.69		
 69.58   	 73.85   	 12.96   	  10.17		
 67.44   	 77.82   	 13.00   	 -15.26		
 65.61   	 81.48   	 12.94   	 -35.61		
 64.70   	 85.75   	 12.80   	 -40.69		
 64.70   	 91.25   	 12.63   	 -45.78		
 64.39   	 97.35   	 12.45   	 -40.69		
 65.61   	104.06   	 12.29   	 -30.52		
 70.80   	111.69   	 12.17   	 -25.43		
 80.57   	120.24   	 12.07   	 -20.35		
 91.55   	129.70   	 11.98   	 -20.35		
 98.88   	139.47   	 11.90   	 -30.52		
 99.49   	148.62   	 11.78   	 -45.78		
 94.60   	157.78   	 11.60   	 -50.86		
 89.72   	167.24   	 11.39   	 -55.95		
 89.11   	177.61   	 11.17   	 -66.12		
 93.69   	188.29   	 10.91   	 -61.04		
101.32   	198.97   	 10.66   	 -55.95		
108.03   	209.35   	 10.44   	 -45.78		
112.61   	220.03   	 10.25   	 -35.61		
115.05   	231.02   	 10.11   	 -25.43		
117.49   	242.61   	 10.01   	 -15.26		
120.85   	253.60   	  9.95   	 -10.17		
125.12   	263.06   	  9.91   	  -5.09		
128.78   	270.08   	  9.89   	  -5.09		
130.62   	274.96   	  9.87   	  -5.09		
