  I     	  II     	  RV     	  RV'		  LV     	  LV'		
-18.01   	-22.58   	 20.98   	-178.03		 98.41   	-1546.28		
-20.45   	-22.28   	 20.26   	-162.77		 92.23   	-1551.37		
-22.28   	-20.75   	 19.61   	-147.51		 86.02   	-1490.33		
-23.80   	-18.01   	 19.02   	-142.42		 80.06   	-1393.69		
-24.11   	-14.65   	 18.45   	-127.16		 74.49   	-1286.87		
-23.50   	-12.51   	 17.94   	-122.07		 69.34   	-1200.40		
-21.36   	-13.12   	 17.46   	-116.99		 64.54   	-1134.28		
-19.23   	-15.87   	 16.99   	-116.99		 60.00   	-1098.67		
-18.62   	-18.31   	 16.52   	-111.90		 55.61   	-1063.07		
-21.06   	-18.92   	 16.07   	-106.82		 51.35   	-1017.29		
-24.72   	-17.09   	 15.65   	-101.73		 47.28   	-956.25		
-27.47   	-14.95   	 15.24   	 -91.56		 43.46   	-874.87		
-28.08   	-14.65   	 14.87   	 -81.38		 39.96   	-773.14		
-26.55   	-17.70   	 14.55   	 -66.12		 36.87   	-676.50		
-24.72   	-23.19   	 14.28   	 -45.78		 34.16   	-595.11		
-24.41   	-29.30   	 14.10   	 -40.69		 31.78   	-534.08		
-25.94   	-33.87   	 13.94   	 -30.52		 29.64   	-493.39		
-28.08   	-34.48   	 13.81   	 -30.52		 27.67   	-462.87		
-29.60   	-31.74   	 13.69   	 -40.69		 25.82   	-442.52		
-29.91   	-26.55   	 13.53   	 -40.69		 24.05   	-412.00		
-28.69   	-21.97   	 13.37   	 -40.69		 22.40   	-371.31		
-28.08   	-20.45   	 13.20   	 -45.78		 20.92   	-325.53		
-30.21   	-22.89   	 13.02   	 -40.69		 19.61   	-264.50		
-34.18   	-28.38   	 12.86   	 -35.61		 18.56   	-213.63		
-38.15   	-33.87   	 12.72   	 -30.52		 17.70   	-167.85		
-39.06   	-37.54   	 12.59   	 -20.35		 17.03   	-137.33		
-35.71   	-37.23   	 12.51   	 -20.35		 16.48   	-127.16		
-29.91   	-32.35   	 12.43   	 -10.17		 15.97   	-116.99		
-25.33   	-25.63   	 12.39   	  -5.09		 15.50   	-116.99		
-25.33   	-21.36   	 12.37   	  -5.09		 15.04   	-111.90		
-29.30   	-22.89   	 12.35   	   0.00		 14.59   	-101.73		
-34.48   	-30.21   	 12.35   	   5.09		 14.18   	 -86.47		
-37.84   	-38.76   	 12.37   	   0.00		 13.84   	 -66.12		
-37.84   	-42.42   	 12.37   	   5.09		 13.57   	 -40.69		
-34.79   	-38.76   	 12.39   	   0.00		 13.41   	 -30.52		
-30.82   	-30.82   	 12.39   	   5.09		 13.29   	 -20.35		
-28.38   	-24.11   	 12.41   	  10.17		 13.20   	 -20.35		
-27.47   	-22.58   	 12.45   	  15.26		 13.12   	 -20.35		
-27.77   	-25.94   	 12.51   	  20.35		 13.04   	 -20.35		
-28.69   	-30.52   	 12.59   	  20.35		 12.96   	 -25.43		
-29.60   	-32.96   	 12.68   	  25.43		 12.86   	 -25.43		
-30.52   	-32.35   	 12.78   	  20.35		 12.76   	 -20.35		
-31.43   	-29.91   	 12.86   	  25.43		 12.68   	 -15.26		
-32.04   	-27.77   	 12.96   	  15.26		 12.61   	  -5.09		
-32.04   	-27.77   	 13.02   	  15.26		 12.59   	   0.00		
-31.13   	-29.91   	 13.08   	  10.17		 12.59   	  10.17		
-30.21   	-33.26   	 13.12   	   5.09		 12.63   	  10.17		
-29.30   	-36.62   	 13.14   	   5.09		 12.68   	  10.17		
-28.08   	-38.15   	 13.16   	   5.09		 12.72   	  15.26		
-26.86   	-38.15   	 13.18   	   5.09		 12.78   	  15.26		
-25.94   	-37.84   	 13.20   	   5.09		 12.84   	  15.26		
-25.63   	-37.23   	 13.22   	   5.09		 12.90   	  25.43		
-25.94   	-36.01   	 13.25   	   5.09		 13.00   	  25.43		
-26.25   	-33.87   	 13.27   	   0.00		 13.10   	  25.43		
-26.25   	-31.43   	 13.27   	   5.09		 13.20   	  35.61		
-26.55   	-30.82   	 13.29   	   0.00		 13.35   	  35.61		
-27.16   	-32.96   	 13.29   	   0.00		 13.49   	  30.52		
-27.77   	-36.62   	 13.29   	   0.00		 13.61   	  35.61		
-28.38   	-38.45   	 13.29   	  -5.09		 13.75   	  35.61		
-27.77   	-36.93   	 13.27   	   0.00		 13.90   	  30.52		
-26.25   	-34.18   	 13.27   	   5.09		 14.02   	  30.52		
-24.11   	-32.35   	 13.29   	   0.00		 14.14   	  30.52		
-22.89   	-32.96   	 13.29   	   5.09		 14.26   	  30.52		
-23.50   	-35.71   	 13.31   	  10.17		 14.38   	  30.52		
-25.33   	-39.06   	 13.35   	   5.09		 14.51   	  30.52		
-27.77   	-42.11   	 13.37   	  10.17		 14.63   	  25.43		
-29.30   	-43.95   	 13.41   	   5.09		 14.73   	  25.43		
-29.60   	-44.25   	 13.43   	  10.17		 14.83   	  25.43		
-28.99   	-43.03   	 13.47   	   5.09		 14.93   	  15.26		
-28.08   	-39.67   	 13.49   	  10.17		 14.99   	  15.26		
-26.86   	-35.40   	 13.53   	   0.00		 15.06   	  10.17		
-24.72   	-31.43   	 13.53   	   5.09		 15.10   	   5.09		
-21.36   	-26.86   	 13.55   	   0.00		 15.12   	   5.09		
-17.70   	-19.23   	 13.55   	   0.00		 15.14   	   0.00		
-13.12   	 -8.24   	 13.55   	   0.00		 15.14   	   0.00		
 -8.54   	  4.58   	 13.55   	   0.00		 15.14   	  -5.09		
 -4.27   	 15.87   	 13.55   	   0.00		 15.12   	 -10.17		
 -0.31   	 21.36   	 13.55   	  -5.09		 15.08   	  -5.09		
  2.44   	 21.06   	 13.53   	   0.00		 15.06   	 -10.17		
  4.27   	 18.31   	 13.53   	   0.00		 15.02   	  -5.09		
  5.80   	 18.01   	 13.53   	  -5.09		 14.99   	 -10.17		
  9.16   	 21.36   	 13.51   	   0.00		 14.95   	  -5.09		
 14.95   	 27.47   	 13.51   	   0.00		 14.93   	  -5.09		
 21.97   	 34.79   	 13.51   	  -5.09		 14.91   	  -5.09		
 28.38   	 41.50   	 13.49   	  -5.09		 14.89   	  -5.09		
 31.13   	 46.08   	 13.47   	  -5.09		 14.87   	  -5.09		
 30.52   	 47.61   	 13.45   	 -10.17		 14.85   	  -5.09		
 28.69   	 43.33   	 13.41   	 -10.17		 14.83   	 -10.17		
 28.69   	 33.26   	 13.37   	 -10.17		 14.79   	 -10.17		
 33.26   	 19.84   	 13.33   	 -10.17		 14.75   	 -15.26		
 40.28   	  7.93   	 13.29   	 -15.26		 14.69   	 -15.26		
 45.78   	  0.00   	 13.22   	 -15.26		 14.63   	 -15.26		
 44.56   	 -4.27   	 13.16   	 -15.26		 14.57   	 -10.17		
 34.79   	 -7.93   	 13.10   	 -15.26		 14.53   	   0.00		
 18.31   	-12.21   	 13.04   	 -10.17		 14.53   	   5.09		
 -0.61   	-16.78   	 13.00   	 -10.17		 14.55   	  15.26		
-17.40   	-19.84   	 12.96   	   0.00		 14.61   	  20.35		
-29.60   	-21.36   	 12.96   	   5.09		 14.69   	  25.43		
-36.93   	-24.11   	 12.98   	  20.35		 14.79   	  30.52		
-38.45   	-29.30   	 13.06   	  30.52		 14.91   	  25.43		
-36.32   	-37.54   	 13.18   	  40.69		 15.02   	  30.52		
-32.96   	-47.30   	 13.35   	  50.86		 15.14   	  20.35		
-31.43   	-56.46   	 13.55   	  50.86		 15.22   	  25.43		
-32.96   	-62.87   	 13.75   	  50.86		 15.32   	  20.35		
-36.01   	-65.31   	 13.96   	  45.78		 15.40   	  20.35		
-38.15   	-63.17   	 14.14   	  25.43		 15.48   	  20.35		
-37.23   	-58.59   	 14.24   	  10.17		 15.56   	  25.43		
-34.18   	-54.02   	 14.28   	 -15.26		 15.67   	  25.43		
-32.35   	-51.57   	 14.22   	 -40.69		 15.77   	  25.43		
-32.96   	-52.80   	 14.06   	 -61.04		 15.87   	  15.26		
-36.32   	-56.76   	 13.81   	 -66.12		 15.93   	  10.17		
-39.06   	-61.04   	 13.55   	 -71.21		 15.97   	  -5.09		
-39.06   	-63.48   	 13.27   	 -55.95		 15.95   	 -15.26		
-36.62   	-62.87   	 13.04   	 -45.78		 15.89   	 -20.35		
-32.96   	-59.81   	 12.86   	 -25.43		 15.81   	 -20.35		
-30.52   	-53.71   	 12.76   	   0.00		 15.73   	 -20.35		
-29.30   	-45.78   	 12.76(E)	  20.35		 15.65   	 -10.17		
-29.60   	-36.93   	 12.84   	  45.78		 15.61   	   0.00		
-32.04   	-30.52   	 13.02   	  61.04		 15.61(E)	   5.09		
-35.40   	-28.08   	 13.27   	  86.47		 15.63   	  20.35		
-35.71   	-27.77   	 13.61   	 106.82		 15.71   	  30.52		
-24.72   	-25.94   	 14.04   	 111.90		 15.83   	  30.52		
  6.10   	-16.48   	 14.49   	 122.07		 15.95   	  40.69		
 61.65   	  7.32   	 14.97   	 111.90		 16.11   	  40.69		
138.85   	 51.27   	 15.42   	 101.73		 16.28   	  50.86		
230.41   	121.77   	 15.83   	  76.30		 16.48   	  55.95		
323.18   	218.20   	 16.13   	  50.86		 16.70   	  61.04		
401.61   	319.82   	 16.34   	  15.26		 16.95   	  55.95		
445.56   	388.18(R)	 16.40   	 -20.35		 17.17   	  61.04		
434.27   	385.74   	 16.32   	 -50.86		 17.42   	  66.12		
356.14   	301.82   	 16.11   	 -81.38		 17.68   	  71.21		
223.69   	164.79   	 15.79   	 -91.56		 17.97   	  91.56		
 71.11   	 26.86   	 15.42   	 -91.56		 18.33   	 122.07		
-57.37   	-67.44   	 15.06   	 -71.21		 18.82   	 162.77		
-130.00   	-105.29   	 14.77   	 -30.52		 19.47   	 213.63		
-142.21   	-101.32   	 14.65   	   5.09		 20.33   	 274.67		
-115.36   	-78.74   	 14.67   	  40.69		 21.42   	 350.97		
-79.04   	-54.02   	 14.83   	  66.12		 22.83   	 437.43		
-53.41   	-35.10   	 15.10   	 101.73		 24.58   	 528.99		
-43.03   	-23.80   	 15.50   	 142.42		 26.69   	 625.63		
-42.42   	-20.75   	 16.07   	 193.29		 29.20   	 727.36		
-43.64   	-22.89   	 16.85   	 244.15		 32.11   	 829.09		
-43.64   	-25.94   	 17.82   	 269.58		 35.42   	 925.73		
-43.03   	-27.77   	 18.90   	 279.75		 39.12   	1012.20		
-43.33   	-29.60   	 20.02   	 264.50		 43.17   	1083.41		
-43.64   	-32.65   	 21.08   	 239.06		 47.51   	1144.45		
-42.72   	-36.62   	 22.03   	 223.80		 52.09   	1180.06		
-40.59   	-38.45   	 22.93   	 203.46		 56.81   	1190.23		
-38.15   	-36.62   	 23.74   	 198.37		 61.57   	1180.06		
-36.62   	-32.04   	 24.54   	 193.29		 66.29   	1154.62		
-35.71   	-27.47   	 25.31   	 188.20		 70.91   	1113.93		
-34.18   	-23.50   	 26.06   	 188.20		 75.36   	1057.98		
-32.04   	-18.62   	 26.82   	 183.11		 79.59   	 986.77		
-30.52   	-11.90   	 27.55   	 183.11		 83.54   	 890.13		
-30.82   	 -5.49   	 28.28   	 183.11		 87.10   	 783.31		
-32.65   	 -1.22   	 29.01   	 172.94		 90.23   	 686.67		
-34.48   	 -0.31   	 29.70   	 167.85		 92.98   	 600.20		
-34.79   	 -2.75   	 30.38   	 157.68		 95.38   	 528.99		
-32.65   	 -5.49   	 31.01   	 132.25		 97.50   	 488.30		
-29.60   	 -6.71   	 31.54   	 111.90		 99.45   	 457.78		
-27.77   	 -6.41   	 31.98   	  81.38		101.28   	 447.61		
-26.55   	 -6.10   	 32.31   	  45.78		103.07   	 437.43		
-25.33   	 -6.10   	 32.49   	  20.35		104.82   	 422.18		
-22.89   	 -6.71   	 32.57   	   0.00		106.51   	 391.66		
-20.14   	 -6.10   	 32.57   	 -20.35		108.08   	 361.14		
-18.31   	 -2.44   	 32.49   	 -35.61		109.52   	 330.62		
-16.78   	  7.02   	 32.35   	 -45.78		110.84   	 295.01		
-14.34   	 22.28   	 32.17   	 -66.12		112.02   	 279.75		
-10.07   	 40.59   	 31.90   	 -76.30		113.14   	 254.32		
 -4.58   	 56.15   	 31.60   	 -96.64		114.16   	 249.24		
 -1.22   	 63.48   	 31.21   	-101.73		115.16   	 233.98		
 -0.92   	 60.73   	 30.80   	-101.73		116.09   	 228.89		
 -2.14   	 51.27   	 30.40   	 -86.47		117.01   	 218.72		
 -1.22   	 41.81   	 30.05   	 -55.95		117.88   	 208.54		
  4.58   	 39.37   	 29.83   	 -30.52		118.72   	 188.20		
 14.04   	 45.78   	 29.70   	   0.00		119.47   	 183.11		
 24.11   	 58.90   	 29.70   	  25.43		120.20   	 172.94		
 30.82   	 74.46   	 29.81   	  45.78		120.89   	 183.11		
 33.57   	 89.42   	 29.99   	  61.04		121.63   	 198.37		
 34.18   	100.71   	 30.23   	  76.30		122.42   	 223.80		
 36.32   	108.03   	 30.54   	  81.38		123.32   	 223.80		
 41.20   	111.08   	 30.86   	  91.56		124.21   	 203.46		
 48.83   	111.69   	 31.23   	  96.64		125.02   	 152.59		
 57.37   	112.30   	 31.62   	 101.73		125.64   	  76.30		
 64.70   	115.97   	 32.02   	 106.82		125.94   	  15.26		
 70.80   	123.90   	 32.45   	  96.64		126.00   	  -5.09		
 75.99   	134.28   	 32.84   	  91.56		125.98   	  20.35		
 79.96   	145.26   	 33.20   	  71.21		126.06   	  76.30		
 83.62   	155.64   	 33.49   	  55.95		126.37   	 132.25		
 86.98   	163.88   	 33.71   	  40.69		126.90   	 183.11		
 90.64   	170.59   	 33.88   	  35.61		127.63   	 188.20		
 94.30   	174.56   	 34.02   	  25.43		128.38   	 167.85		
 96.74   	175.17   	 34.12   	  25.43		129.05   	 132.25		
 97.66   	173.34   	 34.22   	  30.52		129.58   	  96.64		
 97.66   	170.59   	 34.34   	  30.52		129.97   	  76.30		
 96.74   	168.15   	 34.47   	  30.52		130.27   	  76.30		
 94.60   	166.02   	 34.59   	  30.52		130.58   	  86.47		
 91.86   	164.18   	 34.71   	  25.43		130.93   	 101.73		
 87.89   	161.13   	 34.81   	  15.26		131.33   	 101.73		
 83.31   	157.17   	 34.87   	  10.17		131.74   	  86.47		
 79.35   	152.89   	 34.91(S)	   0.00		132.08   	  61.04		
 74.16   	146.79   	 34.91   	   0.00		132.33   	  30.52		
 65.61   	136.41   	 34.91   	 -10.17		132.45(S)	  -5.09		
 53.71   	121.46   	 34.87   	 -20.35		132.43   	 -15.26		
 40.28   	103.45   	 34.79   	 -25.43		132.37   	 -25.43		
 28.69   	 86.67   	 34.69   	 -40.69		132.27   	 -15.26		
 21.36   	 73.24   	 34.53   	 -50.86		132.21   	  -5.09		
 17.09   	 63.78   	 34.32   	 -61.04		132.19   	   0.00		
 13.43   	 54.93   	 34.08   	 -71.21		132.19   	  -5.09		
  7.93   	 44.25   	 33.79   	 -71.21		132.17   	 -25.43		
  0.31   	 31.13   	 33.51   	 -76.30		132.06   	 -45.78		
 -8.24   	 18.01   	 33.20   	 -76.30		131.88   	 -76.30		
-15.26   	  8.54   	 32.90   	 -81.38		131.58   	-101.73		
-19.23   	  4.27   	 32.57   	 -86.47		131.17   	-142.42		
-21.36   	  3.36   	 32.23   	 -96.64		130.60   	-183.11		
-22.58   	  2.44   	 31.84   	-106.82		129.87   	-233.98		
-25.02   	 -1.83   	 31.41   	-122.07		128.93   	-300.10		
-28.99   	-10.38   	 30.93   	-137.33		127.73   	-366.22		
-32.04   	-19.84   	 30.38   	-152.59		126.27   	-447.61		
-32.04   	-25.63   	 29.77   	-172.94		124.48   	-528.99		
-28.99   	-24.41   	 29.07   	-178.03		122.36   	-620.55		
-25.33   	-17.40   	 28.36   	-198.37		119.88   	-717.19		
-24.11   	 -8.85   	 27.57   	-208.54		117.01   	-834.18		
-27.16   	 -3.05   	 26.73   	-218.72		113.67   	-971.51		
-31.74   	 -2.14   	 25.86   	-223.80		109.79   	-1124.11		
-34.18   	 -5.49   	 24.96   	-228.89		105.29   	-1261.44		
-32.96   	 -9.16   	 24.05   	-218.72		100.24   	-1388.60		
-29.91   	-11.29   	 23.17   	-218.72		 94.69   	-1469.98		
-27.77   	-11.60   	 22.30   	-213.63		 88.81   	-1505.59		
-28.69   	-12.21   	 21.44   	-213.63		 82.79   	-1495.42		
-32.65   	-14.65   	 20.59   	-208.54		 76.81   	-1439.47		
-36.93   	-19.84   	 19.76   	-208.54		 71.05   	-1353.00		
-38.76   	-25.94   	 18.92   	-203.46		 65.64   	-1271.61		
-38.15   	-30.21   	 18.11   	-198.37		 60.55   	-1185.14		
-35.40   	-31.74   	 17.31   	-183.11		 55.81   	-1108.85		
-32.04   	-29.91   	 16.58   	-183.11		 51.37   	-1052.90		
-30.21   	-25.94   	 15.85   	-172.94		 47.16   	-1002.03		
-31.13   	-21.36   	 15.16   	-162.77		 43.15   	-946.08		
-35.40   	-18.01   	 14.51   	-157.68		 39.37   	-879.96		
-39.98   	-16.48   	 13.88   	-147.51		 35.85   	-813.83		
-41.81   	-16.17   	 13.29   	-132.25		 32.59   	-737.54		
-39.37   	-17.70   	 12.76   	-122.07		 29.64   	-651.07		
-35.40   	-20.45   	 12.27   	-111.90		 27.04   	-579.86		
-32.96   	-24.11   	 11.82   	 -96.64		 24.72   	-508.65		
-33.87   	-27.47   	 11.43   	 -91.56		 22.69   	-452.69		
-36.32   	-28.69   	 11.07   	 -86.47		 20.87   	-412.00		
-36.93   	-26.55   	 10.72   	 -76.30		 19.23   	-371.31		
-34.79   	-21.67   	 10.42   	 -71.21		 17.74   	-340.79		
-31.74   	-18.92   	 10.13   	 -66.12		 16.38   	-300.10		
-30.52   	-20.75   	  9.87   	 -61.04		 15.18   	-259.41		
-31.13   	-26.86   	  9.62   	 -61.04		 14.14   	-213.63		
-32.65   	-33.26   	  9.38   	 -50.86		 13.29   	-172.94		
-33.87   	-36.62   	  9.18   	 -40.69		 12.59   	-137.33		
-34.48   	-34.79   	  9.01   	 -35.61		 12.04   	-106.82		
-35.40   	-30.52   	  8.87   	 -20.35		 11.62   	 -86.47		
-36.32   	-28.99   	  8.79   	  -5.09		 11.27   	 -71.21		
-36.62   	-33.26   	  8.77(D)	   5.09		 10.99   	 -66.12		
-36.01   	-41.81   	  8.79   	  15.26		 10.72   	 -66.12		
-35.10   	-50.05   	  8.85   	  25.43		 10.46   	 -55.95		
-35.40   	-53.10   	  8.95   	  35.61		 10.23   	 -50.86		
-36.93   	-50.05   	  9.09   	  35.61		 10.03   	 -40.69		
-38.15   	-43.95   	  9.24   	  40.69		  9.87   	 -25.43		
-37.54   	-37.84   	  9.40   	  45.78		  9.77   	 -15.26		
-35.10   	-34.48   	  9.58   	  40.69		  9.70   	  -5.09		
-32.35   	-33.26   	  9.75   	  40.69		  9.68(D)	   5.09		
-31.74   	-33.87   	  9.91   	  40.69		  9.70   	   5.09		
-33.87   	-36.32   	 10.07   	  40.69		  9.73   	  10.17		
-36.62   	-39.06   	 10.23   	  35.61		  9.77   	  10.17		
-38.15   	-41.50   	 10.38   	  40.69		  9.81   	  15.26		
-36.93   	-42.42   	 10.54   	  45.78		  9.87   	  10.17		
-34.79   	-43.03   	 10.72   	  50.86		  9.91   	  20.35		
-34.18   	-44.56   	 10.93   	  55.95		  9.99   	  20.35		
-35.40   	-46.69   	 11.15   	  55.95		 10.07   	  25.43		
