  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
  7.02   	-39.67   	 14.32   	  -5.09		 65.39   	 -40.69		
  4.58   	-41.20   	 14.30   	  -5.09		 65.23   	 -40.69		
  1.22   	-45.47   	 14.28   	   0.00		 65.07   	 -40.69		
 -2.14   	-52.80   	 14.28   	  -5.09		 64.90   	 -35.61		
 -4.88   	-60.42   	 14.26   	   0.00		 64.76   	 -35.61		
 -6.71   	-62.87   	 14.26   	  -5.09		 64.62   	 -35.61		
 -6.71   	-55.54   	 14.24   	   0.00		 64.48   	 -35.61		
 -5.49   	-39.06   	 14.24   	  -5.09		 64.33   	 -30.52		
 -2.75   	-20.14   	 14.22   	  -5.09		 64.21   	 -30.52		
  0.00   	 -6.71   	 14.20   	   0.00		 64.09   	 -30.52		
  0.92   	 -3.97   	 14.20   	   0.00		 63.97   	 -30.52		
 -0.61   	-11.60   	 14.20   	   0.00		 63.85   	 -35.61		
 -3.36   	-22.89   	 14.20   	  -5.09		 63.70   	 -30.52		
 -5.49   	-30.21   	 14.18   	   0.00		 63.58   	 -30.52		
 -5.19   	-29.60   	 14.18   	   0.00		 63.46   	 -30.52		
 -3.05   	-22.58   	 14.18   	   5.09		 63.34   	 -30.52		
 -0.61   	-14.04   	 14.20   	   0.00		 63.21   	 -35.61		
  0.61   	 -9.16   	 14.20   	   0.00		 63.07   	 -35.61		
  0.61   	 -9.16   	 14.20   	   0.00		 62.93   	 -35.61		
  0.92   	-13.12   	 14.20   	   5.09		 62.79   	 -35.61		
  1.53   	-19.23   	 14.22   	   0.00		 62.64   	 -35.61		
  2.14   	-24.41   	 14.22   	   5.09		 62.50   	 -35.61		
  2.14   	-27.77   	 14.24   	   0.00		 62.36   	 -35.61		
  0.92   	-29.30   	 14.24   	   5.09		 62.22   	 -40.69		
  0.31   	-29.30   	 14.26   	   0.00		 62.05   	 -35.61		
  2.14   	-28.38   	 14.26   	   0.00		 61.91   	 -40.69		
  5.49   	-27.16   	 14.26   	   5.09		 61.75   	 -35.61		
 10.07   	-26.25   	 14.28   	   0.00		 61.61   	 -35.61		
 13.12   	-25.63   	 14.28   	   0.00		 61.46   	 -40.69		
 13.43   	-25.63   	 14.28   	   0.00		 61.30   	 -35.61		
 10.99   	-26.55   	 14.28   	   5.09		 61.16   	 -35.61		
  7.63   	-27.47   	 14.30   	   0.00		 61.02   	 -35.61		
  5.49   	-26.25   	 14.30   	   0.00		 60.87   	 -35.61		
  5.19   	-21.06   	 14.30   	  -5.09		 60.73   	 -35.61		
  6.10   	-12.82   	 14.28   	   0.00		 60.59   	 -35.61		
  7.63   	 -3.66   	 14.28   	   0.00		 60.45   	 -35.61		
  8.24   	  2.44   	 14.28   	   0.00		 60.30   	 -40.69		
  8.54   	  3.66   	 14.28   	   0.00		 60.14   	 -35.61		
  9.16   	  0.61   	 14.28   	   0.00		 60.00   	 -35.61		
  9.46   	 -3.97   	 14.28   	  -5.09		 59.86   	 -35.61		
  9.16   	 -8.54   	 14.26   	   0.00		 59.71   	 -30.52		
  7.32   	-12.21   	 14.26   	   0.00		 59.59   	 -35.61		
  3.66   	-15.26   	 14.26   	   0.00		 59.45   	 -35.61		
 -0.31   	-17.40   	 14.26   	  -5.09		 59.31   	 -35.61		
 -2.75   	-18.92   	 14.24   	   0.00		 59.17   	 -35.61		
 -3.36   	-19.84   	 14.24   	   0.00		 59.02   	 -30.52		
 -2.14   	-21.97   	 14.24   	   0.00		 58.90   	 -35.61		
 -0.31   	-25.63   	 14.24   	   0.00		 58.76   	 -30.52		
  0.92   	-28.38   	 14.24   	   0.00		 58.64   	 -35.61		
  0.92   	-26.25   	 14.24   	   5.09		 58.49   	 -30.52		
  0.00   	-16.78   	 14.26   	   0.00		 58.37   	 -35.61		
 -0.92   	 -3.66   	 14.26   	   0.00		 58.23   	 -30.52		
 -0.31   	  7.02   	 14.26   	   0.00		 58.11   	 -35.61		
  1.22   	  8.24   	 14.26   	   0.00		 57.97   	 -30.52		
  3.05   	 -0.61   	 14.26   	   0.00		 57.84   	 -35.61		
  3.36   	-14.65   	 14.26   	   0.00		 57.70   	 -35.61		
  1.22   	-26.55   	 14.26   	   0.00		 57.56   	 -35.61		
 -1.53   	-31.13   	 14.26   	   0.00		 57.42   	 -30.52		
 -2.75   	-28.08   	 14.26   	   5.09		 57.29   	 -35.61		
 -1.53   	-20.45   	 14.28   	   0.00		 57.15   	 -35.61		
  0.92   	-12.51   	 14.28   	   0.00		 57.01   	 -35.61		
  2.44   	 -6.71   	 14.28   	   0.00		 56.87   	 -30.52		
  2.44   	 -3.97   	 14.28   	   0.00		 56.74   	 -30.52		
  2.14   	 -2.44   	 14.28   	  -5.09		 56.62   	 -35.61		
  3.36   	 -1.53   	 14.26   	   0.00		 56.48   	 -30.52		
  7.32   	 -1.22   	 14.26   	   0.00		 56.36   	 -25.43		
 11.90   	 -1.53   	 14.26   	   0.00		 56.26   	 -30.52		
 15.26   	 -2.44   	 14.26   	   0.00		 56.13   	 -30.52		
 15.26   	 -3.66   	 14.26   	   0.00		 56.01   	 -25.43		
 12.51   	 -5.49   	 14.26   	   0.00		 55.91   	 -30.52		
