  I     	  II     	  RV     	  RV'		  LV     	  LV'		
-23.80   	-45.78   	 23.99   	-188.20		 92.04   	-1464.90		
-21.97   	-43.33   	 23.23   	-178.03		 86.18   	-1439.47		
-20.75   	-40.89   	 22.52   	-167.85		 80.43   	-1393.69		
-20.45   	-39.37   	 21.85   	-162.77		 74.85   	-1327.56		
-21.67   	-39.67   	 21.20   	-147.51		 69.54   	-1256.35		
-23.80   	-41.50   	 20.61   	-147.51		 64.52   	-1190.23		
-26.55   	-43.64   	 20.02   	-142.42		 59.76   	-1113.93		
-29.30   	-44.86   	 19.45   	-147.51		 55.30   	-1042.72		
-30.82   	-44.25   	 18.86   	-147.51		 51.13   	-971.51		
-30.52   	-40.89   	 18.27   	-147.51		 47.24   	-890.13		
-28.38   	-35.40   	 17.68   	-137.33		 43.68   	-808.75		
-26.25   	-29.91   	 17.13   	-127.16		 40.45   	-732.45		
-25.33   	-25.94   	 16.62   	-111.90		 37.52   	-656.15		
-26.55   	-23.80   	 16.17   	 -96.64		 34.89   	-595.11		
-28.69   	-23.19   	 15.79   	 -76.30		 32.51   	-539.16		
-30.21   	-22.89   	 15.48   	 -61.04		 30.36   	-498.47		
-30.21   	-22.28   	 15.24   	 -55.95		 28.36   	-452.69		
-28.08   	-21.06   	 15.02   	 -50.86		 26.55   	-427.26		
-25.63   	-19.84   	 14.81   	 -45.78		 24.84   	-386.57		
-24.41   	-19.23   	 14.63   	 -40.69		 23.30   	-350.97		
-25.33   	-19.53   	 14.47   	 -40.69		 21.89   	-315.36		
-28.08   	-21.67   	 14.30   	 -35.61		 20.63   	-279.75		
-30.82   	-24.11   	 14.16   	 -25.43		 19.51   	-244.15		
-32.04   	-25.33   	 14.06   	 -20.35		 18.54   	-213.63		
-30.52   	-25.02   	 13.98   	 -20.35		 17.68   	-183.11		
-27.77   	-23.80   	 13.90   	 -15.26		 16.95   	-162.77		
-25.94   	-22.58   	 13.84   	 -15.26		 16.30   	-137.33		
-26.25   	-22.58   	 13.77   	 -10.17		 15.75   	-116.99		
-28.69   	-23.80   	 13.73   	 -10.17		 15.28   	-101.73		
-31.13   	-24.72   	 13.69   	  -5.09		 14.87   	 -86.47		
-32.65   	-24.72   	 13.67   	   0.00		 14.53   	 -66.12		
-32.04   	-24.72   	 13.67   	   0.00		 14.26   	 -45.78		
-30.82   	-25.02   	 13.67   	   5.09		 14.08   	 -35.61		
-29.91   	-26.86   	 13.69   	  10.17		 13.94   	 -15.26		
-30.82   	-28.99   	 13.73   	  15.26		 13.88   	 -10.17		
-32.65   	-31.13   	 13.79   	  15.26		 13.84   	  -5.09		
-34.48   	-32.35   	 13.86   	  15.26		 13.81   	  -5.09		
-34.79   	-32.65   	 13.92   	  15.26		 13.79   	  -5.09		
-33.57   	-32.65   	 13.98   	  15.26		 13.77   	  -5.09		
-31.13   	-32.65   	 14.04   	  15.26		 13.75   	   0.00		
-28.38   	-32.35   	 14.10   	  15.26		 13.75   	  -5.09		
-27.16   	-32.96   	 14.16   	  15.26		 13.73   	   0.00		
-27.47   	-34.48   	 14.22   	  15.26		 13.73   	   5.09		
-28.08   	-37.23   	 14.28   	  10.17		 13.75   	  15.26		
-27.77   	-40.28   	 14.32   	   5.09		 13.81   	  15.26		
-25.94   	-43.33   	 14.34   	   5.09		 13.88   	  20.35		
-24.11   	-44.86   	 14.36   	   0.00		 13.96   	  20.35		
-23.80   	-45.47   	 14.36   	   0.00		 14.04   	  25.43		
-25.94   	-46.08   	 14.36   	   0.00		 14.14   	  30.52		
-28.99   	-47.00   	 14.36   	   0.00		 14.26   	  35.61		
-30.52   	-47.91   	 14.36   	   5.09		 14.40   	  40.69		
-29.91   	-48.52   	 14.38   	   5.09		 14.57   	  45.78		
-27.16   	-48.52   	 14.40   	  10.17		 14.75   	  55.95		
-24.41   	-47.91   	 14.45   	  15.26		 14.97   	  55.95		
-23.19   	-47.61   	 14.51   	  15.26		 15.20   	  61.04		
-24.72   	-48.52   	 14.57   	  15.26		 15.44   	  55.95		
