  I     	  II     	  LVp     	  LVp'		
  2.14   	 52.19   	 32.19   	  20.35		
  5.49   	 46.39   	 32.27   	  15.26		
 12.51   	 45.47   	 32.33   	  20.35		
 19.84   	 49.44   	 32.41   	  15.26		
 23.80   	 56.46   	 32.47   	  20.35		
 23.80   	 63.78   	 32.55   	  20.35		
 21.06   	 68.97   	 32.63   	  15.26		
 18.62   	 69.89   	 32.70   	  20.35		
 17.40   	 64.09   	 32.78   	  15.26		
 16.48   	 51.27   	 32.84   	  20.35		
 15.87   	 32.65   	 32.92   	  20.35		
 15.26   	 12.51   	 33.00   	  20.35		
 16.78   	 -3.66   	 33.08   	  20.35		
 18.92   	-13.73   	 33.16   	  20.35		
 18.62   	-19.53   	 33.25   	  25.43		
 13.73   	-24.11   	 33.35   	  25.43		
  3.66   	-29.91   	 33.45   	  30.52		
 -7.93   	-35.71   	 33.57   	  25.43		
-15.87   	-37.84   	 33.67   	  30.52		
-17.40   	-35.40   	 33.79   	  30.52		
-14.65   	-29.91   	 33.92   	  25.43		
-11.29   	-25.63   	 34.02   	  30.52		
-10.38   	-24.72   	 34.14   	  30.52		
-11.60   	-25.63   	 34.26   	  25.43		
-13.43   	-25.94   	 34.36   	  30.52		
-14.34   	-23.50   	 34.49   	  30.52		
-13.73   	-19.53   	 34.61   	  30.52		
-12.21   	-15.56   	 34.73   	  30.52		
-10.68   	-13.12   	 34.85   	  35.61		
-10.38   	-12.21   	 34.99   	  35.61		
-10.68   	-12.21   	 35.14   	  35.61		
-10.38   	-14.04   	 35.28   	  45.78		
 -5.80   	-20.45   	 35.46   	  40.69		
  8.24   	-33.87   	 35.63   	  50.86		
 38.45   	-55.24   	 35.83   	  50.86		
 91.55   	-79.96   	 36.03   	  61.04		
171.20   	-101.62   	 36.28   	  61.04		
274.66   	-113.53   	 36.52   	  66.12		
390.63   	-110.78   	 36.79   	  66.12		
504.76   	-91.86   	 37.05   	  76.30		
598.75   	-52.19   	 37.35   	  76.30		
648.80   	 17.40   	 37.66   	  81.38		
624.69   	126.34   	 37.99   	  81.38		
501.40   	283.20   	 38.31   	  86.47		
275.27   	488.28   	 38.66   	  81.38		
-24.41   	731.20   	 38.98   	  81.38		
-336.00   	987.55   	 39.31   	 167.85		
-738.53   	1372.68   	 39.98   	  81.38		
-757.45   	1400.15   	 40.31   	  86.47		
-654.60   	1275.33   	 40.65   	  86.47		
-466.92   	1017.15   	 41.00   	  96.64		
-253.91   	686.95   	 41.38   	 101.73		
-79.65   	367.74   	 41.79   	 111.90		
 12.51   	126.95   	 42.24   	 127.16		
 21.67   	-10.38   	 42.75   	 147.51		
