  I     	  II     	  PW     	  PW'		
-79.04   	 -1.83   	 32.29   	 106.82		
-80.57   	 -2.75   	 32.72   	 132.25		
-83.92   	 -5.80   	 33.25   	 147.51		
-87.28   	 -7.93   	 33.84   	 162.77		
-89.42   	 -7.32   	 34.49   	 152.59		
-89.42   	 -3.36   	 35.10   	 137.33		
-87.59   	  1.83   	 35.65   	 106.82		
-85.14   	  5.49   	 36.07   	  61.04		
-83.31   	  7.32   	 36.32   	  10.17		
-83.01   	  7.93   	 36.36   	 -45.78		
-85.14   	  8.85   	 36.17   	 -96.64		
-88.50   	 10.07   	 35.79   	-152.59		
-92.16   	 11.29   	 35.18   	-193.29		
-94.91   	 11.60   	 34.40   	-223.80		
-96.13   	 11.90   	 33.51   	-244.15		
-97.05   	 11.90   	 32.53   	-249.24		
-99.18   	 12.21   	 31.54   	-239.06		
-103.45   	 12.51   	 30.58   	-218.72		
-109.25   	 13.43   	 29.70   	-188.20		
-115.66   	 15.87   	 28.95   	-147.51		
-121.15   	 19.23   	 28.36   	-106.82		
-126.65   	 22.89   	 27.93   	 -66.12		
-132.45   	 25.63   	 27.67   	 -20.35		
-137.63   	 27.77   	 27.59   	  20.35		
-141.60   	 30.21   	 27.67   	  55.95		
-142.52   	 34.18   	 27.89   	  76.30		
-141.60   	 39.37   	 28.20   	 101.73		
-139.77   	 44.25   	 28.61   	 106.82		
-138.24   	 47.91   	 29.03   	 106.82		
-136.41   	 50.35   	 29.46   	 106.82		
-133.67   	 52.19   	 29.89   	  96.64		
-129.09   	 54.93   	 30.27   	  81.38		
-122.07   	 58.90   	 30.60   	  66.12		
-112.00   	 64.39   	 30.86   	  50.86		
-99.49   	 70.80   	 31.07   	  40.69		
-84.53   	 77.21   	 31.23   	  15.26		
-68.36   	 82.40   	 31.29   	  10.17		
-52.49   	 86.06   	 31.33   	 -10.17		
-37.54   	 87.28   	 31.29   	 -15.26		
-24.41   	 86.06   	 31.23   	 -30.52		
-14.34   	 82.09   	 31.11   	 -35.61		
 -8.24   	 76.29   	 30.97   	 -45.78		
