  I     	  II     	  LVp     	  LVp'		
 -5.19   	 -1.83   	 15.20   	   0.00		
 -5.80   	  3.36   	 15.20   	   0.00		
 -4.88   	 10.68   	 15.20   	   0.00		
 -1.53   	 19.53   	 15.20   	   0.00		
  4.58   	 28.69   	 15.20   	   5.09		
 10.68   	 35.71   	 15.22   	   0.00		
 15.26   	 37.84   	 15.22   	   5.09		
 18.62   	 33.26   	 15.24   	   5.09		
 21.97   	 24.72   	 15.26   	   5.09		
 26.86   	 19.53   	 15.28   	  10.17		
 37.23   	 28.99   	 15.32   	  10.17		
 58.59   	 65.92   	 15.36   	  10.17		
100.10   	141.30   	 15.40   	  15.26		
169.68   	259.40   	 15.46   	  15.26		
268.55   	411.38   	 15.52   	  20.35		
379.64   	570.37   	 15.61   	  15.26		
466.61   	696.11   	 15.67   	  25.43		
490.42   	748.60   	 15.77   	  20.35		
433.35   	711.36   	 15.85   	  25.43		
316.16   	602.11   	 15.95   	  25.43		
187.68   	461.12   	 16.05   	  35.61		
 96.44   	326.54   	 16.20   	  45.78		
 57.07   	216.98   	 16.38   	  50.86		
 49.74   	131.53   	 16.58   	  76.30		
 41.81   	 63.17   	 16.89   	  96.64		
 17.70   	 11.60   	 17.27   	 122.07		
-14.95   	-20.14   	 17.76   	 157.68		
-38.76   	-35.71   	 18.39   	 193.29		
-46.08   	-46.08   	 19.17   	 233.98		
-43.64   	-61.34   	 20.10   	 289.93		
-43.95   	-80.87   	 21.26   	 340.79		
-51.88   	-97.35   	 22.62   	 406.92		
-61.95   	-104.06   	 24.25   	 483.21		
-66.22   	-100.10   	 26.19   	 564.60		
-62.26   	-92.47   	 28.44   	 640.89		
-54.63   	-86.98   	 31.01   	 732.45		
-50.35   	-85.14   	 33.94   	 803.66		
-50.96   	-84.53   	 37.15   	 864.70		
-52.80   	-83.31   	 40.61   	 915.56		
-50.35   	-80.57   	 44.27   	 946.08		
-41.81   	-77.51   	 48.06   	 946.08		
-31.74   	-74.46   	 51.84   	 925.73		
-26.55   	-72.94   	 55.54   	 879.96		
-27.77   	-72.33   	 59.06   	 813.83		
-32.65   	-72.33   	 62.32   	 737.54		
-34.18   	-71.11   	 65.27   	 651.07		
-28.99   	-68.66   	 67.87   	 564.60		
-19.23   	-65.00   	 70.13   	 493.39		
-10.68   	-61.95   	 72.11   	 437.43		
 -9.16   	-61.95   	 73.86   	 406.92		
-15.56   	-66.22   	 75.48   	 386.57		
-27.16   	-73.85   	 77.03   	 381.48		
-38.76   	-82.70   	 78.56   	 386.57		
-46.08   	-91.25   	 80.10   	 401.83		
-49.13   	-99.49   	 81.71   	 406.92		
-50.05   	-107.42   	 83.34   	 412.00		
-51.57   	-116.27   	 84.98   	 412.00		
-54.32   	-125.12   	 86.63   	 406.92		
-58.29   	-132.14   	 88.26   	 396.74		
-62.26   	-137.02   	 89.85   	 371.31		
-64.39   	-139.77   	 91.33   	 350.97		
