  I     	  II     	  LV     	  LV'		
-46.39   	-427.25   	 22.48   	 808.75		
-54.32   	-448.00   	 25.72   	 885.04		
-60.12   	-464.48   	 29.26   	 940.99		
-60.12   	-472.72   	 33.02   	 961.34		
-54.93   	-475.77   	 36.87   	 961.34		
-48.83   	-480.35   	 40.71   	 930.82		
-44.25   	-490.42   	 44.44   	 879.96		
-40.59   	-504.46   	 47.96   	 808.75		
-34.79   	-517.27   	 51.19   	 732.45		
-25.63   	-525.21   	 54.12   	 645.98		
-17.09   	-529.17   	 56.70   	 554.42		
-13.12   	-532.23   	 58.92   	 467.95		
-14.65   	-534.97   	 60.79   	 391.66		
-16.78   	-534.06   	 62.36   	 310.27		
-13.73   	-526.43   	 63.60   	 249.24		
 -4.27   	-513.00   	 64.60   	 188.20		
  9.16   	-498.05   	 65.35   	 147.51		
 21.06   	-487.67   	 65.94   	 111.90		
 28.69   	-484.62   	 66.39   	  96.64		
 30.82   	-489.20   	 66.77   	  76.30		
 28.99   	-500.49   	 67.08   	  71.21		
 25.33   	-516.05   	 67.36   	  71.21		
 23.50   	-532.53   	 67.65   	  66.12		
 25.63   	-545.96   	 67.91   	  61.04		
 30.52   	-554.20   	 68.16   	  55.95		
 32.04   	-558.78   	 68.38   	  50.86		
 25.33   	-564.27   	 68.59   	  35.61		
 10.99   	-571.90   	 68.73   	  25.43		
 -4.27   	-578.61   	 68.83   	  10.17		
-12.21   	-579.53   	 68.87   	  -5.09		
-11.29   	-570.68   	 68.85   	 -30.52		
 -5.19   	-552.67   	 68.73   	 -50.86		
  1.83   	-528.56   	 68.52   	 -81.38		
  7.32   	-502.32   	 68.20   	-111.90		
 11.60   	-476.38   	 67.75   	-142.42		
 14.04   	-452.27   	 67.18   	-183.11		
 13.12   	-431.21   	 66.45   	-228.89		
 10.99   	-410.77   	 65.53   	-274.67		
 14.65   	-386.05   	 64.44   	-335.71		
 28.08   	-352.48   	 63.09   	-401.83		
 47.00   	-310.36   	 61.49   	-467.95		
 59.51   	-260.93   	 59.61   	-523.90		
 54.02   	-205.08   	 57.52   	-569.68		
 28.38   	-139.47   	 55.24   	-610.37		
 -7.63   	-60.73   	 52.80   	-635.81		
-43.03   	 26.86   	 50.25   	-645.98		
-76.90   	107.12   	 47.67   	-651.07		
-121.77   	156.86   	 45.07   	-640.89		
-190.73   	159.00   	 42.50   	-635.81		
-284.42   	112.61   	 39.96   	-620.55		
-385.44   	 37.54   	 37.48   	-605.29		
-466.00   	-36.32   	 35.06   	-584.94		
-505.68   	-81.48   	 32.72   	-569.68		
-501.10   	-85.45   	 30.44   	-544.25		
-464.17   	-55.54   	 28.26   	-508.65		
-412.90   	-12.82   	 26.23   	-478.13		
-362.55   	 18.92   	 24.31   	-437.43		
-321.96   	 25.94   	 22.56   	-381.48		
-293.88   	  7.63   	 21.04   	-335.71		
-273.13   	-26.25   	 19.69   	-269.58		
-251.16   	-61.04   	 18.62   	-218.72		
-221.56   	-85.14   	 17.74   	-152.59		
-183.11   	-91.86   	 17.13   	-101.73		
-141.30   	-80.57   	 16.72   	 -55.95		
-105.59   	-59.51   	 16.50   	 -10.17		
-84.53   	-42.11   	 16.46   	  20.35		
-78.74   	-38.76   	 16.54   	  45.78		
-80.57   	-47.91   	 16.72   	  71.21		
-78.43   	-55.54   	 17.01   	 101.73		
-60.12   	-46.08   	 17.42   	 127.16		
-21.67   	-15.87   	 17.92   	 178.03		
 30.52   	 24.41   	 18.64   	 223.80		
 81.79   	 57.07   	 19.53   	 289.93		
119.02   	 72.63   	 20.69   	 361.14		
137.94   	 74.46   	 22.14   	 437.43		
142.21   	 71.72   	 23.89   	 498.47		
140.69   	 71.72   	 25.88   	 559.51		
140.69   	 75.38   	 28.12   	 605.29		
144.65   	 80.26   	 30.54   	 635.81		
152.89   	 87.28   	 33.08   	 645.98		
166.02   	 98.27   	 35.67   	 640.89		
183.72   	114.14   	 38.23   	 625.63		
202.33   	132.14   	 40.73   	 600.20		
216.67   	146.79   	 43.13   	 564.60		
222.47   	155.03   	 45.39   	 534.08		
220.95   	158.69   	 47.53   	 488.30		
217.59   	162.96   	 49.48   	 447.61		
219.42   	172.73   	 51.27   	 406.92		
228.58   	188.29   	 52.90   	 366.22		
241.09   	206.30   	 54.36   	 330.62		
251.46   	221.86   	 55.69   	 289.93		
257.57   	232.85   	 56.85   	 249.24		
261.84   	240.78   	 57.84   	 218.72		
267.03   	248.41   	 58.72   	 183.11		
275.57   	258.48   	 59.45   	 152.59		
286.25   	270.69   	 60.06   	 116.99		
295.72   	283.20   	 60.53   	  86.47		
303.04   	295.41   	 60.87   	  61.04		
309.75   	307.92   	 61.12   	  30.52		
318.91   	321.96   	 61.24   	   5.09		
329.59   	337.52   	 61.26   	 -20.35		
336.91   	350.04   	 61.18   	 -45.78		
332.95   	353.09   	 61.00   	 -71.21		
314.33   	343.93   	 60.71   	 -91.56		
