  I     	  II     	  PW     	  PW'		
 37.23   	 65.61   	 27.37   	 -10.17		
 18.31   	 52.80   	 27.32   	   0.00		
  5.49   	 30.21   	 27.32   	  10.17		
  5.19   	  9.77   	 27.37   	  20.35		
 15.56   	  4.58   	 27.45   	  25.43		
 26.55   	 15.26   	 27.55   	  35.61		
 30.21   	 29.30   	 27.69   	  40.69		
 27.16   	 33.26   	 27.85   	  40.69		
 26.25   	 25.63   	 28.02   	  50.86		
 32.35   	 16.48   	 28.22   	  45.78		
 36.01   	 14.34   	 28.40   	  45.78		
 24.41   	 15.87   	 28.59   	  40.69		
 -4.58   	  9.77   	 28.75   	  35.61		
-37.54   	-10.68   	 28.89   	  35.61		
-54.63   	-38.45   	 29.03   	  25.43		
-46.08   	-57.68   	 29.14   	  15.26		
-23.50   	-56.76   	 29.20   	  15.26		
 -6.10   	-38.76   	 29.26   	   5.09		
 -2.75   	-17.70   	 29.28   	   0.00		
 -6.71   	 -6.10   	 29.28   	   5.09		
 -6.41   	 -5.80   	 29.30   	  -5.09		
  1.22   	 -9.16   	 29.28   	   5.09		
  7.63   	 -7.02   	 29.30   	   0.00		
  3.97   	  2.14   	 29.30   	   5.09		
 -9.77   	  7.32   	 29.32   	  15.26		
-24.11   	 -1.83   	 29.38   	  20.35		
-30.21   	-23.80   	 29.46   	  25.43		
-27.47   	-43.64   	 29.56   	  30.52		
-20.14   	-45.17   	 29.68   	  40.69		
-14.34   	-25.33   	 29.85   	  45.78		
-13.43   	 -0.92   	 30.03   	  55.95		
-14.95   	  7.93   	 30.25   	  50.86		
-17.09   	 -3.36   	 30.46   	  61.04		
-18.62   	-20.45   	 30.70   	  55.95		
-18.01   	-21.67   	 30.93   	  50.86		
-14.04   	  0.92   	 31.13   	  50.86		
 -4.88   	 38.76   	 31.33   	  45.78		
  7.63   	 75.07   	 31.52   	  40.69		
 18.01   	 91.55   	 31.68   	  35.61		
 17.70   	 80.57   	 31.82   	  30.52		
  3.05   	 49.13   	 31.94   	  25.43		
-19.53   	 14.34   	 32.04   	  20.35		
-34.79   	 -5.19   	 32.13   	  25.43		
-30.82   	 -1.83   	 32.23   	  20.35		
 -9.46   	 17.70   	 32.31   	  20.35		
 13.43   	 36.32   	 32.39   	  20.35		
 22.58   	 43.95   	 32.47   	  25.43		
 13.73   	 42.72   	 32.57   	  30.52		
 -3.05   	 43.03   	 32.70   	  30.52		
-10.68   	 52.19   	 32.82   	  30.52		
 -0.61   	 66.22   	 32.94   	  25.43		
 21.06   	 78.43   	 33.04   	  30.52		
