  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-50.35   	-113.83   	 17.82   	-127.16		 14.93   	  10.17		
-49.44   	-120.24   	 17.31   	-101.73		 14.97   	   0.00		
-47.61   	-122.68   	 16.91   	 -86.47		 14.97   	   0.00		
-46.08   	-125.73   	 16.56   	 -71.21		 14.97   	  -5.09		
-45.78   	-130.00   	 16.28   	 -55.95		 14.95   	 -10.17		
-47.00   	-134.89   	 16.05   	 -40.69		 14.91   	 -15.26		
-49.74   	-138.55   	 15.89   	 -25.43		 14.85   	 -10.17		
-51.27   	-139.77   	 15.79   	 -10.17		 14.81   	 -15.26		
-50.96   	-138.55   	 15.75   	   0.00		 14.75   	 -10.17		
-48.52   	-136.11   	 15.75   	   5.09		 14.71   	 -10.17		
-46.69   	-134.58   	 15.77   	  10.17		 14.67   	   0.00		
-47.30   	-134.89   	 15.81   	   5.09		 14.67   	   5.09		
-50.35   	-136.11   	 15.83   	   5.09		 14.69   	  10.17		
-52.49   	-136.11   	 15.85   	   0.00		 14.73   	  20.35		
-50.66   	-132.75   	 15.85   	 -10.17		 14.81   	  20.35		
-45.47   	-127.56   	 15.81   	 -15.26		 14.89   	  25.43		
-40.28   	-124.51   	 15.75   	 -20.35		 14.99   	  30.52		
-39.37   	-126.04   	 15.67   	 -30.52		 15.12   	  25.43		
-42.72   	-130.62   	 15.54   	 -35.61		 15.22   	  25.43		
-48.22   	-134.28   	 15.40   	 -40.69		 15.32   	  25.43		
-51.27   	-133.06   	 15.24   	 -30.52		 15.42   	  25.43		
-50.96   	-127.87   	 15.12   	 -30.52		 15.52   	  20.35		
-47.61   	-121.77   	 14.99   	 -15.26		 15.61   	  25.43		
-43.64   	-118.71   	 14.93   	  -5.09		 15.71   	  25.43		
-40.89   	-118.41   	 14.91   	  10.17		 15.81   	  25.43		
-40.89   	-119.32   	 14.95   	  25.43		 15.91   	  25.43		
-42.72   	-119.32   	 15.06   	  45.78		 16.01   	  20.35		
-44.56   	-117.49   	 15.24   	  66.12		 16.09   	  20.35		
-44.86   	-114.44   	 15.50   	  81.38		 16.17   	  20.35		
-42.11   	-111.08   	 15.83   	  86.47		 16.26   	  10.17		
-37.54   	-108.03   	 16.17   	  86.47		 16.30   	  10.17		
-33.57   	-106.20   	 16.52   	  86.47		 16.34   	  10.17		
-32.65   	-105.90   	 16.87   	  76.30		 16.38   	   5.09		
-34.48   	-106.81   	 17.17   	  71.21		 16.40   	   5.09		
-36.62   	-107.73   	 17.46   	  61.04		 16.42   	  10.17		
-37.54   	-107.12   	 17.70   	  55.95		 16.46   	  15.26		
-36.93   	-104.68   	 17.92   	  40.69		 16.52   	  15.26		
-36.32   	-100.71   	 18.09   	  25.43		 16.58   	  20.35		
-36.62   	-97.35   	 18.19   	  20.35		 16.66   	  20.35		
-37.54   	-94.91   	 18.27   	   0.00		 16.74   	  20.35		
-38.76   	-94.30   	 18.27   	  -5.09		 16.83   	  25.43		
-38.76   	-94.30   	 18.25   	 -15.26		 16.93   	  20.35		
-39.06   	-93.99   	 18.19   	 -20.35		 17.01   	  15.26		
-39.37   	-92.77   	 18.11   	 -25.43		 17.07   	  15.26		
-39.98   	-91.25   	 18.01   	 -25.43		 17.13   	  10.17		
-39.37   	-90.03   	 17.90   	 -20.35		 17.17   	  10.17		
-37.23   	-88.81   	 17.82   	 -20.35		 17.21   	   0.00		
-34.18   	-87.59   	 17.74   	 -20.35		 17.21   	   0.00		
-31.74   	-86.06   	 17.66   	 -15.26		 17.21   	   0.00		
-31.43   	-85.45   	 17.60   	 -10.17		 17.21   	  -5.09		
-33.57   	-85.75   	 17.56   	   0.00		 17.19   	  -5.09		
-36.62   	-87.28   	 17.56   	   0.00		 17.17   	 -10.17		
-39.06   	-88.20   	 17.56   	   5.09		 17.13   	 -10.17		
-39.98   	-87.59   	 17.58   	   5.09		 17.09   	 -10.17		
-39.37   	-84.23   	 17.60   	  10.17		 17.05   	 -10.17		
-36.62   	-79.35   	 17.64   	  10.17		 17.01   	 -15.26		
-33.87   	-75.07   	 17.68   	  10.17		 16.95   	 -20.35		
-36.32   	-75.99   	 17.72   	  10.17		 16.87   	 -20.35		
-47.30   	-86.06   	 17.76   	  10.17		 16.79   	 -20.35		
-65.00   	-103.45   	 17.80   	  10.17		 16.70   	 -20.35		
-79.65   	-114.14   	 17.84   	  10.17		 16.62   	 -25.43		
-75.99   	-88.20   	 17.88   	   5.09		 16.52   	 -25.43		
-43.33   	 16.78   	 17.90   	  10.17		 16.42   	 -25.43		
 23.19   	238.65   	 17.94   	   5.09		 16.32   	 -25.43		
118.71   	581.05   	 17.97   	  10.17		 16.22   	 -25.43		
232.85   	989.99   	 18.01   	  10.17		 16.11   	 -25.43		
347.29   	1355.90   	 18.05   	  35.61		 16.01   	 -45.78		
474.85   	1557.01(R)	 18.19(E)	  25.43		 15.83   	 -20.35		
438.84   	1366.58   	 18.29   	  40.69		 15.75   	 -20.35		
334.47   	1082.46   	 18.45   	  45.78		 15.67   	 -15.26		
190.12   	798.65   	 18.64   	  71.21		 15.61   	 -15.26		
 47.91   	558.78   	 18.92   	  96.64		 15.54   	 -10.17		
-56.46   	358.89   	 19.31   	 122.07		 15.50   	  -5.09		
-108.64   	187.07   	 19.80   	 167.85		 15.48   	 -10.17		
-118.10   	 45.17   	 20.47   	 218.72		 15.44   	  -5.09		
-104.68   	-57.37   	 21.34   	 274.67		 15.42   	 -10.17		
-86.06   	-116.58   	 22.44   	 345.88		 15.38   	 -10.17		
-70.19   	-139.47   	 23.82   	 427.26		 15.34   	 -10.17		
-58.59   	-140.08   	 25.53   	 503.56		 15.30   	 -15.26		
-50.35   	-131.84   	 27.55   	 600.20		 15.24   	 -15.26		
-45.47   	-122.07   	 29.95   	 686.67		 15.18   	 -20.35		
-43.03   	-115.97   	 32.70   	 778.23		 15.10   	 -20.35		
-42.72   	-115.05   	 35.81   	 864.70		 15.02   	 -25.43		
-42.72   	-118.41   	 39.27   	 935.91		 14.91   	 -25.43		
-42.72   	-120.54   	 43.01   	1002.03		 14.81   	 -30.52		
-42.11   	-120.24   	 47.02   	1042.72		 14.69   	 -35.61		
-42.42   	-119.63   	 51.19   	1083.41		 14.55   	 -40.69		
-43.95   	-120.85   	 55.52   	1098.67		 14.38   	 -35.61		
-44.86   	-122.07   	 59.92   	1113.93		 14.24   	 -35.61		
-44.25   	-119.02   	 64.37   	1119.02		 14.10   	 -35.61		
-42.11   	-111.69   	 68.85   	1119.02		 13.96   	 -30.52		
-38.76   	-103.76   	 73.33   	1129.19		 13.84   	 -25.43		
-35.71   	-99.18   	 77.84   	1154.62		 13.73   	 -20.35		
-34.79   	-98.57   	 82.46   	1190.23		 13.65   	 -10.17		
-36.93   	-100.10   	 87.22   	1225.83		 13.61   	   0.00		
-39.98   	-99.49   	 92.13   	1256.35		 13.61   	  10.17		
-41.50   	-96.13   	 97.15   	1271.61		 13.65   	  20.35		
-40.59   	-90.94   	102.24   	1266.53		 13.73   	  25.43		
-37.23   	-86.67   	107.30   	1256.35		 13.84   	  25.43		
-34.48   	-83.62   	112.33   	1230.92		 13.94   	  25.43		
-34.48   	-82.09   	117.25   	1185.14		 14.04   	  25.43		
-37.23   	-79.96   	121.99   	1129.19		 14.14   	  10.17		
-39.98   	-76.60   	126.51   	1073.24		 14.18   	   5.09		
-40.59   	-72.33   	130.80   	1007.12		 14.20(A)	  -5.09		
-37.23   	-67.75   	134.83   	 951.17		 14.18   	 -15.26		
-32.04   	-61.95   	138.64   	 885.04		 14.12   	 -25.43		
-26.55   	-54.63   	142.18   	 834.18		 14.02   	 -25.43		
-23.50   	-46.39   	145.51   	 783.31		 13.92   	 -25.43		
-22.89   	-38.15   	148.65   	 732.45		 13.81   	 -30.52		
-24.11   	-32.35   	151.58   	 686.67		 13.69   	 -25.43		
-25.33   	-28.69   	154.32   	 645.98		 13.59   	 -25.43		
-25.02   	-25.02   	156.91   	 610.37		 13.49   	 -25.43		
-22.89   	-18.62   	159.35   	 569.68		 13.39   	 -20.35		
-20.45   	 -9.16   	161.63   	 539.16		 13.31   	 -20.35		
-18.92   	  1.22   	163.78   	 498.47		 13.22   	 -20.35		
-18.62   	 10.68   	165.78   	 473.04		 13.14   	 -20.35		
-17.70   	 18.01   	167.67   	 452.69		 13.06   	 -20.35		
-13.43   	 25.02   	169.48   	 427.26		 12.98   	 -20.35		
 -5.80   	 33.87   	171.19   	 412.00		 12.90   	 -20.35		
  2.14   	 46.39   	172.84   	 406.92		 12.82   	 -20.35		
  7.93   	 61.65   	174.47   	 391.66		 12.74   	 -15.26		
 10.99   	 78.74   	176.03   	 376.40		 12.68   	 -15.26		
 13.73   	 96.13   	177.54   	 361.14		 12.61   	 -10.17		
 18.92   	112.61   	178.98   	 345.88		 12.57   	  -5.09		
 26.25   	126.34   	180.37   	 345.88		 12.55   	  -5.09		
 32.35   	135.50   	181.75   	 340.79		 12.53   	  -5.09		
 34.79   	139.47   	183.11   	 335.71		 12.51   	  -5.09		
 34.48   	140.69   	184.46   	 320.45		 12.49   	 -10.17		
 35.10   	143.13   	185.74   	 305.19		 12.45   	 -15.26		
 39.67   	148.93   	186.96   	 289.93		 12.39   	 -10.17		
 46.69   	157.17   	188.12   	 284.84		 12.35   	 -15.26		
 53.10   	164.79   	189.26   	 269.58		 12.29   	 -15.26		
 55.54   	168.46   	190.33   	 249.24		 12.23   	 -15.26		
 54.02   	166.63   	191.33   	 239.06		 12.17   	 -10.17		
 50.05   	161.13   	192.29   	 208.54		 12.13   	 -10.17		
 47.30   	155.33   	193.12   	 183.11		 12.09   	  -5.09		
 47.00   	151.06   	193.85   	 157.68		 12.07   	   0.00		
 48.22   	146.79   	194.49   	 137.33		 12.07   	   5.09		
 48.83   	139.77   	195.03   	 111.90		 12.09   	   5.09		
 46.08   	127.26   	195.48   	  91.56		 12.11   	  10.17		
 37.54   	107.73   	195.85   	  71.21		 12.15   	   5.09		
 25.02   	 84.53   	196.13   	  45.78		 12.17   	  10.17		
 12.51   	 62.56   	196.32   	  20.35		 12.21   	   5.09		
  3.05   	 44.86   	196.40(S)	   0.00		 12.23   	   0.00		
 -2.14   	 31.74   	196.40   	 -25.43		 12.23   	   0.00		
 -4.88   	 21.36   	196.30   	 -50.86		 12.23   	  -5.09		
 -7.63   	 10.99   	196.09   	 -81.38		 12.21   	  -5.09		
-11.29   	  0.00   	195.77   	-116.99		 12.19   	 -10.17		
-15.26   	-11.90   	195.30   	-157.68		 12.15   	 -10.17		
-18.92   	-23.50   	194.67   	-203.46		 12.11   	 -10.17		
-22.58   	-36.32   	193.85   	-254.32		 12.07   	 -15.26		
-26.55   	-49.44   	192.84   	-305.19		 12.00   	 -15.26		
-30.21   	-60.42   	191.62   	-361.14		 11.94   	 -10.17		
-31.74   	-66.53   	190.17   	-412.00		 11.90   	 -20.35		
-30.52   	-66.83   	188.52   	-478.13		 11.82   	 -20.35		
-26.55   	-63.17   	186.61   	-549.34		 11.74   	 -25.43		
-23.19   	-60.42   	184.41   	-625.63		 11.64   	 -25.43		
-22.89   	-61.65   	181.91   	-707.02		 11.54   	 -35.61		
-26.25   	-66.22   	179.08   	-798.57		 11.39   	 -30.52		
-30.82   	-70.80   	175.89   	-890.13		 11.27   	 -30.52		
-34.18   	-72.02   	172.33   	-986.77		 11.15   	 -25.43		
-34.18   	-69.89   	168.38   	-1083.41		 11.05   	 -15.26		
-32.04   	-67.75   	164.05   	-1180.06		 10.99   	  -5.09		
-29.91   	-68.97   	159.33   	-1266.53		 10.97   	  10.17		
-28.69   	-72.02   	154.26   	-1347.91		 11.01   	  15.26		
-29.30   	-73.85   	148.87   	-1419.12		 11.07   	  30.52		
-30.82   	-72.02   	143.19   	-1464.90		 11.19   	  30.52		
-32.35   	-67.14   	137.33   	-1505.59		 11.31   	  30.52		
-33.87   	-62.87   	131.31   	-1536.11		 11.43   	  30.52		
-36.32   	-63.17   	125.17   	-1556.45		 11.56   	  30.52		
-38.15   	-66.53   	118.94   	-1566.63		 11.68   	  25.43		
-39.06   	-69.58   	112.68   	-1571.71		 11.78   	  10.17		
-38.15   	-69.58   	106.39   	-1556.45		 11.82   	  10.17		
-35.71   	-66.53   	100.16   	-1541.19		 11.86   	   0.00		
-32.65   	-63.17   	 94.00   	-1505.59		 11.86   	 -10.17		
-31.13   	-61.65   	 87.98   	-1464.90		 11.82   	 -10.17		
-32.35   	-63.17   	 82.12   	-1424.21		 11.78   	 -15.26		
-35.40   	-65.61   	 76.42   	-1373.34		 11.72   	 -15.26		
-39.37   	-68.05   	 70.93   	-1327.56		 11.66   	 -15.26		
-41.81   	-69.27   	 65.62   	-1261.44		 11.60   	 -10.17		
-41.50   	-68.97   	 60.57   	-1195.32		 11.56   	 -10.17		
-39.67   	-66.53   	 55.79   	-1124.11		 11.52   	 -10.17		
-37.23   	-60.42   	 51.29   	-1047.81		 11.48   	 -10.17		
-35.71   	-50.05   	 47.10   	-966.43		 11.43   	  -5.09		
-35.71   	-34.48   	 43.23   	-885.04		 11.41   	   0.00		
-36.01   	-15.26   	 39.69   	-813.83		 11.41   	  -5.09		
-36.01   	  5.49   	 36.44   	-732.45		 11.39   	   0.00		
-34.48   	 26.25   	 33.51   	-661.24		 11.39   	   0.00		
-30.82   	 44.86   	 30.86   	-595.11		 11.39   	   5.09		
-25.94   	 58.59   	 28.48   	-523.90		 11.41   	   5.09		
-20.14   	 65.00   	 26.39   	-462.87		 11.43   	   5.09		
-15.87   	 64.39   	 24.54   	-412.00		 11.45   	  15.26		
-14.34   	 59.20   	 22.89   	-366.22		 11.52   	  10.17		
-14.95   	 55.54   	 21.42   	-320.45		 11.56   	  20.35		
-16.48   	 56.76   	 20.14   	-289.93		 11.64   	  15.26		
-16.17   	 61.04   	 18.98   	-259.41		 11.70   	  15.26		
-13.73   	 62.26   	 17.94   	-228.89		 11.76   	  15.26		
 -9.16   	 56.76   	 17.03   	-203.46		 11.82   	  15.26		
 -3.66   	 48.22   	 16.22   	-183.11		 11.88   	  10.17		
  3.05   	 45.47   	 15.48   	-157.68		 11.92   	   0.00		
 10.99   	 54.02   	 14.85   	-142.42		 11.92(V)	   0.00		
 18.92   	 69.27   	 14.28   	-122.07		 11.92   	 -10.17		
 24.72   	 79.96   	 13.79   	-116.99		 11.88   	 -10.17		
 25.33   	 76.60   	 13.33   	 -96.64		 11.84   	 -15.26		
 19.23   	 57.07   	 12.94   	 -91.56		 11.78   	 -15.26		
  7.02   	 25.94   	 12.57   	 -76.30		 11.72   	 -20.35		
 -8.85   	 -9.77   	 12.27   	 -66.12		 11.64   	 -20.35		
-23.80   	-45.17   	 12.00   	 -50.86		 11.56   	 -20.35		
-32.96   	-76.29   	 11.80   	 -40.69		 11.48   	 -15.26		
-34.18   	-100.40   	 11.64   	 -25.43		 11.41   	 -20.35		
-29.60   	-116.27   	 11.54   	 -20.35		 11.33   	 -15.26		
-25.02   	-126.04   	 11.45   	 -15.26		 11.27   	 -15.26		
-24.41   	-133.36   	 11.39   	   0.00		 11.21   	 -20.35		
-28.69   	-139.77   	 11.39   	   5.09		 11.13   	 -20.35		
-34.18   	-144.65   	 11.41   	  20.35		 11.05   	 -25.43		
-36.93   	-146.48   	 11.50   	  20.35		 10.95   	 -30.52		
-36.32   	-145.87   	 11.58   	  30.52		 10.82   	 -25.43		
-34.18   	-144.65   	 11.70   	  35.61		 10.72   	 -30.52		
-32.96   	-144.04   	 11.84   	  30.52		 10.60   	 -25.43		
-32.96   	-144.04   	 11.96   	  35.61		 10.50   	 -20.35		
-33.57   	-143.74   	 12.11   	  35.61		 10.42   	 -15.26		
-33.57   	-142.52   	 12.25   	  35.61		 10.36   	  -5.09		
-33.57   	-140.99   	 12.39   	  30.52		 10.34   	   5.09		
-33.57   	-139.77   	 12.51   	  30.52		 10.36   	  10.17		
-32.65   	-137.94   	 12.63   	  20.35		 10.40   	  15.26		
-30.52   	-134.28   	 12.72   	  10.17		 10.46   	  25.43		
-27.77   	-130.00   	 12.76   	   5.09		 10.56   	  30.52		
-25.63   	-127.26   	 12.78   	 -10.17		 10.68   	  30.52		
-26.55   	-127.56   	 12.74   	 -20.35		 10.80   	  35.61		
-28.99   	-130.62   	 12.66   	 -25.43		 10.95   	  35.61		
-31.13   	-133.97   	 12.55   	 -25.43		 11.09   	  35.61		
-31.43   	-134.58   	 12.45   	 -20.35		 11.23   	  35.61		
-29.91   	-131.53   	 12.37   	 -20.35		 11.37   	  30.52		
-27.77   	-125.73   	 12.29   	 -10.17		 11.50   	  25.43		
-26.55   	-120.24   	 12.25   	  -5.09		 11.60   	  20.35		
-26.25   	-116.27   	 12.23   	  15.26		 11.68   	  15.26		
-25.02   	-114.14   	 12.29   	  20.35		 11.74   	  15.26		
-22.58   	-113.22   	 12.37   	  35.61		 11.80   	   0.00		
-21.06   	-112.61   	 12.51   	  45.78		 11.80   	   0.00		
-21.67   	-112.92   	 12.70   	  55.95		 11.80   	  -5.09		
-24.41   	-113.83   	 12.92   	  61.04		 11.78   	 -10.17		
-28.08   	-115.05   	 13.16   	  55.95		 11.74   	 -10.17		
-30.21   	-115.36   	 13.39   	  55.95		 11.70   	 -20.35		
-30.52   	-113.83   	 13.61   	  55.95		 11.62   	 -15.26		
-28.69   	-110.47   	 13.84   	  45.78		 11.56   	 -15.26		
-26.55   	-106.81   	 14.02   	  40.69		 11.50   	 -15.26		
-25.02   	-104.37   	 14.18   	  35.61		 11.43   	  -5.09		
-24.41   	-103.45   	 14.32   	  30.52		 11.41   	   0.00		
-24.11   	-104.37   	 14.45   	  25.43		 11.41   	   0.00		
-24.11   	-105.90   	 14.55   	  15.26		 11.41   	  10.17		
-23.19   	-106.20   	 14.61   	   5.09		 11.45   	  15.26		
-21.97   	-104.37   	 14.63   	   0.00		 11.52   	  20.35		
-21.06   	-100.71   	 14.63   	  -5.09		 11.60   	  20.35		
-20.75   	-95.83   	 14.61   	 -10.17		 11.68   	  15.26		
-21.06   	-92.77   	 14.57   	 -10.17		 11.74   	  20.35		
-21.36   	-91.86   	 14.53   	 -10.17		 11.82   	  10.17		
-21.06   	-93.08   	 14.49   	 -15.26		 11.86   	  10.17		
-20.45   	-95.21   	 14.43   	 -15.26		 11.90   	   5.09		
-20.14   	-96.74   	 14.36   	 -10.17		 11.92   	   0.00		
-20.14   	-97.05   	 14.32   	 -10.17		 11.92   	   5.09		
-20.75   	-97.05   	 14.28   	  -5.09		 11.94   	   0.00		
-21.06   	-96.74   	 14.26   	   0.00		 11.94   	   0.00		
-21.06   	-96.13   	 14.26(E)	   5.09		 11.94   	   0.00		
-21.06   	-94.60   	 14.28   	   5.09		 11.94   	   0.00		
-21.36   	-91.86   	 14.30   	   5.09		 11.94   	   0.00		
-23.19   	-89.72   	 14.32   	  10.17		 11.94   	  -5.09		
-29.91   	-91.55   	 14.36   	  10.17		 11.92   	  -5.09		
-42.42   	-100.71   	 14.40   	  10.17		 11.90   	 -10.17		
-57.07   	-115.05   	 14.45   	   5.09		 11.86   	 -15.26		
-64.09   	-118.41   	 14.47   	  10.17		 11.80   	 -20.35		
-48.83   	-75.68   	 14.51   	  10.17		 11.72   	 -30.52		
  0.00   	 55.54   	 14.55   	  10.17		 11.60   	 -35.61		
 86.67   	303.65   	 14.59   	  10.17		 11.45   	 -40.69		
205.08   	652.16   	 14.63   	  15.26		 11.29   	 -45.78		
337.52   	1025.09   	 14.69   	  35.61		 11.11   	 -91.56		
535.89   	1423.03(R)	 14.83   	  25.43		 10.74   	 -45.78		
544.43   	1357.12   	 14.93   	  35.61		 10.56   	 -35.61		
473.02   	1168.82   	 15.08   	  50.86		 10.42   	 -30.52		
336.61   	937.81   	 15.28   	  61.04		 10.29   	 -20.35		
172.42   	715.33   	 15.52   	  81.38		 10.21   	 -20.35		
 25.63   	504.15   	 15.85   	 111.90		 10.13   	 -10.17		
-70.80   	297.55   	 16.30   	 147.51		 10.09   	 -10.17		
-109.25   	112.30   	 16.89   	 188.20		 10.05   	 -10.17		
-107.42   	-22.28   	 17.64   	 239.06		 10.01   	 -10.17		
-90.03   	-94.91   	 18.60   	 310.27		  9.97   	 -15.26		
-73.55   	-120.85   	 19.84   	 376.40		  9.91   	 -15.26		
-62.87   	-127.26   	 21.34   	 467.95		  9.85   	 -30.52		
-55.24   	-133.67   	 23.21   	 549.34		  9.73   	 -30.52		
-47.61   	-140.69   	 25.41   	 645.98		  9.60   	 -35.61		
-40.59   	-140.99   	 28.00   	 742.62		  9.46   	 -40.69		
-36.32   	-135.19   	 30.97   	 829.09		  9.30   	 -40.69		
-34.79   	-130.62   	 34.28   	 910.47		  9.14   	 -35.61		
-34.18   	-132.14   	 37.92   	 986.77		  8.99   	 -25.43		
-32.96   	-136.41   	 41.87   	1042.72		  8.89   	 -20.35		
-31.13   	-137.63   	 46.04   	1088.50		  8.81   	  -5.09		
-29.91   	-133.97   	 50.40   	1113.93		  8.79   	   5.09		
-30.82   	-127.56   	 54.85   	1134.28		  8.81   	  10.17		
-32.04   	-122.07   	 59.39   	1139.36		  8.85   	  20.35		
-32.96   	-119.32   	 63.95   	1149.54		  8.93   	  20.35		
-31.74   	-118.10   	 68.55   	1159.71		  9.01   	  20.35		
-28.08   	-116.88   	 73.18   	1185.14		  9.09   	  20.35		
-24.41   	-115.36   	 77.92   	1210.58		  9.18   	  15.26		
-22.58   	-113.83   	 82.77   	1241.09		  9.24   	  10.17		
-22.89   	-112.00   	 87.73   	1261.44		  9.28   	  10.17		
-24.41   	-108.95   	 92.78   	1271.61		  9.32   	   5.09		
-24.72   	-102.84   	 97.86   	1276.70		  9.34   	   5.09		
-23.19   	-94.30   	102.97   	1266.53		  9.36   	   5.09		
-20.45   	-87.28   	108.04   	1230.92		  9.38   	   5.09		
-18.31   	-85.14   	112.96   	1190.23		  9.40   	   0.00		
-18.31   	-88.81   	117.72   	1149.54		  9.40   	   5.09		
-20.14   	-93.99   	122.32   	1103.76		  9.42(A)	   0.00		
-22.28   	-94.91   	126.73   	1063.07		  9.42   	  -5.09		
-23.19   	-90.03   	130.99   	1002.03		  9.40   	  -5.09		
-21.97   	-80.87   	134.99   	 946.08		  9.38   	  -5.09		
-20.14   	-71.11   	138.78   	 879.96		  9.36   	 -15.26		
-19.84   	-63.78   	142.30   	 824.00		  9.30   	 -20.35		
-19.84   	-57.98   	145.59   	 762.97		  9.22   	 -20.35		
-18.31   	-52.19   	148.65   	 712.10		  9.14   	 -30.52		
-13.43   	-45.78   	151.49   	 666.32		  9.01   	 -40.69		
 -5.80   	-38.76   	154.16   	 625.63		  8.85   	 -40.69		
  2.14   	-31.74   	156.66   	 590.03		  8.69   	 -45.78		
  6.10   	-25.02   	159.02   	 549.34		  8.50   	 -45.78		
  5.19   	-18.01   	161.22   	 523.90		  8.32   	 -45.78		
  1.22   	-10.99   	163.32   	 498.47		  8.14   	 -40.69		
 -2.14   	 -2.75   	165.31   	 467.95		  7.98   	 -35.61		
 -1.83   	  6.41   	167.18   	 452.69		  7.83   	 -30.52		
  2.75   	 16.17   	168.99   	 427.26		  7.71   	 -20.35		
  9.77   	 27.47   	170.70   	 406.92		  7.63   	 -15.26		
 16.48   	 39.67   	172.33   	 391.66		  7.57   	  -5.09		
 20.45   	 52.19   	173.90   	 381.48		  7.55   	   0.00		
 22.89   	 64.09   	175.42   	 381.48		  7.55   	   0.00		
 25.63   	 75.07   	176.95   	 376.40		  7.55   	   5.09		
 30.21   	 86.06   	178.45   	 366.22		  7.57   	   0.00		
 37.23   	 96.74   	179.92   	 356.05		  7.57   	  -5.09		
 44.25   	106.20   	181.34   	 345.88		  7.55   	  -5.09		
 49.13   	113.83   	182.73   	 325.53		  7.53   	  -5.09		
 51.57   	119.02   	184.03   	 315.36		  7.51   	 -15.26		
 53.41   	122.07   	185.29   	 305.19		  7.45   	 -10.17		
 56.76   	124.82   	186.51   	 295.01		  7.41   	 -10.17		
 61.34   	126.95   	187.69   	 269.58		  7.37   	 -10.17		
 65.31   	128.17   	188.77   	 244.15		  7.32   	 -10.17		
 66.22   	127.26   	189.74   	 228.89		  7.28   	  -5.09		
 65.00   	125.73   	190.66   	 213.63		  7.26   	   0.00		
 64.39   	125.73   	191.52   	 188.20		  7.26   	   0.00		
 65.92   	127.56   	192.27   	 178.03		  7.26   	   0.00		
 67.44   	128.17   	192.98   	 147.51		  7.26   	   0.00		
 66.22   	122.99   	193.57   	 132.25		  7.26   	   0.00		
 58.90   	108.95   	194.10   	 111.90		  7.26   	   0.00		
 46.39   	 88.50   	194.55   	  91.56		  7.26   	  -5.09		
 32.96   	 67.14   	194.91   	  76.30		  7.24   	 -10.17		
