  I     	  II     	  LVp     	  LVp'		
-24.72   	-22.89   	 86.51   	 -71.21		
-31.13   	-31.13   	 86.23   	 -76.30		
-35.10   	-36.93   	 85.92   	 -86.47		
-37.54   	-41.20   	 85.57   	 -91.56		
-39.98   	-45.78   	 85.21   	 -96.64		
-43.33   	-51.27   	 84.82   	-106.82		
-47.00   	-55.85   	 84.39   	-116.99		
-49.44   	-58.59   	 83.93   	-132.25		
-50.35   	-58.59   	 83.40   	-147.51		
-49.44   	-56.76   	 82.81   	-172.94		
-48.52   	-54.93   	 82.12   	-193.29		
-48.83   	-54.63   	 81.34   	-233.98		
-50.35   	-55.24   	 80.41   	-264.50		
-52.49   	-56.76   	 79.35   	-300.10		
-54.32   	-57.98   	 78.15   	-340.79		
-54.93   	-57.98   	 76.79   	-376.40		
-54.02   	-57.37   	 75.28   	-417.09		
-52.49   	-56.15   	 73.61   	-447.61		
-50.35   	-54.93   	 71.82   	-488.30		
-48.83   	-54.02   	 69.87   	-518.82		
-48.52   	-53.10   	 67.79   	-544.25		
-49.44   	-52.49   	 65.62   	-564.60		
-50.66   	-51.27   	 63.36   	-579.86		
-51.57   	-50.05   	 61.04   	-595.11		
-51.57   	-48.52   	 58.66   	-605.29		
-50.05   	-46.69   	 56.24   	-600.20		
-47.91   	-44.86   	 53.83   	-605.29		
-45.78   	-42.72   	 51.41   	-595.11		
-44.25   	-41.50   	 49.03   	-590.03		
-43.95   	-40.28   	 46.67   	-574.77		
-43.64   	-39.06   	 44.37   	-569.68		
-43.33   	-37.23   	 42.10   	-549.34		
-42.42   	-34.79   	 39.90   	-544.25		
-41.81   	-32.04   	 37.72   	-523.90		
-41.20   	-30.52   	 35.63   	-513.73		
-40.28   	-29.91   	 33.57   	-493.39		
-39.37   	-29.91   	 31.60   	-478.13		
-38.45   	-29.91   	 29.68   	-462.87		
-37.84   	-29.60   	 27.83   	-442.52		
-37.54   	-28.69   	 26.06   	-422.18		
-37.54   	-28.38   	 24.37   	-406.92		
-37.23   	-28.69   	 22.75   	-386.57		
-37.54   	-29.60   	 21.20   	-366.22		
-38.76   	-30.82   	 19.74   	-340.79		
-41.20   	-31.74   	 18.37   	-330.62		
-43.64   	-31.43   	 17.05   	-310.27		
-44.86   	-30.82   	 15.81   	-295.01		
-45.17   	-30.21   	 14.63   	-279.75		
-44.25   	-30.21   	 13.51   	-264.50		
-43.33   	-31.43   	 12.45   	-244.15		
-42.42   	-33.87   	 11.48   	-223.80		
-42.11   	-36.62   	 10.58   	-203.46		
-42.11   	-38.45   	  9.77   	-172.94		
-43.03   	-38.45   	  9.07   	-142.42		
-43.95   	-36.93   	  8.50   	-116.99		
-43.95   	-34.79   	  8.04   	 -81.38		
-43.64   	-34.18   	  7.71   	 -61.04		
-43.33   	-35.40   	  7.47   	 -35.61		
-43.33   	-37.84   	  7.32   	 -15.26		
-43.33   	-39.67   	  7.26   	  -5.09		
-43.64   	-39.98   	  7.24   	   5.09		
-44.25   	-39.37   	  7.26   	  15.26		
-45.47   	-38.76   	  7.32   	  10.17		
-47.00   	-39.37   	  7.37   	  15.26		
-47.61   	-40.59   	  7.43   	  15.26		
-47.00   	-42.42   	  7.49   	  15.26		
-46.39   	-43.33   	  7.55   	  15.26		
-46.39   	-43.64   	  7.61   	  10.17		
-46.69   	-43.33   	  7.65   	  15.26		
-46.39   	-42.42   	  7.71   	  15.26		
-44.56   	-40.89   	  7.77   	  15.26		
-42.11   	-39.37   	  7.83   	  20.35		
-41.20   	-39.06   	  7.91   	  15.26		
-42.11   	-39.98   	  7.98   	  20.35		
-43.64   	-42.11   	  8.06   	  15.26		
-44.56   	-43.03   	  8.12   	  20.35		
-43.64   	-42.11   	  8.20   	  15.26		
-41.50   	-39.37   	  8.26   	  15.26		
-39.98   	-35.40   	  8.32   	  15.26		
-39.06   	-31.13   	  8.38   	  15.26		
-37.84   	-25.33   	  8.44   	  10.17		
-34.79   	-17.70   	  8.48   	  15.26		
-28.69   	 -7.02   	  8.55   	  15.26		
-21.06   	  6.71   	  8.61   	  15.26		
-13.12   	 21.97   	  8.67   	  20.35		
 -6.71   	 37.84   	  8.75   	  15.26		
 -2.44   	 52.19   	  8.81   	  20.35		
  0.00   	 63.48   	  8.89   	  20.35		
  1.83   	 72.33   	  8.97   	  25.43		
  3.05   	 82.09   	  9.07   	  20.35		
  3.05   	 95.21   	  9.16   	  20.35		
  0.31   	109.56   	  9.24   	  25.43		
 -6.41   	116.58   	  9.34   	  20.35		
-17.09   	108.95   	  9.42   	  25.43		
-29.60   	 85.75   	  9.52   	  20.35		
-40.59   	 59.51   	  9.60   	  25.43		
-46.39   	 47.00   	  9.70   	  20.35		
-44.25   	 57.98   	  9.79   	  20.35		
-33.87   	 88.20   	  9.87   	  20.35		
-18.01   	120.54   	  9.95   	  20.35		
 -2.75   	138.55   	 10.03   	  20.35		
  6.71   	136.11   	 10.11   	  15.26		
  7.93   	119.32   	 10.17   	  15.26		
  3.66   	 97.05   	 10.23   	  15.26		
 -2.44   	 73.55   	 10.29   	  15.26		
 -6.71   	 46.08   	 10.36   	  10.17		
 -9.46   	 12.51   	 10.40   	  15.26		
-14.04   	-21.97   	 10.46   	  15.26		
-21.67   	-50.05   	 10.52   	  10.17		
-32.35   	-65.31   	 10.56   	  15.26		
-42.42   	-68.97   	 10.62   	  15.26		
-49.44   	-69.58   	 10.68   	  20.35		
-52.49   	-73.24   	 10.76   	  20.35		
-52.19   	-81.18   	 10.84   	  20.35		
-50.35   	-88.50   	 10.93   	  25.43		
-49.13   	-91.25   	 11.03   	  25.43		
-48.22   	-89.11   	 11.13   	  30.52		
-48.83   	-85.14   	 11.25   	  35.61		
-50.35   	-82.70   	 11.39   	  35.61		
-51.88   	-83.01   	 11.54   	  40.69		
-52.80   	-84.53   	 11.70   	  40.69		
-52.49   	-85.45   	 11.86   	  40.69		
-51.88   	-87.59   	 12.02   	  40.69		
-53.41   	-98.27   	 12.19   	  35.61		
-58.29   	-126.04   	 12.33   	  35.61		
-65.31   	-172.73   	 12.47   	  35.61		
-68.66   	-226.14   	 12.61   	  30.52		
-63.48   	-259.70   	 12.74   	  35.61		
-47.91   	-237.12   	 12.88   	  35.61		
