  I     	  II     	  LV     	  LV'		
-19.53   	-28.69   	 14.91   	-279.75		
-19.53   	-28.99   	 13.79   	-233.98		
-19.84   	-29.60   	 12.86   	-193.29		
-20.14   	-30.21   	 12.09   	-152.59		
-20.45   	-30.82   	 11.48   	-127.16		
-20.45   	-30.82   	 10.97   	-101.73		
-19.84   	-29.91   	 10.56   	 -81.38		
-18.92   	-28.99   	 10.23   	 -81.38		
-18.01   	-28.08   	  9.91   	 -71.21		
-17.09   	-27.77   	  9.62   	 -76.30		
-17.09   	-28.08   	  9.32   	 -76.30		
-17.70   	-29.30   	  9.01   	 -76.30		
-18.31   	-30.52   	  8.71   	 -81.38		
-18.92   	-31.43   	  8.38   	 -76.30		
-19.23   	-32.35   	  8.08   	 -76.30		
-19.23   	-32.96   	  7.77   	 -66.12		
-18.92   	-32.96   	  7.51   	 -61.04		
-18.01   	-32.35   	  7.26   	 -50.86		
-17.09   	-31.43   	  7.06   	 -40.69		
-16.48   	-30.82   	  6.90   	 -35.61		
-17.09   	-31.13   	  6.75   	 -20.35		
-18.92   	-32.35   	  6.67   	 -15.26		
-20.75   	-33.87   	  6.61   	 -15.26		
-21.97   	-35.40   	  6.55   	 -10.17		
-22.28   	-35.71   	  6.51   	  -5.09		
-21.97   	-35.40   	  6.49   	 -10.17		
-21.36   	-35.10   	  6.45   	 -10.17		
-21.36   	-34.48   	  6.41   	 -15.26		
-21.67   	-34.48   	  6.35   	 -15.26		
-21.36   	-34.79   	  6.29   	 -10.17		
-21.06   	-34.79   	  6.25   	 -15.26		
-20.45   	-34.79   	  6.19   	 -10.17		
-19.84   	-33.87   	  6.14   	 -10.17		
-19.53   	-32.65   	  6.10   	  -5.09		
-19.23   	-31.13   	  6.08   	   0.00		
-18.92   	-29.91   	  6.08   	   5.09		
-18.92   	-29.91   	  6.10   	  10.17		
-18.92   	-30.52   	  6.14   	  10.17		
-18.92   	-31.43   	  6.19   	  20.35		
-18.92   	-31.13   	  6.27   	  15.26		
-18.62   	-30.52   	  6.33   	  25.43		
-18.62   	-30.21   	  6.43   	  20.35		
-18.31   	-30.21   	  6.51   	  20.35		
-18.31   	-30.82   	  6.59   	  20.35		
-18.01   	-31.43   	  6.67   	  20.35		
-17.70   	-31.43   	  6.75   	  20.35		
-17.40   	-30.52   	  6.84   	  15.26		
-17.09   	-29.91   	  6.90   	  15.26		
-17.70   	-29.91   	  6.96   	  10.17		
-18.01   	-30.52   	  7.00   	  15.26		
-17.70   	-31.74   	  7.06   	  15.26		
-16.78   	-32.65   	  7.12   	  10.17		
-14.95   	-32.65   	  7.16   	  10.17		
-14.04   	-32.65   	  7.20   	  15.26		
-14.04   	-32.35   	  7.26   	  10.17		
-15.26   	-32.04   	  7.30   	  10.17		
-16.48   	-31.43   	  7.34   	  10.17		
-17.09   	-30.82   	  7.39   	   5.09		
-17.09   	-30.52   	  7.41   	   5.09		
-17.09   	-30.21   	  7.43   	   5.09		
-17.70   	-30.52   	  7.45   	   0.00		
-18.31   	-30.82   	  7.45   	   0.00		
-17.70   	-30.21   	  7.45   	   0.00		
-16.17   	-28.69   	  7.45   	   0.00		
-14.34   	-26.55   	  7.45   	  -5.09		
-13.12   	-24.72   	  7.43   	   0.00		
-13.43   	-23.80   	  7.43   	  -5.09		
-14.04   	-23.80   	  7.41   	   0.00		
-14.34   	-23.80   	  7.41   	   0.00		
-13.43   	-21.67   	  7.41   	   5.09		
-10.99   	-16.17   	  7.43   	   0.00		
 -6.71   	 -4.88   	  7.43   	   5.09		
 -1.53   	 12.21   	  7.45   	   0.00		
  4.27   	 32.96   	  7.45   	   5.09		
  9.46   	 53.71   	  7.47   	   5.09		
 12.82   	 70.80   	  7.49   	   0.00		
 14.95   	 84.23   	  7.49   	   5.09		
 17.40   	 95.83   	  7.51   	   0.00		
 22.89   	108.03   	  7.51   	   0.00		
 31.74   	122.07   	  7.51   	   0.00		
 43.03   	137.02   	  7.51   	   0.00		
 54.63   	152.28   	  7.51   	   0.00		
 64.39   	167.54   	  7.51   	   0.00		
 72.63   	184.02   	  7.51   	   0.00		
 80.87   	202.64   	  7.51   	   0.00		
 90.94   	222.78   	  7.51   	   0.00		
103.15   	242.00   	  7.51   	   0.00		
115.36   	254.82   	  7.51   	   0.00		
121.77   	255.13   	  7.51   	   0.00		
117.49   	237.12   	  7.51   	   0.00		
 98.57   	200.20   	  7.51   	  -5.09		
 68.05   	149.54   	  7.49   	   0.00		
 33.57   	 94.30   	  7.49   	   0.00		
  4.58   	 44.86   	  7.49   	  -5.09		
-12.51   	  7.02   	  7.47   	  -5.09		
-18.01   	-18.01   	  7.45   	   0.00		
-17.70   	-32.35   	  7.45   	  -5.09		
-17.40   	-39.67   	  7.43   	   0.00		
-20.14   	-43.95   	  7.43   	   5.09		
-25.33   	-47.91   	  7.45   	   0.00		
-30.21   	-52.49   	  7.45   	  10.17		
-32.96   	-57.68   	  7.49   	  15.26		
-33.57   	-61.95   	  7.55   	  15.26		
-32.96   	-65.00   	  7.61   	  20.35		
-32.96   	-67.44   	  7.69   	  25.43		
-34.48   	-69.89   	  7.79   	  25.43		
-36.62   	-71.72   	  7.89   	  25.43		
-39.06   	-72.94   	  8.00   	  25.43		
-40.28   	-73.55   	  8.10   	  20.35		
-40.59   	-73.24   	  8.18   	  20.35		
-39.98   	-73.24   	  8.26   	  10.17		
-40.89   	-73.55   	  8.30   	  10.17		
-44.86   	-75.68   	  8.34   	   5.09		
-56.46   	-84.23   	  8.36   	  -5.09		
-77.51   	-104.37   	  8.34   	   0.00		
-101.93   	-130.92   	  8.34   	 -10.17		
-114.44   	-147.09   	  8.30   	  -5.09		
-92.77   	-123.90   	  8.28   	 -10.17		
-18.62   	-36.62   	  8.24   	  -5.09		
106.51   	123.29   	  8.22   	  -5.09		
262.76   	337.22   	  8.20   	   0.00		
416.87   	561.52   	  8.20   	   0.00		
535.28   	744.02   	  8.20   	   5.09		
592.96   	837.10   	  8.22   	  15.26		
574.95   	810.85   	  8.28   	  15.26		
476.99   	669.56   	  8.34   	  25.43		
312.50   	451.66   	  8.44   	  30.52		
113.83   	210.27   	  8.57   	  40.69		
-72.33   	 -6.10   	  8.73   	  50.86		
-205.69   	-168.76   	  8.93   	  61.04		
-268.25   	-272.52   	  9.18   	  76.30		
-270.39   	-325.32   	  9.48   	  91.56		
-238.65   	-337.52   	  9.85   	 111.90		
-198.36   	-318.91   	 10.29   	 132.25		
-162.66   	-280.76   	 10.82   	 152.59		
-133.36   	-236.51   	 11.43   	 178.03		
-109.25   	-195.31   	 12.15   	 213.63		
-90.03   	-161.13   	 13.00   	 254.32		
-76.29   	-134.28   	 14.02   	 310.27		
-68.05   	-113.83   	 15.26   	 386.57		
-63.48   	-99.49   	 16.81   	 473.04		
-60.12   	-90.64   	 18.70   	 564.60		
-56.46   	-86.06   	 20.96   	 666.32		
-52.49   	-83.31   	 23.62   	 752.79		
-48.52   	-80.26   	 26.63   	 829.09		
-45.17   	-76.60   	 29.95   	 890.13		
-41.50   	-72.02   	 33.51   	 925.73		
-38.45   	-66.83   	 37.21   	 935.91		
-36.32   	-62.56   	 40.96   	 930.82		
