  I     	  II     	  LV     	  LV'		  RV     	  RV'		
-15.56   	-123.90   	 54.55   	 590.03		 24.03   	  61.04		
-15.87   	-125.12   	 56.91   	 559.51		 24.27   	  66.12		
-15.56   	-124.51   	 59.15   	 528.99		 24.54   	  61.04		
-14.34   	-122.38   	 61.26   	 498.47		 24.78   	  61.04		
-12.21   	-120.24   	 63.26   	 478.13		 25.03   	  55.95		
 -9.77   	-119.32   	 65.17   	 457.78		 25.25   	  45.78		
 -7.93   	-119.93   	 67.00   	 442.52		 25.43   	  35.61		
 -7.02   	-121.15   	 68.77   	 417.09		 25.57   	  25.43		
 -6.41   	-121.46   	 70.44   	 396.74		 25.68   	  20.35		
 -4.88   	-120.24   	 72.02   	 366.22		 25.76   	  15.26		
 -3.05   	-118.10   	 73.49   	 335.71		 25.82   	  20.35		
 -1.22   	-116.58   	 74.83   	 305.19		 25.90   	  30.52		
 -0.61   	-117.19   	 76.05   	 264.50		 26.02   	  45.78		
 -0.92   	-120.24   	 77.11   	 233.98		 26.21   	  55.95		
 -1.53   	-124.21   	 78.05   	 213.63		 26.43   	  76.30		
 -1.22   	-127.56   	 78.90   	 188.20		 26.73   	  81.38		
 -0.31   	-129.39   	 79.65   	 178.03		 27.06   	  86.47		
  0.92   	-130.00   	 80.37   	 167.85		 27.41   	  81.38		
  1.53   	-130.31   	 81.04   	 157.68		 27.73   	  76.30		
  1.22   	-130.62   	 81.67   	 157.68		 28.04   	  71.21		
  0.61   	-130.31   	 82.30   	 142.42		 28.32   	  50.86		
  0.31   	-129.09   	 82.87   	 137.33		 28.52   	  45.78		
  0.00   	-127.56   	 83.42   	 127.16		 28.71   	  30.52		
 -0.92   	-126.04   	 83.93   	 122.07		 28.83   	  25.43		
 -1.83   	-126.04   	 84.41   	 111.90		 28.93   	  15.26		
 -2.75   	-127.26   	 84.86   	 106.82		 28.99   	  15.26		
 -2.44   	-128.48   	 85.29   	 101.73		 29.05   	  15.26		
 -0.61   	-129.09   	 85.70   	 106.82		 29.11   	   5.09		
  2.44   	-129.09   	 86.12   	 101.73		 29.14   	  10.17		
  5.49   	-129.70   	 86.53   	 101.73		 29.18   	   5.09		
  8.24   	-132.14   	 86.94   	 101.73		 29.20   	   5.09		
 10.68   	-135.80   	 87.34   	  96.64		 29.22   	   5.09		
 13.43   	-139.47   	 87.73   	  96.64		 29.24   	   0.00		
 16.17   	-140.69   	 88.12   	  91.56		 29.24   	  -5.09		
 19.23   	-138.24   	 88.48   	  91.56		 29.22   	   0.00		
 21.67   	-133.67   	 88.85   	  86.47		 29.22   	   0.00		
 24.11   	-128.17   	 89.20   	  86.47		 29.22   	  -5.09		
 27.47   	-122.38   	 89.54   	  86.47		 29.20   	  -5.09		
 32.35   	-116.27   	 89.89   	  81.38		 29.18   	   0.00		
 38.45   	-110.17   	 90.21   	  76.30		 29.18   	  -5.09		
 44.25   	-104.06   	 90.52   	  71.21		 29.16   	  -5.09		
 47.91   	-97.96   	 90.80   	  71.21		 29.14   	  -5.09		
 49.44   	-91.25   	 91.09   	  66.12		 29.11   	 -10.17		
 49.13   	-82.70   	 91.35   	  61.04		 29.07   	 -10.17		
 47.91   	-71.72   	 91.60   	  61.04		 29.03   	 -10.17		
 45.78   	-59.20   	 91.84   	  50.86		 28.99   	 -15.26		
 43.03   	-47.30   	 92.04   	  45.78		 28.93   	 -15.26		
 39.06   	-37.23   	 92.23   	  40.69		 28.87   	 -20.35		
 34.18   	-28.99   	 92.39   	  40.69		 28.79   	 -15.26		
 28.08   	-21.67   	 92.55   	  30.52		 28.73   	 -15.26		
 21.36   	-15.26   	 92.68   	  20.35		 28.67   	 -15.26		
 15.26   	 -9.46   	 92.76   	  20.35		 28.61   	 -15.26		
 10.99   	 -4.88   	 92.84   	   5.09		 28.55   	 -15.26		
  9.16   	 -2.14   	 92.86   	   0.00		 28.48   	 -15.26		
  8.85   	 -0.92   	 92.86   	 -10.17		 28.42   	 -15.26		
  7.93   	 -2.14   	 92.82   	 -20.35		 28.36   	 -20.35		
  5.49   	 -4.88   	 92.74   	 -30.52		 28.28   	 -20.35		
  2.44   	 -9.16   	 92.61   	 -45.78		 28.20   	 -25.43		
  0.00   	-13.43   	 92.43   	 -55.95		 28.10   	 -30.52		
  0.00   	-16.78   	 92.21   	 -76.30		 27.98   	 -30.52		
  1.22   	-17.70   	 91.90   	 -91.56		 27.85   	 -40.69		
  2.44   	-17.40   	 91.54   	-116.99		 27.69   	 -45.78		
  3.05   	-16.48   	 91.07   	-142.42		 27.51   	 -45.78		
  3.66   	-16.48   	 90.50   	-167.85		 27.32   	 -55.95		
  4.58   	-17.40   	 89.83   	-198.37		 27.10   	 -61.04		
  6.41   	-20.14   	 89.03   	-233.98		 26.86   	 -61.04		
  8.54   	-23.19   	 88.10   	-269.58		 26.61   	 -66.12		
  9.77   	-25.63   	 87.02   	-320.45		 26.35   	 -71.21		
  9.77   	-25.94   	 85.74   	-366.22		 26.06   	 -76.30		
  8.85   	-24.11   	 84.27   	-422.18		 25.76   	 -81.38		
  7.32   	-20.75   	 82.58   	-488.30		 25.43   	 -86.47		
  5.49   	-17.09   	 80.63   	-549.34		 25.09   	-101.73		
  3.97   	-14.34   	 78.43   	-610.37		 24.68   	-106.82		
  3.36   	-12.21   	 75.99   	-661.24		 24.25   	-122.07		
  3.66   	 -9.77   	 73.35   	-701.93		 23.76   	-132.25		
  4.88   	 -6.10   	 70.54   	-722.28		 23.23   	-152.59		
  6.41   	 -1.22   	 67.65   	-737.54		 22.62   	-162.77		
  7.02   	  3.36   	 64.70   	-737.54		 21.97   	-183.11		
  7.02   	  6.71   	 61.75   	-737.54		 21.24   	-198.37		
  6.41   	  8.24   	 58.80   	-727.36		 20.45   	-213.63		
  6.41   	  9.46   	 55.89   	-717.19		 19.59   	-218.72		
  6.71   	 10.38   	 53.02   	-712.10		 18.72   	-228.89		
  7.02   	 11.60   	 50.17   	-696.84		 17.80   	-228.89		
  6.41   	 12.21   	 47.39   	-681.58		 16.89   	-228.89		
  5.49   	 11.60   	 44.66   	-666.32		 15.97   	-223.80		
  4.27   	 10.99   	 41.99   	-645.98		 15.08   	-213.63		
  3.97   	 11.60   	 39.41   	-620.55		 14.22   	-208.54		
  3.66   	 13.43   	 36.93   	-595.11		 13.39   	-193.29		
