  I     	  II     	  LV     	  LV'		  RV     	  RV'		
-41.20   	-25.33   	  8.46   	   5.09		  7.08   	   0.00		
-40.59   	-25.02   	  8.48   	   5.09		  7.08   	   0.00		
-41.50   	-25.33   	  8.50   	   5.09		  7.08   	   0.00		
-42.72   	-25.63   	  8.52   	   5.09		  7.08   	   0.00		
-43.33   	-26.25   	  8.55   	   5.09		  7.08   	   5.09		
-41.50   	-26.86   	  8.57   	   5.09		  7.10   	   0.00		
-36.93   	-27.47   	  8.59   	   5.09		  7.10   	   0.00		
-31.74   	-28.38   	  8.61   	  10.17		  7.10   	   5.09		
-29.60   	-28.69   	  8.65   	   5.09		  7.12   	   0.00		
-32.35   	-28.08   	  8.67   	  10.17		  7.12   	   0.00		
-39.06   	-26.55   	  8.71   	  10.17		  7.12   	   0.00		
-45.17   	-25.02   	  8.75   	   5.09		  7.12   	   0.00		
-47.00   	-24.11   	  8.77   	   5.09		  7.12   	   0.00		
-42.72   	-23.80   	  8.79   	   0.00		  7.12   	   0.00		
-36.32   	-24.11   	  8.79   	   0.00		  7.12   	   0.00		
-31.74   	-24.41   	  8.79   	 -10.17		  7.12   	  -5.09		
-30.52   	-24.41   	  8.75   	 -10.17		  7.10   	   0.00		
-30.52   	-24.41   	  8.71   	 -10.17		  7.10   	   0.00		
-28.99   	-24.72   	  8.67   	 -15.26		  7.10   	   0.00		
-26.25   	-25.63   	  8.61   	 -15.26		  7.10   	   5.09		
-26.55   	-26.86   	  8.55   	 -10.17		  7.12   	   0.00		
-32.35   	-27.16   	  8.50   	 -10.17		  7.12   	   0.00		
-41.50   	-25.94   	  8.46   	  -5.09		  7.12   	   0.00		
-47.61   	-23.19   	  8.44   	  -5.09		  7.12   	   5.09		
-46.39   	-20.14   	  8.42   	   0.00		  7.14   	   0.00		
-38.45   	-17.70   	  8.42   	   0.00		  7.14   	   0.00		
-30.21   	-17.40   	  8.42   	   5.09		  7.14   	   0.00		
-27.16   	-18.31   	  8.44   	  10.17		  7.14   	   5.09		
-29.91   	-20.14   	  8.48   	   5.09		  7.16   	   0.00		
-34.48   	-21.06   	  8.50   	  10.17		  7.16   	   0.00		
-36.01   	-20.45   	  8.55   	  10.17		  7.16   	   5.09		
-33.57   	-18.62   	  8.59   	  10.17		  7.18   	   0.00		
-29.30   	-16.48   	  8.63   	   5.09		  7.18   	   0.00		
