  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-15.87   	-101.93   	 26.80   	-305.19		 59.67   	 -50.86		
-16.48   	-107.12   	 25.57   	-305.19		 59.47   	 -50.86		
-13.73   	-107.12   	 24.35   	-300.10		 59.27   	 -50.86		
 -7.32   	-97.96   	 23.15   	-289.93		 59.06   	 -45.78		
  2.14   	-76.60   	 21.99   	-279.75		 58.88   	 -45.78		
 12.51   	-43.03   	 20.87   	-264.50		 58.70   	 -40.69		
 20.75   	  0.00   	 19.82   	-249.24		 58.53   	 -40.69		
 24.41   	 48.52   	 18.82   	-228.89		 58.37   	 -35.61		
 21.67   	100.10   	 17.90   	-218.72		 58.23   	 -30.52		
  9.46   	152.59   	 17.03   	-198.37		 58.11   	 -25.43		
-15.56   	202.03   	 16.24   	-193.29		 58.01   	 -25.43		
-57.07   	234.07   	 15.46   	-178.03		 57.90   	 -20.35		
-115.66   	216.67   	 14.75   	-172.94		 57.82   	 -25.43		
-185.55   	112.30   	 14.06   	-162.77		 57.72   	 -20.35		
-255.74   	-94.30   	 13.41   	-157.68		 57.64   	 -20.35		
-315.25   	-379.03   	 12.78   	-152.59		 57.56   	 -25.43		
-356.75   	-678.10   	 12.17   	-147.51		 57.46   	 -25.43		
-378.72   	-913.09   	 11.58   	-132.25		 57.35   	 -25.43		
-384.52   	-1028.75   	 11.05   	-116.99		 57.25   	 -30.52		
-380.86   	-1019.90   	 10.58   	-106.82		 57.13   	 -30.52		
-374.45   	-921.33   	 10.15   	 -86.47		 57.01   	 -30.52		
-368.35   	-785.22   	  9.81   	 -71.21		 56.89   	 -35.61		
-361.33   	-660.40   	  9.52   	 -50.86		 56.74   	 -35.61		
-347.90   	-578.92   	  9.32   	 -30.52		 56.60   	 -35.61		
-323.49   	-545.96   	  9.20   	 -15.26		 56.46   	 -35.61		
-288.39   	-541.08   	  9.14   	  10.17		 56.32   	 -35.61		
-249.63   	-532.84   	  9.18   	  30.52		 56.17   	 -40.69		
-215.76   	-496.52   	  9.30   	  50.86		 56.01   	 -35.61		
-191.35   	-425.42   	  9.50   	  71.21		 55.87   	 -40.69		
-175.78   	-335.39   	  9.79   	  86.47		 55.71   	 -45.78		
-165.10   	-250.55   	 10.13   	 111.90		 55.52   	 -45.78		
-156.86   	-186.46   	 10.58   	 137.33		 55.34   	 -45.78		
-150.15   	-147.09   	 11.13   	 162.77		 55.16   	 -50.86		
-146.18   	-130.92   	 11.78   	 198.37		 54.95   	 -55.95		
-143.13   	-133.36   	 12.57   	 239.06		 54.73   	 -55.95		
-138.24   	-143.74   	 13.53   	 295.01		 54.51   	 -55.95		
-126.95   	-146.79   	 14.71   	 350.97		 54.28   	 -50.86		
-107.12   	-130.62   	 16.11   	 422.18		 54.08   	 -45.78		
-78.74   	-93.99   	 17.80   	 488.30		 53.90   	 -30.52		
-45.78   	-49.44   	 19.76   	 554.42		 53.77   	 -20.35		
-14.65   	-13.12   	 21.97   	 615.46		 53.69   	 -10.17		
  9.46   	  5.80   	 24.44   	 666.32		 53.65   	  10.17		
 24.41   	  9.77   	 27.10   	 701.93		 53.69   	  25.43		
 32.35   	  8.85   	 29.91   	 717.19		 53.79   	  40.69		
 36.93   	 10.07   	 32.78   	 727.36		 53.96   	  55.95		
 41.81   	 16.48   	 35.69   	 712.10		 54.18   	  71.21		
 48.22   	 26.25   	 38.53   	 686.67		 54.47   	  81.38		
 54.93   	 36.01   	 41.28   	 651.07		 54.79   	  91.56		
 60.73   	 44.56   	 43.89   	 605.29		 55.16   	 106.82		
 66.22   	 51.88   	 46.31   	 564.60		 55.58   	 116.99		
 71.72   	 59.20   	 48.57   	 508.65		 56.05   	 122.07		
 77.82   	 68.36   	 50.60   	 467.95		 56.54   	 132.25		
 84.84   	 80.57   	 52.47   	 798.57		 57.07   	 279.75		
 99.79   	111.39   	 55.67   	 335.71		 58.19   	 152.59		
107.12   	126.95   	 57.01   	 300.10		 58.80   	 147.51		
115.05   	141.60   	 58.21   	 254.32		 59.39   	 152.59		
124.21   	156.25   	 59.23   	 218.72		 60.00   	 142.42		
133.97   	171.81   	 60.10   	 178.03		 60.57   	 142.42		
143.74   	190.12   	 60.81   	 137.33		 61.14   	 132.25		
152.59   	211.18   	 61.36   	 106.82		 61.67   	 122.07		
161.13   	234.38   	 61.79   	  66.12		 62.16   	 106.82		
169.98   	259.09   	 62.05   	  35.61		 62.58   	  96.64		
179.75   	284.42   	 62.20   	   5.09		 62.97   	  81.38		
190.73   	310.67   	 62.22   	 -20.35		 63.30   	  66.12		
202.03   	337.52   	 62.14   	 -45.78		 63.56   	  50.86		
213.01   	364.99   	 61.95   	 -61.04		 63.76   	  30.52		
223.08   	393.07   	 61.71   	 -76.30		 63.89   	  20.35		
231.93   	420.84   	 61.40   	 -86.47		 63.97   	   0.00		
240.17   	447.69   	 61.06   	 -96.64		 63.97   	 -10.17		
247.50   	473.33   	 60.67   	 -91.56		 63.93   	 -25.43		
252.99   	497.13   	 60.30   	 -91.56		 63.82   	 -30.52		
256.35   	518.49   	 59.94   	 -86.47		 63.70   	 -45.78		
256.96   	536.50   	 59.59   	 -86.47		 63.52   	 -50.86		
256.04   	550.84   	 59.25   	 -76.30		 63.32   	 -55.95		
253.60   	561.83   	 58.94   	 -71.21		 63.09   	 -61.04		
249.94   	568.85   	 58.66   	 -71.21		 62.85   	 -66.12		
243.84   	570.98   	 58.37   	 -76.30		 62.58   	 -71.21		
234.38   	567.32   	 58.07   	 -76.30		 62.30   	 -76.30		
221.86   	557.25   	 57.76   	 -86.47		 61.99   	 -76.30		
208.44   	541.38   	 57.42   	 -96.64		 61.69   	 -81.38		
195.62   	520.94   	 57.03   	-106.82		 61.36   	 -81.38		
183.72   	497.13   	 56.60   	-127.16		 61.04   	 -86.47		
171.81   	469.97   	 56.09   	-137.33		 60.69   	 -91.56		
159.00   	439.15   	 55.54   	-162.77		 60.33   	 -86.47		
145.26   	405.27   	 54.89   	-172.94		 59.98   	 -86.47		
131.23   	369.87   	 54.20   	-198.37		 59.63   	 -81.38		
118.10   	333.86   	 53.41   	-213.63		 59.31   	 -81.38		
106.20   	298.46   	 52.55   	-239.06		 58.98   	 -66.12		
 94.60   	262.76   	 51.60   	-264.50		 58.72   	 -66.12		
 83.01   	226.75   	 50.54   	-284.84		 58.45   	 -50.86		
 71.11   	190.73   	 49.40   	-310.27		 58.25   	 -45.78		
 59.81   	155.64   	 48.16   	-335.71		 58.07   	 -40.69		
 49.74   	121.77   	 46.82   	-361.14		 57.90   	 -30.52		
 40.89   	 89.72   	 45.37   	-386.57		 57.78   	 -25.43		
 32.35   	 58.90   	 43.82   	-406.92		 57.68   	 -20.35		
 23.19   	 30.52   	 42.20   	-422.18		 57.60   	 -20.35		
 13.12   	  4.88   	 40.51   	-437.43		 57.52   	 -20.35		
  3.66   	-17.70   	 38.76   	-452.69		 57.44   	 -15.26		
 -4.88   	-37.23   	 36.95   	-457.78		 57.38   	 -15.26		
-11.90   	-54.93   	 35.12   	-462.87		 57.31   	 -20.35		
-17.40   	-72.02   	 33.27   	-457.78		 57.23   	 -20.35		
-21.97   	-87.89   	 31.43   	-457.78		 57.15   	 -25.43		
-25.94   	-102.23   	 29.60   	-447.61		 57.05   	 -20.35		
-29.30   	-114.44   	 27.81   	-437.43		 56.97   	 -30.52		
-32.35   	-125.12   	 26.06   	-422.18		 56.85   	 -25.43		
-35.10   	-133.97   	 24.37   	-396.74		 56.74   	 -25.43		
-37.23   	-141.60   	 22.79   	-381.48		 56.64   	 -30.52		
-38.15   	-147.71   	 21.26   	-361.14		 56.52   	 -30.52		
-37.84   	-152.28   	 19.82   	-335.71		 56.40   	 -30.52		
-37.84   	-156.25   	 18.47   	-315.36		 56.28   	 -30.52		
-39.06   	-160.52   	 17.21   	-289.93		 56.15   	 -30.52		
-41.81   	-165.10   	 16.05   	-269.58		 56.03   	 -30.52		
-44.25   	-169.98   	 14.97   	-249.24		 55.91   	 -30.52		
-45.78   	-173.34   	 13.98   	-223.80		 55.79   	 -30.52		
-45.78   	-174.56   	 13.08   	-198.37		 55.67   	 -25.43		
-44.25   	-174.26   	 12.29   	-172.94		 55.56   	 -25.43		
-42.72   	-173.65   	 11.60   	-147.51		 55.46   	 -30.52		
-41.81   	-174.26   	 11.01   	-122.07		 55.34   	 -20.35		
-40.89   	-175.78   	 10.52   	-101.73		 55.26   	 -25.43		
-40.59   	-178.22   	 10.11   	 -81.38		 55.16   	 -20.35		
-40.89   	-180.36   	  9.79   	 -76.30		 55.08   	 -15.26		
-41.20   	-181.58   	  9.48   	 -66.12		 55.02   	 -15.26		
-41.81   	-181.88   	  9.22   	 -71.21		 54.95   	 -10.17		
-42.11   	-181.88   	  8.93   	 -76.30		 54.91   	  -5.09		
-41.81   	-182.19   	  8.63   	 -76.30		 54.89   	  -5.09		
-41.20   	-182.80   	  8.32   	 -91.56		 54.87   	  -5.09		
-38.45   	-181.58   	  7.96   	 -96.64		 54.85   	  -5.09		
-32.65   	-174.87   	  7.57   	-101.73		 54.83   	   0.00		
-21.97   	-156.86   	  7.16   	-101.73		 54.83   	   0.00		
 -7.93   	-124.82   	  6.75   	-101.73		 54.83   	  -5.09		
  7.93   	-81.18   	  6.35   	 -91.56		 54.81   	  -5.09		
 22.28   	-32.04   	  5.98   	 -91.56		 54.79   	  -5.09		
 32.35   	 16.78   	  5.62   	 -76.30		 54.77   	  -5.09		
 34.48   	 64.39   	  5.31   	 -66.12		 54.75   	 -10.17		
 25.02   	115.36   	  5.05   	 -50.86		 54.71   	 -15.26		
 -0.31   	172.42   	  4.84   	 -55.95		 54.65   	 -30.52		
-102.84   	221.25   	  4.62   	  -5.09		 54.53   	 -20.35		
-170.29   	135.19   	  4.60(D)	  15.26		 54.45   	 -20.35		
-236.21   	-53.41   	  4.66   	  30.52		 54.36   	 -20.35		
-292.05   	-318.30   	  4.78   	  55.95		 54.28   	 -20.35		
-332.34   	-595.09   	  5.01   	  71.21		 54.20   	 -20.35		
-355.83   	-811.16   	  5.29   	  86.47		 54.12   	 -20.35		
-365.91   	-920.72   	  5.64   	 106.82		 54.04   	 -15.26		
-368.65   	-921.33   	  6.06   	 122.07		 53.98   	 -15.26		
