  I     	  II     	  LV     	  LV'		  RV     	  RV'		
 -4.27   	-49.74   	 18.43   	  20.35		 15.44   	  20.35		
 -3.36   	-46.08   	 18.51   	  15.26		 15.52   	  20.35		
 -2.44   	-41.50   	 18.58   	  15.26		 15.61   	  25.43		
 -1.83   	-36.62   	 18.64   	  15.26		 15.71   	  20.35		
 -1.53   	-31.74   	 18.70   	  10.17		 15.79   	  25.43		
 -1.22   	-26.86   	 18.74   	  10.17		 15.89   	  20.35		
 -1.22   	-22.28   	 18.78   	   5.09		 15.97   	  20.35		
 -1.53   	-18.31   	 18.80   	   5.09		 16.05   	  20.35		
 -2.44   	-14.65   	 18.82   	   5.09		 16.13   	  20.35		
 -3.66   	-11.90   	 18.84   	   5.09		 16.22   	  15.26		
 -4.88   	-10.07   	 18.86   	   5.09		 16.28   	  15.26		
 -5.19   	 -8.85   	 18.88   	   5.09		 16.34   	  15.26		
 -4.88   	 -8.24   	 18.90   	   5.09		 16.40   	  10.17		
 -3.97   	 -7.63   	 18.92   	   0.00		 16.44   	  10.17		
 -3.36   	 -6.71   	 18.92   	   5.09		 16.48   	  10.17		
 -3.97   	 -5.19   	 18.94   	   0.00		 16.52   	  10.17		
 -5.49   	 -2.14   	 18.94   	  -5.09		 16.56   	  10.17		
 -6.10   	  2.75   	 18.92   	   0.00		 16.60   	  10.17		
 -5.80   	  8.24   	 18.92   	 -10.17		 16.64   	  10.17		
 -4.58   	 12.82   	 18.88   	  -5.09		 16.68   	  10.17		
 -3.66   	 14.65   	 18.86   	 -10.17		 16.72   	  10.17		
 -4.58   	 12.82   	 18.82   	 -10.17		 16.76   	  15.26		
 -8.24   	  3.66   	 18.78   	  -5.09		 16.83   	   5.09		
-12.82   	-16.17   	 18.76   	 -10.17		 16.85   	  10.17		
-14.04   	-46.69   	 18.72   	  -5.09		 16.89   	   5.09		
 -7.02   	-73.55   	 18.70   	 -10.17		 16.91   	   5.09		
 11.29   	-62.87   	 18.66   	  -5.09		 16.93   	   5.09		
 41.20   	 26.55   	 18.64   	  -5.09		 16.95   	   0.00		
 77.82   	222.17   	 18.62   	  -5.09		 16.95   	   0.00		
113.22   	513.61   	 18.60   	   0.00		 16.95   	   5.09		
137.63   	841.06   	 18.60   	  -5.09		 16.97   	  -5.09		
119.32   	1249.08(R)	 18.58(E)	   0.00		 16.95   	   0.00		
 73.24   	1208.80   	 18.58   	  10.17		 16.95   	   0.00		
 18.01   	1012.27   	 18.62   	  15.26		 16.95   	   0.00		
-26.55   	729.06   	 18.68   	  25.43		 16.95   	   0.00		
-44.56   	442.20   	 18.78   	  30.52		 16.95   	   0.00		
-35.10   	212.71   	 18.90   	  50.86		 16.95   	  10.17		
-11.29   	 62.87   	 19.10   	  61.04		 16.99   	  10.17		
  7.93   	-17.40   	 19.35   	  76.30		 17.03   	  20.35		
 13.12   	-54.02   	 19.65   	  96.64		 17.11   	  30.52		
  7.63   	-70.50   	 20.04   	 122.07		 17.23   	  35.61		
  0.00   	-79.96   	 20.53   	 147.51		 17.38   	  50.86		
 -2.75   	-86.06   	 21.12   	 172.94		 17.58   	  55.95		
 -1.53   	-90.03   	 21.81   	 203.46		 17.80   	  71.21		
  0.00   	-92.77   	 22.62   	 244.15		 18.09   	  86.47		
 -0.31   	-93.99   	 23.60   	 284.84		 18.43   	  91.56		
 -1.22   	-92.77   	 24.74   	 330.62		 18.80   	  96.64		
 -1.22   	-89.72   	 26.06   	 371.31		 19.19   	 106.82		
  0.61   	-85.14   	 27.55   	 427.26		 19.61   	 111.90		
  1.83   	-80.57   	 29.26   	 483.21		 20.06   	 116.99		
  0.61   	-77.51   	 31.19   	 523.90		 20.53   	 116.99		
 -3.66   	-76.29   	 33.29   	 569.68		 21.00   	 116.99		
 -8.54   	-76.60   	 35.56   	 605.29		 21.46   	 127.16		
