  I     	  II     	  LV     	  LV'		
-13.43   	-10.07   	 26.71   	-264.50		
 -8.85   	 -5.80   	 25.66   	-239.06		
 -5.49   	 -2.75   	 24.70   	-233.98		
 -4.88   	 -0.92   	 23.76   	-223.80		
 -5.49   	  1.53   	 22.87   	-218.72		
 -5.19   	  5.49   	 21.99   	-213.63		
 -3.05   	 10.38   	 21.14   	-213.63		
  0.31   	 14.34   	 20.28   	-213.63		
  2.44   	 15.87   	 19.43   	-213.63		
  1.83   	 14.34   	 18.58   	-203.46		
 -1.22   	 10.68   	 17.76   	-193.29		
 -5.80   	  5.49   	 16.99   	-183.11		
 -9.16   	  1.53   	 16.26   	-162.77		
-10.68   	 -0.31   	 15.61   	-137.33		
-11.60   	  0.61   	 15.06   	-116.99		
-14.65   	  3.05   	 14.59   	 -96.64		
-20.45   	  5.49   	 14.20   	 -76.30		
-26.25   	  6.10   	 13.90   	 -61.04		
-28.69   	  4.88   	 13.65   	 -50.86		
-26.55   	  2.14   	 13.45   	 -40.69		
-21.67   	 -1.83   	 13.29   	 -40.69		
-17.40   	 -6.41   	 13.12   	 -35.61		
-15.56   	-11.29   	 12.98   	 -35.61		
-15.87   	-15.26   	 12.84   	 -25.43		
-16.17   	-18.01   	 12.74   	 -10.17		
-14.95   	-20.14   	 12.70   	   0.00		
-11.60   	-23.50   	 12.70   	  25.43		
 -8.54   	-29.91   	 12.80   	  45.78		
 -7.93   	-39.37   	 12.98   	  66.12		
-10.38   	-49.13   	 13.25   	  86.47		
-14.34   	-54.63   	 13.59   	  96.64		
-16.17   	-53.41   	 13.98   	 116.99		
-14.04   	-47.00   	 14.45   	 116.99		
-10.38   	-40.28   	 14.91   	 127.16		
 -7.93   	-38.15   	 15.42   	 122.07		
 -9.77   	-41.50   	 15.91   	 122.07		
-14.65   	-47.61   	 16.40   	 111.90		
-19.84   	-52.19   	 16.85   	  96.64		
-23.19   	-52.49   	 17.23   	  86.47		
-23.80   	-48.83   	 17.58   	  61.04		
-22.28   	-43.64   	 17.82   	  35.61		
-19.53   	-38.76   	 17.97   	  10.17		
-17.70   	-36.01   	 18.01   	 -25.43		
-17.40   	-34.48   	 17.90   	 -50.86		
-19.84   	-33.57   	 17.70   	 -76.30		
-24.11   	-31.43   	 17.40   	-101.73		
-28.99   	-27.77   	 16.99   	-106.82		
-32.04   	-22.89   	 16.56   	-111.90		
-31.74   	-18.01   	 16.11   	 -96.64		
-28.38   	-13.43   	 15.73   	 -76.30		
-22.89   	-10.07   	 15.42   	 -50.86		
-18.31   	 -6.71   	 15.22   	 -25.43		
-16.17   	 -4.27   	 15.12   	   5.09		
-16.78   	 -2.14   	 15.14   	  30.52		
-18.01   	 -0.61   	 15.26   	  45.78		
-17.40   	  0.31   	 15.44   	  61.04		
-16.17   	 -0.31   	 15.69   	  66.12		
-16.17   	 -2.14   	 15.95   	  66.12		
-18.31   	 -4.88   	 16.22   	  61.04		
-22.28   	 -7.93   	 16.46   	  50.86		
-25.33   	 -9.77   	 16.66   	  45.78		
-26.25   	 -9.77   	 16.85   	  35.61		
-25.02   	 -7.63   	 16.99   	  35.61		
-23.80   	 -3.66   	 17.13   	  25.43		
-22.28   	  0.31   	 17.23   	  25.43		
-17.70   	  2.44   	 17.33   	  25.43		
