  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
-52.49   	 -4.27   	 -1.99   	 -10.17		 64.86   	 -45.78		
-54.93   	 -5.80   	 -2.03   	  -5.09		 64.68   	 -50.86		
-57.68   	 -4.27   	 -2.05   	   0.00		 64.48   	 -45.78		
-58.59   	 -0.61   	 -2.05   	   0.00		 64.29   	 -50.86		
-56.76   	  3.05   	 -2.05   	   5.09		 64.09   	 -45.78		
-53.71   	  5.19   	 -2.03   	  10.17		 63.91   	 -45.78		
-52.49   	  6.10   	 -1.99   	   5.09		 63.72   	 -45.78		
-53.41   	  7.02   	 -1.97   	   5.09		 63.54   	 -45.78		
-55.54   	  8.85   	 -1.95   	   5.09		 63.36   	 -50.86		
-55.85   	 10.99   	 -1.93   	   0.00		 63.15   	 -40.69		
-53.41   	 12.21   	 -1.93   	   5.09		 62.99   	 -45.78		
-49.74   	 10.99   	 -1.91   	   5.09		 62.81   	 -40.69		
-47.30   	  7.63   	 -1.89   	   5.09		 62.64   	 -35.61		
-47.30   	  4.58   	 -1.87   	  10.17		 62.50   	 -30.52		
-49.44   	  3.97   	 -1.83   	  20.35		 62.38   	 -25.43		
-51.88   	  6.10   	 -1.75   	  20.35		 62.28   	 -25.43		
-52.80   	  9.77   	 -1.67   	  25.43		 62.18   	 -25.43		
-52.80   	 12.21   	 -1.57   	  25.43		 62.08   	 -30.52		
-52.49   	 11.90   	 -1.46   	  30.52		 61.95   	 -30.52		
-51.88   	  8.54   	 -1.34   	  25.43		 61.83   	 -35.61		
-50.05   	  3.36   	 -1.24   	  20.35		 61.69   	 -40.69		
-46.39   	 -1.53   	 -1.16   	  20.35		 61.53   	 -45.78		
-41.81   	 -5.19   	 -1.08   	  10.17		 61.34   	 -50.86		
-38.45   	 -6.71   	 -1.04   	  10.17		 61.14   	 -50.86		
-38.76   	 -7.32   	 -1.00   	   0.00		 60.94   	 -55.95		
-42.11   	 -8.54   	 -1.00   	   0.00		 60.71   	 -55.95		
-45.78   	-10.38   	 -1.00   	 -10.17		 60.49   	 -55.95		
-46.08   	-13.43   	 -1.04   	 -20.35		 60.26   	 -61.04		
-42.72   	-17.40   	 -1.12   	 -20.35		 60.02   	 -55.95		
-37.84   	-21.36   	 -1.20   	 -25.43		 59.80   	 -55.95		
-35.10   	-24.72   	 -1.30   	 -25.43		 59.57   	 -55.95		
-35.10   	-26.86   	 -1.40   	 -30.52		 59.35   	 -55.95		
-36.32   	-27.47   	 -1.53   	 -25.43		 59.12   	 -50.86		
-35.40   	-26.86   	 -1.63   	 -25.43		 58.92   	 -45.78		
-32.35   	-25.94   	 -1.73   	 -25.43		 58.74   	 -50.86		
-28.69   	-26.25   	 -1.83   	 -15.26		 58.53   	 -40.69		
-26.25   	-27.77   	 -1.89   	 -15.26		 58.37   	 -45.78		
-26.25   	-30.21   	 -1.95   	  -5.09		 58.19   	 -45.78		
-28.08   	-31.43   	 -1.97   	  -5.09		 58.01   	 -40.69		
-30.52   	-30.82   	 -1.99   	   5.09		 57.84   	 -45.78		
-32.35   	-28.69   	 -1.97   	   5.09		 57.66   	 -45.78		
-32.35   	-26.86   	 -1.95   	   5.09		 57.48   	 -40.69		
-31.13   	-27.16   	 -1.93   	  10.17		 57.31   	 -45.78		
-29.91   	-30.21   	 -1.89   	  10.17		 57.13   	 -45.78		
-29.91   	-33.57   	 -1.85   	  10.17		 56.95   	 -45.78		
-30.52   	-35.10   	 -1.81   	  10.17		 56.76   	 -40.69		
-31.13   	-33.26   	 -1.77   	  15.26		 56.60   	 -45.78		
-30.52   	-29.30   	 -1.71   	  10.17		 56.42   	 -35.61		
-29.91   	-25.94   	 -1.67   	  10.17		 56.28   	 -35.61		
-30.52   	-25.33   	 -1.63   	  15.26		 56.13   	 -35.61		
-32.96   	-27.77   	 -1.57   	  10.17		 55.99   	 -25.43		
-36.01   	-30.82   	 -1.53   	  15.26		 55.89   	 -20.35		
-37.54   	-32.04   	 -1.46   	  10.17		 55.81   	 -20.35		
-36.01   	-30.52   	 -1.42   	   5.09		 55.73   	 -20.35		
-33.26   	-26.86   	 -1.40   	   5.09		 55.65   	 -20.35		
-31.43   	-24.41   	 -1.38   	   5.09		 55.56   	 -20.35		
-31.74   	-25.33   	 -1.36   	  -5.09		 55.48   	 -20.35		
-32.96   	-30.21   	 -1.38   	   0.00		 55.40   	 -25.43		
-32.65   	-36.01   	 -1.38   	 -10.17		 55.30   	 -30.52		
-29.60   	-39.06   	 -1.42   	  -5.09		 55.18   	 -25.43		
-25.02   	-39.06   	 -1.44   	 -10.17		 55.08   	 -30.52		
-20.75   	-38.15   	 -1.49   	  -5.09		 54.95   	 -30.52		
-19.84   	-39.67   	 -1.51   	 -10.17		 54.83   	 -35.61		
-21.36   	-44.25   	 -1.55   	 -10.17		 54.69   	 -35.61		
-23.80   	-49.13   	 -1.59   	  -5.09		 54.55   	 -40.69		
-25.63   	-51.88   	 -1.61   	 -10.17		 54.38   	 -40.69		
-24.41   	-51.27   	 -1.65   	 -10.17		 54.22   	 -45.78		
-21.36   	-50.66   	 -1.69   	  -5.09		 54.04   	 -40.69		
-17.09   	-51.88   	 -1.71   	  -5.09		 53.88   	 -40.69		
-14.04   	-56.15   	 -1.73   	   0.00		 53.71   	 -40.69		
-12.51   	-60.12   	 -1.73   	   0.00		 53.55   	 -30.52		
-13.73   	-61.34   	 -1.73   	  10.17		 53.43   	 -20.35		
-16.78   	-59.20   	 -1.69   	  10.17		 53.35   	 -20.35		
-20.14   	-55.24   	 -1.65   	  15.26		 53.27   	 -15.26		
-22.58   	-51.88   	 -1.59   	  20.35		 53.20   	  -5.09		Beg---------
-22.89   	-50.35   	 -1.51   	  20.35		 53.18   	 -10.17		
-21.36   	-50.35   	 -1.42   	  25.43		 53.14   	  -5.09		
-19.84   	-50.96   	 -1.32   	  20.35		 53.12   	 -10.17		
-18.62   	-51.27   	 -1.24   	  25.43		 53.08   	 -15.26		
-18.01   	-51.27   	 -1.14   	  20.35		 53.02   	 -10.17		
-18.62   	-51.57   	 -1.06   	  15.26		 52.98   	 -20.35		
-19.53   	-51.57   	 -1.00   	  15.26		 52.90   	 -20.35		
-20.14   	-50.96   	 -0.94   	  10.17		 52.82   	 -20.35		
-19.84   	-49.13   	 -0.90   	  10.17		 52.74   	 -30.52		
-17.70   	-46.39   	 -0.85   	   5.09		 52.61   	 -30.52		
-14.04   	-43.95   	 -0.83   	   0.00		 52.49   	 -40.69		
-10.99   	-43.33   	 -0.83   	   0.00		 52.33   	 -45.78		
-10.68   	-44.56   	 -0.83   	  -5.09		 52.15   	 -45.78		
-12.82   	-47.30   	 -0.85   	 -10.17		 51.96   	 -50.86		
-16.17   	-49.74   	 -0.90   	 -10.17		 51.76   	 -50.86		
-18.31   	-49.44   	 -0.94   	 -15.26		 51.56   	 -50.86		
-18.92   	-47.00   	 -1.00   	 -15.26		 51.35   	 -50.86		
-18.31   	-42.72   	 -1.06   	 -25.43		 51.15   	 -50.86		
-17.70   	-39.06   	 -1.16   	 -25.43		 50.95   	 -45.78		
-17.70   	-37.84   	 -1.26   	 -30.52		 50.76   	 -45.78		
-18.01   	-38.76   	 -1.38   	 -25.43		 50.58   	 -40.69		
-17.40   	-39.67   	 -1.49   	 -30.52		 50.42   	 -35.61		
-15.87   	-39.06   	 -1.61   	 -30.52		 50.27   	 -30.52		
-13.12   	-34.48   	 -1.73   	 -25.43		 50.15   	 -30.52		
 -8.85   	-25.63   	 -1.83   	 -20.35		 50.03   	 -25.43		
 -3.66   	-13.12   	 -1.91   	 -15.26		 49.93   	 -25.43		
  2.44   	  1.53   	 -1.97   	   0.00		 49.83   	 -20.35		
  7.63   	 14.04   	 -1.97   	   0.00		 49.75   	 -20.35		
 10.68   	 22.28   	 -1.97   	  15.26		 49.66   	 -15.26		
 11.29   	 24.72   	 -1.91   	  15.26		 49.60   	 -15.26		
  9.77   	 24.72   	 -1.85   	  25.43		 49.54   	 -10.17		
  7.32   	 26.55   	 -1.75   	  30.52		 49.50   	 -10.17		
  4.88   	 32.65   	 -1.63   	  30.52		 49.46   	 -10.17		
  2.75   	 41.50   	 -1.51   	  35.61		 49.42   	 -10.17		
  0.61   	 49.13   	 -1.36   	  40.69		 49.38   	 -10.17		
  0.00   	 51.57   	 -1.20   	  35.61		 49.34   	 -10.17		
  3.36   	 49.13   	 -1.06   	  35.61		 49.30   	 -10.17		
  9.77   	 46.39   	 -0.92   	  35.61		 49.26   	 -15.26		
 16.48   	 47.30   	 -0.77   	  30.52		 49.20   	 -10.17		
 19.84   	 51.27   	 -0.65   	  25.43		 49.16   	  -5.09		
 18.31   	 53.41   	 -0.55   	  20.35		 49.14   	 -10.17		
 13.43   	 47.61   	 -0.47   	  15.26		 49.09   	  -5.09		
  8.24   	 32.96   	 -0.41   	   5.09		 49.07   	   0.00		
  5.80   	 15.26   	 -0.39   	   0.00		 49.07   	  -5.09		
  7.63   	  3.36   	 -0.39   	 -15.26		 49.05   	   5.09		
 14.95   	  3.36   	 -0.45   	 -15.26		 49.07   	   5.09		
 26.86   	 13.73   	 -0.51   	 -25.43		 49.09   	   5.09		
 41.20   	 27.16   	 -0.61   	 -25.43		 49.11   	   5.09		
 52.80   	 33.87   	 -0.71   	 -30.52		 49.14   	   0.00		
 55.54   	 28.38   	 -0.83   	 -25.43		 49.14   	   5.09		
 46.08   	 12.51   	 -0.94   	 -20.35		 49.16   	  -5.09		
 26.55   	 -7.32   	 -1.02   	 -15.26		 49.14   	  -5.09		
  2.44   	-24.72   	 -1.08   	  -5.09		 49.11   	 -10.17		
-18.62   	-36.62   	 -1.10   	   0.00		 49.07   	 -10.17		
-31.74   	-43.95   	 -1.10   	  15.26		 49.03   	 -10.17		
-35.10   	-48.52   	 -1.04   	  20.35		 48.99   	 -15.26		
-32.35   	-51.88   	 -0.96   	  25.43		 48.93   	 -10.17		
-28.69   	-54.63   	 -0.85   	  35.61		 48.89   	 -15.26		
-28.08   	-55.85   	 -0.71   	  35.61		 48.83   	  -5.09		
-30.82   	-56.46   	 -0.57   	  35.61		 48.81   	 -10.17		
-35.40   	-56.46   	 -0.43   	  35.61		 48.77   	 -10.17		
-39.06   	-56.15   	 -0.28   	  40.69		 48.73   	  -5.09		
-41.20   	-56.15   	 -0.12   	  45.78		 48.71   	  -5.09		
