  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-73.55   	 47.61   	140.85   	 264.50		 53.81   	   0.00		
-71.72   	 55.24   	141.91   	 264.50		 53.81   	   5.09		
-69.89   	 63.17   	142.97   	 274.67		 53.83   	   0.00		
-68.66   	 71.41   	144.07   	 279.75		 53.83   	   0.00		
-66.83   	 79.96   	145.19   	 284.84		 53.83   	   0.00		
-63.78   	 88.81   	146.33   	 284.84		 53.83   	   0.00		
-58.29   	 97.66   	147.47   	 279.75		 53.83   	   5.09		
-50.05   	106.20   	148.59   	 274.67		 53.86   	   0.00		
-40.59   	113.83   	149.68   	 259.41		 53.86   	   5.09		
-32.35   	119.32   	150.72   	 244.15		 53.88   	   5.09		
-26.55   	120.85   	151.70   	 228.89		 53.90   	   0.00		
-22.58   	119.93   	152.61   	 203.46		 53.90   	   5.09		
-18.62   	118.10   	153.43   	 178.03		 53.92   	   5.09		
-13.43   	118.41   	154.14   	 157.68		 53.94   	   0.00		
 -6.71   	121.77   	154.77   	 132.25		 53.94   	   5.09		
 -0.31   	126.65   	155.30   	 111.90		 53.96   	   0.00		
  5.49   	130.00   	155.75   	  86.47		 53.96   	   5.09		
 10.38   	130.31   	156.09   	  71.21		 53.98   	   0.00		
 14.34   	127.26   	156.38   	  50.86		 53.98   	   5.09		
 17.09   	121.77   	156.58   	  30.52		 54.00   	   0.00		
 18.62   	114.44   	156.70   	  15.26		 54.00   	   0.00		
 18.31   	105.90   	156.76   	   0.00		 54.00   	   0.00		
 16.48   	 97.35   	156.76   	 -15.26		 54.00   	   0.00		
 13.12   	 88.81   	156.70   	 -35.61		 54.00   	  -5.09		
  8.85   	 80.87   	156.56   	 -55.95		 53.98   	   0.00		
  4.58   	 73.24   	156.34   	 -76.30		 53.98   	   0.00		
  0.61   	 65.92   	156.03   	-101.73		 53.98   	   0.00		
 -2.14   	 58.59   	155.63   	-127.16		 53.98   	  -5.09		
 -3.66   	 52.19   	155.12   	-152.59		 53.96   	   0.00		
 -3.97   	 47.30   	154.51   	-183.11		 53.96   	   0.00		
 -4.58   	 44.25   	153.77   	-213.63		 53.96   	   0.00		
 -6.41   	 42.42   	152.92   	-249.24		 53.96   	  -5.09		
 -9.46   	 41.20   	151.92   	-279.75		 53.94   	   0.00		
-13.12   	 39.98   	150.80   	-315.36		 53.94   	   0.00		
-16.17   	 37.84   	149.54   	-350.97		 53.94   	   0.00		
-17.09   	 34.79   	148.14   	-396.74		 53.94   	   0.00		
-16.78   	 31.13   	146.55   	-452.69		 53.94   	   0.00		
-16.78   	 26.86   	144.74   	-503.56		 53.94   	   0.00		
-18.62   	 22.58   	142.73   	-569.68		 53.94   	   5.09		
-21.36   	 19.23   	140.45   	-635.81		 53.96   	   0.00		
-23.50   	 17.09   	137.90   	-696.84		 53.96   	   0.00		
-23.80   	 17.09   	135.12   	-762.97		 53.96   	   0.00		
-21.67   	 18.92   	132.06   	-824.00		 53.96   	   5.09		
-18.92   	 21.67   	128.77   	-869.78		 53.98   	   0.00		
-17.09   	 23.19   	125.29   	-915.56		 53.98   	   0.00		
