  I     	  II     	  LV     	  LV'		  RV     	  RV'		
-34.18   	-52.19   	 57.19   	1210.58		 20.35   	 228.89		
-36.32   	-54.32   	 62.03   	1190.23		 21.26   	 223.80		
-39.06   	-54.32   	 66.80   	1139.36		 22.16   	 218.72		
-39.67   	-48.83   	 71.35   	1057.98		 23.03   	 203.46		
-37.54   	-38.45   	 75.58   	 956.25		 23.85   	 203.46		
-33.57   	-27.77   	 79.41   	 854.52		 24.66   	 198.37		
-31.13   	-21.67   	 82.83   	 778.23		 25.45   	 193.29		
-31.43   	-23.19   	 85.94   	 691.76		 26.23   	 193.29		
-34.18   	-31.13   	 88.71   	 625.63		 27.00   	 193.29		
-36.62   	-39.98   	 91.21   	 564.60		 27.77   	 193.29		
-36.62   	-43.64   	 93.47   	 513.73		 28.55   	 183.11		
-32.96   	-39.67   	 95.52   	 478.13		 29.28   	 162.77		
-27.77   	-30.21   	 97.44   	 442.52		 29.93   	 142.42		
-24.41   	-21.06   	 99.21   	 417.09		 30.50   	 106.82		
-23.50   	-16.78   	100.87   	 401.83		 30.93   	  66.12		
-24.11   	-19.23   	102.48   	 386.57		 31.19   	  30.52		
-24.41   	-25.94   	104.03   	 376.40		 31.31   	 -10.17		
-23.50   	-34.48   	105.53   	 361.14		 31.27   	 -30.52		
-21.67   	-40.89   	106.98   	 335.71		 31.15   	 -50.86		
-20.45   	-41.50   	108.32   	 310.27		 30.95   	 -61.04		
-18.92   	-33.87   	109.56   	 289.93		 30.70   	 -66.12		
-16.48   	-16.78   	110.72   	 269.58		 30.44   	 -66.12		
-13.43   	  6.41   	111.80   	 259.41		 30.17   	 -66.12		
-10.38   	 28.99   	112.84   	 244.15		 29.91   	 -66.12		
 -8.85   	 42.11   	113.81   	 233.98		 29.64   	 -55.95		
 -8.85   	 40.89   	114.75   	 228.89		 29.42   	 -50.86		
 -7.93   	 28.08   	115.67   	 213.63		 29.22   	 -35.61		
 -4.27   	 12.82   	116.52   	 213.63		 29.07   	 -30.52		
  1.53   	  4.88   	117.37   	 198.37		 28.95   	 -20.35		
  8.85   	  9.46   	118.17   	 193.29		 28.87   	 -15.26		
 16.78   	 24.11   	118.94   	 188.20		 28.81   	  -5.09		
 23.80   	 41.81   	119.69   	 183.11		 28.79   	   0.00		
