  I     	  II     	  PW     	  PW'		
-13.43   	-19.84   	 30.40   	 -10.17		
-12.51   	-35.40   	 30.36   	  -5.09		
 -9.46   	-50.96   	 30.34   	  -5.09		
 -7.32   	-61.34   	 30.32   	  -5.09		
 -8.54   	-65.00   	 30.29   	  -5.09		
-11.90   	-63.78   	 30.27   	   0.00		
-15.26   	-61.95   	 30.27   	   0.00		
-16.17   	-60.73   	 30.27   	   0.00		
-15.26   	-60.12   	 30.27   	   0.00		
-12.51   	-58.29   	 30.27   	  -5.09		
 -9.77   	-55.24   	 30.25   	   0.00		
 -8.54   	-52.19   	 30.25   	   0.00		
 -8.24   	-51.27   	 30.25   	  -5.09		
 -8.24   	-52.49   	 30.23   	  -5.09		
 -7.63   	-54.02   	 30.21   	 -10.17		
 -7.02   	-54.32   	 30.17   	  -5.09		
 -7.02   	-52.49   	 30.15   	 -10.17		
 -7.63   	-48.22   	 30.11   	 -10.17		
 -9.77   	-43.03   	 30.07   	 -10.17		
-14.34   	-38.45   	 30.03   	 -10.17		
-21.06   	-36.01   	 29.99   	  -5.09		
-29.30   	-37.54   	 29.97   	 -10.17		
-35.71   	-42.11   	 29.93   	   0.00		
-35.10   	-45.17   	 29.93   	  -5.09		
-21.97   	-39.37   	 29.91   	   0.00		
  7.63   	-13.43   	 29.91   	   5.09		
 51.27   	 44.56   	 29.93   	   0.00		
 99.79   	143.13   	 29.93   	  10.17		
142.21   	277.10   	 29.97   	   5.09		
170.59   	418.70   	 29.99   	  25.43		
181.27   	526.43(R)	 30.09   	  10.17		
166.02   	419.62   	 30.13   	  10.17		
139.16   	221.56   	 30.17   	  15.26		
104.68   	 -5.80   	 30.23   	  10.17		
 71.11   	-195.92   	 30.27   	  10.17		
 47.61   	-310.36   	 30.32   	  15.26		
 35.71   	-343.63   	 30.38   	  10.17		
 28.99   	-314.33   	 30.42   	   5.09		
 20.14   	-249.63   	 30.44   	  10.17		
  6.10   	-176.70   	 30.48   	   5.09		
 -8.85   	-118.10   	 30.50   	   5.09		
-19.23   	-88.20   	 30.52   	   5.09		
-23.80   	-88.20   	 30.54   	   5.09		
-24.11   	-104.98   	 30.56   	   5.09		
-23.50   	-121.46   	 30.58   	   5.09		
-22.89   	-126.65   	 30.60   	   5.09		
-22.89   	-121.15   	 30.62   	  10.17		
-22.58   	-112.30   	 30.66   	  15.26		
-21.36   	-106.51   	 30.72   	  20.35		
-20.45   	-106.20   	 30.80   	  25.43		
-20.14   	-109.86   	 30.91   	  25.43		
-21.36   	-115.36   	 31.01   	  25.43		
-23.19   	-120.24   	 31.11   	  30.52		
-23.80   	-122.68   	 31.23   	  20.35		
-21.06   	-121.77   	 31.31   	  20.35		
-15.87   	-118.41   	 31.39   	  15.26		
-11.29   	-114.75   	 31.45   	  10.17		
-10.99   	-113.22   	 31.50   	   5.09		
-16.17   	-115.66   	 31.52   	   5.09		
-24.72   	-120.54   	 31.54   	  10.17		
-32.35   	-125.73   	 31.58   	  10.17		
-34.48   	-128.17   	 31.62   	  10.17		
-30.52   	-127.87   	 31.66   	  20.35		
-23.19   	-125.73   	 31.74   	  25.43		
