  I     	  II     	  PW     	  PW'		
 94.60   	125.73   	 26.49   	-147.51		
 96.13   	137.33   	 25.90   	-183.11		
103.76   	153.81   	 25.17   	-213.63		
115.36   	169.68   	 24.31   	-213.63		
126.95   	180.97   	 23.46   	-193.29		
135.50   	190.43   	 22.69   	-152.59		
142.21   	205.08   	 22.08   	-111.90		
148.62   	230.41   	 21.63   	 -76.30		
156.86   	261.54   	 21.32   	 -45.78		
166.93   	289.00   	 21.14   	 -30.52		
176.39   	304.57   	 21.02   	 -35.61		
184.63   	306.70   	 20.87   	 -45.78		
192.87   	301.51   	 20.69   	 -66.12		
200.50   	296.33   	 20.43   	 -81.38		
207.52   	294.80   	 20.10   	 -96.64		
211.18   	294.19   	 19.72   	 -96.64		
207.82   	289.61   	 19.33   	 -96.64		
196.53   	276.49   	 18.94   	 -86.47		
178.22   	254.21   	 18.60   	 -66.12		
156.56   	225.52   	 18.33   	 -50.86		
133.67   	194.09   	 18.13   	 -40.69		
111.69   	164.18   	 17.97   	 -30.52		
 92.77   	137.02   	 17.84   	 -35.61		
 79.65   	115.05   	 17.70   	 -45.78		
 75.07   	100.10   	 17.52   	 -61.04		
 79.04   	 92.77   	 17.27   	 -76.30		
 87.28   	 90.94   	 16.97   	 -86.47		
 92.77   	 88.50   	 16.62   	 -86.47		
 91.25   	 80.87   	 16.28   	 -71.21		
 84.53   	 69.27   	 15.99   	 -55.95		
 78.74   	 58.90   	 15.77   	 -20.35		
 78.74   	 55.54   	 15.69   	   5.09		
 85.14   	 61.65   	 15.71   	  35.61		
 93.38   	 71.41   	 15.85   	  55.95		
 97.66   	 79.96   	 16.07   	  61.04		
 94.60   	 87.89   	 16.32   	  61.04		
 82.09   	102.54   	 16.56   	  45.78		
 62.26   	127.56   	 16.74   	  25.43		
 44.56   	156.25   	 16.85   	  15.26		
 50.35   	173.65   	 16.91   	   0.00		
104.68   	171.51   	 16.91   	 -10.17		
219.42   	159.30   	 16.87   	  -5.09		
373.84   	167.24   	 16.85   	   0.00		
516.05   	226.44   	 16.85   	  10.17		
588.07   	342.41   	 16.89   	  25.43		
560.30   	484.01   	 16.99   	  35.61		
451.05   	598.45   	 17.13   	  45.78		
311.89   	638.12(R)	 17.31   	  50.86		
196.84   	588.68   	 17.52   	  55.95		
133.36   	477.60   	 17.74   	  61.04		
115.97   	352.48   	 17.99   	  55.95		
122.99   	257.87   	 18.21   	  55.95		
132.14   	212.40   	 18.43   	  50.86		
128.78   	203.25   	 18.64   	  50.86		
107.42   	200.20   	 18.84   	  45.78		
 69.58   	175.78   	 19.02   	  45.78		
 23.80   	119.32   	 19.21   	  40.69		
-14.95   	 45.47   	 19.37   	  50.86		
-32.04   	-17.09   	 19.57   	  45.78		
-22.28   	-47.91   	 19.76   	  50.86		
  7.02   	-43.95   	 19.96   	  50.86		
 39.98   	-19.84   	 20.16   	  45.78		
 62.56   	  5.49   	 20.35   	  35.61		
 69.89   	 20.45   	 20.49   	  30.52		
 66.53   	 25.02   	 20.61   	  25.43		
 59.81   	 24.41   	 20.71   	  35.61		
 56.76   	 22.58   	 20.85   	  45.78		
 59.81   	 20.75   	 21.04   	  45.78		
 66.53   	 18.62   	 21.22   	  50.86		
 72.94   	 16.78   	 21.42   	  35.61		
 75.68   	 17.09   	 21.57   	  15.26		
 75.07   	 21.97   	 21.63   	 -10.17		
 74.46   	 31.43   	 21.59   	 -35.61		
 77.51   	 41.81   	 21.44   	 -50.86		
 83.62   	 45.78   	 21.24   	 -50.86		
 88.81   	 39.37   	 21.04   	 -40.69		
 88.81   	 25.02   	 20.87   	 -15.26		
