  I     	  II     	  AO     	  AO'		
-37.23   	-36.62   	 74.12   	 -81.38		
-38.45   	-36.62   	 73.79   	 -81.38		
-37.84   	-36.01   	 73.47   	 -86.47		
-35.71   	-35.10   	 73.12   	 -81.38		
-33.26   	-33.57   	 72.80   	 -86.47		
-32.35   	-31.43   	 72.45   	 -86.47		
-32.96   	-28.99   	 72.11   	 -86.47		
-33.57   	-28.38   	 71.76   	 -86.47		
-33.87   	-30.21   	 71.41   	 -81.38		
-33.87   	-34.18   	 71.09   	 -86.47		
-33.57   	-36.93   	 70.74   	 -81.38		
-33.57   	-36.93   	 70.42   	 -76.30		
-33.57   	-34.48   	 70.11   	 -76.30		
-34.18   	-32.04   	 69.81   	 -71.21		
-35.10   	-32.04   	 69.52   	 -71.21		
-36.32   	-34.18   	 69.24   	 -66.12		
-36.93   	-35.10   	 68.97   	 -61.04		
-36.32   	-33.26   	 68.73   	 -55.95		
-34.18   	-30.21   	 68.50   	 -55.95		
-31.74   	-29.91   	 68.28   	 -45.78		
-30.82   	-34.18   	 68.10   	 -45.78		
-32.35   	-40.59   	 67.91   	 -45.78		
-35.40   	-43.95   	 67.73   	 -35.61		
-37.54   	-42.72   	 67.59   	 -35.61		
-38.45   	-39.37   	 67.45   	 -35.61		
-37.54   	-38.15   	 67.30   	 -35.61		
-36.62   	-41.20   	 67.16   	 -30.52		
-36.32   	-46.08   	 67.04   	 -30.52		
-36.93   	-49.13   	 66.92   	 -30.52		
-37.84   	-48.22   	 66.80   	 -25.43		
-37.84   	-45.17   	 66.69   	 -25.43		
-37.23   	-42.11   	 66.59   	 -25.43		
-36.62   	-41.20   	 66.49   	 -25.43		
-36.93   	-43.03   	 66.39   	 -25.43		
-37.84   	-47.00   	 66.29   	 -25.43		
-38.45   	-51.88   	 66.18   	 -30.52		
-37.84   	-55.24   	 66.06   	 -25.43		
-36.01   	-55.54   	 65.96   	 -30.52		
-34.48   	-53.10   	 65.84   	 -30.52		
-33.57   	-50.96   	 65.72   	 -30.52		
-34.79   	-50.66   	 65.59   	 -35.61		
-36.93   	-52.49   	 65.45   	 -35.61		
-39.37   	-54.63   	 65.31   	 -30.52		
-41.50   	-55.24   	 65.19   	 -35.61		
-42.42   	-54.63   	 65.05   	 -35.61		
-41.20   	-53.41   	 64.90   	 -35.61		
-38.15   	-52.80   	 64.76   	 -35.61		
-34.48   	-53.10   	 64.62   	 -35.61		
-31.74   	-54.32   	 64.48   	 -35.61		
-31.13   	-57.07   	 64.33   	 -35.61		
-33.57   	-61.65   	 64.19   	 -35.61		
-36.93   	-65.61   	 64.05   	 -35.61		
-39.98   	-65.31   	 63.91   	 -35.61		
-41.20   	-60.42   	 63.76   	 -35.61		
-39.98   	-53.10   	 63.62   	 -35.61		
-37.23   	-47.91   	 63.48   	 -35.61		
-34.79   	-46.69   	 63.34   	 -35.61		
-32.96   	-49.13   	 63.19   	 -30.52		
-32.65   	-52.49   	 63.07   	 -30.52		
-32.96   	-55.24   	 62.95   	 -30.52		
-32.96   	-57.68   	 62.83   	 -30.52		
-31.74   	-60.73   	 62.71   	 -30.52		
-29.91   	-63.48   	 62.58   	 -30.52		
-28.69   	-62.56   	 62.46   	 -25.43		
-27.47   	-55.24   	 62.36   	 -30.52		
-25.02   	-41.20   	 62.24   	 -30.52		
-19.23   	-23.80   	 62.12   	 -25.43		
-10.68   	 -6.71   	 62.01   	 -30.52		
 -0.92   	  7.32   	 61.89   	 -30.52		
