  I     	  II     	  PW     	  PW'		
-118.71   	-59.20   	 11.25   	  25.43		
-93.08   	-26.55   	 11.35   	  15.26		
-75.07   	-11.90   	 11.41   	   5.09		
-64.39   	-18.92   	 11.43   	 -10.17		
-58.90   	-36.62   	 11.39   	 -15.26		
-56.46   	-49.13   	 11.33   	 -20.35		
-55.54   	-49.74   	 11.25   	 -30.52		
-54.93   	-40.59   	 11.13   	 -25.43		
-54.63   	-31.43   	 11.03   	 -30.52		
-53.41   	-28.08   	 10.91   	 -30.52		
-51.57   	-31.13   	 10.78   	 -20.35		
-49.13   	-37.54   	 10.70   	 -10.17		
-47.30   	-42.42   	 10.66   	  -5.09		
-45.78   	-43.64   	 10.64   	   5.09		
-45.47   	-42.42   	 10.66   	  10.17		
-46.08   	-41.20   	 10.70   	  15.26		
-46.69   	-40.89   	 10.76   	  15.26		
-46.39   	-40.89   	 10.82   	  15.26		
-45.47   	-41.20   	 10.89   	  15.26		
-44.86   	-41.81   	 10.95   	   5.09		
-45.17   	-42.42   	 10.97   	  -5.09		
-46.39   	-42.72   	 10.95   	 -10.17		
-46.69   	-42.11   	 10.91   	 -15.26		
-46.08   	-40.28   	 10.84   	 -25.43		
-45.47   	-39.06   	 10.74   	 -30.52		
-45.47   	-39.67   	 10.62   	 -30.52		
-46.08   	-41.81   	 10.50   	 -30.52		
-46.08   	-43.95   	 10.38   	 -30.52		
-45.17   	-43.95   	 10.25   	 -30.52		
-43.95   	-41.81   	 10.13   	 -25.43		
-43.95   	-39.37   	 10.03   	 -25.43		
-45.78   	-38.76   	  9.93   	 -30.52		
-47.61   	-39.98   	  9.81   	 -30.52		
-48.22   	-42.42   	  9.68   	 -35.61		
-46.08   	-44.56   	  9.54   	 -35.61		
-42.42   	-44.56   	  9.40   	 -45.78		
-39.06   	-40.89   	  9.22   	 -45.78		
-37.23   	-34.48   	  9.03   	 -50.86		
-37.23   	-27.16   	  8.83   	 -45.78		
-39.06   	-22.28   	  8.65   	 -50.86		
-41.50   	-21.67   	  8.44   	 -40.69		
-43.64   	-24.72   	  8.28   	 -40.69		
-43.95   	-29.30   	  8.12   	 -30.52		
-42.42   	-32.65   	  8.00   	 -25.43		
-39.67   	-31.74   	  7.89   	 -15.26		
-36.93   	-25.63   	  7.83   	 -15.26		
-35.40   	-15.56   	  7.77   	  -5.09		
-35.10   	 -5.19   	  7.75   	  -5.09		
-35.71   	  0.92   	  7.73   	  -5.09		
-36.93   	  1.22   	  7.71   	 -10.17		
-37.84   	 -2.14   	  7.67   	  -5.09		
-39.06   	 -3.05   	  7.65   	 -15.26		
-39.98   	  2.14   	  7.59   	 -10.17		
-39.37   	 14.04   	  7.55   	 -20.35		
-36.62   	 28.99   	  7.47   	 -20.35		
-31.13   	 42.72   	  7.39   	 -15.26		
-25.02   	 53.41   	  7.32   	 -20.35		
-20.14   	 61.34   	  7.24   	 -20.35		
-17.09   	 67.75   	  7.16   	 -15.26		
-14.04   	 74.77   	  7.10   	 -15.26		
-10.07   	 83.01   	  7.04   	 -10.17		
 -4.88   	 93.38   	  7.00   	 -10.17		
 -0.31   	104.68   	  6.96   	 -10.17		
  2.44   	114.75   	  6.92   	  -5.09		
  3.66   	121.77   	  6.90   	 -10.17		
  5.80   	124.51   	  6.86   	  -5.09		
  9.77   	123.90   	  6.84   	  -5.09		
 15.26   	121.77   	  6.82   	 -10.17		
 20.75   	119.93   	  6.78   	  -5.09		
 25.33   	120.24   	  6.75   	  -5.09		
 28.99   	122.99   	  6.73   	  -5.09		
 31.74   	126.95   	  6.71   	  -5.09		
 33.57   	130.31   	  6.69   	  -5.09		
 34.79   	130.92   	  6.67   	   0.00		
 35.71   	128.17   	  6.67   	  -5.09		
 36.62   	123.60   	  6.65   	   0.00		
 37.54   	117.80   	  6.65   	   0.00		
 37.54   	112.30   	  6.65   	  -5.09		
 35.40   	106.20   	  6.63   	   0.00		
 31.74   	 98.88   	  6.63   	  -5.09		
 27.77   	 90.64   	  6.61   	   0.00		
 24.72   	 81.79   	  6.61   	 -10.17		
 22.58   	 73.24   	  6.57   	  -5.09		
 21.06   	 65.31   	  6.55   	  -5.09		
 19.84   	 57.98   	  6.53   	 -10.17		
 17.40   	 50.66   	  6.49   	 -10.17		
 13.73   	 43.03   	  6.45   	 -10.17		
  9.77   	 36.01   	  6.41   	  -5.09		
  7.63   	 32.65   	  6.39   	  -5.09		
  8.85   	 34.48   	  6.37   	  -5.09		
 12.51   	 40.59   	  6.35   	  -5.09		
 15.26   	 46.39   	  6.33   	   0.00		
 14.34   	 45.17   	  6.33   	   0.00		
 10.07   	 34.79   	  6.33   	   5.09		
  4.58   	 19.53   	  6.35   	  10.17		
  0.92   	  6.10   	  6.39   	   5.09		
  0.00   	  0.00   	  6.41   	   5.09		
