  I     	  II     	  LV     	  LV'		  RA     	  RA'		
-23.50   	  1.53   	 10.64   	-254.32		  7.02   	 -20.35		
-24.41   	  2.44   	  9.62   	-223.80		  6.94   	 -25.43		
-27.16   	  2.14   	  8.73   	-183.11		  6.84   	 -25.43		
-31.13   	  1.53   	  8.00   	-147.51		  6.73   	 -30.52		
-35.40   	  0.92   	  7.41   	-101.73		  6.61   	 -30.52		
-37.54   	  1.83   	  7.00   	 -66.12		  6.49   	 -35.61		
-35.10   	  3.66   	  6.73   	 -40.69		  6.35   	 -30.52		
-27.47   	  5.19   	  6.57   	 -25.43		  6.23   	 -35.61		
-18.31   	  5.80   	  6.47   	 -10.17		  6.08   	 -40.69		
-13.73   	  6.41   	  6.43   	  -5.09		  5.92   	 -35.61		
-18.31   	  7.02   	  6.41   	 -15.26		  5.78   	 -35.61		
-31.43   	  7.02   	  6.35   	 -15.26		  5.64   	 -35.61		
-46.08   	  6.10   	  6.29   	 -25.43		  5.49   	 -30.52		
-54.32   	  4.27   	  6.19   	 -30.52		  5.37   	 -25.43		
-51.27   	  2.75   	  6.06   	 -30.52		  5.27   	 -20.35		
-40.59   	  3.05   	  5.94   	 -25.43		  5.19   	 -15.26		
-30.82   	  4.27   	  5.84   	 -25.43		  5.13   	  -5.09		
-28.08   	  4.58   	  5.74   	 -15.26		  5.11   	  -5.09		
-32.35   	  3.97   	  5.68   	  -5.09		  5.09   	   0.00		
-38.76   	  2.75   	  5.66   	   5.09		  5.09   	   5.09		
-42.11   	  3.66   	  5.68   	  10.17		  5.11   	   5.09		
-40.28   	  7.02   	  5.72   	  10.17		  5.13   	  10.17		
-36.32   	 10.38   	  5.76   	  15.26		  5.17   	  15.26		
-33.57   	 11.90   	  5.82   	  15.26		  5.23   	  20.35		
-34.48   	 10.38   	  5.88   	  10.17		  5.31   	  20.35		
-39.06   	  6.71   	  5.92   	   0.00		  5.39   	  20.35		
-43.95   	  3.66   	  5.92   	  -5.09		  5.47   	  25.43		
-47.30   	  2.44   	  5.90   	 -10.17		  5.57   	  20.35		
-48.22   	  3.66   	  5.86   	 -15.26		  5.66   	  15.26		
-46.39   	  6.41   	  5.80   	 -15.26		  5.72   	  15.26		
-43.33   	 10.07   	  5.74   	 -20.35		  5.78   	   5.09		
-39.67   	 15.56   	  5.66   	 -20.35		  5.80   	   5.09		
-35.10   	 24.11   	  5.57   	 -10.17		  5.82   	  -5.09		
-28.99   	 37.54   	  5.53   	 -10.17		  5.80   	 -10.17		
-22.58   	 54.32   	  5.49   	  -5.09		  5.76   	 -10.17		
-17.40   	 71.11   	  5.47   	   5.09		  5.72   	 -10.17		
-15.26   	 82.40   	  5.49   	   5.09		  5.68   	 -10.17		
-16.17   	 84.84   	  5.51   	  10.17		  5.64   	  -5.09		
-20.14   	 79.65   	  5.55   	   5.09		  5.62   	 -10.17		
-25.02   	 72.02   	  5.57   	   5.09		  5.57   	 -10.17		
-29.30   	 68.36   	  5.60   	   0.00		  5.53   	  -5.09		
-31.43   	 72.63   	  5.60   	  -5.09		  5.51   	   0.00		
-29.60   	 82.70   	  5.57   	  -5.09		  5.51   	  -5.09		
-24.11   	 93.38   	  5.55   	 -10.17		  5.49   	   0.00		
-16.17   	 98.88   	  5.51   	 -15.26		  5.49   	   0.00		
 -7.93   	 97.05   	  5.45   	 -10.17		  5.49   	   5.09		
 -3.05   	 88.81   	  5.41   	 -15.26		  5.51   	   0.00		
 -3.66   	 77.21   	  5.35   	 -10.17		  5.51   	   0.00		
 -8.24   	 63.78   	  5.31   	 -10.17		  5.51   	   0.00		
-13.73   	 48.52   	  5.27   	 -10.17		  5.51   	  -5.09		
-17.70   	 31.74   	  5.23   	  -5.09		  5.49   	 -10.17		
-18.01   	 16.17   	  5.21   	  -5.09		  5.45   	  -5.09		
-14.34   	  7.32   	  5.19   	  -5.09		  5.43   	 -10.17		
 -7.32   	  9.77   	  5.17   	  -5.09		  5.39   	  -5.09		
  2.44   	 22.58   	  5.15   	   5.09		  5.37   	  -5.09		
 12.82   	 40.28   	  5.17   	   5.09		  5.35   	   0.00		
 21.36   	 54.02   	  5.19   	  10.17		  5.35   	   5.09		
 24.72   	 57.98   	  5.23   	  15.26		  5.37   	  15.26		
 20.14   	 50.96   	  5.29   	  15.26		  5.43   	  20.35		
  7.93   	 35.40   	  5.35   	  20.35		  5.51   	  20.35		
-10.38   	 16.48   	  5.43   	  25.43		  5.60   	  30.52		
-31.13   	 -2.44   	  5.53   	  20.35		  5.72   	  35.61		
-50.66   	-18.31   	  5.62   	  25.43		  5.86   	  40.69		
-65.31   	-29.60   	  5.72   	  25.43		  6.02   	  40.69		
-72.02   	-35.71   	  5.82   	  20.35		  6.19   	  40.69		
-70.50   	-37.23   	  5.90   	  30.52		  6.35   	  40.69		
-64.09   	-36.01   	  6.02   	  25.43		  6.51   	  40.69		
-57.37   	-33.87   	  6.12   	  35.61		  6.67   	  35.61		
-53.41   	-34.18   	  6.27   	  45.78		  6.82   	  35.61		
-54.02   	-37.54   	  6.45   	  50.86		  6.96   	  30.52		
-57.98   	-42.42   	  6.65   	  55.95		  7.08   	  25.43		
-63.17   	-45.47   	  6.88   	  61.04		  7.18   	  25.43		
-68.05   	-45.78   	  7.12   	  66.12		  7.28   	  20.35		
-72.33   	-44.25   	  7.39   	  55.95		  7.37   	  10.17		
-74.46   	-43.64   	  7.61   	  50.86		  7.41   	   5.09		
-73.85   	-44.86   	  7.81   	  40.69		  7.43(A)	 -15.26		
-71.41   	-47.30   	  7.98   	  20.35		  7.37   	 -20.35		
-68.66   	-49.13   	  8.06   	  10.17		  7.28   	 -35.61		
-65.61   	-49.44   	  8.10   	  -5.09		  7.14   	 -45.78		
