  I     	  II     	  LV     	  LV'		  PW     	  PW'		
 14.65   	-55.85   	  7.41   	  -5.09		 10.74   	 -30.52		
 14.65   	-55.54   	  7.39   	 -10.17		 10.62   	 -30.52		
 14.95   	-55.85   	  7.34   	  -5.09		 10.50   	 -30.52		
 14.95   	-56.76   	  7.32   	   5.09		 10.38   	 -25.43		
 14.04   	-57.98   	  7.34   	   5.09		 10.27   	 -20.35		
 12.82   	-59.20   	  7.37   	  10.17		 10.19   	 -25.43		
 11.90   	-59.81   	  7.41   	  15.26		 10.09   	 -25.43		
 12.21   	-58.90   	  7.47   	  15.26		  9.99   	 -20.35		
 13.73   	-56.46   	  7.53   	  20.35		  9.91   	 -25.43		
 14.95   	-54.02   	  7.61   	  15.26		  9.81   	 -20.35		
 16.17   	-52.49   	  7.67   	  20.35		  9.73   	 -20.35		
 16.78   	-52.80   	  7.75   	  15.26		  9.64   	 -25.43		
 16.78   	-55.24   	  7.81   	  10.17		  9.54   	 -20.35		
 16.48   	-57.68   	  7.85   	   5.09		  9.46   	 -25.43		
 15.87   	-57.68   	  7.87   	   5.09		  9.36   	 -20.35		
 15.56   	-54.02   	  7.89   	   0.00		  9.28   	 -15.26		
 15.56   	-45.78   	  7.89   	   5.09		  9.22   	 -20.35		
 17.09   	-32.35   	  7.91   	   0.00		  9.14   	 -15.26		
 20.45   	-16.17   	  7.91   	   5.09		  9.07   	 -15.26		
 25.33   	  0.61   	  7.93   	  10.17		  9.01   	 -10.17		
 30.82   	 14.34   	  7.98   	  10.17		  8.97   	 -15.26		
 35.71   	 22.28   	  8.02   	  15.26		  8.91   	 -10.17		
 39.37   	 22.89   	  8.08   	  15.26		  8.87   	 -15.26		
 42.11   	 18.31   	  8.14   	  20.35		  8.81   	 -10.17		
 44.86   	 13.73   	  8.22   	  15.26		  8.77   	 -15.26		
 49.13   	 13.73   	  8.28   	  15.26		  8.71   	 -10.17		
 55.85   	 24.11   	  8.34   	  20.35		  8.67   	 -15.26		
 66.83   	 45.47   	  8.42   	  15.26		  8.61   	 -15.26		
 81.18   	 74.77   	  8.48   	  15.26		  8.55   	 -15.26		
