  I     	  II     	  LVp     	  LVp'		
-96.74   	-81.48   	 10.95   	   0.00		
-104.06   	-95.21   	 10.95   	   5.09		
-98.88   	-100.71   	 10.97   	   0.00		
-82.09   	-94.30   	 10.97   	   0.00		
-61.04   	-79.35   	 10.97   	   0.00		
-45.47   	-63.48   	 10.97   	  -5.09		
-40.59   	-54.32   	 10.95   	   5.09		
-42.72   	-53.10   	 10.97   	   0.00		
-47.91   	-58.90   	 10.97   	   0.00		
-54.63   	-68.97   	 10.97   	   0.00		
-65.00   	-79.96   	 10.97   	   5.09		
-77.82   	-88.81   	 10.99   	   0.00		
-88.50   	-92.77   	 10.99   	   0.00		
-90.03   	-90.64   	 10.99   	   0.00		
-80.87   	-83.92   	 10.99   	   0.00		
-67.44   	-75.99   	 10.99   	   0.00		
-58.29   	-70.19   	 10.99   	   0.00		
-58.29   	-66.22   	 10.99   	   0.00		
-65.61   	-64.09   	 10.99   	   0.00		
-72.02   	-63.17   	 10.99   	   0.00		
-69.58   	-62.26   	 10.99   	   0.00		
-57.98   	-61.34   	 10.99   	   0.00		
-42.11   	-59.81   	 10.99   	   0.00		
-29.30   	-57.68   	 10.99   	   0.00		
-26.86   	-55.85   	 10.99   	   0.00		
-35.10   	-55.85   	 10.99   	   0.00		
-47.00   	-56.76   	 10.99   	   0.00		
-55.24   	-56.15   	 10.99   	   0.00		
-56.46   	-53.10   	 10.99   	   5.09		
-53.41   	-47.61   	 11.01   	   0.00		
-52.49   	-42.11   	 11.01   	  -5.09		
-56.15   	-38.15   	 10.99   	   0.00		
-62.26   	-35.10   	 10.99   	   5.09		
-64.70   	-32.04   	 11.01   	   0.00		
-60.42   	-28.38   	 11.01   	  -5.09		
-50.35   	-24.41   	 10.99   	   0.00		
-41.81   	-21.06   	 10.99   	   0.00		
-40.89   	-18.62   	 10.99   	   0.00		
-49.74   	-17.09   	 10.99   	   0.00		
-65.31   	-16.78   	 10.99   	   0.00		
-79.04   	-15.56   	 10.99   	  -5.09		
-81.79   	-10.38   	 10.97   	   5.09		
-69.27   	  1.53   	 10.99   	   0.00		
-48.83   	 17.70   	 10.99   	  -5.09		
-32.04   	 32.35   	 10.97   	   0.00		
-28.38   	 40.28   	 10.97   	   0.00		
-37.84   	 41.81   	 10.97   	   0.00		
-49.74   	 41.81   	 10.97   	   0.00		
-52.80   	 46.69   	 10.97   	   0.00		
-44.86   	 56.76   	 10.97   	   0.00		
-32.65   	 68.66   	 10.97   	   0.00		
-23.19   	 77.21   	 10.97   	   0.00		
-20.45   	 81.48   	 10.97   	   5.09		
-22.89   	 83.92   	 10.99   	   0.00		
-27.16   	 87.89   	 10.99   	   0.00		
-31.74   	 93.08   	 10.99   	   0.00		
-36.32   	 96.74   	 10.99   	   0.00		
-38.76   	 96.74   	 10.99   	   5.09		
-36.62   	 94.60   	 11.01   	   0.00		
-28.38   	 93.38   	 11.01   	   0.00		
-17.09   	 93.99   	 11.01   	   0.00		
 -7.32   	 93.99   	 11.01   	   0.00		
  0.31   	 91.25   	 11.01   	   0.00		
  7.93   	 86.06   	 11.01   	   0.00		
 17.40   	 79.65   	 11.01   	   0.00		
 27.16   	 72.94   	 11.01   	   0.00		
 32.65   	 62.26   	 11.01   	   0.00		
 30.82   	 45.47   	 11.01   	  -5.09		
