  I     	  II     	  LV     	  LV'		
-14.34   	-111.08   	105.43   	 666.32		
-16.78   	-112.30   	108.10   	 645.98		
-16.78   	-113.83   	110.68   	 630.72		
-14.34   	-116.27   	113.20   	 605.29		
-10.68   	-118.71   	115.63   	 584.94		
 -8.54   	-120.85   	117.96   	 574.77		
 -7.93   	-120.85   	120.26   	 549.34		
 -8.24   	-117.80   	122.46   	 539.16		
 -7.63   	-112.00   	124.62   	 518.82		
 -5.19   	-105.59   	126.69   	 498.47		
 -2.44   	-101.93   	128.69   	 483.21		
 -1.53   	-103.45   	130.62   	 462.87		
 -3.97   	-109.56   	132.47   	 442.52		
 -8.24   	-115.66   	134.24   	 422.18		
-11.90   	-118.41   	135.93   	 401.83		
-12.82   	-115.97   	137.54   	 381.48		
-11.29   	-109.56   	139.06   	 356.05		
 -8.54   	-102.23   	140.49   	 340.79		
 -7.63   	-95.21   	141.85   	 325.53		
 -8.85   	-88.81   	143.15   	 310.27		
-11.29   	-83.62   	144.39   	 289.93		
-13.73   	-79.65   	145.55   	 274.67		
-14.95   	-78.43   	146.65   	 259.41		
-15.56   	-79.96   	147.69   	 239.06		
-16.48   	-83.62   	148.65   	 223.80		
-18.01   	-85.75   	149.54   	 203.46		
-19.84   	-83.62   	150.36   	 183.11		
-20.75   	-77.21   	151.09   	 162.77		
-21.67   	-68.97   	151.74   	 142.42		
-22.58   	-63.78   	152.31   	 122.07		
-23.80   	-63.78   	152.80   	 101.73		
-24.11   	-67.44   	153.20   	  76.30		
-23.50   	-68.97   	153.51   	  61.04		
-21.97   	-65.00   	153.75   	  30.52		
-21.06   	-55.85   	153.88   	   5.09		
-21.06   	-46.69   	153.90   	 -15.26		
-20.45   	-41.20   	153.83   	 -50.86		
-17.09   	-40.28   	153.63   	 -71.21		
-10.68   	-41.20   	153.35   	-106.82		
 -2.75   	-39.67   	152.92   	-132.25		
  4.27   	-35.71   	152.39   	-162.77		
  7.32   	-31.13   	151.74   	-198.37		
  6.10   	-28.99   	150.95   	-223.80		
  2.14   	-29.91   	150.05   	-259.41		
 -1.83   	-31.74   	149.01   	-295.01		
 -3.66   	-31.74   	147.83   	-335.71		
 -2.75   	-29.30   	146.49   	-366.22		
 -1.22   	-26.25   	145.02   	-406.92		
 -0.31   	-25.33   	143.40   	-442.52		
 -0.61   	-27.16   	141.63   	-478.13		
 -0.92   	-30.52   	139.71   	-513.73		
 -0.61   	-32.96   	137.66   	-549.34		
  0.92   	-33.26   	135.46   	-579.86		
  3.66   	-32.35   	133.14   	-620.55		
  5.49   	-32.35   	130.66   	-645.98		
  6.10   	-33.26   	128.08   	-671.41		
  4.27   	-34.79   	125.39   	-707.02		
  1.53   	-35.71   	122.56   	-732.45		
 -0.31   	-35.40   	119.63   	-762.97		
  0.00   	-34.18   	116.58   	-798.57		
  1.53   	-33.26   	113.39   	-834.18		
  3.36   	-33.26   	110.05   	-869.78		
  3.66   	-35.71   	106.57   	-900.30		
  2.75   	-39.98   	102.97   	-930.82		
  1.53   	-46.39   	 99.25   	-956.25		
  0.92   	-52.19   	 95.42   	-966.43		
  1.22   	-54.63   	 91.56   	-971.51		
  2.14   	-53.10   	 87.67   	-971.51		
  2.75   	-49.44   	 83.78   	-956.25		
  3.36   	-47.91   	 79.96   	-951.17		
  3.66   	-50.35   	 76.15   	-925.73		
  4.27   	-55.85   	 72.45   	-910.47		
  5.49   	-60.42   	 68.81   	-885.04		
  6.41   	-61.04   	 65.27   	-864.70		
  7.02   	-58.90   	 61.81   	-839.26		
  6.41   	-57.37   	 58.45   	-818.92		
  5.19   	-60.12   	 55.18   	-788.40		
  3.66   	-67.44   	 52.02   	-757.88		
  2.75   	-75.07   	 48.99   	-732.45		
  2.44   	-78.43   	 46.06   	-691.76		
  3.36   	-75.99   	 43.30   	-651.07		
  3.97   	-71.72   	 40.69   	-615.46		
  3.97   	-69.89   	 38.23   	-569.68		
  2.44   	-72.02   	 35.95   	-534.08		
  0.31   	-76.29   	 33.81   	-483.21		
 -0.61   	-77.82   	 31.88   	-447.61		
 -0.31   	-75.99   	 30.09   	-406.92		
  1.53   	-72.33   	 28.46   	-371.31		
  3.05   	-69.89   	 26.98   	-330.62		
  3.36   	-70.50   	 25.66   	-295.01		
  2.75   	-72.94   	 24.48   	-264.50		
  2.44   	-75.07   	 23.42   	-233.98		
  3.97   	-74.16   	 22.48   	-198.37		
  7.02   	-70.80   	 21.69   	-167.85		
  9.46   	-66.53   	 21.02   	-147.51		
  9.77   	-63.48   	 20.43   	-111.90		
  7.02   	-63.78   	 19.98   	 -91.56		
  3.66   	-66.83   	 19.61   	 -71.21		
  1.53   	-70.50   	 19.33   	 -50.86		
  2.14   	-72.33   	 19.13   	 -35.61		
  3.66   	-71.41   	 18.98   	 -25.43		
  3.97   	-69.27   	 18.88   	 -10.17		
  1.53   	-68.05   	 18.84   	  -5.09		
 -1.53   	-69.58   	 18.82   	   0.00		
 -2.14   	-72.94   	 18.82   	   0.00		
  1.22   	-75.99   	 18.82   	   5.09		
  7.32   	-76.60   	 18.84   	   5.09		
 12.21   	-74.46   	 18.86   	   5.09		
 12.21   	-71.41   	 18.88   	   5.09		
  7.02   	-70.19   	 18.90   	  10.17		
 -0.31   	-72.63   	 18.94   	  15.26		
 -5.19   	-77.21   	 19.00   	  15.26		
 -5.49   	-81.79   	 19.06   	  20.35		
 -1.53   	-83.01   	 19.15   	  25.43		
  2.75   	-79.65   	 19.25   	  20.35		
  5.49   	-72.94   	 19.33   	  20.35		
  5.49   	-65.31   	 19.41   	  20.35		
  4.88   	-59.51   	 19.49   	  20.35		
  4.88   	-57.68   	 19.57   	  10.17		
  6.41   	-60.73   	 19.61   	  15.26		
  7.63   	-67.14   	 19.67   	   5.09		
  8.24   	-73.24   	 19.69   	  10.17		
  7.02   	-75.99   	 19.74   	   0.00		
  4.27   	-74.77   	 19.74   	   5.09		
  1.83   	-70.80   	 19.76   	   5.09		
  0.61   	-66.22   	 19.78   	   0.00		
  0.92   	-63.78   	 19.78   	  -5.09		
  2.44   	-63.17   	 19.76   	   0.00		
  4.27   	-63.17   	 19.76   	  -5.09		
  4.88   	-63.78   	 19.74   	  -5.09		
  4.88   	-63.78   	 19.72   	 -10.17		
  4.88   	-62.56   	 19.67   	 -15.26		
  6.10   	-59.20   	 19.61   	 -15.26		
  8.24   	-53.41   	 19.55   	 -15.26		
 10.07   	-47.00   	 19.49   	 -15.26		
 10.99   	-41.20   	 19.43   	 -20.35		
 10.68   	-37.23   	 19.35   	 -20.35		
 10.68   	-34.48   	 19.27   	 -20.35		
 13.43   	-30.82   	 19.19   	 -15.26		
 18.92   	-24.41   	 19.13   	 -20.35		
 25.02   	-15.26   	 19.04   	 -15.26		
 27.77   	 -6.71   	 18.98   	 -15.26		
 24.72   	 -3.05   	 18.92   	 -10.17		
 16.78   	 -5.80   	 18.88   	 -15.26		
  8.85   	-12.51   	 18.82   	 -10.17		
  7.02   	-17.09   	 18.78   	 -15.26		
 12.82   	-14.95   	 18.72   	  -5.09		
 23.19   	 -6.71   	 18.70   	 -10.17		
