  I     	  II     	  PW     	  PW'		
 70.50   	-27.47   	  6.35   	 -10.17		
 69.89   	-30.21   	  6.31   	 -15.26		
 67.14   	-33.87   	  6.25   	 -15.26		
 61.95   	-39.67   	  6.19   	 -15.26		
 56.46   	-46.69   	  6.12   	 -15.26		
 52.80   	-53.41   	  6.06   	 -10.17		
 51.88   	-58.59   	  6.02   	 -10.17		
 52.49   	-61.34   	  5.98   	   0.00		
 52.49   	-61.95   	  5.98   	   0.00		
 50.05   	-62.26   	  5.98   	   5.09		
 43.95   	-63.48   	  6.00   	  10.17		
 35.10   	-65.92   	  6.04   	  15.26		
 25.02   	-69.58   	  6.10   	  20.35		
 14.95   	-73.55   	  6.19   	  15.26		
  7.02   	-77.82   	  6.25   	  20.35		
  1.22   	-82.09   	  6.33   	  15.26		
 -2.75   	-86.98   	  6.39   	  20.35		
 -6.10   	-91.86   	  6.47   	  15.26		
-10.38   	-96.13   	  6.53   	  15.26		
-15.87   	-99.79   	  6.59   	  10.17		
-22.58   	-102.54   	  6.63   	  10.17		
-28.69   	-104.37   	  6.67   	  10.17		
-33.26   	-105.29   	  6.71   	   5.09		
-34.48   	-105.29   	  6.73   	   5.09		
-33.26   	-104.98   	  6.75   	   0.00		
-31.13   	-104.98   	  6.75   	   5.09		
-30.21   	-105.90   	  6.78   	   0.00		
-32.96   	-108.03   	  6.78   	   0.00		
-39.67   	-110.78   	  6.78   	   5.09		
-47.61   	-112.30   	  6.80   	   5.09		
-54.02   	-110.47   	  6.82   	  10.17		
-54.93   	-105.59   	  6.86   	  15.26		
-50.05   	-100.10   	  6.92   	  15.26		
-41.81   	-95.52   	  6.98   	  20.35		
-34.79   	-93.08   	  7.06   	  25.43		
-32.65   	-91.25   	  7.16   	  25.43		
-36.01   	-88.50   	  7.26   	  20.35		
-41.81   	-83.62   	  7.34   	  20.35		
-44.86   	-77.51   	  7.43   	  10.17		
-42.42   	-71.72   	  7.47   	   5.09		
-36.01   	-67.75   	  7.49   	 -10.17		
-30.21   	-65.61   	  7.45   	 -20.35		
-29.60   	-64.39   	  7.37   	 -20.35		
-35.40   	-63.48   	  7.28   	 -20.35		
-42.72   	-62.56   	  7.20   	 -10.17		
-45.47   	-61.34   	  7.16   	   0.00		
-41.81   	-60.12   	  7.16   	  20.35		
-34.48   	-58.90   	  7.24   	  35.61		
-28.38   	-57.07   	  7.39   	  55.95		
-26.55   	-54.93   	  7.61   	  66.12		
-27.16   	-53.10   	  7.87   	  76.30		
-27.16   	-52.49   	  8.18   	  71.21		
-25.33   	-53.41   	  8.46   	  66.12		
-22.89   	-55.85   	  8.73   	  55.95		
-21.36   	-58.29   	  8.95   	  45.78		
-22.58   	-60.42   	  9.14   	  35.61		
-25.94   	-61.04   	  9.28   	  25.43		
-29.60   	-61.04   	  9.38   	  15.26		
-31.74   	-61.34   	  9.44   	   5.09		
-30.82   	-61.95   	  9.46   	   0.00		
-27.16   	-63.78   	  9.46   	  -5.09		
-22.58   	-66.83   	  9.44   	 -15.26		
-18.92   	-70.80   	  9.38   	 -10.17		
-17.70   	-75.07   	  9.34   	 -15.26		
-18.62   	-78.74   	  9.28   	 -15.26		
-20.75   	-80.87   	  9.22   	 -10.17		
-23.50   	-81.48   	  9.18   	 -10.17		
-26.86   	-81.79   	  9.14   	 -10.17		
-30.52   	-83.31   	  9.09   	  -5.09		
-32.65   	-86.36   	  9.07   	   0.00		
-31.74   	-89.72   	  9.07   	   0.00		
-28.99   	-92.47   	  9.07   	   5.09		
-26.25   	-93.38   	  9.09   	   5.09		
-25.63   	-93.69   	  9.11   	  10.17		
-28.08   	-95.21   	  9.16   	  10.17		
-31.13   	-98.27   	  9.20   	  10.17		
-32.65   	-102.23   	  9.24   	  10.17		
-31.13   	-105.59   	  9.28   	  15.26		
-28.69   	-107.42   	  9.34   	  10.17		
-27.77   	-107.12   	  9.38   	  10.17		
-29.30   	-105.90   	  9.42   	  10.17		
-32.35   	-104.37   	  9.46   	  10.17		
-33.87   	-102.23   	  9.50   	   5.09		
-32.35   	-100.40   	  9.52   	   5.09		
-27.77   	-99.18   	  9.54   	   5.09		
-21.97   	-99.18   	  9.56   	   5.09		
-18.31   	-100.40   	  9.58   	   0.00		
-19.53   	-101.01   	  9.58   	   5.09		
-25.63   	-101.32   	  9.60   	   0.00		
-33.57   	-101.32   	  9.60   	   0.00		
-38.45   	-101.62   	  9.60   	   5.09		
-37.23   	-102.84   	  9.62   	   5.09		
-31.13   	-104.06   	  9.64   	   5.09		
-23.80   	-104.06   	  9.66   	   5.09		
-20.75   	-102.23   	  9.68   	   5.09		
-22.58   	-100.10   	  9.70   	  10.17		
-27.16   	-98.57   	  9.75   	   5.09		
-30.52   	-97.96   	  9.77   	   0.00		
-31.13   	-98.27   	  9.77   	   0.00		
-29.91   	-97.96   	  9.77   	   0.00		
-28.69   	-97.66   	  9.77   	 -10.17		
-28.69   	-97.66   	  9.73   	  -5.09		
-28.99   	-97.96   	  9.70   	 -15.26		
-29.60   	-98.27   	  9.64   	 -10.17		
-30.21   	-97.66   	  9.60   	  -5.09		
-31.13   	-96.44   	  9.58   	 -10.17		
-31.13   	-94.91   	  9.54   	 -10.17		
-30.52   	-94.30   	  9.50   	   0.00		
-29.60   	-94.60   	  9.50   	  -5.09		
-28.69   	-94.91   	  9.48   	  -5.09		
-27.77   	-94.30   	  9.46   	   0.00		
-26.55   	-92.47   	  9.46   	   0.00		
-25.02   	-88.81   	  9.46   	  -5.09		
-24.72   	-82.09   	  9.44   	  -5.09		
-25.63   	-71.41   	  9.42   	  -5.09		
-26.25   	-57.68   	  9.40   	  -5.09		
-24.41   	-43.03   	  9.38   	 -10.17		
-19.84   	-31.13   	  9.34   	  -5.09		
-15.26   	-24.72   	  9.32   	  -5.09		
-13.73   	-24.11   	  9.30   	   0.00		
-14.95   	-26.25   	  9.30   	   0.00		
-15.87   	-27.47   	  9.30   	   5.09		
