  I     	  II     	  LV     	  LV'		  AO     	  AO'		
 -9.16   	-134.89   	 74.51   	 213.63		 62.48   	  20.35		
 -7.63   	-139.16   	 75.36   	 188.20		 62.56   	  35.61		
 -6.41   	-147.09   	 76.11   	 172.94		 62.71   	  61.04		
 -4.58   	-156.25   	 76.81   	 157.68		 62.95   	  81.38		
 -1.83   	-164.49   	 77.44   	 137.33		 63.28   	 101.73		
  1.53   	-170.59   	 77.99   	 132.25		 63.68   	 127.16		
  5.19   	-173.03   	 78.51   	 111.90		 64.19   	 152.59		
  9.16   	-170.90   	 78.96   	 106.82		 64.80   	 167.85		
 14.04   	-164.49   	 79.39   	  96.64		 65.47   	 188.20		
 20.14   	-155.94   	 79.78   	  91.56		 66.23   	 208.54		
 27.77   	-147.71   	 80.14   	  76.30		 67.06   	 223.80		
 35.71   	-142.21   	 80.45   	  71.21		 67.95   	 239.06		
 42.42   	-139.16   	 80.73   	  71.21		 68.91   	 249.24		
 47.00   	-136.72   	 81.02   	  61.04		 69.91   	 259.41		
 49.74   	-132.75   	 81.26   	  61.04		 70.95   	 269.58		
 51.88   	-126.95   	 81.51   	  66.12		 72.02   	 274.67		
 55.85   	-119.93   	 81.77   	  61.04		 73.12   	 284.84		
 62.56   	-114.14   	 82.01   	  61.04		 74.26   	 289.93		
 71.41   	-108.95   	 82.26   	  61.04		 75.42   	 289.93		
 79.65   	-103.15   	 82.50   	  61.04		 76.58   	 295.01		
 84.84   	-94.30   	 82.75   	  55.95		 77.76   	 289.93		
 85.14   	-81.48   	 82.97   	  61.04		 78.92   	 295.01		
 81.18   	-66.22   	 83.21   	  50.86		 80.10   	 284.84		
 75.07   	-49.74   	 83.42   	  50.86		 81.24   	 284.84		
 68.66   	-32.96   	 83.62   	  50.86		 82.38   	 274.67		
 63.48   	-16.17   	 83.82   	  50.86		 83.48   	 269.58		
 58.90   	 -0.92   	 84.03   	  45.78		 84.56   	 259.41		
 53.10   	  9.16   	 84.21   	  40.69		 85.59   	 254.32		
 45.17   	  9.77   	 84.37   	  45.78		 86.61   	 233.98		
 35.10   	  0.61   	 84.56   	  35.61		 87.55   	 228.89		
 25.02   	-14.04   	 84.70   	  35.61		 88.46   	 208.54		
 16.78   	-25.33   	 84.84   	  30.52		 89.30   	 198.37		
 11.60   	-25.94   	 84.96   	  30.52		 90.09   	 183.11		
  8.54   	-15.87   	 85.09   	  20.35		 90.82   	 172.94		
  6.10   	 -0.92   	 85.17   	  15.26		 91.52   	 152.59		
  3.36   	  9.46   	 85.23   	  10.17		 92.13   	 137.33		
  0.92   	  9.46   	 85.27   	   5.09		 92.68   	 122.07		
 -1.22   	 -0.61   	 85.29   	  -5.09		 93.16   	 101.73		
 -3.66   	-15.26   	 85.27   	 -20.35		 93.57   	  91.56		
 -7.02   	-27.16   	 85.19   	 -30.52		 93.94   	  76.30		
-11.29   	-31.13   	 85.07   	 -40.69		 94.24   	  61.04		
-15.56   	-26.25   	 84.90   	 -61.04		 94.49   	  45.78		
-18.31   	-15.56   	 84.66   	 -76.30		 94.67   	  30.52		
-18.31   	 -5.19   	 84.35   	-101.73		 94.79   	  15.26		
-16.17   	 -0.31   	 83.95   	-122.07		 94.85   	   5.09		
-12.21   	 -3.36   	 83.46   	-147.51		 94.87(S)	  -5.09		
 -7.93   	-14.04   	 82.87   	-172.94		 94.85   	 -20.35		
 -4.58   	-29.30   	 82.18   	-203.46		 94.77   	 -30.52		
 -3.66   	-46.39   	 81.36   	-239.06		 94.65   	 -40.69		
 -5.49   	-61.34   	 80.41   	-274.67		 94.49   	 -50.86		
 -7.63   	-68.97   	 79.31   	-315.36		 94.28   	 -61.04		
 -7.93   	-65.61   	 78.05   	-371.31		 94.04   	 -71.21		
 -4.88   	-52.49   	 76.56   	-427.26		 93.75   	 -81.38		
  0.00   	-34.48   	 74.85   	-483.21		 93.43   	 -91.56		
  3.36   	-21.06   	 72.92   	-539.16		 93.06   	-101.73		
  3.66   	-17.40   	 70.76   	-590.03		 92.65   	-111.90		
  1.22   	-23.50   	 68.40   	-625.63		 92.21   	-122.07		
 -1.53   	-33.87   	 65.90   	-661.24		 91.72   	-127.16		
 -3.36   	-41.20   	 63.26   	-671.41		 91.21   	-142.42		
 -3.97   	-40.59   	 60.57   	-681.58		 90.64   	-147.51		
 -3.66   	-32.35   	 57.84   	-676.50		 90.05   	-162.77		
 -3.05   	-19.23   	 55.14   	-671.41		 89.40   	-167.85		
 -2.14   	 -5.80   	 52.45   	-671.41		 88.73   	-178.03		
 -1.53   	  2.75   	 49.77   	-656.15		 88.02   	-188.20		
 -1.83   	  4.88   	 47.14   	-656.15		 87.26   	-188.20		
 -3.36   	  0.31   	 44.52   	-645.98		 86.51   	-193.29		
 -6.10   	 -7.02   	 41.93   	-645.98		 85.74   	-198.37		
 -8.54   	-11.90   	 39.35   	-630.72		 84.94   	-188.20		
-10.07   	-10.68   	 36.83   	-620.55		 84.19   	-193.29		
-10.68   	 -3.36   	 34.34   	-600.20		 83.42   	-183.11		
 -9.77   	  7.02   	 31.94   	-584.94		 82.69   	-178.03		
 -8.54   	 13.43   	 29.60   	-554.42		 81.97   	-167.85		
 -7.63   	 12.51   	 27.39   	-528.99		 81.30   	-162.77		
 -7.63   	  4.58   	 25.27   	-498.47		 80.65   	-152.59		
 -8.24   	 -5.19   	 23.28   	-473.04		 80.04   	-147.51		
 -9.16   	-11.60   	 21.38   	-452.69		 79.45   	-142.42		
 -9.46   	-12.21   	 19.57   	-422.18		 78.88   	-137.33		
 -9.77   	-10.99   	 17.88   	-401.83		 78.33   	-127.16		
-11.29   	-13.12   	 16.28   	-381.48		 77.82   	-127.16		
-14.95   	-19.84   	 14.75   	-356.05		 77.31   	-122.07		
-18.62   	-28.08   	 13.33   	-335.71		 76.83   	-116.99		
-20.75   	-31.43   	 11.98   	-310.27		 76.36   	-111.90		
-19.84   	-26.55   	 10.74   	-279.75		 75.91   	-111.90		
-17.09   	-16.78   	  9.62   	-254.32		 75.46   	-101.73		
-13.73   	 -9.16   	  8.61   	-213.63		 75.06   	-101.73		
-11.60   	 -8.85   	  7.75   	-178.03		 74.65   	 -91.56		
-10.38   	-16.17   	  7.04   	-147.51		 74.28   	 -91.56		
 -8.85   	-26.55   	  6.45   	-106.82		 73.92   	 -81.38		
 -6.41   	-34.18   	  6.02   	 -71.21		 73.59   	 -81.38		
 -3.36   	-36.62   	  5.74   	 -35.61		 73.27   	 -71.21		
 -1.53   	-35.71   	  5.60   	   0.00		 72.98   	 -71.21		
 -0.92   	-33.57   	  5.60   	  25.43		 72.70   	 -66.12		
 -0.61   	-31.74   	  5.70   	  61.04		 72.43   	 -61.04		
  0.61   	-30.52   	  5.94   	  81.38		 72.19   	 -50.86		
  2.44   	-28.69   	  6.27   	  96.64		 71.98   	 -50.86		
  3.05   	-25.63   	  6.65   	 122.07		 71.78   	 -45.78		
  1.22   	-20.14   	  7.14   	 127.16		 71.60   	 -40.69		
 -2.14   	-11.60   	  7.65   	 132.25		 71.43   	 -30.52		
 -4.27   	  0.00   	  8.18   	 142.42		 71.31   	 -25.43		
 -3.36   	 10.68   	  8.75   	 137.33		 71.21   	 -25.43		
 -0.31   	 15.26   	  9.30   	 137.33		 71.11   	 -15.26		
  1.53   	 11.60   	  9.85   	 132.25		 71.05   	 -10.17		
  0.00   	  2.44   	 10.38   	 132.25		 71.01   	  -5.09		
 -3.66   	 -4.88   	 10.91   	 132.25		 70.99   	  -5.09		
 -6.71   	 -4.88   	 11.43   	 122.07		 70.97   	   0.00		
 -7.32   	  3.36   	 11.92   	 127.16		 70.97   	   5.09		
 -7.02   	 14.34   	 12.43   	 116.99		 70.99   	   0.00		
 -7.32   	 21.36   	 12.90   	 116.99		 70.99   	   5.09		
 -8.85   	 20.45   	 13.37   	 111.90		 71.01   	   5.09		
-10.38   	 11.60   	 13.81   	 101.73		 71.03   	   0.00		
-10.38   	 -1.22   	 14.22   	  91.56		 71.03   	   0.00		
 -8.54   	-13.43   	 14.59   	  81.38		 71.03   	   0.00		
 -5.80   	-20.14   	 14.91   	  71.21		 71.03   	  -5.09		
 -4.58   	-21.06   	 15.20   	  55.95		 71.01   	  -5.09		
 -4.88   	-18.01   	 15.42   	  45.78		 70.99   	 -10.17		
 -6.71   	-14.34   	 15.61   	  35.61		 70.95   	 -15.26		
 -8.54   	-13.43   	 15.75   	  30.52		 70.88   	 -15.26		
-10.68   	-16.48   	 15.87   	  15.26		 70.82   	 -20.35		
-12.21   	-23.19   	 15.93   	  15.26		 70.74   	 -25.43		
-13.43   	-32.04   	 15.99   	   5.09		 70.64   	 -25.43		
-14.04   	-41.50   	 16.01   	   5.09		 70.54   	 -30.52		
-14.65   	-49.44   	 16.03   	   0.00		 70.42   	 -35.61		
-15.87   	-54.02   	 16.03   	  -5.09		 70.27   	 -35.61		
-17.70   	-53.71   	 16.01   	 -10.17		 70.13   	 -40.69		
-19.23   	-50.05   	 15.97   	 -15.26		 69.97   	 -40.69		
-19.84   	-45.47   	 15.91   	 -15.26		 69.81   	 -45.78		
-18.62   	-42.72   	 15.85   	 -15.26		 69.62   	 -45.78		
-17.09   	-42.72   	 15.79   	 -20.35		 69.44   	 -50.86		
-15.26   	-43.95   	 15.71   	 -25.43		 69.24   	 -50.86		
-13.73   	-43.03   	 15.61   	 -25.43		 69.03   	 -50.86		
-11.90   	-38.45   	 15.50   	 -25.43		 68.83   	 -55.95		
 -9.46   	-31.13   	 15.40   	 -30.52		 68.61   	 -55.95		
 -6.41   	-24.72   	 15.28   	 -30.52		 68.38   	 -50.86		
 -3.66   	-22.28   	 15.16   	 -30.52		 68.18   	 -55.95		
 -1.83   	-24.41   	 15.04   	 -30.52		 67.95   	 -55.95		
 -0.92   	-28.38   	 14.91   	 -35.61		 67.73   	 -55.95		
 -0.61   	-28.99   	 14.77   	 -30.52		 67.51   	 -55.95		
  0.00   	-25.02   	 14.65   	 -25.43		 67.28   	 -55.95		
  0.31   	-18.92   	 14.55   	 -25.43		 67.06   	 -55.95		
  0.31   	-14.95   	 14.45   	 -25.43		 66.84   	 -55.95		
 -1.22   	-15.56   	 14.34   	 -20.35		 66.61   	 -55.95		
 -3.97   	-19.23   	 14.26   	 -20.35		 66.39   	 -55.95		
